Date,AAPL,AMZN,ETH-USD,LTC-USD,MRNA,NFLX,NVDA
2020-01-02,72.87611389160156,94.90049743652344,127.4101791381836,39.82301330566406,19.229999542236328,329.80999755859375,5.973122596740723
2020-01-03,72.1676254272461,93.74849700927734,134.1717071533203,42.41557312011719,18.889999389648438,325.8999938964844,5.87751579284668
2020-01-06,72.7426528930664,95.14399719238281,144.3041534423828,45.81635284423828,18.1299991607666,335.8299865722656,5.902163028717041
2020-01-07,72.40054321289062,95.34300231933594,143.5439910888672,46.424583435058594,17.780000686645508,330.75,5.973620414733887
2020-01-08,73.56519317626953,94.59850311279297,141.2581329345703,45.65376663208008,17.979999542236328,339.260009765625,5.9848246574401855
2020-01-09,75.1277847290039,95.05249786376953,138.9792022705078,45.2159309387207,18.399999618530273,335.6600036621094,6.050553798675537
2020-01-10,75.29762268066406,94.15799713134766,143.96377563476562,48.72732925415039,19.139999389648438,329.04998779296875,6.082919120788574
2020-01-13,76.90631866455078,94.56500244140625,144.22659301757812,49.733768463134766,20.260000228881836,338.9200134277344,6.273632526397705
2020-01-14,75.86783599853516,93.47200012207031,165.95535278320312,58.478233337402344,20.0,338.69000244140625,6.156616687774658
2020-01-15,75.5427017211914,93.10099792480469,166.23068237304688,58.05284881591797,20.239999771118164,339.07000732421875,6.114040851593018
2020-01-16,76.48898315429688,93.89700317382812,164.39100646972656,57.618255615234375,21.010000228881836,338.6199951171875,6.197695732116699
2020-01-17,77.33577728271484,93.23600006103516,170.7799530029297,61.487125396728516,20.6200008392334,339.6700134277344,6.206411361694336
2020-01-21,76.81169128417969,94.5999984741211,169.69715881347656,57.64788055419922,20.940000534057617,338.1099853515625,6.173048496246338
2020-01-22,77.08588409423828,94.37300109863281,168.29415893554688,58.3547248840332,21.969999313354492,326.0,6.22707462310791
2020-01-23,77.45711517333984,94.22899627685547,162.92855834960938,54.6302604675293,21.469999313354492,349.6000061035156,6.295544147491455
2020-01-24,77.23388671875,93.08200073242188,163.05117797851562,54.53178787231445,21.1200008392334,353.1600036621094,6.2362871170043945
2020-01-27,74.96279907226562,91.41699981689453,170.93089294433594,58.763267517089844,22.739999771118164,342.8800048828125,5.980342388153076
2020-01-28,77.08342742919922,92.6624984741211,176.3703155517578,60.671817779541016,22.360000610351562,348.5199890136719,6.173793792724609
2020-01-29,78.69698333740234,92.9000015258789,175.0503387451172,60.07793426513672,20.549999237060547,343.1600036621094,6.1132941246032715
2020-01-30,78.58293914794922,93.53399658203125,184.6904754638672,68.15906524658203,20.989999771118164,347.739990234375,6.120016574859619
2020-01-31,75.09866333007812,100.43599700927734,180.16017150878906,67.8794937133789,20.510000228881836,345.0899963378906,5.88647985458374
2020-02-03,74.89242553710938,100.20999908447266,189.8650665283203,69.78022003173828,20.3799991607666,358.0,5.983579635620117
2020-02-04,77.36490631103516,102.4834976196289,189.25059509277344,68.1957778930664,20.8700008392334,369.010009765625,6.152881145477295
2020-02-05,77.9957504272461,101.99349975585938,204.23023986816406,72.49310302734375,20.049999237060547,369.6700134277344,6.243258476257324
2020-02-06,78.9080581665039,102.5114974975586,212.33908081054688,73.38868713378906,19.8799991607666,366.95001220703125,6.330150604248047
