Date,BTC-USD,MRNA,PFE,V,WMT
2021-01-04,31971.9140625,111.7300033569336,31.41031837463379,211.8987579345703,46.17341232299805
2021-01-05,33992.4296875,109.18000030517578,31.734567642211914,208.73623657226562,45.9276123046875
2021-01-06,36824.36328125,116.26000213623047,31.461515426635742,206.89712524414062,46.21437072753906
2021-01-07,39371.04296875,115.08999633789062,31.623640060424805,208.0550994873047,46.211219787597656
2021-01-08,40797.609375,112.75,31.68337631225586,209.65098571777344,46.204925537109375
2021-01-11,35566.65625,117.26000213623047,32.22949981689453,207.15988159179688,46.41289520263672
2021-01-12,33922.9609375,124.55000305175781,31.726049423217773,203.2383270263672,46.942283630371094
2021-01-13,37316.359375,124.05999755859375,31.452980041503906,203.7151336669922,46.463314056396484
2021-01-14,39187.328125,129.72000122070312,31.359115600585938,196.42674255371094,46.31206130981445
2021-01-15,36825.3671875,129.64999389648438,31.31645393371582,196.16404724121094,45.577842712402344
2021-01-19,36069.8046875,125.01000213623047,31.342052459716797,196.2321014404297,45.1839485168457
2021-01-20,35547.75,125.13999938964844,31.14579200744629,200.46505737304688,45.851993560791016
2021-01-21,30825.69921875,132.97999572753906,31.128725051879883,199.61846923828125,45.644020080566406
2021-01-22,33005.76171875,131.02000427246094,31.188459396362305,196.58242797851562,46.110389709472656
2021-01-25,32366.392578125,147.0,31.811368942260742,195.57041931152344,46.069419860839844
2021-01-26,32569.849609375,151.92999267578125,31.836973190307617,196.5726776123047,46.482215881347656
2021-01-27,30432.546875,155.72999572753906,30.923933029174805,189.72222900390625,45.32575225830078
2021-01-28,33466.09765625,159.5500030517578,30.932558059692383,192.8847198486328,45.297393798828125
2021-01-29,34316.38671875,173.16000366210938,30.967058181762695,188.04849243164062,44.2701301574707
2021-02-01,33537.17578125,157.47999572753906,30.88079833984375,193.0209503173828,43.88569259643555
2021-02-02,35510.2890625,158.5800018310547,30.182106018066406,197.1565399169922,44.358367919921875
2021-02-03,37472.08984375,165.86000061035156,30.052705764770508,195.940185546875,44.49385452270508
2021-02-04,36926.06640625,173.30999755859375,30.09583854675293,203.61782836914062,44.91295623779297
2021-02-05,38144.30859375,176.24000549316406,30.12171745300293,203.1507568359375,45.48960494995117
2021-02-08,46196.46484375,185.97999572753906,30.035463333129883,201.32135009765625,45.70073699951172
2021-02-09,46481.10546875,179.52000427246094,30.164859771728516,200.9613037109375,45.95282745361328
2021-02-10,44918.18359375,179.33999633789062,29.966455459594727,200.8834686279297,45.41713333129883
2021-02-11,47909.33203125,183.44000244140625,29.69904899597168,205.30813598632812,45.38247299194336
2021-02-12,47504.8515625,183.74000549316406,29.949207305908203,204.62591552734375,45.5242805480957
2021-02-16,49199.87109375,178.52999877929688,29.923316955566406,202.61822509765625,45.899253845214844
2021-02-17,52149.0078125,176.75999450683594,30.09583854675293,202.23817443847656,46.3845329284668
2021-02-18,51679.796875,169.57000732421875,29.81119155883789,204.0314178466797,43.378360748291016
2021-02-19,55888.1328125,174.74000549316406,29.70766830444336,199.52877807617188,43.59263610839844
2021-02-22,54207.3203125,159.3699951171875,29.55240821838379,203.027587890625,43.387821197509766
2021-02-23,48824.42578125,150.1699981689453,29.250499725341797,206.7212677001953,42.688262939453125
2021-02-24,49705.33203125,144.7899932861328,29.112489700317383,213.85531616210938,41.976104736328125
2021-02-25,47093.8515625,148.3800048828125,29.172870635986328,208.3196563720703,41.57906723022461
2021-02-26,46339.76171875,154.80999755859375,28.888212203979492,206.9941864013672,40.939388275146484
2021-03-01,49631.2421875,157.39999389648438,29.06072998046875,211.12648010253906,41.39630889892578
2021-03-02,48378.98828125,146.80999755859375,28.90546226501465,210.28829956054688,40.9992561340332
2021-03-03,50538.2421875,131.22000122070312,29.664546966552734,209.39166259765625,40.205177307128906
2021-03-04,48561.16796875,132.3000030517578,29.500654220581055,206.1267852783203,40.1862678527832
2021-03-05,48927.3046875,132.19000244140625,29.664546966552734,209.93743896484375,40.68730545043945
2021-03-08,52246.5234375,123.47000122070312,29.630041122436523,214.67401123046875,40.29655456542969
2021-03-09,54824.1171875,130.8699951171875,29.7163028717041,214.76170349121094,40.61482238769531
2021-03-10,56008.55078125,129.75,30.130346298217773,217.5002899169922,41.65155029296875
2021-03-11,57805.12109375,140.47000122070312,29.94057846069336,220.4045867919922,41.635780334472656
2021-03-12,57332.08984375,136.99000549316406,30.13896942138672,218.66006469726562,42.26285934448242
2021-03-15,55907.19921875,143.66000366210938,30.54439353942871,217.59774780273438,42.04542922973633
2021-03-16,56804.90234375,156.02000427246094,30.906681060791016,218.99143981933594,42.0328369140625
2021-03-17,58870.89453125,147.5500030517578,30.872169494628906,217.3541259765625,41.68305587768555
2021-03-18,57858.921875,141.4600067138672,30.85492515563965,215.0540771484375,41.138797760009766
2021-03-19,58346.65234375,143.74000549316406,30.647899627685547,201.6436309814453,41.68621826171875
2021-03-22,54529.14453125,145.60000610351562,31.05331802368164,202.7156982421875,41.88556671142578
2021-03-23,54738.9453125,136.52000427246094,30.501266479492188,202.86187744140625,42.382362365722656
2021-03-24,52774.265625,131.61000061035156,30.7169132232666,202.78392028808594,42.119720458984375
2021-03-25,51704.16015625,133.3300018310547,30.76866340637207,202.68646240234375,42.404518127441406
2021-03-26,55137.3125,133.27999877929688,31.268970489501953,208.10520935058594,42.7588996887207
2021-03-29,57750.19921875,123.41999816894531,31.58812713623047,209.060302734375,43.246212005615234
2021-03-30,58917.69140625,118.48999786376953,31.14820671081543,206.51661682128906,42.951927185058594
