Date,AAPL,ETH-USD,INTC,SLB,TSLA,V,XRP-USD
2023-01-03,123.90462493896484,1214.77880859375,25.775144577026367,49.595252990722656,108.0999984741211,204.58348083496094,0.34382399916648865
2023-01-04,125.18260955810547,1256.526611328125,26.691207885742188,49.78784942626953,113.63999938964844,209.7328338623047,0.3477939963340759
2023-01-05,123.85508728027344,1250.4385986328125,26.575496673583984,50.72197723388672,110.33999633789062,208.25315856933594,0.33803901076316833
2023-01-06,128.4122314453125,1269.3790283203125,27.703699111938477,52.48428726196289,113.05999755859375,214.8032989501953,0.3446449935436249
2023-01-09,128.93728637695312,1321.5389404296875,28.262983322143555,53.58212661743164,119.7699966430664,215.6417694091797,0.3493399918079376
2023-01-10,129.51187133789062,1336.5860595703125,28.388338088989258,53.890296936035156,118.8499984741211,218.0980987548828,0.35124099254608154
2023-01-11,132.2461700439453,1387.9327392578125,28.783693313598633,54.23698043823242,123.22000122070312,219.09442138671875,0.37415799498558044
2023-01-12,132.1669158935547,1417.9384765625,29.207975387573242,55.85484313964844,123.55999755859375,220.5938262939453,0.37519699335098267
2023-01-13,133.50433349609375,1451.6148681640625,29.034404754638672,56.12448501586914,122.4000015258789,220.04141235351562,0.3858039975166321
2023-01-17,134.67333984375,1567.8460693359375,28.542621612548828,56.297828674316406,131.49000549316406,219.98223876953125,0.3877109885215759
2023-01-18,133.9501495361328,1515.5069580078125,27.780839920043945,55.01701736450195,128.77999877929688,216.4901580810547,0.3794519901275635
2023-01-19,134.0095977783203,1552.5565185546875,27.40477180480957,55.257774353027344,127.16999816894531,217.42727661132812,0.3937849998474121
2023-01-20,136.5853729248047,1659.754150390625,28.17619514465332,55.228878021240234,133.4199981689453,221.27452087402344,0.41334399580955505
2023-01-23,139.795166015625,1628.2510986328125,29.188690185546875,53.79399108886719,143.75,221.14625549316406,0.4249430000782013
2023-01-24,141.20191955566406,1556.604248046875,28.8511905670166,53.41841506958008,143.88999938964844,220.86021423339844,0.40770700573921204
2023-01-25,140.53817749023438,1611.7110595703125,28.63905143737793,54.16957092285156,144.42999267578125,221.8565216064453,0.41769298911094666
2023-01-26,142.61863708496094,1603.10595703125,29.015117645263672,55.34444808959961,160.27000427246094,221.6691131591797,0.4101029932498932
2023-01-27,144.5702362060547,1598.156494140625,27.154062271118164,54.862937927246094,177.89999389648438,228.3080291748047,0.41279101371765137
2023-01-30,141.66757202148438,1567.3265380859375,26.95156478881836,54.2562370300293,166.66000366210938,225.9997100830078,0.39459100365638733
2023-01-31,142.94552612304688,1586.535400390625,27.25048828125,54.8725700378418,173.22000122070312,227.09469604492188,0.4063889980316162
2023-02-01,144.07492065429688,1641.792724609375,28.03155517578125,53.63991165161133,181.41000366210938,227.77532958984375,0.41389200091362
2023-02-02,149.41470336914062,1643.2415771484375,29.111547470092773,50.35602951049805,188.27000427246094,226.45346069335938,0.40974700450897217
2023-02-03,153.06040954589844,1664.74560546875,29.236902236938477,50.693084716796875,189.97999572753906,227.01576232910156,0.4122050106525421
2023-02-06,150.3162078857422,1616.2470703125,28.002227783203125,51.126441955566406,194.75999450683594,226.33509826660156,0.3928239941596985
2023-02-07,153.20899963378906,1672.0035400390625,28.35359764099121,52.142391204833984,196.80999755859375,228.1896514892578,0.403903990983963
2023-02-08,150.50442504882812,1650.716796875,27.563013076782227,52.93579864501953,201.2899932861328,227.0847930908203,0.39805200695991516
2023-02-09,149.4642333984375,1546.438232421875,27.06524085998535,52.09400939941406,207.32000732421875,226.68943786621094,0.38246598839759827
2023-02-10,149.8313446044922,1514.869140625,27.133562088012695,54.53229522705078,196.88999938964844,224.5643768310547,0.38264501094818115
2023-02-13,152.64920043945312,1507.1658935546875,27.865581512451172,55.45148468017578,194.63999938964844,226.22488403320312,0.3716750144958496
2023-02-14,152.00425720214844,1556.8751220703125,27.95342445373535,54.97737503051758,209.25,226.72898864746094,0.382407009601593
2023-02-15,154.11761474609375,1673.7459716796875,28.15839385986328,54.174293518066406,214.24000549316406,226.26441955566406,0.4013519883155823
2023-02-16,152.51028442382812,1640.067626953125,27.523975372314453,53.97110366821289,202.0399932861328,223.2102813720703,0.3851569890975952
2023-02-17,151.3593292236328,1694.7833251953125,26.948118209838867,51.610233306884766,208.30999755859375,220.9665985107422,0.3953019976615906
2023-02-21,147.32110595703125,1658.036376953125,25.435274124145508,51.66828536987305,197.3699951171875,218.06068420410156,0.3919050097465515
2023-02-22,147.7477264404297,1643.231689453125,24.859416961669922,50.710391998291016,200.86000061035156,217.46766662597656,0.3955860137939453
2023-02-23,148.23390197753906,1651.0738525390625,24.996061325073242,51.59086990356445,202.07000732421875,218.56478881835938,0.38912999629974365
2023-02-24,145.56491088867188,1608.3731689453125,24.537328720092773,52.171417236328125,196.8800048828125,217.00314331054688,0.37847700715065
2023-02-27,146.76547241210938,1634.326416015625,24.303081512451172,52.6358528137207,207.6300048828125,217.79385375976562,0.3791149854660034
2023-02-28,146.2594451904297,1605.8951416015625,24.332365036010742,51.48444366455078,205.7100067138672,217.38858032226562,0.3771499991416931
2023-03-01,144.1758270263672,1663.4337158203125,24.722774505615234,53.109962463378906,202.77000427246094,215.8269500732422,0.38387900590896606
2023-03-02,144.77117919921875,1647.3193359375,25.57192039489746,53.50666427612305,190.89999389648438,216.518798828125,0.3775799870491028
2023-03-03,149.85118103027344,1569.1676025390625,25.767126083374023,54.174293518066406,197.7899932861328,221.17417907714844,0.3776710033416748
2023-03-06,152.6293487548828,1567.398681640625,25.366952896118164,53.55503845214844,193.80999755859375,224.11959838867188,0.3704710006713867
