Date,AMZN,BTC-USD,ETH-USD,INTC,NVDA,TSLA,XRP-USD
2023-01-03,85.81999969482422,16679.857421875,1214.77880859375,25.775144577026367,14.305582046508789,108.0999984741211,0.34382399916648865
2023-01-04,85.13999938964844,16863.23828125,1256.526611328125,26.69120979309082,14.73929500579834,113.63999938964844,0.3477939963340759
2023-01-05,83.12000274658203,16836.736328125,1250.4385986328125,26.575496673583984,14.255613327026367,110.33999633789062,0.33803901076316833
2023-01-06,86.08000183105469,16951.96875,1269.3790283203125,27.70370101928711,14.849225044250488,113.05999755859375,0.3446449935436249
2023-01-09,87.36000061035156,17196.5546875,1321.5389404296875,28.262983322143555,15.617717742919922,119.7699966430664,0.3493399918079376
2023-01-10,89.87000274658203,17446.29296875,1336.5860595703125,28.388338088989258,15.898533821105957,118.8499984741211,0.35124099254608154
2023-01-11,95.08999633789062,17934.896484375,1387.9327392578125,28.78369140625,15.990469932556152,123.22000122070312,0.37415799498558044
2023-01-12,95.2699966430664,18869.587890625,1417.9384765625,29.20797348022461,16.50013542175293,123.55999755859375,0.37519699335098267
2023-01-13,98.12000274658203,19909.57421875,1451.6148681640625,29.034404754638672,16.887880325317383,122.4000015258789,0.3858039975166321
2023-01-17,96.05000305175781,21161.51953125,1567.8460693359375,28.54262351989746,17.690351486206055,131.49000549316406,0.3877109885215759
2023-01-18,95.45999908447266,20688.78125,1515.5069580078125,27.780841827392578,17.365568161010742,128.77999877929688,0.3794519901275635
2023-01-19,93.68000030517578,21086.79296875,1552.5565185546875,27.404773712158203,16.753969192504883,127.16999816894531,0.3937849998474121
2023-01-20,97.25,22676.552734375,1659.754150390625,28.176193237304688,17.82726287841797,133.4199981689453,0.41334399580955505
2023-01-23,97.5199966430664,22934.431640625,1628.2510986328125,29.188688278198242,19.18037223815918,143.75,0.4249430000782013
2023-01-24,96.31999969482422,22636.46875,1556.604248046875,28.8511905670166,19.252321243286133,143.88999938964844,0.40770700573921204
2023-01-25,97.18000030517578,23117.859375,1611.7110595703125,28.63905143737793,19.310287475585938,144.42999267578125,0.41769298911094666
