Date,CAT,CVX,KO,LMT,PEP,SLB,XOM
2022-01-03,195.7609405517578,107.2700424194336,54.590660095214844,329.65631103515625,160.04058837890625,30.09912109375,57.61799621582031
2022-01-04,206.23934936523438,109.22187805175781,55.50204086303711,336.7544250488281,160.2718963623047,31.560428619384766,59.78525161743164
2022-01-05,207.8186492919922,109.93244934082031,55.96232986450195,333.1728515625,160.81776428222656,31.560428619384766,60.52881622314453
2022-01-06,209.93704223632812,110.86788177490234,55.667747497558594,333.04254150390625,160.85479736328125,32.31006622314453,61.95248794555664
2022-01-07,212.0176239013672,112.45994567871094,55.53886795043945,335.0334167480469,161.05833435058594,33.239986419677734,62.46030807495117
2022-01-10,209.60601806640625,112.53189849853516,55.630924224853516,337.92657470703125,161.1416015625,33.325382232666016,62.088523864746094
2022-01-11,208.00779724121094,115.1043701171875,55.649330139160156,338.75457763671875,161.0675506591797,34.61589050292969,64.70008850097656
2022-01-12,210.32476806640625,114.52870178222656,55.73218536376953,336.1124572753906,160.8917694091797,34.58742141723633,64.50967407226562
2022-01-13,214.67503356933594,114.05198669433594,56.063602447509766,339.7220153808594,161.1508331298828,34.32173156738281,64.04720306396484
2022-01-14,216.50970458984375,115.9948501586914,56.51468276977539,346.64337158203125,162.50161743164062,35.87793731689453,65.17162322998047
2022-01-18,217.3892059326172,116.37260437011719,56.063602447509766,350.2900695800781,160.94729614257812,35.62173080444336,66.26885986328125
2022-01-19,210.64210510253906,115.94985961914062,56.1556510925293,351.0249938964844,162.1038055419922,35.20420837402344,66.29606628417969
2022-01-20,205.8621368408203,115.53609466552734,55.92551803588867,348.9783935546875,160.92877197265625,35.15676498413086,66.44115447998047
2022-01-21,203.44839477539062,114.15092468261719,55.649330139160156,345.3223571777344,161.18785095214844,34.50202560424805,65.44367980957031
2022-01-24,203.67645263671875,114.39379119873047,55.19824981689453,347.3038330078125,160.36441040039062,34.729759216308594,66.00589752197266
2022-01-25,203.65744018554688,119.25987243652344,55.06936264038086,360.17901611328125,158.52328491210938,36.80784606933594,67.94644165039062
2022-01-26,203.638427734375,119.34982299804688,54.86683654785156,363.9653015136719,156.84866333007812,37.76624298095703,67.25726318359375
2022-01-27,201.6238250732422,121.76036834716797,54.912864685058594,361.9558410644531,156.70062255859375,36.8742790222168,68.11872863769531
2022-01-28,191.16110229492188,117.47895812988281,56.00836181640625,365.7420654296875,159.75376892089844,37.65237808227539,68.2638168334961
2022-01-31,191.5412139892578,118.1265640258789,56.164852142333984,362.0023498535156,160.54022216796875,37.073543548583984,68.88044738769531
2022-02-01,195.14283752441406,121.23868560791016,55.75060272216797,360.03021240234375,159.448486328125,37.50054168701172,73.29655456542969
2022-02-02,194.75320434570312,121.79637145996094,56.32136535644531,360.3371887207031,162.34434509277344,37.24435043334961,73.10612487792969
2022-02-03,190.61940002441406,120.70802307128906,56.71721267700195,362.53265380859375,162.25180053710938,36.60858154296875,72.25373077392578
2022-02-04,188.54779052734375,122.2191162109375,56.118831634521484,362.1884460449219,159.5872802734375,36.54215621948242,73.82250213623047
2022-02-07,189.8876953125,124.6207046508789,56.708003997802734,364.9886169433594,158.95809936523438,38.212223052978516,74.7111587524414
2022-02-08,191.48419189453125,122.72283172607422,57.076236724853516,368.4306640625,159.15243530273438,37.02716064453125,72.77967834472656
2022-02-09,193.4798126220703,123.93709564208984,56.192474365234375,367.0352478027344,159.07839965820312,37.50309371948242,72.4312744140625
2022-02-10,192.97616577148438,122.36302947998047,56.50547790527344,358.5603332519531,155.7754364013672,37.284156799316406,71.73446655273438
2022-02-11,191.2371063232422,124.85455322265625,55.50204086303711,368.5701599121094,155.9697265625,38.66434860229492,73.54066467285156
2022-02-14,189.95420837402344,122.92971801757812,55.86106491088867,359.99298095703125,154.2303466796875,37.40789794921875,72.41294860839844
2022-02-15,193.2992706298828,122.02987670898438,56.07279968261719,355.5741271972656,153.5457305908203,38.159873962402344,71.50525665283203
2022-02-16,193.51780700683594,122.06624603271484,56.063602447509766,359.9278564453125,153.8602752685547,39.682838439941406,71.8353042602539
2022-02-17,185.06021118164062,121.43909454345703,57.18670654296875,361.6674499511719,154.27662658691406,39.130767822265625,71.72531127929688
2022-02-18,182.4088592529297,121.26638793945312,57.5733528137207,359.5185241699219,155.164794921875,38.27408981323242,70.92762756347656
2022-02-22,181.7056884765625,120.33930969238281,57.33399200439453,359.27667236328125,155.75692749023438,37.645870208740234,70.10247039794922
2022-02-23,177.39134216308594,123.20237731933594,56.69879913330078,361.7884521484375,154.22109985351562,37.826725006103516,70.38668823242188
2022-02-24,175.50975036621094,122.56612396240234,55.70457077026367,368.1236877441406,151.5380401611328,36.475093841552734,69.49736785888672
2022-02-25,177.76194763183594,127.5923843383789,57.858734130859375,380.9429931640625,155.78468322753906,37.55068588256836,71.36772155761719
2022-02-28,178.256103515625,130.88262939453125,57.29718780517578,406.3367004394531,151.4917755126953,37.35079574584961,71.89950561523438
2022-03-01,173.7421875,136.08157348632812,57.04862594604492,427.7026672363281,150.1317596435547,35.85637664794922,72.58714294433594
2022-03-02,183.03610229492188,140.0989532470703,57.47209548950195,421.5111389160156,152.2134246826172,37.35079574584961,73.83404541015625
2022-03-03,185.16473388671875,141.98948669433594,57.508907318115234,419.4691467285156,152.0504608154297,36.665462493896484,74.3016586303711
2022-03-04,185.9344940185547,144.1981201171875,57.600975036621094,429.1451721191406,154.3600311279297,37.065242767333984,77.0980453491211
2022-03-07,186.9227752685547,147.27932739257812,56.22930908203125,436.6386413574219,151.28683471679688,40.073097229003906,79.8761215209961
