Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2023-01-03,123.90463256835938,85.81999969482422,88.89987182617188,236.18350219726562,108.0999984741211
2023-01-04,125.18260955810547,85.13999938964844,87.86244201660156,225.8520965576172,113.63999938964844
2023-01-05,123.85508728027344,83.12000274658203,85.98707580566406,219.15834045410156,110.33999633789062
2023-01-06,128.41221618652344,86.08000183105469,87.12425994873047,221.74118041992188,113.05999755859375
2023-01-09,128.93728637695312,87.36000061035156,87.80258178710938,223.90016174316406,119.7699966430664
2023-01-10,129.51187133789062,89.87000274658203,88.20159912109375,225.6056365966797,118.8499984741211
2023-01-11,132.2461700439453,95.08999633789062,91.29393768310547,232.4275360107422,123.22000122070312
2023-01-12,132.1669158935547,95.2699966430664,90.90489959716797,235.12867736816406,123.55999755859375
2023-01-13,133.5043487548828,98.12000274658203,91.89246368408203,235.83848571777344,122.4000015258789
2023-01-17,134.67335510253906,96.05000305175781,91.06450653076172,236.942626953125,131.49000549316406
2023-01-18,133.9501495361328,95.45999908447266,90.89493560791016,232.46694946289062,128.77999877929688
2023-01-19,134.0095977783203,93.68000030517578,92.8201675415039,228.6419677734375,127.16999816894531
2023-01-20,136.58535766601562,97.25,97.77787780761719,236.81446838378906,133.4199981689453
2023-01-23,139.79518127441406,97.5199966430664,99.54351806640625,239.14100646972656,143.75
2023-01-24,141.20193481445312,96.31999969482422,97.45867156982422,238.608642578125,143.88999938964844
2023-01-25,140.5381622314453,97.18000030517578,94.98480224609375,237.1988983154297,144.42999267578125
2023-01-26,142.61863708496094,99.22000122070312,97.27911376953125,244.4841766357422,160.27000427246094
2023-01-27,144.5702362060547,102.23999786376953,99.12455749511719,244.64187622070312,177.89999389648438
2023-01-30,141.6675567626953,100.55000305175781,96.70055389404297,239.26914978027344,166.66000366210938
2023-01-31,142.94552612304688,103.12999725341797,98.59585571289062,244.29685974121094,173.22000122070312
2023-02-01,144.0749053955078,105.1500015258789,100.18193817138672,249.1667938232422,181.41000366210938
2023-02-02,149.4147186279297,112.91000366210938,107.473876953125,260.84881591796875,188.27000427246094
2023-02-03,153.06040954589844,103.38999938964844,104.52118682861328,254.6874542236328,189.97999572753906
2023-02-06,150.3162384033203,102.18000030517578,102.64583587646484,253.1298065185547,194.75999450683594
2023-02-07,153.20901489257812,102.11000061035156,107.3741226196289,263.7668762207031,196.80999755859375
2023-02-08,150.50445556640625,100.05000305175781,99.12455749511719,262.9486083984375,201.2899932861328
2023-02-09,149.46421813964844,98.23999786376953,94.77532196044922,259.8827209472656,207.32000732421875
2023-02-10,149.83135986328125,97.61000061035156,94.33641052246094,259.3700866699219,196.88999938964844
2023-02-13,152.64920043945312,99.54000091552734,94.37631225585938,267.47357177734375,194.63999938964844
2023-02-14,152.00424194335938,99.69999694824219,94.44613647460938,268.3115234375,209.25
2023-02-15,154.11764526367188,101.16000366210938,96.70055389404297,266.1669006347656,214.24000549316406
2023-02-16,152.51028442382812,98.1500015258789,95.27408599853516,259.080810546875,202.0399932861328
2023-02-17,151.35931396484375,97.19999694824219,94.11695098876953,255.03875732421875,208.30999755859375
2023-02-21,147.32110595703125,94.58000183105469,91.56327819824219,249.71182250976562,197.3699951171875
2023-02-22,147.7477264404297,95.79000091552734,91.42362213134766,248.56541442871094,200.86000061035156
2023-02-23,148.23391723632812,95.81999969482422,90.66549682617188,251.78724670410156,202.07000732421875
2023-02-24,145.56492614746094,93.5,88.90984344482422,246.30221557617188,196.8800048828125
2023-02-27,146.76547241210938,93.76000213623047,89.64801788330078,247.23121643066406,207.6300048828125
2023-02-28,146.25946044921875,94.2300033569336,89.8375473022461,246.4998779296875,205.7100067138672
2023-03-01,144.1758270263672,92.16999816894531,90.13681030273438,243.38677978515625,202.77000427246094
2023-03-02,144.7711639404297,92.12999725341797,91.77275848388672,248.1700897216797,190.89999389648438
2023-03-03,149.8511962890625,94.9000015258789,93.4186782836914,252.30117797851562,197.7899932861328
2023-03-06,152.6293487548828,93.75,94.89501953125,253.86265563964844,193.80999755859375
2023-03-07,150.41676330566406,93.55000305175781,93.62815856933594,251.1745147705078,187.7100067138672
2023-03-08,151.67681884765625,93.91999816894531,94.01719665527344,250.7297821044922,182.0
2023-03-09,149.41461181640625,92.25,92.09196472167969,249.3659210205078,172.9199981689453
2023-03-10,147.3409423828125,90.7300033569336,90.40613555908203,245.6796112060547,173.44000244140625
2023-03-13,149.29554748535156,92.43000030517578,90.88495635986328,250.94717407226562,174.47999572753906
2023-03-14,151.39901733398438,94.87999725341797,93.7378921508789,257.7367858886719,183.25999450683594
2023-03-15,151.7958984375,96.19999694824219,95.87260437011719,262.3323669433594,180.4499969482422
2023-03-16,154.6335906982422,100.04000091552734,100.07220458984375,272.9663391113281,184.1300048828125
2023-03-17,153.7902069091797,98.94999694824219,101.3689956665039,276.1585693359375,180.1300048828125
2023-03-20,156.1714630126953,97.70999908447266,100.96998596191406,269.0428466796875,183.25
2023-03-21,158.03680419921875,100.61000061035156,104.66084289550781,270.5746765136719,197.5800018310547
2023-03-22,156.5980987548828,98.69999694824219,103.11466979980469,269.10211181640625,191.14999389648438
2023-03-23,157.6895294189453,98.70999908447266,105.33916473388672,274.4092712402344,192.22000122070312
2023-03-24,158.99923706054688,98.12999725341797,105.1795654296875,277.28521728515625,190.41000366210938
2023-03-27,157.04461669921875,98.04000091552734,102.20691680908203,273.144287109375,191.80999755859375
2023-03-28,156.4195098876953,97.23999786376953,100.78045654296875,272.00775146484375,189.19000244140625
