Date,KO,PEP,PG,V,WMT
2023-01-03,59.66529083251953,170.4306640625,145.07484436035156,204.58348083496094,46.69233322143555
2023-01-04,59.6368522644043,170.01266479492188,145.70655822753906,209.73281860351562,46.744354248046875
2023-01-05,58.954429626464844,168.23626708984375,143.89755249023438,208.25314331054688,46.58503341674805
2023-01-06,60.0918083190918,172.0360565185547,147.32412719726562,214.8032989501953,47.726322174072266
2023-01-09,59.3430290222168,170.3546600341797,145.5247039794922,215.6417999267578,47.131290435791016
2023-01-10,58.88807678222656,168.94873046875,145.38111877441406,218.09808349609375,47.10202407836914
2023-01-11,58.77433776855469,169.1387176513672,144.20384216308594,219.0944061279297,47.51496887207031
2023-01-12,58.016082763671875,166.98236083984375,143.3902587890625,220.59384155273438,47.08577346801758
2023-01-13,58.224605560302734,166.4693603515625,144.41441345214844,220.0414276123047,47.24184799194336
2023-01-17,58.4615592956543,167.24832153320312,143.99327087402344,219.98223876953125,46.9556999206543
2023-01-18,56.68913650512695,163.03053283691406,140.13597106933594,216.4901580810547,45.794898986816406
2023-01-19,56.603824615478516,161.14015197753906,137.17234802246094,217.4272918701172,45.14134216308594
2023-01-20,56.945045471191406,161.37765502929688,137.7020721435547,221.27450561523438,45.697357177734375
2023-01-23,57.08721923828125,160.65567016601562,135.85281372070312,221.14625549316406,46.38018035888672
2023-01-24,57.39051818847656,162.14707946777344,136.59445190429688,220.86019897460938,46.50373840332031
2023-01-25,57.75069046020508,163.3250274658203,136.4981231689453,221.85655212402344,46.28263473510742
2023-01-26,57.636959075927734,161.70057678222656,135.94912719726562,221.6691131591797,46.24036407470703
2023-01-27,57.33365249633789,161.13064575195312,135.39051818847656,228.30804443359375,46.594783782958984
2023-01-30,57.47582244873047,160.9976348876953,135.81427001953125,225.9997100830078,46.220855712890625
2023-01-31,58.12034225463867,162.46055603027344,137.13380432128906,227.0946807861328,46.78012466430664
2023-02-01,58.129825592041016,162.97352600097656,137.91395568847656,227.77532958984375,47.04024887084961
2023-02-02,57.13460922241211,161.46310424804688,136.9315643310547,226.45347595214844,46.69883728027344
2023-02-03,56.708091735839844,160.65567016601562,137.35533142089844,227.0157470703125,46.077789306640625
2023-02-06,57.03034591674805,163.2205352783203,136.18991088867188,226.3350830078125,45.742881774902344
2023-02-07,56.935569763183594,162.97352600097656,134.8607635498047,228.1896514892578,45.840423583984375
2023-02-08,56.603824615478516,162.5935516357422,133.4641876220703,227.0847930908203,45.59331130981445
2023-02-09,56.5090446472168,164.13247680664062,132.0001983642578,226.68943786621094,46.0160026550293
2023-02-10,56.5090446472168,167.38133239746094,133.16561889648438,224.5643768310547,46.73134994506836
2023-02-13,57.43790817260742,168.87274169921875,134.90892028808594,226.22488403320312,47.44343948364258
2023-02-14,56.48061752319336,166.9728546142578,134.14805603027344,226.7289581298828,47.30687713623047
2023-02-15,56.48061752319336,167.20082092285156,133.83981323242188,226.26441955566406,47.658050537109375
2023-02-16,56.129920959472656,166.72586059570312,132.0868682861328,223.2102508544922,46.91018295288086
2023-02-17,56.98295974731445,167.45733642578125,134.85113525390625,220.9665985107422,47.61577224731445
2023-02-21,56.679656982421875,167.36228942871094,134.7548370361328,218.0607147216797,47.90517044067383
2023-02-22,56.85026168823242,167.30528259277344,135.32308959960938,217.4676971435547,46.90043258666992
