Date,ETH-USD,JNJ,MMM,T,V
2023-01-03,1214.77880859375,168.97996520996094,93.82341003417969,16.748666763305664,204.58349609375
2023-01-04,1256.526611328125,170.8197021484375,95.87654113769531,17.106163024902344,209.7328338623047
2023-01-05,1250.4385986328125,169.55845642089844,94.19879913330078,17.16872215270996,208.25315856933594
2023-01-06,1269.3790283203125,170.93348693847656,97.07930755615234,17.45471954345703,214.80328369140625
2023-01-09,1321.5389404296875,166.50486755371094,97.1329345703125,17.262514114379883,215.64178466796875
2023-01-10,1336.5860595703125,166.10658264160156,98.15950775146484,17.652366638183594,218.0980987548828
2023-01-11,1387.9327392578125,165.841064453125,98.91793060302734,17.597970962524414,219.0944366455078
2023-01-12,1417.9384765625,165.0065460205078,99.0941390991211,17.597970962524414,220.59385681152344
2023-01-13,1451.6148681640625,164.4659881591797,99.21670532226562,17.724899291992188,220.0414276123047
2023-01-17,1567.8460693359375,163.45130920410156,96.98737335205078,17.525440216064453,219.9822540283203
2023-01-18,1515.5069580078125,160.98568725585938,94.03791809082031,17.244380950927734,216.49014282226562
2023-01-19,1552.5565185546875,160.767578125,90.72840118408203,17.171846389770508,217.42727661132812
2023-01-20,1659.754150390625,160.01840209960938,92.42912292480469,17.43477439880371,221.27450561523438
2023-01-23,1628.2510986328125,159.6106414794922,93.9383316040039,17.316911697387695,221.14625549316406
2023-01-24,1556.604248046875,159.6106414794922,88.10070037841797,17.371309280395508,220.86021423339844
2023-01-25,1611.7110595703125,160.74859619140625,86.51488494873047,18.51367950439453,221.85653686523438
2023-01-26,1603.10595703125,160.16065979003906,86.98987579345703,18.132890701293945,221.6691131591797
2023-01-27,1598.156494140625,159.53477478027344,88.29222106933594,18.087560653686523,228.30801391601562
2023-01-30,1567.3265380859375,153.6267852783203,86.24674224853516,18.277952194213867,225.9996795654297
2023-01-31,1586.535400390625,154.97337341308594,88.16197967529297,18.46834945678711,227.09466552734375
2023-02-01,1641.792724609375,156.39584350585938,88.7595443725586,18.29608917236328,227.7753448486328
2023-02-02,1643.2415771484375,156.98379516601562,92.15332794189453,18.38675308227539,226.45346069335938
2023-02-03,1664.74560546875,156.1018829345703,90.00827026367188,17.978759765625,227.0157470703125
2023-02-06,1616.2470703125,154.91647338867188,89.24983215332031,17.75210189819336,226.33509826660156
2023-02-07,1672.0035400390625,154.95440673828125,89.55628204345703,17.45290756225586,228.1896514892578
2023-02-08,1650.716796875,155.15354919433594,88.29222106933594,17.371309280395508,227.08480834960938
2023-02-09,1546.438232421875,153.05780029296875,86.51488494873047,17.199047088623047,226.689453125
2023-02-10,1514.869140625,153.76901245117188,87.24267578125,17.289710998535156,224.5643768310547
2023-02-13,1507.1658935546875,154.33802795410156,88.31521606445312,17.461973190307617,226.22488403320312
2023-02-14,1556.8751220703125,153.66470336914062,87.49547576904297,17.362239837646484,226.72898864746094
2023-02-15,1673.7459716796875,151.13270568847656,87.9398193359375,17.45290756225586,226.264404296875
2023-02-16,1640.067626953125,150.06112670898438,86.9384765625,17.461973190307617,223.21026611328125
2023-02-17,1694.7833251953125,153.19395446777344,87.70694732666016,17.62516975402832,220.96661376953125
2023-02-21,1658.036376953125,150.9111785888672,84.80382537841797,17.416641235351562,218.06069946289062
2023-02-22,1643.231689453125,150.7010498046875,84.56319427490234,17.570770263671875,217.46766662597656
2023-02-23,1651.0738525390625,150.65328979492188,84.53990936279297,17.54357147216797,218.5648193359375
2023-02-24,1608.3731689453125,148.97227478027344,83.67828369140625,17.44384002685547,217.0031280517578
2023-02-27,1634.326416015625,148.64752197265625,84.04310607910156,17.253448486328125,217.79383850097656
2023-02-28,1605.8951416015625,146.3838348388672,83.63170623779297,17.14464569091797,217.3886260986328
2023-03-01,1663.4337158203125,145.7248077392578,85.54900360107422,16.917987823486328,215.82691955566406
2023-03-02,1647.3193359375,145.61019897460938,85.30838012695312,16.917987823486328,216.518798828125
2023-03-03,1569.1676025390625,147.10975646972656,86.36405944824219,17.05398178100586,221.17417907714844
2023-03-06,1567.398681640625,148.58065795898438,85.33167266845703,17.017719268798828,224.1195831298828
2023-03-07,1561.93310546875,147.1765899658203,83.12715148925781,16.963315963745117,220.5811309814453
2023-03-08,1534.0882568359375,146.0973358154297,83.1814956665039,16.872655868530273,219.6125030517578
2023-03-09,1438.6607666015625,144.45449829101562,81.90846252441406,16.60972785949707,217.45779418945312
2023-03-10,1429.1580810546875,144.80789184570312,80.77515411376953,16.70945930480957,213.63267517089844
2023-03-13,1680.3089599609375,146.19281005859375,80.34046173095703,16.591594696044922,211.9820556640625
2023-03-14,1703.507080078125,147.0142364501953,79.78158569335938,16.71852684020996,216.1234588623047
2023-03-15,1656.1805419921875,147.42495727539062,79.78158569335938,16.60066032409668,213.86001586914062
2023-03-16,1677.2154541015625,147.1193084716797,80.89159393310547,16.673192977905273,214.92747497558594
2023-03-17,1792.485107421875,145.5433349609375,79.96788024902344,16.43746566772461,214.86817932128906
2023-03-20,1735.3212890625,146.98558044433594,80.9692153930664,16.763856887817383,215.61936950683594
2023-03-21,1806.7607421875,146.98558044433594,80.95369720458984,16.809188842773438,219.3752899169922
2023-03-22,1737.717041015625,144.27301025390625,78.81905364990234,16.673192977905273,217.48744201660156
2023-03-23,1816.4051513671875,144.3494110107422,78.39987182617188,16.736658096313477,220.0078582763672
2023-03-24,1752.0447998046875,145.8012237548828,78.50855255126953,16.872655868530273,218.475830078125
2023-03-27,1715.4608154296875,146.4220733642578,78.78022766113281,17.108383178710938,219.23690795898438
