Date,BTC-USD,COST,ETH-USD,LTC-USD,MRNA,PFE,TSLA
2020-01-02,6985.47021484375,268.2441101074219,127.4101791381836,39.82301330566406,19.229999542236328,30.443782806396484,28.68400001525879
2020-01-03,7344.88427734375,268.4649353027344,134.1717071533203,42.41557312011719,18.889999389648438,30.280439376831055,29.534000396728516
2020-01-06,7769.21923828125,268.5385437011719,144.3041534423828,45.81635284423828,18.1299991607666,30.241554260253906,30.1026668548584
2020-01-07,8163.6923828125,268.11529541015625,143.5439910888672,46.424583435058594,17.780000686645508,30.14042854309082,31.270666122436523
2020-01-08,8079.86279296875,271.1888732910156,141.2581329345703,45.65376663208008,17.979999542236328,30.381553649902344,32.80933380126953
2020-01-09,7879.0712890625,275.54168701171875,138.9792022705078,45.2159309387207,18.399999618530273,30.24932289123535,32.089332580566406
2020-01-10,8166.55419921875,273.5355224609375,143.96377563476562,48.72732925415039,19.139999389648438,30.716022491455078,31.876667022705078
2020-01-13,8144.1943359375,275.9558410644531,144.22659301757812,49.733768463134766,20.260000228881836,30.65379524230957,34.990665435791016
2020-01-14,8827.7646484375,275.8453674316406,165.95535278320312,58.478233337402344,20.0,31.167146682739258,35.861331939697266
2020-01-15,8807.0107421875,276.83013916015625,166.23068237304688,58.05284881591797,20.239999771118164,31.63384437561035,34.56666564941406
2020-01-16,8723.7861328125,278.8637390136719,164.39100646972656,57.618255615234375,21.010000228881836,31.587173461914062,34.232666015625
2020-01-17,8929.0380859375,280.3822021484375,170.7799530029297,61.487125396728516,20.6200008392334,31.509382247924805,34.03333282470703
2020-01-21,8745.89453125,288.2779846191406,169.69715881347656,57.64788055419922,20.940000534057617,31.377168655395508,36.47999954223633
2020-01-22,8680.8759765625,287.0172119140625,168.29415893554688,58.3547248840332,21.969999313354492,31.260488510131836,37.97066879272461
2020-01-23,8406.515625,287.9282531738281,162.92855834960938,54.6302604675293,21.469999313354492,31.664949417114258,38.14666748046875
2020-01-24,8445.4345703125,285.7472839355469,163.05117797851562,54.53178787231445,21.1200008392334,30.97269630432129,37.654666900634766
2020-01-27,8909.8193359375,284.7718505859375,170.93089294433594,58.763267517089844,22.739999771118164,31.237154006958008,37.201332092285156
2020-01-28,9358.58984375,286.0601806640625,176.3703155517578,60.671817779541016,22.360000610351562,29.66596221923828,37.793331146240234
2020-01-29,9316.6298828125,284.89141845703125,175.0503387451172,60.07793426513672,20.549999237060547,29.230379104614258,38.732666015625
2020-01-30,9508.9931640625,284.790283203125,184.6904754638672,68.15906524658203,20.989999771118164,29.12824058532715,42.72066879272461
2020-01-31,9350.529296875,281.1552429199219,180.16017150878906,67.8794937133789,20.510000228881836,29.26181983947754,43.371334075927734
2020-02-03,9293.521484375,277.91595458984375,189.8650665283203,69.78022003173828,20.3799991607666,29.473976135253906,52.0
2020-02-04,9180.962890625,280.5846252441406,189.25059509277344,68.1957778930664,20.8700008392334,29.615406036376953,59.137332916259766
2020-02-05,9613.423828125,284.3117370605469,204.23023986816406,72.49310302734375,20.049999237060547,29.992578506469727,48.97999954223633
2020-02-06,9729.8017578125,286.4419250488281,212.33908081054688,73.38868713378906,19.8799991607666,30.063289642333984,49.930667877197266
2020-02-07,9795.943359375,289.2269592285156,222.72605895996094,74.35611724853516,23.239999771118164,29.898283004760742,49.871334075927734
2020-02-10,9856.611328125,289.3746032714844,223.522705078125,74.33509826660156,23.649999618530273,29.70969009399414,51.41866683959961
2020-02-11,10208.236328125,286.50653076171875,235.8511962890625,76.59739685058594,21.350000381469727,29.929716110229492,51.62533187866211
2020-02-12,10326.0546875,290.6011047363281,265.4061279296875,81.29744720458984,19.010000228881836,29.654695510864258,51.15266799926758
2020-02-13,10214.3798828125,293.4414367675781,268.0992431640625,80.40342712402344,19.045000076293945,29.018226623535156,53.599998474121094
2020-02-14,10312.1162109375,293.5428161621094,284.2174987792969,82.99034881591797,19.0,28.688209533691406,53.33533477783203
2020-02-18,10141.99609375,296.9917907714844,281.944580078125,77.0351791381836,18.90999984741211,28.538908004760742,57.22666549682617
2020-02-19,9633.38671875,297.8863525390625,259.76397705078125,71.13594055175781,18.920000076293945,28.468191146850586,61.16133117675781
2020-02-20,9608.4755859375,298.8638916015625,257.949462890625,69.62484741210938,18.540000915527344,28.169601440429688,59.96066665649414
2020-02-21,9686.44140625,296.8996276855469,265.6006164550781,73.45092010498047,18.229999542236328,28.06745147705078,60.06666564941406
2020-02-24,9650.1748046875,289.2177734375,265.2164306640625,75.5356216430664,18.59000015258789,27.242401123046875,55.58599853515625
2020-02-25,9341.705078125,281.1485900878906,247.81759643554688,71.18024444580078,23.760000228881836,26.660940170288086,53.32733154296875
2020-02-26,8820.5224609375,281.90478515625,225.68026733398438,61.01430892944336,29.15999984741211,27.281692504882812,51.91999816894531
2020-02-27,8784.494140625,270.3221130371094,226.75338745117188,61.50788497924805,26.15999984741211,26.794517517089844,45.266666412353516
2020-02-28,8672.455078125,259.2650451660156,226.760498046875,59.76395797729492,25.93000030517578,26.260204315185547,44.53266525268555
2020-03-02,8869.669921875,285.0863342285156,230.5697784423828,60.995548248291016,29.8799991607666,27.40741729736328,49.574668884277344
2020-03-03,8787.7861328125,279.1750793457031,224.47962951660156,61.14447784423828,27.90999984741211,26.951671600341797,49.70066833496094
2020-03-04,8755.24609375,295.7836608886719,224.51797485351562,60.38241958618164,27.489999771118164,28.60177230834961,49.96666717529297
2020-03-05,9078.7626953125,291.1912841796875,229.2681884765625,62.04545974731445,28.010000228881836,27.8631591796875,48.30266571044922
