Date,JNJ,KO,LMT,PEP,PFE,PG,WMT
2022-01-03,158.5090789794922,54.59065628051758,329.6562805175781,160.0406036376953,50.231388092041016,152.14234924316406,46.305850982666016
2022-01-04,158.0840301513672,55.50204086303711,336.75439453125,160.2718963623047,48.35158157348633,152.67466735839844,45.457515716552734
2022-01-05,159.13742065429688,55.96233367919922,333.1728515625,160.8177947998047,49.32695007324219,153.3658447265625,46.072147369384766
2022-01-06,158.59222412109375,55.66774368286133,333.04254150390625,160.85476684570312,48.626468658447266,152.0769805908203,45.94410705566406
2022-01-07,160.7360076904297,55.53887176513672,335.0334167480469,161.05833435058594,49.4067497253418,151.99290466308594,46.38267517089844
2022-01-10,159.9413299560547,55.63092041015625,337.92657470703125,161.14158630371094,49.867828369140625,149.9194793701172,46.29304504394531
2022-01-11,158.24110412597656,55.64933776855469,338.7544860839844,161.0675506591797,50.266845703125,148.18234252929688,46.16179275512695
2022-01-12,156.8920135498047,55.7321891784668,336.1125183105469,160.8917999267578,50.231388092041016,148.5092010498047,45.91850280761719
2022-01-13,155.94024658203125,56.063602447509766,339.7220153808594,161.15081787109375,49.24714660644531,147.83680725097656,46.5683479309082
2022-01-14,155.09014892578125,56.51467514038086,346.6433410644531,162.5016326904297,48.72399139404297,149.2563934326172,46.43709182739258
2022-01-18,154.4063720703125,56.063602447509766,350.2900695800781,160.94728088378906,47.97917175292969,146.37979125976562,45.623985290527344
2022-01-19,153.92587280273438,56.1556510925293,351.0249938964844,162.10382080078125,47.47374725341797,151.30178833007812,46.07856369018555
2022-01-20,152.69692993164062,55.925506591796875,348.9783630371094,160.92880249023438,47.925968170166016,152.11871337890625,45.20782470703125
2022-01-21,152.34573364257812,55.64933776855469,345.32232666015625,161.18783569335938,46.80873489379883,152.7008819580078,44.87809753417969
2022-01-24,150.590087890625,55.19824981689453,347.3038635253906,160.3644256591797,45.70036315917969,151.46141052246094,44.88129806518555
2022-01-25,154.89608764648438,55.06936264038086,360.1789855957031,158.52328491210938,46.58705520629883,149.8087615966797,43.90492248535156
2022-01-26,155.58914184570312,54.86683654785156,363.96527099609375,156.84866333007812,47.00380325317383,148.50352478027344,43.45675277709961
2022-01-27,157.63121032714844,54.912864685058594,361.95587158203125,156.70062255859375,47.682823181152344,149.42376708984375,43.48556900024414
2022-01-28,158.74008178710938,56.008365631103516,365.7420959472656,159.7537841796875,48.54052734375,150.710205078125,44.02336502075195
2022-01-31,159.20211791992188,56.164859771728516,362.0024108886719,160.54019165039062,47.075279235839844,150.6632537841797,44.756446838378906
2022-02-01,157.89923095703125,55.75060272216797,360.0301818847656,159.448486328125,47.4147834777832,149.99655151367188,45.108585357666016
2022-02-02,159.64564514160156,56.32136154174805,360.337158203125,162.34434509277344,48.120601654052734,152.68209838867188,45.089378356933594
2022-02-03,159.6363983154297,56.71720886230469,362.5326843261719,162.2518310546875,47.691749572753906,154.12818908691406,45.134193420410156
2022-02-04,158.59222412109375,56.11883544921875,362.18841552734375,159.58724975585938,47.35224914550781,151.67738342285156,44.602787017822266
2022-02-07,158.06556701660156,56.70800018310547,364.98858642578125,158.9581298828125,47.53986740112305,150.54116821289062,44.16423034667969
2022-02-08,158.48135375976562,57.07624053955078,368.43072509765625,159.15240478515625,46.19077682495117,150.203125,44.173828125
2022-02-09,158.462890625,56.19248580932617,367.03521728515625,159.07838439941406,45.98527908325195,149.8651123046875,44.07778549194336
2022-02-10,156.55014038085938,56.50547409057617,358.560302734375,155.7754364013672,45.20799255371094,147.5832977294922,43.5623893737793
2022-02-11,154.9700164794922,55.50204086303711,368.5702209472656,155.96971130371094,45.368812561035156,146.75698852539062,43.32229995727539
2022-02-14,153.02029418945312,55.86106872558594,359.992919921875,154.23036193847656,44.49324035644531,147.1795654296875,42.88052749633789
2022-02-15,154.60040283203125,56.07279968261719,355.5740661621094,153.54571533203125,44.484310150146484,147.25465393066406,43.01498031616211
2022-02-16,154.50799560546875,56.063602447509766,359.9278564453125,153.8603057861328,44.386024475097656,148.37205505371094,42.74607849121094
2022-02-17,153.5655059814453,57.18670654296875,361.6674499511719,154.276611328125,43.68914794921875,150.07167053222656,44.45873260498047
2022-02-18,151.91944885253906,57.573360443115234,359.5185241699219,155.16481018066406,43.358577728271484,150.1468048095703,44.173828125
2022-02-22,149.8549041748047,57.33399963378906,359.2766418457031,155.75694274902344,42.46513366699219,148.29693603515625,43.68083190917969
2022-02-23,149.92929077148438,56.69879150390625,361.78839111328125,154.22113037109375,41.87546920776367,146.44711303710938,43.232662200927734
2022-02-24,147.0650177001953,55.704566955566406,368.1236572265625,151.5380401611328,41.062442779541016,142.5032958984375,43.06619644165039
2022-02-25,154.3745574951172,57.858741760253906,380.9429626464844,155.78468322753906,42.634883880615234,148.58807373046875,43.65842819213867
2022-02-28,153.04469299316406,57.29718017578125,406.33673095703125,151.4917755126953,41.93800735473633,146.3813934326172,43.26787567138672
2022-03-01,152.51463317871094,57.04861831665039,427.70263671875,150.13172912597656,40.874813079833984,143.958740234375,43.53358459472656
2022-03-02,154.4117431640625,57.47209167480469,421.5111389160156,152.2134552001953,42.61701965332031,144.4094696044922,43.58800506591797
2022-03-03,156.6808624267578,57.50891876220703,419.4691162109375,152.0504608154297,42.73316955566406,144.94471740722656,44.58998489379883
2022-03-04,157.61083984375,57.60097122192383,429.1451416015625,154.36000061035156,43.46579360961914,145.67713928222656,45.72002410888672
2022-03-07,160.149658203125,56.229305267333984,436.6387023925781,151.28680419921875,42.867183685302734,143.51742553710938,45.351871490478516
