Date,AAPL,ETH-USD,GOOGL,LTC-USD,MRNA,MSFT,NVDA
2020-01-02,72.87611389160156,127.4101791381836,68.26496124267578,39.82301330566406,19.229999542236328,153.93820190429688,5.9731221199035645
2020-01-03,72.16761016845703,134.1717071533203,67.90785217285156,42.41557312011719,18.889999389648438,152.02142333984375,5.877516746520996
2020-01-06,72.7426528930664,144.3041534423828,69.71786499023438,45.81635284423828,18.1299991607666,152.4143524169922,5.902164936065674
2020-01-07,72.40054321289062,143.5439910888672,69.58320617675781,46.424583435058594,17.780000686645508,151.02467346191406,5.973620891571045
2020-01-08,73.56520080566406,141.2581329345703,70.07847595214844,45.65376663208008,17.979999542236328,153.4302520751953,5.984823703765869
2020-01-09,75.12776947021484,138.9792022705078,70.81414794921875,45.2159309387207,18.399999618530273,155.34707641601562,6.050553798675537
2020-01-10,75.29762268066406,143.96377563476562,71.27152252197266,48.72732925415039,19.139999389648438,154.62826538085938,6.082920551300049
2020-01-13,76.90631103515625,144.22659301757812,71.82366180419922,49.733768463134766,20.260000228881836,156.487548828125,6.2736334800720215
2020-01-14,75.86782836914062,165.95535278320312,71.35282135009766,58.478233337402344,20.0,155.38540649414062,6.156615257263184
2020-01-15,75.5427017211914,166.23068237304688,71.78225708007812,58.05284881591797,20.239999771118164,156.3916778564453,6.114041328430176
2020-01-16,76.48897552490234,164.39100646972656,72.32891082763672,57.618255615234375,21.010000228881836,159.2573699951172,6.197695255279541
2020-01-17,77.33577728271484,170.7799530029297,73.79327392578125,61.487125396728516,20.6200008392334,160.14866638183594,6.206410884857178
2020-01-21,76.81169891357422,169.69715881347656,73.929443359375,57.64788055419922,20.940000534057617,159.5735626220703,6.173048973083496
2020-01-22,77.08586883544922,168.29415893554688,74.01023864746094,58.3547248840332,21.969999313354492,158.80686950683594,6.227076530456543
2020-01-23,77.45709228515625,162.92855834960938,74.05113220214844,54.6302604675293,21.469999313354492,159.78445434570312,6.295541763305664
2020-01-24,77.23387145996094,163.05117797851562,73.12742614746094,54.53178787231445,21.1200008392334,158.17433166503906,6.2362871170043945
2020-01-27,74.96278381347656,170.93089294433594,71.40968322753906,58.763267517089844,22.739999771118164,155.52915954589844,5.980342864990234
2020-01-28,77.08344268798828,176.3703155517578,72.34586334228516,60.671817779541016,22.360000610351562,158.5768585205078,6.173795223236084
2020-01-29,78.69697570800781,175.0503387451172,72.65509033203125,60.07793426513672,20.549999237060547,161.04954528808594,6.11329460144043
2020-01-30,78.58292388916016,184.6904754638672,72.53289794921875,68.15906524658203,20.989999771118164,165.5923614501953,6.120016098022461
2020-01-31,75.09866333007812,180.16017150878906,71.46205139160156,67.8794937133789,20.510000228881836,163.14845275878906,5.88647985458374
2020-02-03,74.8924331665039,189.8650665283203,73.94689178466797,69.78022003173828,20.3799991607666,167.12582397460938,5.983580112457275
2020-02-04,77.36489868164062,189.25059509277344,72.09198760986328,68.1957778930664,20.8700008392334,172.6269989013672,6.152882099151611
2020-02-05,77.99577331542969,204.23023986816406,72.1239013671875,72.49310302734375,20.049999237060547,172.41615295410156,6.243258476257324
2020-02-06,78.9080810546875,212.33908081054688,73.61621856689453,73.38868713378906,19.8799991607666,175.99099731445312,6.3301496505737305
2020-02-07,77.83551025390625,222.72605895996094,73.77281951904297,74.35611724853516,23.239999771118164,176.2401580810547,6.263922691345215
2020-02-10,78.20518493652344,223.522705078125,75.2466812133789,74.33509826660156,23.649999618530273,180.85003662109375,6.547255039215088
2020-02-11,77.73333740234375,235.8511962890625,75.31649780273438,76.59739685058594,21.350000381469727,176.76730346679688,6.6697492599487305
2020-02-12,79.57935333251953,265.4061279296875,75.74394989013672,81.29744720458984,19.010000228881836,177.02609252929688,6.785521984100342
2020-02-13,79.01264953613281,268.0992431640625,75.48259735107422,80.40342712402344,19.045000076293945,176.06761169433594,6.741703033447266
2020-02-14,79.03213500976562,284.2174987792969,75.74893188476562,82.99034881591797,19.0,177.6394500732422,7.21500301361084
2020-02-18,77.58499145507812,281.944580078125,75.78434753417969,77.0351791381836,18.90999984741211,179.4412384033203,7.383805751800537
2020-02-19,78.7086410522461,259.76397705078125,76.05517578125,71.13594055175781,18.920000076293945,179.97943115234375,7.835195064544678
2020-02-20,77.90116119384766,257.949462890625,75.66214752197266,69.62484741210938,18.540000915527344,177.23089599609375,7.685811996459961
2020-02-21,76.13788604736328,265.6006164550781,73.98978424072266,73.45092010498047,18.229999542236328,171.628173828125,7.321563243865967
2020-02-24,72.52129364013672,265.2164306640625,70.81764221191406,75.5356216430664,18.59000015258789,164.2283172607422,6.803946495056152
2020-02-25,70.0648422241211,247.81759643554688,69.14479064941406,71.18024444580078,23.760000228881836,161.51824951171875,6.524349212646484
2020-02-26,71.17631530761719,225.68026733398438,69.35176849365234,61.01430892944336,29.15999984741211,163.53636169433594,6.663774490356445
2020-02-27,66.5236587524414,226.75338745117188,65.58509826660156,61.50788497924805,26.15999984741211,152.0137939453125,6.292830944061279
2020-02-28,66.4847412109375,226.760498046875,66.79710388183594,59.76395797729492,25.93000030517578,155.69448852539062,6.728048324584961
2020-03-02,72.67452239990234,230.5697784423828,69.14479064941406,60.995548248291016,29.8799991607666,166.05422973632812,6.886489391326904
2020-03-03,70.36642456054688,224.47962951660156,66.72078704833984,61.14447784423828,27.90999984741211,158.0970458984375,6.623915195465088
2020-03-04,73.63035583496094,224.51797485351562,68.90937042236328,60.38241958618164,27.489999771118164,163.90158081054688,7.087780475616455
