Date,COST,JNJ,KO,PFE,PG,T,WMT
2020-01-02,268.24407958984375,128.083740234375,47.45193099975586,30.443782806396484,109.72232818603516,20.32438087463379,36.86407470703125
2020-01-03,268.4649353027344,126.60077667236328,47.19306564331055,30.280439376831055,108.9843978881836,20.42898178100586,36.538639068603516
2020-01-06,268.5386047363281,126.44287109375,47.17580032348633,30.24155044555664,109.13553619384766,20.44990348815918,36.46424865722656
2020-01-07,268.115234375,127.21504974365234,46.8133659362793,30.140430450439453,108.45982360839844,20.528352737426758,36.12641525268555
2020-01-08,271.18890380859375,127.19747924804688,46.899658203125,30.381553649902344,108.92215728759766,20.59111785888672,36.00244140625
2020-01-09,275.54168701171875,127.57479095458984,47.75395202636719,30.249330520629883,110.11353302001953,20.654186248779297,36.37437057495117
2020-01-10,273.5354919433594,127.2852783203125,47.917903900146484,30.71601676940918,110.22022247314453,20.531753540039062,36.07062530517578
2020-01-13,275.955810546875,127.8468246459961,48.43566131591797,30.653789520263672,111.02928161621094,20.28156089782715,35.91566467285156
2020-01-14,275.84539794921875,128.5663604736328,48.3234748840332,31.167156219482422,110.86036682128906,20.2762393951416,36.00864028930664
2020-01-15,276.830078125,128.99627685546875,48.92752456665039,31.633834838867188,111.98951721191406,20.15912628173828,35.72969436645508
2020-01-16,278.8638000488281,130.04049682617188,49.03107833862305,31.58717918395996,112.0873031616211,20.244295120239258,35.921852111816406
2020-01-17,280.3821716308594,130.89161682128906,49.134620666503906,31.509387969970703,112.38959503173828,20.430612564086914,35.63051986694336
2020-01-21,288.2779541015625,130.97938537597656,49.33309555053711,31.377168655395508,112.10509490966797,20.505136489868164,35.825782775878906
2020-01-22,287.01727294921875,130.08436584472656,49.71278762817383,31.26049041748047,112.30068969726562,20.781946182250977,35.98385238647461
2020-01-23,287.9283447265625,130.33004760742188,49.902626037597656,31.664955139160156,111.78731536865234,20.56369400024414,35.89397430419922
2020-01-24,285.7473449707031,130.1457977294922,49.77317810058594,30.972694396972656,111.92147827148438,20.494489669799805,35.44765090942383
2020-01-27,284.7718505859375,130.52305603027344,49.6005973815918,31.237150192260742,112.41338348388672,20.36141014099121,35.909461975097656
2020-01-28,286.0602111816406,131.18116760253906,49.19502639770508,29.66596031188965,112.71746063232422,20.537076950073242,36.138816833496094
2020-01-29,284.8914489746094,132.09375,49.19502639770508,29.230382919311523,111.84991455078125,19.722620010375977,35.918758392333984
2020-01-30,284.790283203125,131.93577575683594,50.79143524169922,29.12822914123535,112.64591217041016,19.924903869628906,36.13262176513672
2020-01-31,281.15521240234375,130.62835693359375,50.39448547363281,29.26181983947754,111.45640563964844,20.026046752929688,35.48484802246094
2020-02-03,277.9159851074219,131.76905822753906,50.54981994628906,29.473974227905273,111.8946533203125,19.67470932006836,35.416656494140625
2020-02-04,280.58465576171875,133.0238800048828,50.774169921875,29.615415573120117,112.38655853271484,20.0313663482666,35.726600646972656
2020-02-05,284.31170654296875,135.12098693847656,50.782798767089844,29.992572784423828,113.41506958007812,20.127182006835938,36.20389938354492
2020-02-06,286.4419250488281,134.71737670898438,50.903621673583984,30.06328773498535,113.71022033691406,20.462549209594727,36.048927307128906
2020-02-07,289.22698974609375,133.27835083007812,51.076194763183594,29.89828109741211,112.76217651367188,20.467872619628906,36.09232711791992
2020-02-10,289.3745422363281,133.25201416015625,51.559425354003906,29.709697723388672,112.84266662597656,20.409317016601562,35.720401763916016
2020-02-11,286.5064697265625,133.3660888671875,51.42136001586914,29.92971420288086,111.04499816894531,20.318822860717773,35.76689147949219
2020-02-12,290.60107421875,132.57638549804688,51.26603698730469,29.65469741821289,110.40997314453125,20.249622344970703,35.906368255615234
2020-02-13,293.4413757324219,131.69886779785156,51.43861389160156,29.018224716186523,111.760498046875,20.393348693847656,36.399166107177734
2020-02-14,293.5429382324219,131.73397827148438,51.732017517089844,28.688207626342773,112.81584167480469,20.36141014099121,36.538639068603516
2020-02-18,296.9918518066406,130.8652801513672,51.36958312988281,28.538915634155273,111.67998504638672,20.36673355102539,37.07792663574219
2020-02-19,297.8863220214844,130.68984985351562,51.57668685913086,28.468189239501953,112.18980407714844,20.462549209594727,36.473548889160156
2020-02-20,298.86383056640625,130.18963623046875,51.533546447753906,28.169605255126953,113.20938110351562,20.553043365478516,36.476646423339844
2020-02-21,296.8996276855469,131.5585174560547,51.887332916259766,28.067453384399414,113.31668853759766,20.521106719970703,36.752498626708984
2020-02-24,289.2177429199219,128.8474884033203,50.6102180480957,27.242408752441406,110.27584075927734,20.254945755004883,36.052032470703125
2020-02-25,281.1486511230469,127.73484802246094,49.893985748291016,26.660940170288086,108.60335540771484,19.88231658935547,35.453861236572266
2020-02-26,281.9047546386719,126.87825775146484,49.70414352416992,27.28169059753418,107.46751403808594,19.749238967895508,35.26478958129883
2020-02-27,270.3220520019531,122.85149383544922,47.40015411376953,26.794519424438477,101.51102447509766,19.01995086669922,34.21719741821289
2020-02-28,259.2649841308594,118.75411224365234,46.15755081176758,26.26020050048828,101.26953125,18.74846649169922,33.37416076660156
2020-03-02,285.08642578125,123.64625549316406,48.25444412231445,27.40741539001465,106.93087768554688,19.791820526123047,35.91566467285156
2020-03-03,279.1750793457031,119.73426818847656,48.37525939941406,26.951671600341797,105.68771362304688,19.323375701904297,34.99514389038086
2020-03-04,295.7837219238281,126.70162963867188,50.84320068359375,28.60177993774414,111.34908294677734,20.324146270751953,36.19150161743164
2020-03-05,291.1912841796875,125.40355682373047,48.962039947509766,27.863155364990234,108.78224182128906,19.791820526123047,35.928070068359375
