Date,AAPL,BA,COST,ETH-USD,GS,TSLA,V
2023-01-03,123.90462493896484,195.38999938964844,437.8974914550781,1214.77880859375,329.270263671875,108.0999984741211,204.58349609375
2023-01-04,125.18260955810547,203.63999938964844,441.0662536621094,1256.526611328125,330.6778564453125,113.63999938964844,209.73284912109375
2023-01-05,123.85509490966797,204.99000549316406,434.9123840332031,1250.4385986328125,326.93072509765625,110.33999633789062,208.25315856933594
2023-01-06,128.41221618652344,213.0,466.4833984375,1269.3790283203125,331.0391845703125,113.05999755859375,214.80328369140625
2023-01-09,128.93728637695312,208.57000732421875,462.503173828125,1321.5389404296875,335.7183837890625,119.7699966430664,215.6417999267578
2023-01-10,129.51187133789062,206.69000244140625,465.063232421875,1336.5860595703125,339.8649597167969,118.8499984741211,218.09808349609375
2023-01-11,132.24615478515625,208.02999877929688,467.87451171875,1387.9327392578125,346.6363830566406,123.22000122070312,219.0944366455078
2023-01-12,132.1669158935547,214.32000732421875,466.0583190917969,1417.9384765625,351.8290710449219,123.55999755859375,220.59384155273438
2023-01-13,133.50433349609375,214.1300048828125,468.7825927734375,1451.6148681640625,355.6903076171875,122.4000015258789,220.04141235351562
2023-01-17,134.67335510253906,211.41000366210938,470.25103759765625,1567.8460693359375,332.7891540527344,131.49000549316406,219.98223876953125
2023-01-18,133.95013427734375,209.41000366210938,463.19879150390625,1515.5069580078125,331.9997863769531,128.77999877929688,216.4901580810547
2023-01-19,134.00958251953125,207.08999633789062,453.5574035644531,1552.5565185546875,333.5785827636719,127.16999816894531,217.42730712890625
2023-01-20,136.5853271484375,206.75999450683594,463.8170166015625,1659.754150390625,325.1047668457031,133.4199981689453,221.2744903564453
2023-01-23,139.79518127441406,209.97000122070312,475.892822265625,1628.2510986328125,332.04736328125,143.75,221.14627075195312
2023-01-24,141.20193481445312,211.97999572753906,475.4097595214844,1556.604248046875,331.2769775390625,143.88999938964844,220.8601837158203
2023-01-25,140.53819274902344,212.67999267578125,474.2215270996094,1611.7110595703125,332.5133972167969,144.42999267578125,221.85653686523438
2023-01-26,142.61863708496094,212.72999572753906,481.3896789550781,1603.10595703125,337.5919189453125,160.27000427246094,221.6691131591797
2023-01-27,144.57025146484375,211.1699981689453,486.2103576660156,1598.156494140625,336.3841552734375,177.89999389648438,228.30804443359375
2023-01-30,141.66757202148438,209.6699981689453,486.2007751464844,1567.3265380859375,339.96002197265625,166.66000366210938,225.9997100830078
2023-01-31,142.94554138183594,213.0,493.79400634765625,1586.535400390625,347.9012451171875,173.22000122070312,227.09466552734375
2023-02-01,144.07492065429688,214.75,500.3342590332031,1641.792724609375,347.8061218261719,181.41000366210938,227.7753143310547
2023-02-02,149.4147186279297,209.33999633789062,506.5470886230469,1643.2415771484375,351.382080078125,188.27000427246094,226.45346069335938
2023-02-03,153.06040954589844,206.00999450683594,498.1955871582031,1664.74560546875,351.8385925292969,189.97999572753906,227.01577758789062
2023-02-06,150.3162078857422,206.80999755859375,498.9600830078125,1616.2470703125,352.64697265625,194.75999450683594,226.3350830078125
2023-02-07,153.20899963378906,214.75999450683594,499.86981201171875,1672.0035400390625,356.07073974609375,196.80999755859375,228.18963623046875
2023-02-08,150.50445556640625,213.5,487.55999755859375,1650.716796875,356.7364196777344,201.2899932861328,227.08480834960938
2023-02-09,149.46421813964844,211.99000549316406,484.48260498046875,1546.438232421875,349.97454833984375,207.32000732421875,226.68943786621094
2023-02-10,149.83132934570312,212.88999938964844,483.8631896972656,1514.869140625,353.1034851074219,196.88999938964844,224.5643768310547
2023-02-13,152.64920043945312,215.64999389648438,490.1148681640625,1507.1658935546875,355.7093200683594,194.63999938964844,226.2248992919922
2023-02-14,152.00424194335938,218.4499969482422,486.9890441894531,1556.8751220703125,353.5789794921875,209.25,226.7289581298828
2023-02-15,154.1176300048828,217.44000244140625,494.7890930175781,1673.7459716796875,356.0136413574219,214.24000549316406,226.26441955566406
2023-02-16,152.51025390625,212.2100067138672,487.8406677246094,1640.067626953125,352.0763244628906,202.0399932861328,223.2102813720703
2023-02-17,151.3593292236328,211.66000366210938,491.11163330078125,1694.7833251953125,350.4595947265625,208.30999755859375,220.9665985107422
2023-02-21,147.3210906982422,205.52000427246094,485.5567626953125,1658.036376953125,343.4408874511719,197.3699951171875,218.0607147216797
2023-02-22,147.74774169921875,205.75999450683594,481.3470764160156,1643.231689453125,343.2221374511719,200.86000061035156,217.4676971435547
2023-02-23,148.23390197753906,208.1300048828125,477.2342224121094,1651.0738525390625,345.74237060546875,202.07000732421875,218.56478881835938
2023-02-24,145.56491088867188,198.14999389648438,472.85028076171875,1608.3731689453125,346.0372009277344,196.8800048828125,217.0031280517578
2023-02-27,146.76547241210938,200.4600067138672,471.3212585449219,1634.326416015625,347.6349792480469,207.6300048828125,217.79385375976562
2023-02-28,146.25942993164062,201.5500030517578,468.56317138671875,1605.8951416015625,334.4344482421875,205.7100067138672,217.3885955810547
2023-03-01,144.17584228515625,204.5500030517578,463.2309265136719,1663.4337158203125,331.6375427246094,202.77000427246094,215.82691955566406
2023-03-02,144.77117919921875,210.05999755859375,470.02447509765625,1647.3193359375,334.3865661621094,190.89999389648438,216.518798828125
2023-03-03,149.85118103027344,215.11000061035156,459.9308776855469,1569.1676025390625,342.03985595703125,197.7899932861328,221.17416381835938
2023-03-06,152.6293487548828,211.9199981689453,467.49859619140625,1567.398681640625,342.0014953613281,193.80999755859375,224.1195831298828
2023-03-07,150.41673278808594,207.9199981689453,469.50189208984375,1561.93310546875,331.4938659667969,187.7100067138672,220.58111572265625
