Date,JNJ,KO,MMM,MSFT,PEP,PG,WMT
2021-01-04,141.0567169189453,47.08560562133789,122.4266128540039,210.8442840576172,129.68911743164062,125.56050109863281,46.173404693603516
2021-01-05,142.71517944335938,46.5679931640625,122.22002410888672,211.0476837158203,130.0756378173828,126.3621826171875,45.92761993408203
2021-01-06,144.05812072753906,45.086524963378906,124.07920837402344,205.57534790039062,128.48451232910156,127.69234466552734,46.2143669128418
2021-01-07,144.5447998046875,44.58675003051758,120.89511108398438,211.4254150390625,128.07101440429688,126.49884033203125,46.21121597290039
2021-01-08,144.24737548828125,45.58629608154297,118.68694305419922,212.7135772705078,129.6082000732422,126.44418334960938,46.20491409301758
2021-01-11,143.64349365234375,44.80093765258789,117.6754150390625,210.6505584716797,127.72940826416016,125.58780670166016,46.412899017333984
2021-01-12,142.52589416503906,44.72062301635742,118.60857391357422,208.17103576660156,127.13613891601562,124.85896301269531,46.94227600097656
2021-01-13,142.30953979492188,44.76524353027344,118.44473266601562,209.5367431640625,128.17889404296875,125.05029296875,46.46331024169922
2021-01-14,144.79718017578125,43.935264587402344,118.537353515625,206.3211212158203,127.43279266357422,123.72016143798828,46.312068939208984
2021-01-15,144.4817352294922,43.46226501464844,117.92474365234375,205.96278381347656,127.1001968383789,122.79090118408203,45.577850341796875
2021-01-19,146.71702575683594,43.29269790649414,120.46770477294922,209.63363647460938,127.7024917602539,121.71583557128906,45.1839485168457
2021-01-20,146.35647583007812,43.44441604614258,121.25128173828125,217.28517150878906,127.04627227783203,120.19438934326172,45.85198974609375
2021-01-21,145.7706298828125,43.68537902832031,121.57178497314453,217.89532470703125,125.5000991821289,120.076171875,45.64401626586914
2021-01-22,147.41102600097656,43.27484893798828,120.41075897216797,218.84454345703125,124.58317565917969,119.15047454833984,46.110389709472656
2021-01-25,149.60121154785156,43.53365707397461,121.37235260009766,222.31192016601562,126.01245880126953,121.20352172851562,46.06941604614258
2021-01-26,153.6571807861328,43.988807678222656,125.3328857421875,225.02392578125,127.46873474121094,121.98255920410156,46.48221206665039
2021-01-27,151.31375122070312,43.310543060302734,132.95472717285156,225.57598876953125,124.08871459960938,117.66566467285156,45.32575607299805
2021-01-28,152.46743774414062,43.863868713378906,130.65390014648438,231.4163360595703,125.12254333496094,119.48042297363281,45.297393798828125
2021-01-29,147.03248596191406,42.9714241027832,125.12633514404297,224.66552734375,122.76730346679688,117.5098648071289,44.27012634277344
2021-02-01,146.65390014648438,43.26592254638672,124.44249725341797,232.1137237548828,123.1358642578125,118.2064208984375,43.88568878173828
2021-02-02,145.33798217773438,43.69429397583008,124.67045593261719,231.97811889648438,124.39442443847656,118.04145050048828,44.35835647583008
2021-02-03,144.6619873046875,43.52473831176758,124.99809265136719,235.35838317871094,124.07080078125,118.1880874633789,44.49386215209961
2021-02-04,146.00498962402344,43.738929748535156,126.15203094482422,234.39947509765625,125.56301879882812,118.26141357421875,44.91295623779297
2021-02-05,148.22218322753906,44.310089111328125,127.5125732421875,234.58348083496094,126.71363067626953,118.75635528564453,45.489620208740234
2021-02-08,148.64585876464844,44.551055908203125,128.7591552734375,234.84503173828125,126.210205078125,118.38972473144531,45.70074462890625
2021-02-09,149.86260986328125,44.354713439941406,128.88735961914062,236.10415649414062,125.49107360839844,117.93147277832031,45.95282745361328
2021-02-10,150.34933471679688,44.265464782714844,128.98707580566406,235.1840057373047,123.78311157226562,117.51901245117188,45.41713333129883
2021-02-11,149.67332458496094,44.89017868041992,127.27061462402344,236.80148315429688,121.32902526855469,117.61982727050781,45.38247299194336
2021-02-12,150.14202880859375,45.23823547363281,128.34072875976562,237.28579711914062,120.34020233154297,116.96910095214844,45.524269104003906
2021-02-16,148.781005859375,44.8634147644043,126.85408020019531,236.0363311767578,120.79866027832031,117.2440414428711,45.89925765991211
2021-02-17,149.31283569335938,44.73846435546875,126.86844635009766,237.0653533935547,120.87057495117188,117.73900604248047,46.3845329284668
2021-02-18,149.38491821289062,45.309635162353516,128.8218994140625,236.6673583984375,121.6886215209961,118.71968841552734,43.378353118896484
2021-02-19,146.8972930908203,44.72062301635742,126.78941345214844,233.92971801757812,119.11764526367188,116.51083374023438,43.59263610839844
2021-02-22,146.80657958984375,45.1846923828125,126.48780822753906,227.65847778320312,118.65019989013672,116.0158920288086,43.38780975341797
2021-02-23,145.50965881347656,45.104373931884766,126.52371215820312,226.45468139648438,119.3603744506836,116.87743377685547,42.688262939453125
2021-02-24,147.4595947265625,45.25609588623047,127.57222747802734,227.69732666015625,118.74008178710938,117.00575256347656,41.97610855102539
2021-02-25,147.61373901367188,44.77416229248047,128.38380432128906,222.29974365234375,116.86133575439453,116.0158920288086,41.57906723022461
2021-02-26,143.71392822265625,43.72107696533203,125.72650146484375,225.59071350097656,116.13318634033203,113.22044372558594,40.939388275146484
2021-03-01,144.493896484375,44.533206939697266,126.69607543945312,230.01747131347656,117.41866302490234,113.91702270507812,41.396305084228516
2021-03-02,144.22181701660156,44.71169662475586,127.19879150390625,227.03717041015625,117.82321166992188,113.5595703125,40.9992561340332
2021-03-03,141.68234252929688,44.6046028137207,127.8810806274414,220.91151428222656,116.08824157714844,112.8813247680664,40.205177307128906
2021-03-04,138.8254852294922,44.56890106201172,127.57222747802734,220.1057891845703,116.73431396484375,111.95560455322266,40.18626403808594
2021-03-05,141.5735321044922,45.327484130859375,129.84890747070312,224.83349609375,120.53997039794922,115.46597290039062,40.68730545043945
2021-03-08,142.75254821777344,46.08606719970703,131.98196411132812,220.74649047851562,119.7244644165039,116.6849594116211,40.29656219482422
