Date,AAPL,CAT,KO,MSFT,PEP,PG,V
2022-01-03,179.27362060546875,195.76092529296875,54.590667724609375,326.9408264160156,160.0406036376953,152.142333984375,216.7935791015625
2022-01-04,176.9983367919922,206.2393341064453,55.50204086303711,321.3346862792969,160.2718963623047,152.6746826171875,217.802001953125
2022-01-05,172.2902069091797,207.8186798095703,55.96233367919922,308.99945068359375,160.81776428222656,153.36582946777344,215.3935089111328
2022-01-06,169.4141082763672,209.93704223632812,55.66773986816406,306.5577087402344,160.8547821044922,152.0769805908203,215.14869689941406
2022-01-07,169.58155822753906,212.017578125,55.53886795043945,306.71392822265625,161.05831909179688,151.99288940429688,212.4171905517578
2022-01-10,169.60128784179688,209.6060791015625,55.630924224853516,306.9385986328125,161.1415557861328,149.91952514648438,207.5316619873047
2022-01-11,172.4477996826172,208.00779724121094,55.64932632446289,307.6320495605469,161.0675811767578,148.18234252929688,209.89120483398438
2022-01-12,172.89100646972656,210.32476806640625,55.7321891784668,310.8453369140625,160.89178466796875,148.50921630859375,211.1933135986328
2022-01-13,169.60128784179688,214.6750030517578,56.063602447509766,297.68951416015625,161.1508331298828,147.8367919921875,210.49819946289062
2022-01-14,170.46804809570312,216.50967407226562,56.51468276977539,302.9635925292969,162.50161743164062,149.25640869140625,210.17514038085938
2022-01-18,167.24717712402344,217.38917541503906,56.063602447509766,295.5896301269531,160.94729614257812,146.37977600097656,211.1933135986328
2022-01-19,163.7308349609375,210.64210510253906,56.15565872192383,296.2537841796875,162.10379028320312,151.30177307128906,210.18487548828125
2022-01-20,162.03671264648438,205.8621368408203,55.92551040649414,294.564208984375,160.9287872314453,152.11871337890625,209.86181640625
2022-01-21,159.9683380126953,203.44837951660156,55.64932632446289,289.12408447265625,161.18783569335938,152.7008819580078,201.6181182861328
2022-01-24,159.1901397705078,203.6764373779297,55.19824981689453,289.4561767578125,160.3644256591797,151.46141052246094,197.62353515625
2022-01-25,157.37782287597656,203.65745544433594,55.06937026977539,281.7599792480469,158.52330017089844,149.80874633789062,197.77037048339844
2022-01-26,157.28916931152344,203.638427734375,54.8668327331543,289.7882385253906,156.84864807128906,148.5035400390625,201.55935668945312
2022-01-27,156.8262481689453,201.6238250732422,54.91286849975586,292.84521484375,156.70065307617188,149.4237518310547,201.83348083496094
2022-01-28,167.7692108154297,191.1610870361328,56.00835418701172,301.0687561035156,159.75381469726562,150.710205078125,223.2259979248047
2022-01-31,172.15232849121094,191.5412139892578,56.164859771728516,303.7253723144531,160.54022216796875,150.66323852539062,221.43431091308594
2022-02-01,171.98486328125,195.14280700683594,55.7505989074707,301.55712890625,159.44847106933594,149.99656677246094,227.4947052001953
2022-02-02,173.19635009765625,194.75320434570312,56.32136154174805,306.14752197265625,162.34434509277344,152.68209838867188,230.49063110351562
2022-02-03,170.30056762695312,190.619384765625,56.71721649169922,294.2222900390625,162.25181579589844,154.128173828125,226.6918487548828
2022-02-04,170.01458740234375,188.5477752685547,56.118831634521484,298.8029479980469,159.58724975585938,151.67738342285156,223.60781860351562
2022-02-07,169.29464721679688,189.88766479492188,56.70800018310547,293.92938232421875,158.95811462402344,150.54119873046875,222.40357971191406
2022-02-08,172.42095947265625,191.48419189453125,57.076236724853516,297.45513916015625,159.1523895263672,150.203125,223.16726684570312
2022-02-09,173.85096740722656,193.4797821044922,56.19247817993164,303.949951171875,159.07839965820312,149.8651123046875,226.035888671875
2022-02-10,169.748291015625,192.9761505126953,56.50547790527344,295.3259582519531,155.7754364013672,147.5832977294922,221.22579956054688
2022-02-11,166.31625366210938,191.23712158203125,55.50204086303711,288.1571960449219,155.9697265625,146.75697326660156,220.3432159423828
2022-02-14,166.55294799804688,189.95420837402344,55.8610725402832,288.11810302734375,154.23033142089844,147.1795196533203,220.9806365966797
2022-02-15,170.40907287597656,193.29925537109375,56.07280349731445,293.4605407714844,153.5457305908203,147.25466918945312,223.41265869140625
2022-02-16,170.17237854003906,193.51780700683594,56.063602447509766,293.11798095703125,153.86029052734375,148.37208557128906,224.39332580566406
2022-02-17,166.55294799804688,185.06021118164062,57.186702728271484,284.5348205566406,154.27662658691406,150.07167053222656,220.26473999023438
2022-02-18,164.99468994140625,182.40887451171875,57.573360443115234,281.79449462890625,155.16477966308594,150.14678955078125,218.38189697265625
2022-02-22,162.05577087402344,181.70565795898438,57.33400344848633,281.5889587402344,155.75694274902344,148.2969512939453,217.0384063720703
2022-02-23,157.86436462402344,177.39132690429688,56.69879913330078,274.2977294921875,154.22109985351562,146.4471435546875,211.77230834960938
2022-02-24,160.49754333496094,175.50973510742188,55.704566955566406,288.31256103515625,151.53802490234375,142.50328063964844,213.09617614746094
2022-02-25,162.5784912109375,177.76193237304688,57.85873031616211,290.97467041015625,155.78469848632812,148.5880584716797,215.02804565429688
2022-02-28,162.8447723388672,178.256103515625,57.29718017578125,292.42315673828125,151.4917755126953,146.3813934326172,211.9390106201172
2022-03-01,160.9512176513672,173.74220275878906,57.04862976074219,288.6649169921875,150.13172912597656,143.95875549316406,204.92730712890625
2022-03-02,164.26490783691406,183.0360870361328,57.47209167480469,293.7933044433594,152.2134246826172,144.4094696044922,204.44679260253906
2022-03-03,163.93946838378906,185.1647491455078,57.508914947509766,289.6142272949219,152.05044555664062,144.94471740722656,203.22097778320312
2022-03-04,160.921630859375,185.93447875976562,57.60097122192383,283.68341064453125,154.36001586914062,145.67713928222656,196.41522216796875
2022-03-07,157.10496520996094,186.92276000976562,56.229305267333984,272.96673583984375,151.28680419921875,143.5174102783203,187.0107421875
