Date,BA,GOOGL,KO,MSFT,UPS,V,WMT
2021-01-04,202.72000122070312,86.09332275390625,47.08560562133789,210.8442840576172,144.1606903076172,211.8987579345703,46.173404693603516
2021-01-05,211.6300048828125,86.78760528564453,46.5679931640625,211.0476837158203,142.154052734375,208.73623657226562,45.92761993408203
2021-01-06,211.02999877929688,85.93121337890625,45.086524963378906,205.57534790039062,141.73159790039062,206.89712524414062,46.2143669128418
2021-01-07,212.7100067138672,88.49786376953125,44.58675003051758,211.4254150390625,139.93617248535156,208.05508422851562,46.21121597290039
2021-01-08,209.89999389648438,89.66946411132812,45.58629608154297,212.7135772705078,139.3993377685547,209.65093994140625,46.20491409301758
2021-01-11,206.7899932861328,87.59759521484375,44.80093765258789,210.6505584716797,142.45330810546875,207.1598663330078,46.412899017333984
2021-01-12,208.41000366210938,86.65692138671875,44.72062301635742,208.17103576660156,144.2575225830078,203.23834228515625,46.94227600097656
2021-01-13,207.2100067138672,87.14671325683594,44.76524353027344,209.5367431640625,143.5534210205078,203.71511840820312,46.46331024169922
2021-01-14,209.91000366210938,86.33222198486328,43.935264587402344,206.3211212158203,143.87025451660156,196.42672729492188,46.312068939208984
2021-01-15,204.32000732421875,86.16763305664062,43.46226501464844,205.96278381347656,139.8481903076172,196.1640167236328,45.577850341796875
2021-01-19,210.7100067138672,89.00311279296875,43.29269790649414,209.63363647460938,137.5423126220703,196.23211669921875,45.1839485168457
2021-01-20,211.4499969482422,93.77130889892578,43.44441604614258,217.28517150878906,140.6754913330078,200.4650115966797,45.85198974609375
2021-01-21,207.41000366210938,93.97480010986328,43.68537902832031,217.89532470703125,140.90431213378906,199.61843872070312,45.64401626586914
2021-01-22,205.83999633789062,94.3942642211914,43.27484893798828,218.84454345703125,139.92739868164062,196.58242797851562,46.110389709472656
2021-01-25,203.36000061035156,94.48004913330078,43.53365707397461,222.31192016601562,142.35647583007812,195.5704345703125,46.06941604614258
2021-01-26,202.05999755859375,95.161865234375,43.988807678222656,225.02392578125,142.07485961914062,196.5726776123047,46.48221206665039
2021-01-27,194.02999877929688,90.72235870361328,43.310543060302734,225.57598876953125,138.74803161621094,189.72218322753906,45.32575607299805
2021-01-28,197.22999572753906,92.4311294555664,43.863868713378906,231.4163360595703,138.41363525390625,192.8847198486328,45.297393798828125
2021-01-29,194.19000244140625,91.1423110961914,42.9714241027832,224.66552734375,136.4158172607422,188.0485076904297,44.27012634277344
2021-02-01,195.83999633789062,94.4197006225586,43.26592254638672,232.1137237548828,137.5247039794922,193.02093505859375,43.88568878173828
2021-02-02,200.94000244140625,95.71898651123047,43.69429397583008,231.97811889648438,141.07151794433594,197.15652465820312,44.35835647583008
2021-02-03,207.38999938964844,102.6897201538086,43.52473831176758,235.35838317871094,140.56109619140625,195.94020080566406,44.49386215209961
2021-02-04,210.63999938964844,102.4278793334961,43.738929748535156,234.39947509765625,142.80531311035156,203.61785888671875,44.91295623779297
2021-02-05,207.92999267578125,104.18352508544922,44.310089111328125,234.58348083496094,144.671142578125,203.1507568359375,45.489620208740234
2021-02-08,211.9499969482422,103.96855163574219,44.551055908203125,234.84503173828125,143.85267639160156,201.3213348388672,45.70074462890625
2021-02-09,215.1199951171875,103.51318359375,44.354713439941406,236.10415649414062,146.90658569335938,200.96131896972656,45.95282745361328
2021-02-10,211.9199981689453,104.0663070678711,44.265464782714844,235.1840057373047,145.79769897460938,200.88348388671875,45.41713333129883
2021-02-11,210.66000366210938,104.17953491210938,44.89017868041992,236.80148315429688,142.90213012695312,205.3081512451172,45.38247299194336
2021-02-12,210.97999572753906,104.49275970458984,45.23823547363281,237.28579711914062,143.79981994628906,204.62591552734375,45.524269104003906
2021-02-16,217.17999267578125,105.27433013916016,44.8634147644043,236.0363311767578,142.35647583007812,202.61822509765625,45.89925765991211
2021-02-17,215.52000427246094,105.66934204101562,44.73846435546875,237.0653533935547,141.69642639160156,202.23814392089844,46.3845329284668
2021-02-18,208.47999572753906,105.03042602539062,45.309635162353516,236.6673583984375,142.68212890625,204.0314178466797,43.378353118896484
2021-02-19,217.47000122070312,104.18252563476562,44.72062301635742,233.92971801757812,142.1861114501953,199.5287628173828,43.59263610839844
2021-02-22,212.8800048828125,102.45928955078125,45.1846923828125,227.65847778320312,143.1249542236328,203.02757263183594,43.38780975341797
2021-02-23,212.1199951171875,102.7515640258789,45.104373931884766,226.45468139648438,142.42527770996094,206.72129821777344,42.688262939453125
2021-02-24,229.33999633789062,103.93314361572266,45.25609588623047,227.69732666015625,141.76988220214844,213.85531616210938,41.97610855102539
2021-02-25,216.4499969482422,100.54852294921875,44.77416229248047,222.29974365234375,139.5025634765625,208.3196258544922,41.57906723022461
2021-02-26,212.00999450683594,100.84578704833984,43.72107696533203,225.59071350097656,139.78594970703125,206.994140625,40.939388275146484
2021-03-01,224.38999938964844,103.22738647460938,44.533206939697266,230.01747131347656,143.0098114013672,211.12648010253906,41.396305084228516
2021-03-02,223.13999938964844,102.96902465820312,44.71169662475586,227.03717041015625,142.9212188720703,210.28831481933594,40.9992561340332
2021-03-03,228.55999755859375,100.32209014892578,44.6046028137207,220.91151428222656,142.0886993408203,209.3916778564453,40.205177307128906
2021-03-04,224.7100067138672,101.4453125,44.56890106201172,220.1057891845703,141.22076416015625,206.1267852783203,40.18626403808594
2021-03-05,223.22000122070312,104.5945053100586,45.327484130859375,224.83349609375,145.60484313964844,209.93743896484375,40.68730545043945
2021-03-08,224.02999877929688,100.12706756591797,46.08606719970703,220.74649047851562,142.4783935546875,214.6739959716797,40.29656219482422
