Date,AAPL,AMZN,CAT,GOOGL,MSFT,TSLA,UPS
2020-01-02,72.87611389160156,94.90049743652344,135.36611938476562,68.26496124267578,153.9381866455078,28.68400001525879,99.47799682617188
2020-01-03,72.1676254272461,93.74849700927734,133.4866485595703,67.90784454345703,152.0214080810547,29.534000396728516,99.41838836669922
2020-01-06,72.74263763427734,95.14399719238281,133.39669799804688,69.71786499023438,152.41433715820312,30.1026668548584,98.97545623779297
2020-01-07,72.40054321289062,95.34300231933594,131.63414001464844,69.58320617675781,151.02467346191406,31.270666122436523,98.80512237548828
2020-01-08,73.56517791748047,94.59850311279297,132.80320739746094,70.07847595214844,153.4302520751953,32.80933380126953,99.3672866821289
2020-01-09,75.12777709960938,95.05249786376953,132.47044372558594,70.81415557861328,155.3470916748047,32.089332580566406,99.59725189208984
2020-01-10,75.2976303100586,94.15799713134766,131.4093475341797,71.27151489257812,154.62826538085938,31.876667022705078,98.69438934326172
2020-01-13,76.90631103515625,94.56500244140625,132.02987670898438,71.82365417480469,156.48757934570312,34.990665435791016,99.44393920898438
2020-01-14,75.86782836914062,93.47200012207031,131.9039306640625,71.35282135009766,155.38540649414062,35.861331939697266,99.88684844970703
2020-01-15,75.54269409179688,93.10099792480469,130.90579223632812,71.7822494506836,156.3917236328125,34.56666564941406,100.44900512695312
2020-01-16,76.4889907836914,93.89700317382812,132.97402954101562,72.32890319824219,159.25735473632812,34.232666015625,101.02823638916016
2020-01-17,77.33577728271484,93.23600006103516,133.8252716064453,73.79327392578125,160.14866638183594,34.03333282470703,101.01970672607422
2020-01-21,76.81169891357422,94.5999984741211,132.07757568359375,73.929443359375,159.5736083984375,36.47999954223633,99.98906707763672
2020-01-22,77.08586883544922,94.37300109863281,129.16159057617188,74.01023864746094,158.806884765625,37.97066879272461,99.87834167480469
2020-01-23,77.45710754394531,94.22899627685547,129.2702178955078,74.05113983154297,159.78445434570312,38.14666748046875,99.59725189208984
2020-01-24,77.23387145996094,93.08200073242188,127.12408447265625,73.12742614746094,158.17433166503906,37.654666900634766,99.3672866821289
2020-01-27,74.9627914428711,91.41699981689453,122.91314697265625,71.40968322753906,155.5291290283203,37.201332092285156,97.88519287109375
2020-01-28,77.08344268798828,92.6624984741211,123.8277816772461,72.34586334228516,158.5768585205078,37.793331146240234,98.26848602294922
2020-01-29,78.69696807861328,92.9000015258789,122.95842742919922,72.65509033203125,161.04953002929688,38.732666015625,98.60069274902344
2020-01-30,78.58291625976562,93.53399658203125,122.58716583251953,72.53289794921875,165.5923614501953,42.72066879272461,91.990966796875
2020-01-31,75.09866333007812,100.43599700927734,118.9467544555664,71.46205139160156,163.14845275878906,43.371334075927734,88.17504119873047
2020-02-03,74.8924331665039,100.20999908447266,117.5159683227539,73.94689178466797,167.1257781982422,52.0,86.9059066772461
2020-02-04,77.36489868164062,102.4834976196289,120.90277862548828,72.09198760986328,172.6269989013672,59.137332916259766,88.05579376220703
2020-02-05,77.99576568603516,101.99349975585938,124.46167755126953,72.12390899658203,172.41612243652344,48.97999954223633,90.32148742675781
2020-02-06,78.90807342529297,102.5114974975586,124.28965759277344,73.6162109375,175.990966796875,49.930667877197266,90.7218246459961
2020-02-07,77.83548736572266,103.96399688720703,120.77599334716797,73.7728271484375,176.2401580810547,49.871334075927734,87.8343505859375
2020-02-10,78.20518493652344,106.69550323486328,121.63629913330078,75.2466812133789,180.85009765625,51.41866683959961,87.79175567626953
2020-02-11,77.73334503173828,107.54000091552734,123.32975006103516,75.3165054321289,176.76731872558594,51.62533187866211,89.32493591308594
2020-02-12,79.57935333251953,108.0,126.40869140625,75.74394989013672,177.0260467529297,51.15266799926758,89.8956069946289
2020-02-13,79.01265716552734,107.49349975585938,126.52638244628906,75.48259735107422,176.06768798828125,53.599998474121094,89.64008331298828
2020-02-14,79.0321044921875,106.74349975585938,124.95976257324219,75.74893188476562,177.6394500732422,53.33533477783203,90.24484252929688
2020-02-18,77.58499145507812,107.78350067138672,123.68289184570312,75.78434753417969,179.44125366210938,57.22666549682617,90.64517211914062
2020-02-19,78.7086181640625,108.51100158691406,123.93643951416016,76.05517578125,179.97938537597656,61.16133117675781,90.93478393554688
2020-02-20,77.90116882324219,107.65499877929688,123.99984741210938,75.66214752197266,177.2309112548828,59.96066665649414,90.6962661743164
2020-02-21,76.13787078857422,104.79850006103516,124.25340270996094,73.98978424072266,171.62815856933594,60.06666564941406,87.68102264404297
2020-02-24,72.52129364013672,100.4645004272461,119.68931579589844,70.81764221191406,164.22830200195312,55.58599853515625,84.72189331054688
2020-02-25,70.06483459472656,98.63700103759766,116.81865692138672,69.14479064941406,161.518310546875,53.32733154296875,80.77355194091797
2020-02-26,71.17632293701172,98.97949981689453,116.13947296142578,69.35177612304688,163.53643798828125,51.91999816894531,80.6273193359375
2020-02-27,66.52364349365234,94.21499633789062,111.6297378540039,65.58509826660156,152.01377868652344,45.266666412353516,77.62517547607422
2020-02-28,66.48474884033203,94.1875,112.5081558227539,66.7970962524414,155.69447326660156,44.53266525268555,77.84022521972656
2020-03-02,72.67451477050781,97.69750213623047,115.55086517333984,69.14479064941406,166.0542755126953,49.574668884277344,79.78431701660156
2020-03-03,70.36641693115234,95.44950103759766,112.63492584228516,66.72079467773438,158.0970458984375,49.70066833496094,78.53701782226562
2020-03-04,73.63032531738281,98.79149627685547,115.36973571777344,68.90937042236328,163.90155029296875,49.96666717529297,82.4251480102539
2020-03-05,71.24199676513672,96.20149993896484,110.4524917602539,65.57562255859375,159.78842163085938,48.30266571044922,79.99076080322266
