Date,JPM,KO,PEP,PG,UPS,V,WMT
2022-01-03,149.57611083984375,54.590667724609375,160.0406036376953,152.142333984375,191.9448699951172,216.7935791015625,46.30584716796875
2022-01-04,155.2465057373047,55.50204086303711,160.2718963623047,152.6746826171875,195.35223388671875,217.802001953125,45.45751953125
2022-01-05,152.40826416015625,55.96233367919922,160.81776428222656,153.36582946777344,192.8978729248047,215.3935089111328,46.0721549987793
2022-01-06,154.0274658203125,55.66773986816406,160.8547821044922,152.0769805908203,194.7678680419922,215.14869689941406,45.94410705566406
2022-01-07,155.55360412597656,55.53886795043945,161.05831909179688,151.99288940429688,196.13442993164062,212.4171905517578,46.38267517089844
2022-01-10,155.70248413085938,55.630924224853516,161.1415557861328,149.91952514648438,190.35357666015625,207.5316619873047,46.29304504394531
2022-01-11,155.86070251464844,55.64932632446289,161.0675811767578,148.18234252929688,189.94000244140625,209.89120483398438,46.16179275512695
2022-01-12,156.74473571777344,55.7321891784668,160.89178466796875,148.50921630859375,189.89508056640625,211.1933135986328,45.91849899291992
2022-01-13,156.54928588867188,56.063602447509766,161.1508331298828,147.8367919921875,189.22084045410156,210.49819946289062,46.5683479309082
2022-01-14,146.92724609375,56.51468276977539,162.50161743164062,149.25640869140625,185.68756103515625,210.17514038085938,46.437095642089844
2022-01-18,140.7668914794922,56.063602447509766,160.94729614257812,146.37977600097656,184.83348083496094,211.1933135986328,45.623985290527344
2022-01-19,138.58934020996094,56.15565872192383,162.10379028320312,151.30177307128906,183.18824768066406,210.18487548828125,46.07855224609375
2022-01-20,137.40753173828125,55.92551040649414,160.9287872314453,152.11871337890625,181.86663818359375,209.86181640625,45.20782470703125
2022-01-21,135.00668334960938,55.64932632446289,161.18783569335938,152.7008819580078,181.5609893798828,201.6181182861328,44.87810134887695
2022-01-24,134.88571166992188,55.19824981689453,160.3644256591797,151.46141052246094,183.52088928222656,197.62353515625,44.88129425048828
2022-01-25,136.35598754882812,55.06937026977539,158.52330017089844,149.80874633789062,181.55197143554688,197.77037048339844,43.904930114746094
2022-01-26,137.64947509765625,54.8668327331543,156.84864807128906,148.5035400390625,178.90882873535156,201.55935668945312,43.45675277709961
2022-01-27,135.22068786621094,54.91286849975586,156.70065307617188,149.4237518310547,175.15982055664062,201.83348083496094,43.48556137084961
2022-01-28,136.43045043945312,56.00835418701172,159.75381469726562,150.710205078125,178.2345428466797,223.2259979248047,44.02336883544922
2022-01-31,138.28228759765625,56.164859771728516,160.54022216796875,150.66323852539062,181.79473876953125,221.43431091308594,44.75645446777344
2022-02-01,140.6551971435547,55.7505989074707,159.44847106933594,149.99656677246094,207.39938354492188,227.4947052001953,45.108585357666016
2022-02-02,139.5292205810547,56.32136154174805,162.34434509277344,152.68209838867188,208.67601013183594,230.49063110351562,45.08937454223633
2022-02-03,138.37533569335938,56.71721649169922,162.25181579589844,154.128173828125,205.601318359375,226.6918487548828,45.13420104980469
2022-02-04,141.9673309326172,56.118831634521484,159.58724975585938,151.67738342285156,202.0950469970703,223.60781860351562,44.60279083251953
2022-02-07,142.44192504882812,56.70800018310547,158.95811462402344,150.54119873046875,202.33778381347656,222.40357971191406,44.164222717285156
2022-02-08,145.12196350097656,57.076236724853516,159.1523895263672,150.203125,202.463623046875,223.16726684570312,44.173828125
2022-02-09,145.72682189941406,56.19247817993164,159.07839965820312,149.8651123046875,202.34678649902344,226.035888671875,44.07779312133789
2022-02-10,145.12196350097656,56.50547790527344,155.7754364013672,147.5832977294922,198.3999786376953,221.22579956054688,43.5623893737793
2022-02-11,143.23291015625,55.50204086303711,155.9697265625,146.75697326660156,191.93589782714844,220.3432159423828,43.32229995727539
2022-02-14,141.90219116210938,55.8610725402832,154.23033142089844,147.1795196533203,192.3854217529297,220.9806365966797,42.88052749633789
2022-02-15,143.9773406982422,56.07280349731445,153.5457305908203,147.25466918945312,195.3252716064453,223.41265869140625,43.01498031616211
2022-02-16,144.23789978027344,56.063602447509766,153.86029052734375,148.37208557128906,193.57215881347656,224.39332580566406,42.74607467651367
2022-02-17,140.91575622558594,57.186702728271484,154.27662658691406,150.07167053222656,189.43658447265625,220.26473999023438,44.458736419677734
2022-02-18,141.5764923095703,57.573360443115234,155.16477966308594,150.14678955078125,189.5904998779297,218.38189697265625,44.173828125
2022-02-22,141.32521057128906,57.33400344848633,155.75694274902344,148.2969512939453,189.23731994628906,217.0384063720703,43.68083953857422
2022-02-23,138.3660430908203,56.69879913330078,154.22109985351562,146.4471435546875,185.1713409423828,211.77230834960938,43.232666015625
2022-02-24,134.5134735107422,55.704566955566406,151.53802490234375,142.50328063964844,187.62542724609375,213.09617614746094,43.06619644165039
2022-02-25,137.69602966308594,57.85873031616211,155.78469848632812,148.5880584716797,190.1248016357422,215.02804565429688,43.658424377441406
2022-02-28,131.9544219970703,57.29718017578125,151.4917755126953,146.3813934326172,190.5504150390625,211.9390106201172,43.267879486083984
2022-03-01,126.97586822509766,57.04862976074219,150.13172912597656,143.95875549316406,186.16748046875,204.92730712890625,43.53357696533203
2022-03-02,129.60939025878906,57.47209167480469,152.2134246826172,144.4094696044922,191.49221801757812,204.44679260253906,43.58799362182617
2022-03-03,128.6881103515625,57.508914947509766,152.05044555664062,144.94471740722656,192.37060546875,203.22097778320312,44.589988708496094
2022-03-04,125.06820678710938,57.60097122192383,154.36001586914062,145.67713928222656,190.52325439453125,196.41522216796875,45.72002029418945
2022-03-07,120.23857879638672,56.229305267333984,151.28680419921875,143.5174102783203,182.18296813964844,187.0107421875,45.35187530517578
