Date,BAC,CVX,GOOGL,MSFT,SLB,TSLA,XOM
2021-01-04,27.381519317626953,72.39885711669922,86.09332275390625,210.8442840576172,20.4704647064209,243.2566680908203,35.45216369628906
2021-01-05,27.59123420715332,74.35603332519531,86.78760528564453,211.0476837158203,21.5709228515625,245.0366668701172,37.160701751708984
2021-01-06,29.314550399780273,76.74910736083984,85.93121337890625,205.57534790039062,22.764646530151367,251.9933319091797,38.10894012451172
2021-01-07,29.961931228637695,77.10807800292969,88.49786376953125,211.4254150390625,23.202966690063477,272.0133361816406,38.40793228149414
2021-01-08,29.661029815673828,77.84308624267578,89.66946411132812,212.7135772705078,23.165664672851562,293.3399963378906,38.83506774902344
2021-01-11,30.153404235839844,78.28750610351562,87.59759521484375,210.6505584716797,23.30554962158203,270.39666748046875,40.01396179199219
2021-01-12,30.691368103027344,79.77464294433594,86.65692138671875,208.17103576660156,24.378036499023438,283.14666748046875,40.902400970458984
2021-01-13,30.509008407592773,79.69771575927734,87.14671325683594,209.5367431640625,23.743873596191406,284.8033447265625,41.36369705200195
2021-01-14,30.992263793945312,81.61217498779297,86.33222198486328,206.3211212158203,24.210168838500977,281.6666564941406,42.978267669677734
2021-01-15,30.098691940307617,78.70629119873047,86.16763305664062,205.96278381347656,23.230945587158203,275.38665771484375,40.91093444824219
2021-01-19,29.879863739013672,80.77460479736328,89.00311279296875,209.63363647460938,23.706567764282227,281.51666259765625,41.722503662109375
2021-01-20,29.48778533935547,81.51815795898438,93.77130889892578,217.28517150878906,23.641286849975586,283.48333740234375,42.31193923950195
2021-01-21,28.968061447143555,78.63793182373047,93.97480010986328,217.89532470703125,22.55947494506836,281.663330078125,41.098876953125
2021-01-22,28.7674560546875,78.39863586425781,94.3942642211914,218.84454345703125,22.764646530151367,282.21331787109375,40.51797103881836
2021-01-25,28.411855697631836,77.68923950195312,94.48004913330078,222.31192016601562,22.139812469482422,293.6000061035156,40.065216064453125
2021-01-26,28.211259841918945,76.37306213378906,95.161865234375,225.02392578125,21.207216262817383,294.36334228515625,39.1853141784668
2021-01-27,27.19915199279785,75.38163757324219,90.72235870361328,225.57598876953125,20.33989906311035,288.0533447265625,38.74109649658203
2021-01-28,27.64594078063965,76.08247375488281,92.4311294555664,231.4163360595703,21.113948822021484,278.4766540527344,39.34762954711914
2021-01-29,27.035032272338867,72.81764221191406,91.1423110961914,224.66552734375,20.712936401367188,264.510009765625,38.305423736572266
2021-02-01,27.317689895629883,73.85179138183594,94.4197006225586,232.1137237548828,20.666309356689453,279.9366760253906,38.37376403808594
2021-02-02,28.29332160949707,74.4073257446289,95.71898651123047,231.97811889648438,20.992713928222656,290.92999267578125,38.980289459228516
2021-02-03,28.794815063476562,76.03117370605469,102.6897201538086,235.35838317871094,22.550148010253906,284.89666748046875,40.50942611694336
2021-02-04,29.633670806884766,76.06538391113281,102.4278793334961,234.39947509765625,23.13768768310547,283.3299865722656,41.28681182861328
2021-02-05,29.515140533447266,76.28759002685547,104.18352508544922,234.58348083496094,23.324203491210938,284.07666015625,42.67073059082031
2021-02-08,30.171640396118164,78.18494415283203,103.96855163574219,234.84503173828125,24.238147735595703,287.8066711425781,44.50740051269531
2021-02-09,30.043989181518555,77.74053192138672,103.51318359375,236.10415649414062,24.247474670410156,283.1533203125,43.98615264892578
2021-02-10,30.07134246826172,79.07382202148438,104.0663070678711,235.1840057373047,24.825681686401367,268.2733459472656,44.41184616088867
2021-02-11,29.980167388916016,78.6464614868164,104.17953491210938,236.80148315429688,24.592529296875,270.5533447265625,43.299808502197266
2021-02-12,30.42694664001465,79.09943389892578,104.49275970458984,237.28579711914062,24.965572357177734,272.0400085449219,43.89057922363281
2021-02-16,31.24756622314453,80.72026062011719,105.27433013916016,236.0363311767578,25.12017250061035,265.40667724609375,45.21112060546875
2021-02-17,31.375221252441406,83.13848114013672,105.66934204101562,237.0653533935547,25.1763916015625,266.04998779296875,45.914833068847656
2021-02-18,31.17462158203125,82.3410873413086,105.03042602539062,236.6673583984375,23.967695236206055,262.4599914550781,45.193748474121094
2021-02-19,31.493759155273438,83.03448486328125,104.18252563476562,233.92971801757812,24.473661422729492,260.4333190917969,45.49782180786133
2021-02-22,32.04996109008789,85.27936553955078,102.45928955078125,227.65847778320312,25.804162979125977,238.1666717529297,47.17455291748047
2021-02-23,32.3873291015625,86.3541259765625,102.7515640258789,226.45468139648438,25.99155044555664,232.94667053222656,47.826141357421875
2021-02-24,33.17148208618164,89.54374694824219,103.93314361572266,227.69732666015625,27.55629539489746,247.33999633789062,49.25962448120117
2021-02-25,32.761173248291016,88.7116928100586,100.54852294921875,222.29974365234375,26.71302032470703,227.4066619873047,48.44297409057617
2021-02-26,31.648765563964844,86.6748275756836,100.84578704833984,225.59071350097656,26.15083885192871,225.1666717529297,47.23537063598633
2021-03-01,32.63351821899414,88.45166015625,103.22738647460938,230.01747131347656,26.909786224365234,239.47666931152344,48.998985290527344
2021-03-02,32.396446228027344,88.78968811035156,102.96902465820312,227.03717041015625,26.366344451904297,228.81333923339844,48.712284088134766
2021-03-03,33.20794677734375,89.78645324707031,100.32209014892578,220.91151428222656,26.581846237182617,217.73333740234375,49.10323715209961
2021-03-04,33.446205139160156,90.5751953125,101.4453125,220.1057891845703,26.778610229492188,207.14666748046875,51.005863189697266
2021-03-05,33.84022521972656,94.47557830810547,104.5945053100586,224.83349609375,27.237722396850586,199.31666564941406,52.934547424316406
2021-03-08,34.023494720458984,95.1256332397461,100.12706756591797,220.74649047851562,27.837387084960938,187.6666717529297,52.88241195678711
