Date,JNJ,KO,LMT,PEP,PG
2022-01-03,158.5090789794922,54.590660095214844,329.6562805175781,160.0406036376953,152.14231872558594
2022-01-04,158.0840301513672,55.50204086303711,336.7544250488281,160.27191162109375,152.67471313476562
2022-01-05,159.13743591308594,55.962337493896484,333.1728515625,160.8177947998047,153.36582946777344
2022-01-06,158.59225463867188,55.667747497558594,333.0425720214844,160.85479736328125,152.0769805908203
2022-01-07,160.7360076904297,55.53886413574219,335.0334167480469,161.0583038330078,151.99290466308594
2022-01-10,159.9413299560547,55.63092041015625,337.9265441894531,161.14158630371094,149.91949462890625
2022-01-11,158.24110412597656,55.64933395385742,338.7545166015625,161.0675506591797,148.182373046875
2022-01-12,156.89202880859375,55.7321891784668,336.11248779296875,160.8917694091797,148.5092315673828
2022-01-13,155.94024658203125,56.0635986328125,339.7220764160156,161.1508026123047,147.8367462158203
2022-01-14,155.0901336669922,56.51468276977539,346.6433410644531,162.50161743164062,149.25637817382812
2022-01-18,154.40635681152344,56.0635986328125,350.2900695800781,160.9473114013672,146.37979125976562
2022-01-19,153.9258575439453,56.15565490722656,351.0250244140625,162.10379028320312,151.30178833007812
2022-01-20,152.6968994140625,55.925506591796875,348.9783935546875,160.92880249023438,152.11871337890625
2022-01-21,152.3457489013672,55.64933395385742,345.32232666015625,161.18783569335938,152.7008819580078
2022-01-24,150.590087890625,55.19824981689453,347.30377197265625,160.36444091796875,151.46139526367188
2022-01-25,154.89610290527344,55.06936264038086,360.1789855957031,158.52330017089844,149.8087615966797
2022-01-26,155.58912658691406,54.86683654785156,363.9653625488281,156.84866333007812,148.50352478027344
2022-01-27,157.63124084472656,54.91286849975586,361.9559326171875,156.7006378173828,149.4237518310547
2022-01-28,158.74008178710938,56.00836181640625,365.74212646484375,159.75376892089844,150.710205078125
2022-01-31,159.2021026611328,56.164859771728516,362.0023498535156,160.5402069091797,150.6632537841797
2022-02-01,157.89923095703125,55.7505989074707,360.0301513671875,159.448486328125,149.99656677246094
2022-02-02,159.64564514160156,56.32135772705078,360.337158203125,162.34434509277344,152.68211364746094
2022-02-03,159.6363983154297,56.71721267700195,362.5326232910156,162.25180053710938,154.12815856933594
2022-02-04,158.59225463867188,56.11882781982422,362.1884460449219,159.58726501464844,151.67733764648438
2022-02-07,158.0655517578125,56.70800018310547,364.9885559082031,158.95811462402344,150.5411834716797
2022-02-08,158.48133850097656,57.076236724853516,368.43072509765625,159.15240478515625,150.20315551757812
2022-02-09,158.46287536621094,56.19247817993164,367.03521728515625,159.07838439941406,149.86509704589844
2022-02-10,156.55010986328125,56.50547790527344,358.56024169921875,155.77542114257812,147.58331298828125
2022-02-11,154.97006225585938,55.50204086303711,368.5702209472656,155.96975708007812,146.75698852539062
2022-02-14,153.02032470703125,55.86106872558594,359.9929504394531,154.2303466796875,147.1795654296875
2022-02-15,154.60040283203125,56.07279968261719,355.5740966796875,153.54574584960938,147.2546844482422
2022-02-16,154.50799560546875,56.0635986328125,359.9278564453125,153.8603057861328,148.37208557128906
2022-02-17,153.5655059814453,57.18670654296875,361.66748046875,154.27662658691406,150.07167053222656
2022-02-18,151.91943359375,57.573360443115234,359.5185241699219,155.164794921875,150.14678955078125
2022-02-22,149.85491943359375,57.33399963378906,359.27667236328125,155.75694274902344,148.29693603515625
2022-02-23,149.9293212890625,56.69880676269531,361.7884216308594,154.22109985351562,146.44711303710938
2022-02-24,147.06500244140625,55.70456314086914,368.1236572265625,151.5380096435547,142.50328063964844
2022-02-25,154.3745880126953,57.85873031616211,380.9429931640625,155.7847137451172,148.5880584716797
2022-02-28,153.0447235107422,57.29718780517578,406.33673095703125,151.49176025390625,146.38137817382812
2022-03-01,152.51461791992188,57.04861831665039,427.70263671875,150.13174438476562,143.95872497558594
2022-03-02,154.41175842285156,57.47209167480469,421.5110778808594,152.21343994140625,144.40945434570312
2022-03-03,156.68087768554688,57.5089111328125,419.4692077636719,152.05044555664062,144.94471740722656
2022-03-04,157.61085510253906,57.60097122192383,429.1451416015625,154.3600311279297,145.6771240234375
2022-03-07,160.149658203125,56.22930908203125,436.6386413574219,151.28680419921875,143.5174102783203
2022-03-08,156.904052734375,54.001487731933594,420.5650939941406,147.0215301513672,137.83645629882812
2022-03-09,157.49923706054688,54.27766418457031,420.3121032714844,146.58383178710938,139.6956787109375
2022-03-10,157.77825927734375,53.28343200683594,416.2281799316406,143.89242553710938,136.0993194580078
2022-03-11,157.48997497558594,53.320247650146484,411.24505615234375,143.166015625,134.4842071533203
2022-03-14,159.66607666015625,54.30353927612305,416.3125,145.17759704589844,136.2025909423828
2022-03-15,163.80442810058594,55.305381774902344,420.2653503417969,148.07388305664062,141.1042022705078
2022-03-16,162.2978973388672,55.15696334838867,394.66558837890625,148.72576904296875,140.6252899169922
2022-03-17,164.41822814941406,55.741371154785156,401.4565124511719,149.88058471679688,141.0666046142578
2022-03-18,162.59547424316406,55.750640869140625,399.1990966796875,151.60342407226562,140.9915008544922
2022-03-21,163.51612854003906,56.19591522216797,412.1441650390625,151.3892364501953,141.52671813964844
2022-03-22,162.74423217773438,56.399993896484375,412.6968688964844,153.0469207763672,142.61598205566406
2022-03-23,162.13046264648438,56.02893829345703,417.0618591308594,152.24603271484375,141.6206512451172
2022-03-24,162.9674530029297,56.566959381103516,421.25823974609375,153.16796875,141.86477661132812
2022-03-25,164.52981567382812,57.07715606689453,424.9394226074219,153.8850860595703,143.50802612304688
2022-03-28,165.3760528564453,57.43893814086914,416.8089294433594,154.34140014648438,144.4940185546875
