Date,AAPL,CAT,KO,LMT,PEP
2022-01-03,179.2736053466797,195.7609405517578,54.590660095214844,329.6562805175781,160.0406036376953
2022-01-04,176.99835205078125,206.23931884765625,55.50204086303711,336.7544250488281,160.27191162109375
2022-01-05,172.2902069091797,207.81866455078125,55.962337493896484,333.1728515625,160.8177947998047
2022-01-06,169.41412353515625,209.93702697753906,55.667747497558594,333.0425720214844,160.85479736328125
2022-01-07,169.58157348632812,212.017578125,55.53886413574219,335.0334167480469,161.0583038330078
2022-01-10,169.60125732421875,209.6060333251953,55.63092041015625,337.9265441894531,161.14158630371094
2022-01-11,172.44781494140625,208.0078125,55.64933395385742,338.7545166015625,161.0675506591797
2022-01-12,172.89102172851562,210.32479858398438,55.7321891784668,336.11248779296875,160.8917694091797
2022-01-13,169.60125732421875,214.6750030517578,56.0635986328125,339.7220764160156,161.1508026123047
2022-01-14,170.46803283691406,216.5096893310547,56.51468276977539,346.6433410644531,162.50161743164062
2022-01-18,167.2471923828125,217.38919067382812,56.0635986328125,350.2900695800781,160.9473114013672
2022-01-19,163.7308349609375,210.64210510253906,56.15565490722656,351.0250244140625,162.10379028320312
2022-01-20,162.0367431640625,205.86216735839844,55.925506591796875,348.9783935546875,160.92880249023438
2022-01-21,159.96829223632812,203.4483642578125,55.64933395385742,345.32232666015625,161.18783569335938
2022-01-24,159.19020080566406,203.67645263671875,55.19824981689453,347.30377197265625,160.36444091796875
2022-01-25,157.3778076171875,203.65745544433594,55.06936264038086,360.1789855957031,158.52330017089844
2022-01-26,157.28919982910156,203.63844299316406,54.86683654785156,363.9653625488281,156.84866333007812
2022-01-27,156.8262481689453,201.6238250732422,54.91286849975586,361.9559326171875,156.7006378173828
2022-01-28,167.7692108154297,191.1610870361328,56.00836181640625,365.74212646484375,159.75376892089844
2022-01-31,172.15232849121094,191.54119873046875,56.164859771728516,362.0023498535156,160.5402069091797
2022-02-01,171.98487854003906,195.142822265625,55.7505989074707,360.0301513671875,159.448486328125
2022-02-02,173.1963653564453,194.75318908691406,56.32135772705078,360.337158203125,162.34434509277344
2022-02-03,170.30055236816406,190.61941528320312,56.71721267700195,362.5326232910156,162.25180053710938
2022-02-04,170.01454162597656,188.54779052734375,56.11882781982422,362.1884460449219,159.58726501464844
2022-02-07,169.29466247558594,189.8876953125,56.70800018310547,364.9885559082031,158.95811462402344
2022-02-08,172.42095947265625,191.4841766357422,57.076236724853516,368.43072509765625,159.15240478515625
2022-02-09,173.85098266601562,193.4798126220703,56.19247817993164,367.03521728515625,159.07838439941406
2022-02-10,169.74830627441406,192.97613525390625,56.50547790527344,358.56024169921875,155.77542114257812
2022-02-11,166.31625366210938,191.23709106445312,55.50204086303711,368.5702209472656,155.96975708007812
2022-02-14,166.55296325683594,189.9542236328125,55.86106872558594,359.9929504394531,154.2303466796875
2022-02-15,170.40902709960938,193.2992706298828,56.07279968261719,355.5740966796875,153.54574584960938
2022-02-16,170.17234802246094,193.51783752441406,56.0635986328125,359.9278564453125,153.8603057861328
2022-02-17,166.55296325683594,185.06019592285156,57.18670654296875,361.66748046875,154.27662658691406
2022-02-18,164.9947052001953,182.40887451171875,57.573360443115234,359.5185241699219,155.164794921875
2022-02-22,162.0557861328125,181.70565795898438,57.33399963378906,359.27667236328125,155.75694274902344
2022-02-23,157.86436462402344,177.39134216308594,56.69880676269531,361.7884216308594,154.22109985351562
2022-02-24,160.49752807617188,175.509765625,55.70456314086914,368.1236572265625,151.5380096435547
2022-02-25,162.5784912109375,177.76193237304688,57.85873031616211,380.9429931640625,155.7847137451172
2022-02-28,162.84474182128906,178.25608825683594,57.29718780517578,406.33673095703125,151.49176025390625
2022-03-01,160.95123291015625,173.7421875,57.04861831665039,427.70263671875,150.13174438476562
2022-03-02,164.26490783691406,183.03610229492188,57.47209167480469,421.5110778808594,152.21343994140625
2022-03-03,163.93943786621094,185.16473388671875,57.5089111328125,419.4692077636719,152.05044555664062
2022-03-04,160.92160034179688,185.93447875976562,57.60097122192383,429.1451416015625,154.3600311279297
2022-03-07,157.1049346923828,186.9227752685547,56.22930908203125,436.6386413574219,151.28680419921875
2022-03-08,155.27059936523438,199.56167602539062,54.001487731933594,420.5650939941406,147.0215301513672
2022-03-09,160.7046661376953,199.35263061523438,54.27766418457031,420.3121032714844,146.58383178710938
2022-03-10,156.335693359375,201.26268005371094,53.28343200683594,416.2281799316406,143.89242553710938
2022-03-11,152.59791564941406,204.15159606933594,53.320247650146484,411.24505615234375,143.166015625
2022-03-14,148.54457092285156,204.73130798339844,54.30353927612305,416.3125,145.17759704589844
2022-03-15,152.95297241210938,205.70057678222656,55.305381774902344,420.2653503417969,148.07388305664062
2022-03-16,157.3909454345703,205.3394775390625,55.15696334838867,394.66558837890625,148.72576904296875
2022-03-17,158.40675354003906,210.6800994873047,55.741371154785156,401.4565124511719,149.88058471679688
2022-03-18,161.72047424316406,209.9293670654297,55.750640869140625,399.1990966796875,151.60342407226562
2022-03-21,163.10116577148438,212.5902099609375,56.19591522216797,412.1441650390625,151.3892364501953
2022-03-22,166.49375915527344,211.63992309570312,56.399993896484375,412.6968688964844,153.0469207763672
2022-03-23,167.8646240234375,211.12673950195312,56.02893829345703,417.0618591308594,152.24603271484375
2022-03-24,171.6714324951172,211.16477966308594,56.566959381103516,421.25823974609375,153.16796875
2022-03-25,172.31246948242188,212.25762939453125,57.07715606689453,424.9394226074219,153.8850860595703
2022-03-28,173.1803436279297,210.8226776123047,57.43893814086914,416.8089294433594,154.34140014648438
