Date,AAPL,BTC-USD,ETH-USD,LTC-USD,MRNA,MSFT,NVDA
2020-01-02,72.8760986328125,6985.47021484375,127.4101791381836,39.82301330566406,19.229999542236328,153.938232421875,5.973121643066406
2020-01-03,72.16761779785156,7344.88427734375,134.1717071533203,42.41557312011719,18.889999389648438,152.0214385986328,5.877516746520996
2020-01-06,72.74266815185547,7769.21923828125,144.3041534423828,45.81635284423828,18.1299991607666,152.41433715820312,5.902163505554199
2020-01-07,72.4005355834961,8163.6923828125,143.5439910888672,46.424583435058594,17.780000686645508,151.02468872070312,5.973620891571045
2020-01-08,73.56519317626953,8079.86279296875,141.2581329345703,45.65376663208008,17.979999542236328,153.4302520751953,5.9848246574401855
2020-01-09,75.12779235839844,7879.0712890625,138.9792022705078,45.2159309387207,18.399999618530273,155.34703063964844,6.050553321838379
2020-01-10,75.29761505126953,8166.55419921875,143.96377563476562,48.72732925415039,19.139999389648438,154.6282501220703,6.082919597625732
2020-01-13,76.90631103515625,8144.1943359375,144.22659301757812,49.733768463134766,20.260000228881836,156.487548828125,6.273634433746338
2020-01-14,75.8678207397461,8827.7646484375,165.95535278320312,58.478233337402344,20.0,155.3853759765625,6.156614780426025
2020-01-15,75.5427017211914,8807.0107421875,166.23068237304688,58.05284881591797,20.239999771118164,156.3917236328125,6.114040851593018
2020-01-16,76.48898315429688,8723.7861328125,164.39100646972656,57.618255615234375,21.010000228881836,159.25735473632812,6.197695255279541
2020-01-17,77.3357925415039,8929.0380859375,170.7799530029297,61.487125396728516,20.6200008392334,160.1486358642578,6.206409931182861
2020-01-21,76.81168365478516,8745.89453125,169.69715881347656,57.64788055419922,20.940000534057617,159.5736083984375,6.173048496246338
2020-01-22,77.08587646484375,8680.8759765625,168.29415893554688,58.3547248840332,21.969999313354492,158.80685424804688,6.227075576782227
2020-01-23,77.45709991455078,8406.515625,162.92855834960938,54.6302604675293,21.469999313354492,159.78448486328125,6.295543670654297
2020-01-24,77.23388671875,8445.4345703125,163.05117797851562,54.53178787231445,21.1200008392334,158.17431640625,6.236288547515869
2020-01-27,74.96278381347656,8909.8193359375,170.93089294433594,58.763267517089844,22.739999771118164,155.52919006347656,5.980342388153076
2020-01-28,77.08343505859375,9358.58984375,176.3703155517578,60.671817779541016,22.360000610351562,158.57684326171875,6.173794746398926
2020-01-29,78.69697570800781,9316.6298828125,175.0503387451172,60.07793426513672,20.549999237060547,161.04953002929688,6.1132941246032715
2020-01-30,78.58293151855469,9508.9931640625,184.6904754638672,68.15906524658203,20.989999771118164,165.59234619140625,6.120017051696777
2020-01-31,75.09868621826172,9350.529296875,180.16017150878906,67.8794937133789,20.510000228881836,163.14842224121094,5.886479377746582
2020-02-03,74.8924331665039,9293.521484375,189.8650665283203,69.78022003173828,20.3799991607666,167.12579345703125,5.983578205108643
2020-02-04,77.36489868164062,9180.962890625,189.25059509277344,68.1957778930664,20.8700008392334,172.6269989013672,6.1528825759887695
2020-02-05,77.99578094482422,9613.423828125,204.23023986816406,72.49310302734375,20.049999237060547,172.4161834716797,6.243257999420166
2020-02-06,78.90806579589844,9729.8017578125,212.33908081054688,73.38868713378906,19.8799991607666,175.99099731445312,6.330149173736572
2020-02-07,77.83551025390625,9795.943359375,222.72605895996094,74.35611724853516,23.239999771118164,176.24020385742188,6.263923645019531
2020-02-10,78.20516204833984,9856.611328125,223.522705078125,74.33509826660156,23.649999618530273,180.85006713867188,6.547255516052246
2020-02-11,77.73333740234375,10208.236328125,235.8511962890625,76.59739685058594,21.350000381469727,176.7672882080078,6.6697492599487305
2020-02-12,79.579345703125,10326.0546875,265.4061279296875,81.29744720458984,19.010000228881836,177.0260772705078,6.7855224609375
2020-02-13,79.01263427734375,10214.3798828125,268.0992431640625,80.40342712402344,19.045000076293945,176.0676727294922,6.741703987121582
2020-02-14,79.03211975097656,10312.1162109375,284.2174987792969,82.99034881591797,19.0,177.63943481445312,7.215001583099365
2020-02-18,77.5849838256836,10141.99609375,281.944580078125,77.0351791381836,18.90999984741211,179.44125366210938,7.383804798126221
2020-02-19,78.70863342285156,9633.38671875,259.76397705078125,71.13594055175781,18.920000076293945,179.97940063476562,7.835193634033203
2020-02-20,77.90116882324219,9608.4755859375,257.949462890625,69.62484741210938,18.540000915527344,177.2309112548828,7.685811519622803
2020-02-21,76.13786315917969,9686.44140625,265.6006164550781,73.45092010498047,18.229999542236328,171.62815856933594,7.321562767028809
2020-02-24,72.52130889892578,9650.1748046875,265.2164306640625,75.5356216430664,18.59000015258789,164.22828674316406,6.8039469718933105
2020-02-25,70.06483459472656,9341.705078125,247.81759643554688,71.18024444580078,23.760000228881836,161.5182647705078,6.524350166320801
2020-02-26,71.17633056640625,8820.5224609375,225.68026733398438,61.01430892944336,29.15999984741211,163.5364227294922,6.6637749671936035
2020-02-27,66.5236587524414,8784.494140625,226.75338745117188,61.50788497924805,26.15999984741211,152.01377868652344,6.2928314208984375
2020-02-28,66.4847412109375,8672.455078125,226.760498046875,59.76395797729492,25.93000030517578,155.69448852539062,6.728047847747803
2020-03-02,72.67451477050781,8869.669921875,230.5697784423828,60.995548248291016,29.8799991607666,166.05426025390625,6.886488914489746
2020-03-03,70.36642456054688,8787.7861328125,224.47962951660156,61.14447784423828,27.90999984741211,158.09703063964844,6.623915672302246
2020-03-04,73.63032531738281,8755.24609375,224.51797485351562,60.38241958618164,27.489999771118164,163.90158081054688,7.087780952453613
2020-03-05,71.24198913574219,9078.7626953125,229.2681884765625,62.04545974731445,28.010000228881836,159.7884521484375,6.808265209197998
