Date,ETH-USD,LTC-USD,MRNA,MSFT,NVDA
2020-01-02,127.4101791381836,39.82301330566406,19.229999542236328,153.938232421875,5.973121643066406
2020-01-03,134.1717071533203,42.41557312011719,18.889999389648438,152.0214080810547,5.877516269683838
2020-01-06,144.3041534423828,45.81635284423828,18.1299991607666,152.41436767578125,5.902164936065674
2020-01-07,143.5439910888672,46.424583435058594,17.780000686645508,151.02468872070312,5.9736199378967285
2020-01-08,141.2581329345703,45.65376663208008,17.979999542236328,153.4302215576172,5.984824180603027
2020-01-09,138.9792022705078,45.2159309387207,18.399999618530273,155.34703063964844,6.050552845001221
2020-01-10,143.96377563476562,48.72732925415039,19.139999389648438,154.6282501220703,6.082920551300049
2020-01-13,144.22659301757812,49.733768463134766,20.260000228881836,156.487548828125,6.2736334800720215
2020-01-14,165.95535278320312,58.478233337402344,20.0,155.3853759765625,6.156615734100342
2020-01-15,166.23068237304688,58.05284881591797,20.239999771118164,156.39173889160156,6.114041328430176
2020-01-16,164.39100646972656,57.618255615234375,21.010000228881836,159.25733947753906,6.197696685791016
2020-01-17,170.7799530029297,61.487125396728516,20.6200008392334,160.14865112304688,6.206409931182861
2020-01-21,169.69715881347656,57.64788055419922,20.940000534057617,159.57359313964844,6.17304801940918
2020-01-22,168.29415893554688,58.3547248840332,21.969999313354492,158.806884765625,6.227076053619385
2020-01-23,162.92855834960938,54.6302604675293,21.469999313354492,159.78445434570312,6.2955427169799805
2020-01-24,163.05117797851562,54.53178787231445,21.1200008392334,158.17431640625,6.236288070678711
2020-01-27,170.93089294433594,58.763267517089844,22.739999771118164,155.52915954589844,5.98034143447876
2020-01-28,176.3703155517578,60.671817779541016,22.360000610351562,158.57687377929688,6.173794746398926
2020-01-29,175.0503387451172,60.07793426513672,20.549999237060547,161.04954528808594,6.1132941246032715
2020-01-30,184.6904754638672,68.15906524658203,20.989999771118164,165.59234619140625,6.120015621185303
2020-01-31,180.16017150878906,67.8794937133789,20.510000228881836,163.1484375,5.886478900909424
2020-02-03,189.8650665283203,69.78022003173828,20.3799991607666,167.1258087158203,5.983579158782959
2020-02-04,189.25059509277344,68.1957778930664,20.8700008392334,172.62698364257812,6.152881622314453
2020-02-05,204.23023986816406,72.49310302734375,20.049999237060547,172.41616821289062,6.243258476257324
2020-02-06,212.33908081054688,73.38868713378906,19.8799991607666,175.99098205566406,6.330150127410889
2020-02-07,222.72605895996094,74.35611724853516,23.239999771118164,176.24017333984375,6.263923168182373
2020-02-10,223.522705078125,74.33509826660156,23.649999618530273,180.85009765625,6.547255516052246
2020-02-11,235.8511962890625,76.59739685058594,21.350000381469727,176.7672882080078,6.6697492599487305
2020-02-12,265.4061279296875,81.29744720458984,19.010000228881836,177.02609252929688,6.7855224609375
2020-02-13,268.0992431640625,80.40342712402344,19.045000076293945,176.06768798828125,6.741703033447266
2020-02-14,284.2174987792969,82.99034881591797,19.0,177.63943481445312,7.215001583099365
2020-02-18,281.944580078125,77.0351791381836,18.90999984741211,179.44125366210938,7.383806228637695
2020-02-19,259.76397705078125,71.13594055175781,18.920000076293945,179.97938537597656,7.835195064544678
2020-02-20,257.949462890625,69.62484741210938,18.540000915527344,177.2308807373047,7.685811519622803
2020-02-21,265.6006164550781,73.45092010498047,18.229999542236328,171.62815856933594,7.32156229019165
2020-02-24,265.2164306640625,75.5356216430664,18.59000015258789,164.2283172607422,6.803947925567627
2020-02-25,247.81759643554688,71.18024444580078,23.760000228881836,161.51829528808594,6.524348735809326
2020-02-26,225.68026733398438,61.01430892944336,29.15999984741211,163.53640747070312,6.663774013519287
2020-02-27,226.75338745117188,61.50788497924805,26.15999984741211,152.01380920410156,6.292831897735596
2020-02-28,226.760498046875,59.76395797729492,25.93000030517578,155.69447326660156,6.728048324584961
2020-03-02,230.5697784423828,60.995548248291016,29.8799991607666,166.05426025390625,6.8864898681640625
2020-03-03,224.47962951660156,61.14447784423828,27.90999984741211,158.09701538085938,6.6239142417907715
2020-03-04,224.51797485351562,60.38241958618164,27.489999771118164,163.90158081054688,7.0877814292907715
2020-03-05,229.2681884765625,62.04545974731445,28.010000228881836,159.7884521484375,6.808264255523682
2020-03-06,243.52529907226562,63.02560043334961,29.610000610351562,155.2716522216797,6.627651691436768
2020-03-09,201.986328125,50.168148040771484,24.290000915527344,144.74844360351562,6.114459991455078
2020-03-10,200.76724243164062,50.25638961791992,22.34000015258789,154.64697265625,6.504087448120117
2020-03-11,194.8685302734375,48.463783264160156,23.610000610351562,147.6411590576172,6.140118598937988
2020-03-12,112.34712219238281,30.930883407592773,22.299999237060547,133.63914489746094,5.388765335083008
2020-03-13,133.20181274414062,37.43795394897461,21.299999237060547,152.63841247558594,5.999863624572754
2020-03-16,110.60587310791016,32.876216888427734,26.489999771118164,130.14102172851562,4.892763614654541
2020-03-17,113.9427490234375,33.56386947631836,28.18000030517578,140.8563995361328,5.4126811027526855
2020-03-18,114.84226989746094,33.68417739868164,31.579999923706055,134.9268798828125,5.052700042724609
2020-03-19,136.59385681152344,39.07376480102539,28.270000457763672,137.14683532714844,5.305559158325195
2020-03-20,132.73716735839844,38.131954193115234,28.200000762939453,131.99578857421875,5.125694274902344
2020-03-23,134.91160583496094,38.76576614379883,26.56999969482422,130.67919921875,5.298583984375
2020-03-24,138.76144409179688,40.49064636230469,25.81999969482422,142.55738830566406,6.207631587982178
2020-03-25,136.19589233398438,39.151222229003906,27.1299991607666,141.19276428222656,6.118943214416504
2020-03-26,138.36155700683594,40.16059875488281,27.940000534057617,150.02444458007812,6.408423900604248
2020-03-27,133.9379425048828,38.91847610473633,30.049999237060547,143.86436462402344,6.296070098876953
2020-03-30,132.904541015625,39.13829040527344,30.479999542236328,153.9838409423828,6.61644172668457
2020-03-31,133.59356689453125,39.299102783203125,29.950000762939453,151.56211853027344,6.566865921020508
2020-04-01,135.63455200195312,39.38081359863281,29.670000076293945,146.18038940429688,6.055418491363525
2020-04-02,142.02914428710938,39.874168395996094,33.20000076293945,149.20762634277344,6.364329814910889
2020-04-03,142.09130859375,40.359134674072266,34.84000015258789,147.83335876464844,6.076345443725586
2020-04-06,169.13587951660156,44.39112091064453,34.63999938964844,158.827392578125,6.6864447593688965
2020-04-07,165.10194396972656,44.667930603027344,32.02000045776367,157.11679077148438,6.45301628112793
