Date,JNJ,KO,PEP,PG,WMT
2021-01-04,141.0567169189453,47.08560562133789,129.68911743164062,125.56049346923828,46.17340087890625
2021-01-05,142.7151336669922,46.567989349365234,130.07565307617188,126.36219787597656,45.92761993408203
2021-01-06,144.05812072753906,45.086524963378906,128.48452758789062,127.69232177734375,46.21437454223633
2021-01-07,144.54478454589844,44.58674621582031,128.071044921875,126.49883270263672,46.21122360229492
2021-01-08,144.2473602294922,45.58629608154297,129.6082000732422,126.44417572021484,46.20492172241211
2021-01-11,143.6435089111328,44.80093765258789,127.72941589355469,125.58780670166016,46.41289138793945
2021-01-12,142.52586364746094,44.720619201660156,127.1361312866211,124.85896301269531,46.94228744506836
2021-01-13,142.30953979492188,44.76524353027344,128.1789093017578,125.05027770996094,46.46331024169922
2021-01-14,144.7971649169922,43.935264587402344,127.43279266357422,123.72018432617188,46.31206130981445
2021-01-15,144.48171997070312,43.4622688293457,127.10017395019531,122.7908935546875,45.57784652709961
2021-01-19,146.71702575683594,43.292701721191406,127.70248413085938,121.7158432006836,45.1839599609375
2021-01-20,146.35647583007812,43.44441604614258,127.04623413085938,120.19437408447266,45.85199737548828
2021-01-21,145.77059936523438,43.68537902832031,125.50007629394531,120.07615661621094,45.644020080566406
2021-01-22,147.41099548339844,43.274845123291016,124.5831527709961,119.15045166015625,46.110389709472656
2021-01-25,149.60122680664062,43.533668518066406,126.01246643066406,121.20352172851562,46.06941604614258
2021-01-26,153.65713500976562,43.98881149291992,127.46876525878906,121.9825668334961,46.48222351074219
2021-01-27,151.31378173828125,43.310546875,124.08875274658203,117.6656723022461,45.32575607299805
2021-01-28,152.4674530029297,43.863868713378906,125.12255096435547,119.48040771484375,45.297393798828125
2021-01-29,147.032470703125,42.97142028808594,122.76734924316406,117.50984954833984,44.27013397216797
2021-02-01,146.6539306640625,43.26593017578125,123.13587951660156,118.20643615722656,43.88568878173828
2021-02-02,145.3379669189453,43.694297790527344,124.39437103271484,118.04144287109375,44.358360290527344
2021-02-03,144.66197204589844,43.52473068237305,124.07079315185547,118.18809509277344,44.49384689331055
2021-02-04,146.0049591064453,43.73891830444336,125.56301879882812,118.26142120361328,44.91294860839844
2021-02-05,148.22218322753906,44.31009292602539,126.71363830566406,118.75636291503906,45.48960876464844
2021-02-08,148.6458282470703,44.551055908203125,126.21021270751953,118.38973236083984,45.700740814208984
2021-02-09,149.8625946044922,44.35472106933594,125.4911117553711,117.93144989013672,45.95283508300781
2021-02-10,150.34934997558594,44.265464782714844,123.78311157226562,117.51902770996094,45.41713333129883
2021-02-11,149.67330932617188,44.89018249511719,121.32903289794922,117.61983489990234,45.38247299194336
2021-02-12,150.1420135498047,45.23823928833008,120.34022521972656,116.96910095214844,45.52426528930664
2021-02-16,148.781005859375,44.8634147644043,120.79867553710938,117.24404907226562,45.89925765991211
2021-02-17,149.31280517578125,44.738468170166016,120.87059783935547,117.7389907836914,46.38452911376953
2021-02-18,149.38491821289062,45.30964279174805,121.68859100341797,118.71968841552734,43.37835693359375
2021-02-19,146.89724731445312,44.720619201660156,119.11763763427734,116.5108413696289,43.59263610839844
2021-02-22,146.8065643310547,45.184696197509766,118.65021514892578,116.01587677001953,43.38780975341797
