Date,BA,BTC-USD,ETH-USD,LTC-USD,NVDA,TSLA,XRP-USD
2023-01-03,195.38999938964844,16679.857421875,1214.77880859375,75.60272216796875,14.305581092834473,108.0999984741211,0.34382399916648865
2023-01-04,203.63999938964844,16863.23828125,1256.526611328125,75.43390655517578,14.739294052124023,113.63999938964844,0.3477939963340759
2023-01-05,204.99000549316406,16836.736328125,1250.4385986328125,74.25080871582031,14.255614280700684,110.33999633789062,0.33803901076316833
2023-01-06,213.0,16951.96875,1269.3790283203125,75.9925765991211,14.849224090576172,113.05999755859375,0.3446449935436249
2023-01-09,208.57000732421875,17196.5546875,1321.5389404296875,81.747314453125,15.617717742919922,119.7699966430664,0.3493399918079376
2023-01-10,206.69000244140625,17446.29296875,1336.5860595703125,80.88751983642578,15.89853286743164,118.8499984741211,0.35124099254608154
2023-01-11,208.02999877929688,17934.896484375,1387.9327392578125,84.0703125,15.990470886230469,123.22000122070312,0.37415799498558044
2023-01-12,214.32000732421875,18869.587890625,1417.9384765625,85.96422576904297,16.50013542175293,123.55999755859375,0.37519699335098267
2023-01-13,214.1300048828125,19909.57421875,1451.6148681640625,86.34003448486328,16.887880325317383,122.4000015258789,0.3858039975166321
2023-01-17,211.41000366210938,21161.51953125,1567.8460693359375,87.11742401123047,17.690351486206055,131.49000549316406,0.3877109885215759
2023-01-18,209.41000366210938,20688.78125,1515.5069580078125,82.77532958984375,17.365568161010742,128.77999877929688,0.3794519901275635
2023-01-19,207.08999633789062,21086.79296875,1552.5565185546875,84.23226928710938,16.753965377807617,127.16999816894531,0.3937849998474121
2023-01-20,206.75999450683594,22676.552734375,1659.754150390625,90.49322509765625,17.82726287841797,133.4199981689453,0.41334399580955505
2023-01-23,209.97000122070312,22934.431640625,1628.2510986328125,90.02592468261719,19.180370330810547,143.75,0.4249430000782013
2023-01-24,211.97999572753906,22636.46875,1556.604248046875,87.202880859375,19.252321243286133,143.88999938964844,0.40770700573921204
2023-01-25,212.67999267578125,23117.859375,1611.7110595703125,89.38101196289062,19.310287475585938,144.42999267578125,0.41769298911094666
2023-01-26,212.72999572753906,23032.77734375,1603.10595703125,87.5894546508789,19.788970947265625,160.27000427246094,0.4101029932498932
2023-01-27,211.1699981689453,23078.728515625,1598.156494140625,88.84580993652344,20.35160255432129,177.89999389648438,0.41279101371765137
2023-01-30,209.6699981689453,22840.138671875,1567.3265380859375,91.26243591308594,19.14939308166504,166.66000366210938,0.39459100365638733
2023-01-31,213.0,23139.283203125,1586.535400390625,94.30811309814453,19.524147033691406,173.22000122070312,0.4063889980316162
2023-02-01,214.75,23723.76953125,1641.792724609375,100.4436264038086,20.92922019958496,181.41000366210938,0.41389200091362
2023-02-02,209.33999633789062,23471.87109375,1643.2415771484375,98.690185546875,21.694717407226562,188.27000427246094,0.40974700450897217
2023-02-03,206.00999450683594,23449.322265625,1664.74560546875,99.9709243774414,21.086116790771484,189.97999572753906,0.4122050106525421
2023-02-06,206.80999755859375,22760.109375,1616.2470703125,96.06245422363281,21.07512092590332,194.75999450683594,0.3928239941596985
2023-02-07,214.75999450683594,23264.291015625,1672.0035400390625,100.92766571044922,22.15841293334961,196.80999755859375,0.403903990983963
2023-02-08,213.5,22939.3984375,1650.716796875,99.2076187133789,22.190387725830078,201.2899932861328,0.39805200695991516
2023-02-09,211.99000549316406,21819.0390625,1546.438232421875,92.09846496582031,22.322303771972656,207.32000732421875,0.38246598839759827
2023-02-10,212.88999938964844,21651.18359375,1514.869140625,93.52928161621094,21.251008987426758,196.88999938964844,0.38264501094818115
2023-02-13,215.64999389648438,21808.1015625,1507.1658935546875,91.12174987792969,21.773662567138672,194.63999938964844,0.3716750144958496
2023-02-14,218.4499969482422,22220.8046875,1556.8751220703125,95.68757629394531,22.95588493347168,209.25,0.382407009601593
2023-02-15,217.44000244140625,24307.841796875,1673.7459716796875,102.79530334472656,22.749019622802734,214.24000549316406,0.4013519883155823
2023-02-16,212.2100067138672,23623.474609375,1640.067626953125,98.95220184326172,21.987524032592773,202.0399932861328,0.3851569890975952
2023-02-17,211.66000366210938,24565.6015625,1694.7833251953125,100.30950927734375,21.37392807006836,208.30999755859375,0.3953019976615906
2023-02-21,205.52000427246094,24436.353515625,1658.036376953125,93.70948028564453,20.641408920288086,197.3699951171875,0.3919050097465515
2023-02-22,205.75999450683594,24188.84375,1643.231689453125,95.21892547607422,20.740345001220703,200.86000061035156,0.3955860137939453
2023-02-23,208.1300048828125,23947.4921875,1651.0738525390625,94.6919937133789,23.64842987060547,202.07000732421875,0.38912999629974365
2023-02-24,198.14999389648438,23198.126953125,1608.3731689453125,91.55509948730469,23.270679473876953,196.8800048828125,0.37847700715065
2023-02-27,200.4600067138672,23522.87109375,1634.326416015625,94.08667755126953,23.485536575317383,207.6300048828125,0.3791149854660034
2023-02-28,201.5500030517578,23147.353515625,1605.8951416015625,93.79277801513672,23.20072364807129,205.7100067138672,0.3771499991416931
2023-03-01,204.5500030517578,23646.55078125,1663.4337158203125,97.73766326904297,22.683063507080078,202.77000427246094,0.38387900590896606
2023-03-02,210.05999755859375,23475.466796875,1647.3193359375,95.25724029541016,23.298660278320312,190.89999389648438,0.3775799870491028
2023-03-03,215.11000061035156,22362.6796875,1569.1676025390625,90.5489730834961,23.874282836914062,197.7899932861328,0.3776710033416748
2023-03-06,211.9199981689453,22429.7578125,1567.398681640625,87.42292022705078,23.538503646850586,193.80999755859375,0.3704710006713867
2023-03-07,207.9199981689453,22219.76953125,1561.93310546875,86.3019027709961,23.276630401611328,187.7100067138672,0.38054800033569336
