Date,AMZN,COST,GOOGL,MSFT,NFLX,NVDA,UPS
2020-01-02,94.90049743652344,268.2441711425781,68.26496124267578,153.93820190429688,329.80999755859375,5.973122596740723,99.47799682617188
2020-01-03,93.74849700927734,268.4649658203125,67.90785217285156,152.02139282226562,325.8999938964844,5.87751579284668,99.41838073730469
2020-01-06,95.14399719238281,268.53857421875,69.71786499023438,152.4143524169922,335.8299865722656,5.902163028717041,98.9754638671875
2020-01-07,95.34300231933594,268.11529541015625,69.58320617675781,151.02467346191406,330.75,5.973620414733887,98.80510711669922
2020-01-08,94.59850311279297,271.1888732910156,70.07847595214844,153.43026733398438,339.260009765625,5.9848246574401855,99.36727142333984
2020-01-09,95.05249786376953,275.5416564941406,70.81414794921875,155.3470458984375,335.6600036621094,6.050553798675537,99.59725952148438
2020-01-10,94.15799713134766,273.5354919433594,71.27152252197266,154.62826538085938,329.04998779296875,6.082919120788574,98.69438934326172
2020-01-13,94.56500244140625,275.9557800292969,71.82366180419922,156.487548828125,338.9200134277344,6.273632526397705,99.44393157958984
2020-01-14,93.47200012207031,275.8454284667969,71.35282135009766,155.3853759765625,338.69000244140625,6.156616687774658,99.8868637084961
2020-01-15,93.10099792480469,276.8300476074219,71.78225708007812,156.39170837402344,339.07000732421875,6.114040851593018,100.44901275634766
2020-01-16,93.89700317382812,278.86376953125,72.32891082763672,159.25729370117188,338.6199951171875,6.197695732116699,101.0282211303711
2020-01-17,93.23600006103516,280.3821716308594,73.79327392578125,160.14869689941406,339.6700134277344,6.206411361694336,101.01969146728516
2020-01-21,94.5999984741211,288.27801513671875,73.929443359375,159.57357788085938,338.1099853515625,6.173048496246338,99.98907470703125
2020-01-22,94.37300109863281,287.0172424316406,74.01023864746094,158.80686950683594,326.0,6.22707462310791,99.87833404541016
2020-01-23,94.22899627685547,287.9282531738281,74.05113220214844,159.7844696044922,349.6000061035156,6.295544147491455,99.59725952148438
2020-01-24,93.08200073242188,285.7472839355469,73.12742614746094,158.17434692382812,353.1600036621094,6.2362871170043945,99.36727142333984
2020-01-27,91.41699981689453,284.7718505859375,71.40968322753906,155.5291290283203,342.8800048828125,5.980342388153076,97.88520050048828
2020-01-28,92.6624984741211,286.06024169921875,72.34586334228516,158.57687377929688,348.5199890136719,6.173793792724609,98.26850128173828
2020-01-29,92.9000015258789,284.8913879394531,72.65509033203125,161.04953002929688,343.1600036621094,6.1132941246032715,98.60067749023438
2020-01-30,93.53399658203125,284.7902526855469,72.53289794921875,165.5923309326172,347.739990234375,6.120016574859619,91.990966796875
2020-01-31,100.43599700927734,281.1552429199219,71.46205139160156,163.14842224121094,345.0899963378906,5.88647985458374,88.17504119873047
2020-02-03,100.20999908447266,277.9158935546875,73.94689178466797,167.12579345703125,358.0,5.983579635620117,86.90591430664062
2020-02-04,102.4834976196289,280.5846862792969,72.09198760986328,172.62701416015625,369.010009765625,6.152881145477295,88.0558090209961
2020-02-05,101.99349975585938,284.3117980957031,72.1239013671875,172.4161376953125,369.6700134277344,6.243258476257324,90.3215103149414
2020-02-06,102.5114974975586,286.44195556640625,73.61621856689453,175.99099731445312,366.95001220703125,6.330150604248047,90.72183227539062
2020-02-07,103.96399688720703,289.22698974609375,73.77281951904297,176.24014282226562,366.7699890136719,6.263923168182373,87.8343505859375
2020-02-10,106.69550323486328,289.37451171875,75.2466812133789,180.8500518798828,371.07000732421875,6.547255039215088,87.791748046875
2020-02-11,107.54000091552734,286.5065002441406,75.31649780273438,176.7672882080078,373.69000244140625,6.669749736785889,89.3249282836914
2020-02-12,108.0,290.60101318359375,75.74394989013672,177.02606201171875,380.010009765625,6.785523414611816,89.89562225341797
2020-02-13,107.49349975585938,293.4413757324219,75.48259735107422,176.0676727294922,381.3999938964844,6.741703510284424,89.64008331298828
2020-02-14,106.74349975585938,293.5428466796875,75.74893188476562,177.6394500732422,380.3999938964844,7.215001106262207,90.24483489990234
2020-02-18,107.78350067138672,296.9918212890625,75.78434753417969,179.44122314453125,387.7799987792969,7.383806228637695,90.64517211914062
2020-02-19,108.51100158691406,297.8863525390625,76.05517578125,179.9793701171875,386.19000244140625,7.835195064544678,90.93476867675781
2020-02-20,107.65499877929688,298.8638610839844,75.66214752197266,177.2308807373047,386.0,7.6858110427856445,90.69628143310547
2020-02-21,104.79850006103516,296.899658203125,73.98978424072266,171.628173828125,380.07000732421875,7.32156229019165,87.68103790283203
2020-02-24,100.4645004272461,289.2177734375,70.81764221191406,164.2283172607422,368.70001220703125,6.8039469718933105,84.7219009399414
2020-02-25,98.63700103759766,281.1485900878906,69.14479064941406,161.5182342529297,360.0899963378906,6.524348735809326,80.77352905273438
2020-02-26,98.97949981689453,281.90478515625,69.35176849365234,163.53639221191406,379.239990234375,6.6637749671936035,80.6273193359375
2020-02-27,94.21499633789062,270.3220520019531,65.58509826660156,152.0137939453125,371.7099914550781,6.292830467224121,77.62518310546875
2020-02-28,94.1875,259.2650451660156,66.79710388183594,155.69448852539062,369.0299987792969,6.728047847747803,77.84024047851562
2020-03-02,97.69750213623047,285.0863342285156,69.14479064941406,166.0542449951172,381.04998779296875,6.886490821838379,79.78430938720703
2020-03-03,95.44950103759766,279.1750793457031,66.72078704833984,158.0970458984375,368.7699890136719,6.6239142417907715,78.53701782226562
2020-03-04,98.79149627685547,295.78375244140625,68.90937042236328,163.90159606933594,383.7900085449219,7.087780952453613,82.42514038085938
2020-03-05,96.20149993896484,291.19134521484375,65.57562255859375,159.78842163085938,372.7799987792969,6.808266639709473,79.99075317382812
