Date,AAPL,INTC,SLB,TSLA,V,WMT,XRP-USD
2023-01-03,123.90462493896484,25.775144577026367,49.59524917602539,108.0999984741211,204.58349609375,46.69233703613281,0.34382399916648865
2023-01-04,125.18260955810547,26.69120979309082,49.7878532409668,113.63999938964844,209.73284912109375,46.74435043334961,0.3477939963340759
2023-01-05,123.85508728027344,26.57549285888672,50.72196960449219,110.33999633789062,208.25315856933594,46.58503341674805,0.33803901076316833
2023-01-06,128.4122314453125,27.703699111938477,52.484291076660156,113.05999755859375,214.8032989501953,47.72632598876953,0.3446449935436249
2023-01-09,128.9373016357422,28.262981414794922,53.58212661743164,119.7699966430664,215.6417999267578,47.131290435791016,0.3493399918079376
2023-01-10,129.51190185546875,28.38833999633789,53.89029312133789,118.8499984741211,218.0980987548828,47.10203170776367,0.35124099254608154
2023-01-11,132.2461700439453,28.783693313598633,54.236976623535156,123.22000122070312,219.0944366455078,47.51497268676758,0.37415799498558044
2023-01-12,132.16693115234375,29.20797348022461,55.8548469543457,123.55999755859375,220.59385681152344,47.08576965332031,0.37519699335098267
2023-01-13,133.50433349609375,29.034406661987305,56.124481201171875,122.4000015258789,220.0414276123047,47.241844177246094,0.3858039975166321
2023-01-17,134.67333984375,28.54262351989746,56.297828674316406,131.49000549316406,219.98223876953125,46.95570373535156,0.3877109885215759
2023-01-18,133.9501495361328,27.780841827392578,55.017024993896484,128.77999877929688,216.4901580810547,45.79490280151367,0.3794519901275635
2023-01-19,134.0095977783203,27.404775619506836,55.257774353027344,127.16999816894531,217.4272918701172,45.14133834838867,0.3937849998474121
2023-01-20,136.58535766601562,28.176193237304688,55.228885650634766,133.4199981689453,221.2744903564453,45.697357177734375,0.41334399580955505
2023-01-23,139.79518127441406,29.188690185546875,53.79399108886719,143.75,221.14625549316406,46.38018035888672,0.4249430000782013
2023-01-24,141.2019500732422,28.85118865966797,53.41841506958008,143.88999938964844,220.86019897460938,46.50373840332031,0.40770700573921204
2023-01-25,140.53817749023438,28.639053344726562,54.16957092285156,144.42999267578125,221.85653686523438,46.28263473510742,0.41769298911094666
2023-01-26,142.61862182617188,29.015117645263672,55.34444808959961,160.27000427246094,221.66912841796875,46.24036407470703,0.4101029932498932
2023-01-27,144.57025146484375,27.154064178466797,54.862937927246094,177.89999389648438,228.30801391601562,46.59478759765625,0.41279101371765137
2023-01-30,141.6675567626953,26.95156478881836,54.2562370300293,166.66000366210938,225.99969482421875,46.220855712890625,0.39459100365638733
2023-01-31,142.94554138183594,27.250490188598633,54.87257385253906,173.22000122070312,227.0946807861328,46.78012466430664,0.4063889980316162
2023-02-01,144.07492065429688,28.03155517578125,53.639915466308594,181.41000366210938,227.77532958984375,47.040245056152344,0.41389200091362
2023-02-02,149.4147186279297,29.11154556274414,50.35602951049805,188.27000427246094,226.45347595214844,46.69883346557617,0.40974700450897217
2023-02-03,153.06040954589844,29.236900329589844,50.69308090209961,189.97999572753906,227.01576232910156,46.077789306640625,0.4122050106525421
2023-02-06,150.31622314453125,28.002227783203125,51.126441955566406,194.75999450683594,226.33509826660156,45.742881774902344,0.3928239941596985
2023-02-07,153.20899963378906,28.35359764099121,52.14239501953125,196.80999755859375,228.1896514892578,45.84041976928711,0.403903990983963
2023-02-08,150.50445556640625,27.56301498413086,52.93579864501953,201.2899932861328,227.0847930908203,45.59330749511719,0.39805200695991516
2023-02-09,149.4642333984375,27.06523895263672,52.09401321411133,207.32000732421875,226.689453125,46.01600646972656,0.38246598839759827
2023-02-10,149.8313446044922,27.133560180664062,54.53229522705078,196.88999938964844,224.56436157226562,46.731346130371094,0.38264501094818115
2023-02-13,152.64918518066406,27.86557960510254,55.45148468017578,194.63999938964844,226.22488403320312,47.44343566894531,0.3716750144958496
2023-02-14,152.00425720214844,27.95342445373535,54.97737121582031,209.25,226.72898864746094,47.30687713623047,0.382407009601593
2023-02-15,154.11761474609375,28.15839385986328,54.17428970336914,214.24000549316406,226.26441955566406,47.658042907714844,0.4013519883155823
2023-02-16,152.51028442382812,27.523971557617188,53.97110366821289,202.0399932861328,223.2102813720703,46.910186767578125,0.3851569890975952
2023-02-17,151.35934448242188,26.948118209838867,51.610233306884766,208.30999755859375,220.9665985107422,47.61577224731445,0.3953019976615906
2023-02-21,147.32107543945312,25.435274124145508,51.66828155517578,197.3699951171875,218.06069946289062,47.90516662597656,0.3919050097465515
2023-02-22,147.7477264404297,24.859416961669922,50.710384368896484,200.86000061035156,217.46766662597656,46.90043640136719,0.3955860137939453
2023-02-23,148.23388671875,24.996063232421875,51.59086990356445,202.07000732421875,218.56480407714844,46.201351165771484,0.38912999629974365
2023-02-24,145.56491088867188,24.53732681274414,52.171417236328125,196.8800048828125,217.0031280517578,46.32490921020508,0.37847700715065
2023-02-27,146.76547241210938,24.303081512451172,52.6358528137207,207.6300048828125,217.79383850097656,45.98999786376953,0.3791149854660034
2023-02-28,146.2594451904297,24.33236312866211,51.48444747924805,205.7100067138672,217.3885955810547,46.21435546875,0.3771499991416931
2023-03-01,144.17584228515625,24.7227725982666,53.109962463378906,202.77000427246094,215.82693481445312,45.5705451965332,0.38387900590896606
2023-03-02,144.77114868164062,25.571918487548828,53.50667190551758,190.89999389648438,216.51881408691406,45.68434524536133,0.3775799870491028
2023-03-03,149.85118103027344,25.767126083374023,54.17428970336914,197.7899932861328,221.1741943359375,45.7396240234375,0.3776710033416748
2023-03-06,152.62933349609375,25.366952896118164,53.55504608154297,193.80999755859375,224.11961364746094,45.733123779296875,0.3704710006713867
