Date,AAPL,BTC-USD,ETH-USD,INTC,NFLX,TSLA,XRP-USD
2023-01-03,123.90463256835938,16679.857421875,1214.77880859375,25.775144577026367,294.95001220703125,108.0999984741211,0.34382399916648865
2023-01-04,125.1826171875,16863.23828125,1256.526611328125,26.69120979309082,309.4100036621094,113.63999938964844,0.3477939963340759
2023-01-05,123.85509490966797,16836.736328125,1250.4385986328125,26.575496673583984,309.70001220703125,110.33999633789062,0.33803901076316833
2023-01-06,128.41221618652344,16951.96875,1269.3790283203125,27.70370101928711,315.54998779296875,113.05999755859375,0.3446449935436249
2023-01-09,128.93727111816406,17196.5546875,1321.5389404296875,28.262983322143555,315.1700134277344,119.7699966430664,0.3493399918079376
2023-01-10,129.51190185546875,17446.29296875,1336.5860595703125,28.388338088989258,327.5400085449219,118.8499984741211,0.35124099254608154
2023-01-11,132.2461700439453,17934.896484375,1387.9327392578125,28.78369140625,327.260009765625,123.22000122070312,0.37415799498558044
2023-01-12,132.16693115234375,18869.587890625,1417.9384765625,29.20797348022461,330.1300048828125,123.55999755859375,0.37519699335098267
2023-01-13,133.5043487548828,19909.57421875,1451.6148681640625,29.034404754638672,332.82000732421875,122.4000015258789,0.3858039975166321
2023-01-17,134.67335510253906,21161.51953125,1567.8460693359375,28.54262351989746,326.2200012207031,131.49000549316406,0.3877109885215759
2023-01-18,133.95013427734375,20688.78125,1515.5069580078125,27.780841827392578,326.3299865722656,128.77999877929688,0.3794519901275635
2023-01-19,134.00958251953125,21086.79296875,1552.5565185546875,27.404773712158203,315.7799987792969,127.16999816894531,0.3937849998474121
2023-01-20,136.58534240722656,22676.552734375,1659.754150390625,28.176193237304688,342.5,133.4199981689453,0.41334399580955505
2023-01-23,139.795166015625,22934.431640625,1628.2510986328125,29.188688278198242,357.4200134277344,143.75,0.4249430000782013
2023-01-24,141.20193481445312,22636.46875,1556.604248046875,28.8511905670166,363.8299865722656,143.88999938964844,0.40770700573921204
2023-01-25,140.5382080078125,23117.859375,1611.7110595703125,28.63905143737793,367.9599914550781,144.42999267578125,0.41769298911094666
2023-01-26,142.61863708496094,23032.77734375,1603.10595703125,29.015119552612305,364.8699951171875,160.27000427246094,0.4101029932498932
2023-01-27,144.57025146484375,23078.728515625,1598.156494140625,27.154062271118164,360.7699890136719,177.89999389648438,0.41279101371765137
2023-01-30,141.66757202148438,22840.138671875,1567.3265380859375,26.951566696166992,353.1099853515625,166.66000366210938,0.39459100365638733
2023-01-31,142.94554138183594,23139.283203125,1586.535400390625,27.25048828125,353.8599853515625,173.22000122070312,0.4063889980316162
2023-02-01,144.07492065429688,23723.76953125,1641.792724609375,28.03155517578125,361.989990234375,181.41000366210938,0.41389200091362
2023-02-02,149.4147186279297,23471.87109375,1643.2415771484375,29.111547470092773,366.8900146484375,188.27000427246094,0.40974700450897217
2023-02-03,153.06040954589844,23449.322265625,1664.74560546875,29.236900329589844,365.8999938964844,189.97999572753906,0.4122050106525421
2023-02-06,150.3162078857422,22760.109375,1616.2470703125,28.002227783203125,361.4800109863281,194.75999450683594,0.3928239941596985
2023-02-07,153.20899963378906,23264.291015625,1672.0035400390625,28.353595733642578,362.95001220703125,196.80999755859375,0.403903990983963
2023-02-08,150.5044403076172,22939.3984375,1650.716796875,27.56301498413086,366.8299865722656,201.2899932861328,0.39805200695991516
2023-02-09,149.46421813964844,21819.0390625,1546.438232421875,27.06523895263672,362.5,207.32000732421875,0.38246598839759827
2023-02-10,149.8313446044922,21651.18359375,1514.869140625,27.133562088012695,347.3599853515625,196.88999938964844,0.38264501094818115
2023-02-13,152.64918518066406,21808.1015625,1507.1658935546875,27.865581512451172,358.57000732421875,194.63999938964844,0.3716750144958496
2023-02-14,152.00424194335938,22220.8046875,1556.8751220703125,27.953426361083984,359.9599914550781,209.25,0.382407009601593
2023-02-15,154.11761474609375,24307.841796875,1673.7459716796875,28.158390045166016,361.4200134277344,214.24000549316406,0.4013519883155823
2023-02-16,152.51025390625,23623.474609375,1640.067626953125,27.523975372314453,350.7099914550781,202.0399932861328,0.3851569890975952
2023-02-17,151.35934448242188,24565.6015625,1694.7833251953125,26.948116302490234,347.9599914550781,208.30999755859375,0.3953019976615906
2023-02-21,147.3210906982422,24436.353515625,1658.036376953125,25.435274124145508,337.5,197.3699951171875,0.3919050097465515
2023-02-22,147.7477264404297,24188.84375,1643.231689453125,24.859416961669922,334.8800048828125,200.86000061035156,0.3955860137939453
2023-02-23,148.23390197753906,23947.4921875,1651.0738525390625,24.996061325073242,323.6499938964844,202.07000732421875,0.38912999629974365
2023-02-24,145.56491088867188,23198.126953125,1608.3731689453125,24.537328720092773,317.1499938964844,196.8800048828125,0.37847700715065
2023-02-27,146.76547241210938,23522.87109375,1634.326416015625,24.303083419799805,323.0299987792969,207.6300048828125,0.3791149854660034
2023-02-28,146.2594451904297,23147.353515625,1605.8951416015625,24.33236312866211,322.1300048828125,205.7100067138672,0.3771499991416931
2023-03-01,144.17584228515625,23646.55078125,1663.4337158203125,24.7227725982666,313.4800109863281,202.77000427246094,0.38387900590896606
2023-03-02,144.7711639404297,23475.466796875,1647.3193359375,25.571918487548828,311.8800048828125,190.89999389648438,0.3775799870491028
2023-03-03,149.8511962890625,22362.6796875,1569.1676025390625,25.767126083374023,315.17999267578125,197.7899932861328,0.3776710033416748
2023-03-06,152.6293487548828,22429.7578125,1567.398681640625,25.366952896118164,312.0299987792969,193.80999755859375,0.3704710006713867
2023-03-07,150.416748046875,22219.76953125,1561.93310546875,24.917980194091797,308.4700012207031,187.7100067138672,0.38054800033569336
