Date,COST,JNJ,KO,LMT,PFE,PG,WMT
2020-01-02,268.2441101074219,128.08375549316406,47.45193099975586,351.5843811035156,30.443782806396484,109.72233581542969,36.86407470703125
2020-01-03,268.4649353027344,126.6008071899414,47.193058013916016,364.2349548339844,30.280439376831055,108.9843978881836,36.53863525390625
2020-01-06,268.5385437011719,126.44286346435547,47.1757926940918,363.6803283691406,30.241554260253906,109.13552856445312,36.46425247192383
2020-01-07,268.11529541015625,127.21505737304688,46.813377380371094,364.9040222167969,30.14042854309082,108.4598388671875,36.126426696777344
2020-01-08,271.1888732910156,127.19747924804688,46.899658203125,361.8492126464844,30.381553649902344,108.92215728759766,36.002445220947266
2020-01-09,275.54168701171875,127.57479095458984,47.75395202636719,365.2825927734375,30.24932289123535,110.113525390625,36.37437438964844
2020-01-10,273.5355224609375,127.28523254394531,47.91790771484375,364.314208984375,30.716022491455078,110.22022247314453,36.07062911987305
2020-01-13,275.9558410644531,127.84685516357422,48.4356689453125,368.8831787109375,30.65379524230957,111.02928924560547,35.91565704345703
2020-01-14,275.8453674316406,128.56634521484375,48.323482513427734,366.3477783203125,31.167146682739258,110.86036682128906,36.008644104003906
2020-01-15,276.83013916015625,128.9962921142578,48.92752456665039,370.5822448730469,31.63384437561035,111.989501953125,35.72970199584961
2020-01-16,278.8637390136719,130.04046630859375,49.03107833862305,374.7639465332031,31.587173461914062,112.0873031616211,35.92185592651367
2020-01-17,280.3822021484375,130.89161682128906,49.13461685180664,374.72869873046875,31.509382247924805,112.38958740234375,35.630516052246094
2020-01-21,288.2779846191406,130.97938537597656,49.333091735839844,375.1601257324219,31.377168655395508,112.1050796508789,35.82577896118164
2020-01-22,287.0172119140625,130.08436584472656,49.71277618408203,373.6370544433594,31.260488510131836,112.30068969726562,35.98384475708008
2020-01-23,287.9282531738281,130.33004760742188,49.90262222290039,377.4754333496094,31.664949417114258,111.78732299804688,35.893959045410156
2020-01-24,285.7472839355469,130.145751953125,49.7731819152832,380.7502746582031,30.97269630432129,111.92147064208984,35.44765853881836
2020-01-27,284.7718505859375,130.52308654785156,49.6005973815918,380.6446533203125,31.237154006958008,112.41336822509766,35.90945816040039
2020-01-28,286.0601806640625,131.18118286132812,49.19501495361328,384.8615417480469,29.66596221923828,112.71746063232422,36.13880920410156
2020-01-29,284.89141845703125,132.09375,49.19501495361328,381.92999267578125,29.230379104614258,111.84992980957031,35.918758392333984
2020-01-30,284.790283203125,131.93576049804688,50.79143142700195,383.743408203125,29.12824058532715,112.64590454101562,36.13261795043945
2020-01-31,281.1552429199219,130.62838745117188,50.39448928833008,376.89434814453125,29.26181983947754,111.45639038085938,35.484840393066406
2020-02-03,277.91595458984375,131.76910400390625,50.5498161315918,373.14410400390625,29.473976135253906,111.8946533203125,35.41665267944336
2020-02-04,280.5846252441406,133.0238494873047,50.774173736572266,379.2360534667969,29.615406036376953,112.38656616210938,35.72659683227539
2020-02-05,284.3117370605469,135.12100219726562,50.782798767089844,383.1184387207031,29.992578506469727,113.41508483886719,36.20390701293945
2020-02-06,286.4419250488281,134.71737670898438,50.90361022949219,386.4461669921875,30.063289642333984,113.7102279663086,36.04893493652344
2020-02-07,289.2269592285156,133.27833557128906,51.076194763183594,386.6221923828125,29.898283004760742,112.76217651367188,36.09231948852539
2020-02-10,289.3746032714844,133.25196838378906,51.559425354003906,387.14154052734375,29.70969009399414,112.84266662597656,35.72039794921875
2020-02-11,286.50653076171875,133.36607360839844,51.42135238647461,387.2207946777344,29.929716110229492,111.04499053955078,35.76688766479492
2020-02-12,290.6011047363281,132.5763702392578,51.26602554321289,384.3597106933594,29.654695510864258,110.40998840332031,35.9063606262207
2020-02-13,293.4414367675781,131.69888305664062,51.43862533569336,382.6870422363281,29.018226623535156,111.7604751586914,36.399166107177734
2020-02-14,293.5428161621094,131.73399353027344,51.73201370239258,385.46014404296875,28.688209533691406,112.81583404541016,36.53863525390625
2020-02-18,296.9917907714844,130.86529541015625,51.36958694458008,383.4353332519531,28.538908004760742,111.68000030517578,37.077919006347656
2020-02-19,297.8863525390625,130.68984985351562,51.57668685913086,382.4934387207031,28.468191146850586,112.18978881835938,36.47354507446289
2020-02-20,298.8638916015625,130.1896514892578,51.53354263305664,375.0015563964844,28.169601440429688,113.20936584472656,36.47665023803711
2020-02-21,296.8996276855469,131.5584716796875,51.88733673095703,376.6126708984375,28.06745147705078,113.31669616699219,36.75249099731445
2020-02-24,289.2177734375,128.84750366210938,50.610225677490234,369.1736755371094,27.242401123046875,110.27584075927734,36.052032470703125
2020-02-25,281.1485900878906,127.7348403930664,49.89399337768555,352.4559326171875,26.660940170288086,108.60336303710938,35.45384979248047
2020-02-26,281.90478515625,126.87823486328125,49.70414733886719,352.9313659667969,27.281692504882812,107.4675064086914,35.264793395996094
2020-02-27,270.3221130371094,122.85149383544922,47.4001579284668,338.5816650390625,26.794517517089844,101.51100158691406,34.21719741821289
2020-02-28,259.2650451660156,118.75409698486328,46.15755081176758,327.6588439941406,26.260204315185547,101.26953887939453,33.37416076660156
2020-03-02,285.0863342285156,123.64627838134766,48.25444412231445,337.8285827636719,27.40741729736328,106.9308853149414,35.91565704345703
2020-03-03,279.1750793457031,119.73429870605469,48.37525939941406,334.32940673828125,26.951671600341797,105.68771362304688,34.99514389038086
2020-03-04,295.7836608886719,126.70162200927734,50.843204498291016,356.1485900878906,28.60177230834961,111.34907531738281,36.191505432128906
2020-03-05,291.1912841796875,125.403564453125,48.9620475769043,340.7963562011719,27.8631591796875,108.7822265625,35.92805480957031
