Date,COST,JNJ,KO,PG,WMT
2020-01-02,268.2441711425781,128.083740234375,47.451927185058594,109.72233581542969,36.864070892333984
2020-01-03,268.4649658203125,126.60083770751953,47.19305419921875,108.98439025878906,36.538631439208984
2020-01-06,268.5385437011719,126.44288635253906,47.175804138183594,109.13553619384766,36.46424865722656
2020-01-07,268.1152648925781,127.21499633789062,46.81336975097656,108.4598159790039,36.12641525268555
2020-01-08,271.1888732910156,127.197509765625,46.899662017822266,108.92216491699219,36.002445220947266
2020-01-09,275.5417175292969,127.5748062133789,47.75395584106445,110.11351776123047,36.37437438964844
2020-01-10,273.5355529785156,127.28524017333984,47.917903900146484,110.22022247314453,36.070621490478516
2020-01-13,275.9557800292969,127.8468017578125,48.435665130615234,111.0292739868164,35.91565704345703
2020-01-14,275.8454284667969,128.5663604736328,48.32347869873047,110.86038208007812,36.008636474609375
2020-01-15,276.8300476074219,128.99630737304688,48.92752456665039,111.98951721191406,35.729705810546875
2020-01-16,278.8638610839844,130.04046630859375,49.03106689453125,112.08731079101562,35.92185592651367
2020-01-17,280.3822326660156,130.8916015625,49.13462448120117,112.38960266113281,35.63051223754883
2020-01-21,288.27801513671875,130.97935485839844,49.333091735839844,112.1050796508789,35.82577896118164
2020-01-22,287.0172424316406,130.08432006835938,49.7127799987793,112.30068969726562,35.98384475708008
2020-01-23,287.92828369140625,130.3300018310547,49.90262222290039,111.78732299804688,35.89396667480469
2020-01-24,285.747314453125,130.145751953125,49.7731819152832,111.92147827148438,35.447654724121094
2020-01-27,284.7718811035156,130.5231170654297,49.60060501098633,112.41338348388672,35.909461975097656
2020-01-28,286.0602111816406,131.18116760253906,49.19502639770508,112.71747589111328,36.138824462890625
2020-01-29,284.8914794921875,132.09373474121094,49.19502639770508,111.84992980957031,35.918766021728516
2020-01-30,284.7903137207031,131.935791015625,50.79143524169922,112.6458969116211,36.13262176513672
2020-01-31,281.1551513671875,130.6283721923828,50.394493103027344,111.45639038085938,35.484840393066406
2020-02-03,277.9158935546875,131.76910400390625,50.549808502197266,111.8946533203125,35.416648864746094
2020-02-04,280.5847473144531,133.0238800048828,50.774169921875,112.38654327392578,35.726600646972656
2020-02-05,284.31170654296875,135.12100219726562,50.782798767089844,113.41509246826172,36.20391082763672
2020-02-06,286.4419860839844,134.71737670898438,50.90361022949219,113.7102279663086,36.04893112182617
2020-02-07,289.2270202636719,133.27833557128906,51.07618713378906,112.7621841430664,36.09233093261719
2020-02-10,289.37451171875,133.2519989013672,51.5594367980957,112.84268951416016,35.72040557861328
2020-02-11,286.5065612792969,133.36607360839844,51.421363830566406,111.04499816894531,35.76689910888672
2020-02-12,290.60101318359375,132.5763702392578,51.26603317260742,110.40998077392578,35.9063720703125
2020-02-13,293.44140625,131.69888305664062,51.4386100769043,111.760498046875,36.399166107177734
2020-02-14,293.5428771972656,131.73399353027344,51.73200988769531,112.81584930419922,36.538631439208984
2020-02-18,296.9918212890625,130.86534118652344,51.36958312988281,111.68000030517578,37.07794189453125
2020-02-19,297.8863525390625,130.68978881835938,51.57668685913086,112.18980407714844,36.473541259765625
2020-02-20,298.8638610839844,130.1896514892578,51.533538818359375,113.2093734741211,36.47664260864258
2020-02-21,296.899658203125,131.55848693847656,51.8873405456543,113.31669616699219,36.752498626708984
2020-02-24,289.2177734375,128.84750366210938,50.61021041870117,110.27584838867188,36.05202865600586
2020-02-25,281.1485900878906,127.73484802246094,49.89400100708008,108.6033706665039,35.453857421875
2020-02-26,281.90472412109375,126.87825012207031,49.70415115356445,107.46752166748047,35.26478958129883
2020-02-27,270.32208251953125,122.85152435302734,47.40015411376953,101.5110092163086,34.21719741821289
2020-02-28,259.2650146484375,118.75410461425781,46.15755081176758,101.26954650878906,33.374168395996094
2020-03-02,285.0863342285156,123.64628601074219,48.25444412231445,106.93090057373047,35.91565704345703
2020-03-03,279.17510986328125,119.73429107666016,48.37525177001953,105.68770599365234,34.99515151977539
2020-03-04,295.7837829589844,126.70162963867188,50.84320068359375,111.34908294677734,36.19150161743164
2020-03-05,291.1912841796875,125.40354919433594,48.962039947509766,108.78223419189453,35.92805862426758
2020-03-06,287.1151428222656,125.42123413085938,47.68492126464844,108.80908203125,36.33407974243164
2020-03-09,278.4834899902344,120.48489379882812,44.75099563598633,103.80059051513672,36.312381744384766
2020-03-10,285.3261413574219,125.0768051147461,46.30424880981445,107.81629943847656,37.12752151489258
2020-03-11,274.28741455078125,116.38749694824219,45.05301284790039,99.80276489257812,35.466251373291016
2020-03-12,258.075439453125,110.74473571777344,40.695274353027344,91.0826416015625,32.24909210205078
2020-03-13,278.7508850097656,118.5863265991211,42.192508697509766,102.02079772949219,35.36397171020508
2020-03-16,261.1462097167969,112.26358795166016,39.398250579833984,97.03915405273438,33.08902359008789
2020-03-17,283.1036071777344,120.61734008789062,41.06958770751953,105.75031280517578,36.963253021240234
2020-03-18,283.5738830566406,119.17798614501953,39.041343688964844,105.04376983642578,37.99224853515625
2020-03-19,281.4713134765625,112.19293975830078,36.412479400634766,99.123046875,37.18595886230469
2020-03-20,267.822998046875,105.87023162841797,33.33965301513672,91.6103286743164,35.47998809814453
2020-03-23,263.3134765625,98.14344787597656,32.695491790771484,87.37994384765625,35.57647705078125
2020-03-24,262.76934814453125,105.24324035644531,34.34071731567383,92.36161041259766,35.80997085571289
2020-03-25,259.0067443847656,105.43753051757812,36.220977783203125,90.25984954833984,34.05729293823242
2020-03-26,269.55657958984375,111.76907348632812,38.55387878417969,96.0374526977539,34.18804168701172
