Date,BTC-USD,ETH-USD,LTC-USD,MRNA,NVDA,TSLA,XRP-USD
2020-01-02,6985.47021484375,127.4101791381836,39.82301330566406,19.229999542236328,5.973121643066406,28.68400001525879,0.1880429983139038
2020-01-03,7344.88427734375,134.1717071533203,42.41557312011719,18.889999389648438,5.877516269683838,29.534000396728516,0.19352099299430847
2020-01-06,7769.21923828125,144.3041534423828,45.81635284423828,18.1299991607666,5.902164459228516,30.1026668548584,0.22150999307632446
2020-01-07,8163.6923828125,143.5439910888672,46.424583435058594,17.780000686645508,5.973620414733887,31.270666122436523,0.21391700208187103
2020-01-08,8079.86279296875,141.2581329345703,45.65376663208008,17.979999542236328,5.9848246574401855,32.80933380126953,0.20902599394321442
2020-01-09,7879.0712890625,138.9792022705078,45.2159309387207,18.399999618530273,6.050552845001221,32.089332580566406,0.20489899814128876
2020-01-10,8166.55419921875,143.96377563476562,48.72732925415039,19.139999389648438,6.082919597625732,31.876667022705078,0.21230599284172058
2020-01-13,8144.1943359375,144.22659301757812,49.733768463134766,20.260000228881836,6.273633003234863,34.990665435791016,0.21261699497699738
2020-01-14,8827.7646484375,165.95535278320312,58.478233337402344,20.0,6.156614780426025,35.861331939697266,0.23468700051307678
2020-01-15,8807.0107421875,166.23068237304688,58.05284881591797,20.239999771118164,6.114041805267334,34.56666564941406,0.23289500176906586
2020-01-16,8723.7861328125,164.39100646972656,57.618255615234375,21.010000228881836,6.197696208953857,34.232666015625,0.2285739928483963
2020-01-17,8929.0380859375,170.7799530029297,61.487125396728516,20.6200008392334,6.206409931182861,34.03333282470703,0.23877599835395813
2020-01-21,8745.89453125,169.69715881347656,57.64788055419922,20.940000534057617,6.173048496246338,36.47999954223633,0.23716600239276886
2020-01-22,8680.8759765625,168.29415893554688,58.3547248840332,21.969999313354492,6.227075099945068,37.97066879272461,0.23605599999427795
2020-01-23,8406.515625,162.92855834960938,54.6302604675293,21.469999313354492,6.2955427169799805,38.14666748046875,0.2261040061712265
2020-01-24,8445.4345703125,163.05117797851562,54.53178787231445,21.1200008392334,6.236287593841553,37.654666900634766,0.22304099798202515
2020-01-27,8909.8193359375,170.93089294433594,58.763267517089844,22.739999771118164,5.980343818664551,37.201332092285156,0.231222003698349
2020-01-28,9358.58984375,176.3703155517578,60.671817779541016,22.360000610351562,6.173795700073242,37.793331146240234,0.23848800361156464
2020-01-29,9316.6298828125,175.0503387451172,60.07793426513672,20.549999237060547,6.113295078277588,38.732666015625,0.23573000729084015
2020-01-30,9508.9931640625,184.6904754638672,68.15906524658203,20.989999771118164,6.120016574859619,42.72066879272461,0.24364200234413147
2020-01-31,9350.529296875,180.16017150878906,67.8794937133789,20.510000228881836,5.886479377746582,43.371334075927734,0.23923300206661224
2020-02-03,9293.521484375,189.8650665283203,69.78022003173828,20.3799991607666,5.983579158782959,52.0,0.254626989364624
2020-02-04,9180.962890625,189.25059509277344,68.1957778930664,20.8700008392334,6.152882099151611,59.137332916259766,0.26680800318717957
2020-02-05,9613.423828125,204.23023986816406,72.49310302734375,20.049999237060547,6.243257522583008,48.97999954223633,0.2774679958820343
2020-02-06,9729.8017578125,212.33908081054688,73.38868713378906,19.8799991607666,6.330149173736572,49.930667877197266,0.2822139859199524
2020-02-07,9795.943359375,222.72605895996094,74.35611724853516,23.239999771118164,6.263922691345215,49.871334075927734,0.2792840003967285
2020-02-10,9856.611328125,223.522705078125,74.33509826660156,23.649999618530273,6.547255992889404,51.41866683959961,0.2740800082683563
2020-02-11,10208.236328125,235.8511962890625,76.59739685058594,21.350000381469727,6.6697492599487305,51.62533187866211,0.2801409959793091
2020-02-12,10326.0546875,265.4061279296875,81.29744720458984,19.010000228881836,6.7855224609375,51.15266799926758,0.3043929934501648
2020-02-13,10214.3798828125,268.0992431640625,80.40342712402344,19.045000076293945,6.741703510284424,53.599998474121094,0.3267059922218323
2020-02-14,10312.1162109375,284.2174987792969,82.99034881591797,19.0,7.215001583099365,53.33533477783203,0.33482199907302856
2020-02-18,10141.99609375,281.944580078125,77.0351791381836,18.90999984741211,7.383805751800537,57.22666549682617,0.2979130148887634
2020-02-19,9633.38671875,259.76397705078125,71.13594055175781,18.920000076293945,7.8351945877075195,61.16133117675781,0.2776019871234894
2020-02-20,9608.4755859375,257.949462890625,69.62484741210938,18.540000915527344,7.685811519622803,59.96066665649414,0.2723959982395172
2020-02-21,9686.44140625,265.6006164550781,73.45092010498047,18.229999542236328,7.321562767028809,60.06666564941406,0.2749379873275757
2020-02-24,9650.1748046875,265.2164306640625,75.5356216430664,18.59000015258789,6.803946495056152,55.58599853515625,0.2706269919872284
2020-02-25,9341.705078125,247.81759643554688,71.18024444580078,23.760000228881836,6.524349212646484,53.32733154296875,0.25341200828552246
2020-02-26,8820.5224609375,225.68026733398438,61.01430892944336,29.15999984741211,6.663774013519287,51.91999816894531,0.23085099458694458
2020-02-27,8784.494140625,226.75338745117188,61.50788497924805,26.15999984741211,6.292832374572754,45.266666412353516,0.2371159940958023
2020-02-28,8672.455078125,226.760498046875,59.76395797729492,25.93000030517578,6.728048801422119,44.53266525268555,0.23629599809646606
2020-03-02,8869.669921875,230.5697784423828,60.995548248291016,29.8799991607666,6.886488437652588,49.574668884277344,0.2387470006942749
2020-03-03,8787.7861328125,224.47962951660156,61.14447784423828,27.90999984741211,6.62391471862793,49.70066833496094,0.23438100516796112
2020-03-04,8755.24609375,224.51797485351562,60.38241958618164,27.489999771118164,7.087780952453613,49.96666717529297,0.2345300018787384
