Date,AAPL,GOOGL,MSFT,PEP,V
2020-01-02,72.87612915039062,68.26496124267578,153.93820190429688,118.6358642578125,184.8380889892578
2020-01-03,72.16761016845703,67.90784454345703,152.0214080810547,118.46987915039062,183.36802673339844
2020-01-06,72.7426528930664,69.71786499023438,152.41432189941406,118.92408752441406,182.97152709960938
2020-01-07,72.4005355834961,69.58320617675781,151.02467346191406,117.05484008789062,182.48794555664062
2020-01-08,73.56517791748047,70.07847595214844,153.4302215576172,117.65755462646484,185.61181640625
2020-01-09,75.12779235839844,70.81415557861328,155.3470458984375,117.73615264892578,186.89804077148438
2020-01-10,75.2976303100586,71.27151489257812,154.6282501220703,117.50908660888672,187.40098571777344
2020-01-13,76.90631866455078,71.82365417480469,156.487548828125,119.2560043334961,188.9097137451172
2020-01-14,75.8678207397461,71.35282135009766,155.3853759765625,119.5355224609375,189.60601806640625
2020-01-15,75.54270935058594,71.7822494506836,156.39170837402344,121.58821105957031,193.2327880859375
2020-01-16,76.48897552490234,72.32890319824219,159.25733947753906,121.9462890625,194.344970703125
2020-01-17,77.3357925415039,73.79327392578125,160.14866638183594,123.38755798339844,197.97174072265625
2020-01-21,76.81169891357422,73.929443359375,159.57357788085938,123.91165161132812,200.4765625
2020-01-22,77.08588409423828,74.01023864746094,158.80690002441406,125.2393569946289,201.0665283203125
2020-01-23,77.45709991455078,74.05113983154297,159.78445434570312,125.47517395019531,199.73190307617188
2020-01-24,77.23388671875,73.12742614746094,158.17433166503906,124.83750915527344,198.2618865966797
2020-01-27,74.9627914428711,71.40968322753906,155.52914428710938,124.15624237060547,195.06060791015625
2020-01-28,77.08345031738281,72.34586334228516,158.57688903808594,124.41827392578125,196.18251037597656
2020-01-29,78.69697570800781,72.65509033203125,161.0495147705078,123.79811096191406,198.12644958496094
2020-01-30,78.58293151855469,72.53289794921875,165.59234619140625,125.63243865966797,201.36636352539062
2020-01-31,75.09867858886719,71.46205139160156,163.1484375,124.05139923095703,192.4300537109375
2020-02-03,74.89242553710938,73.94689178466797,167.12579345703125,124.47941589355469,194.2095489501953
2020-02-04,77.36490631103516,72.09198760986328,172.6270294189453,125.09959411621094,196.86917114257812
2020-02-05,77.9957504272461,72.12390899658203,172.41615295410156,126.04293823242188,196.14382934570312
2020-02-06,78.90807342529297,73.6162109375,175.99098205566406,126.06915283203125,196.36624145507812
2020-02-07,77.83551025390625,73.7728271484375,176.2401885986328,126.97755432128906,196.07614135742188
2020-02-10,78.20518493652344,75.2466812133789,180.85006713867188,127.23088073730469,199.21932983398438
2020-02-11,77.73332977294922,75.3165054321289,176.76727294921875,127.59774017333984,197.2366943359375
2020-02-12,79.57933807373047,75.74394989013672,177.02606201171875,127.59774017333984,200.6216583251953
2020-02-13,79.01265716552734,75.48259735107422,176.0676727294922,127.9383773803711,200.87344360351562
2020-02-14,79.0321044921875,75.74893188476562,177.6394500732422,128.3926239013672,203.67250061035156
2020-02-18,77.5849838256836,75.78434753417969,179.44122314453125,127.17847442626953,204.55386352539062
2020-02-19,78.7086181640625,76.05517578125,179.97940063476562,127.11729431152344,206.59750366210938
2020-02-20,77.90116882324219,75.66214752197266,177.23086547851562,126.79415130615234,204.79603576660156
2020-02-21,76.13786315917969,73.98978424072266,171.628173828125,127.39685821533203,202.23907470703125
2020-02-24,72.52128601074219,70.81764221191406,164.22833251953125,124.59300994873047,192.53436279296875
2020-02-25,70.06485748291016,69.14479064941406,161.51824951171875,123.2478256225586,182.47132873535156
2020-02-26,71.17634582519531,69.35177612304688,163.536376953125,124.01646423339844,181.31883239746094
2020-02-27,66.5236587524414,65.58509826660156,152.01380920410156,119.11625671386719,174.3453826904297
2020-02-28,66.48474884033203,66.7970962524414,155.6944580078125,115.32534790039062,176.04031372070312
2020-03-02,72.67451477050781,69.14479064941406,166.0542755126953,120.17316436767578,186.27774047851562
2020-03-03,70.36641693115234,66.72079467773438,158.0970458984375,118.42620086669922,179.88534545898438
2020-03-04,73.63035583496094,68.90937042236328,163.9015655517578,124.37459564208984,188.176025390625
2020-03-05,71.24199676513672,65.57562255859375,159.78843688964844,121.44190979003906,181.07669067382812
2020-03-06,70.29589080810547,64.6269760131836,155.27162170410156,120.7032241821289,178.55850219726562
2020-03-09,64.73603057861328,60.63935089111328,144.7484893798828,114.45963287353516,165.74478149414062
2020-03-10,69.39842224121094,63.60101318359375,154.64697265625,117.95954132080078,176.8538818359375
2020-03-11,66.98821258544922,60.39544677734375,147.6411590576172,114.09909057617188,167.507568359375
2020-03-12,60.37279510498047,55.44021987915039,133.63912963867188,101.4272689819336,155.0425262451172
2020-03-13,67.6059341430664,60.56353759765625,152.638427734375,112.07652282714844,170.2969207763672
2020-03-16,58.90864944458008,53.51748275756836,130.1410369873047,99.44866943359375,147.22653198242188
2020-03-17,61.49888229370117,55.764915466308594,140.85641479492188,112.31397247314453,152.92147827148438
2020-03-18,59.99338912963867,54.42473602294922,134.92689514160156,106.33419036865234,143.80755615234375
2020-03-19,59.53370666503906,55.446205139160156,137.14683532714844,103.18602752685547,147.45895385742188
2020-03-20,55.75417709350586,53.27857208251953,131.99578857421875,91.39358520507812,142.20953369140625
2020-03-23,54.56973648071289,52.57631301879883,130.67919921875,92.49280548095703,131.46849060058594
2020-03-24,60.044464111328125,56.36094284057617,142.557373046875,100.10820770263672,149.6671600341797
2020-03-25,59.71369171142578,54.9449462890625,141.19273376464844,98.92984771728516,156.6890869140625
2020-03-26,62.85600280761719,58.002376556396484,150.0244903564453,105.75382232666016,163.56564331054688
