Date,CAT,CVX,LMT,SLB,XOM
2022-01-03,195.7609100341797,107.27003479003906,329.6562805175781,30.099123001098633,57.61799621582031
2022-01-04,206.23934936523438,109.22188568115234,336.75445556640625,31.5604248046875,59.78525161743164
2022-01-05,207.81866455078125,109.93244934082031,333.1728515625,31.5604248046875,60.5288200378418
2022-01-06,209.93704223632812,110.8678970336914,333.0426025390625,32.31005859375,61.95249557495117
2022-01-07,212.017578125,112.45994567871094,335.03338623046875,33.239986419677734,62.46030044555664
2022-01-10,209.6060333251953,112.53190612792969,337.92657470703125,33.32538986206055,62.088504791259766
2022-01-11,208.0078125,115.10436248779297,338.7545471191406,34.61589050292969,64.70008850097656
2022-01-12,210.3247833251953,114.5287094116211,336.11248779296875,34.587425231933594,64.50967407226562
2022-01-13,214.6750030517578,114.05199432373047,339.72198486328125,34.32172393798828,64.04720306396484
2022-01-14,216.5096893310547,115.99483489990234,346.64337158203125,35.877925872802734,65.171630859375
2022-01-18,217.38919067382812,116.37261199951172,350.2900695800781,35.62172317504883,66.26886749267578
2022-01-19,210.64208984375,115.94986724853516,351.0250244140625,35.20420837402344,66.29606628417969
2022-01-20,205.86215209960938,115.53609466552734,348.9784240722656,35.15676498413086,66.44115447998047
2022-01-21,203.44837951660156,114.15093231201172,345.3223571777344,34.50202560424805,65.44366455078125
2022-01-24,203.67645263671875,114.39378356933594,347.3038635253906,34.72975540161133,66.00588989257812
2022-01-25,203.65744018554688,119.25988006591797,360.17901611328125,36.8078498840332,67.9464340209961
2022-01-26,203.63844299316406,119.34983825683594,363.96527099609375,37.76624298095703,67.25727081298828
2022-01-27,201.6238250732422,121.7603759765625,361.9558410644531,36.87427520751953,68.11872863769531
2022-01-28,191.16110229492188,117.47895050048828,365.7420959472656,37.65237045288086,68.26382446289062
2022-01-31,191.5411834716797,118.12657165527344,362.0024108886719,37.07353973388672,68.88043975830078
2022-02-01,195.14283752441406,121.23871612548828,360.0301818847656,37.50054931640625,73.29655456542969
2022-02-02,194.75320434570312,121.79638671875,360.3371887207031,37.24434280395508,73.10612487792969
2022-02-03,190.61944580078125,120.70802307128906,362.5325927734375,36.60858154296875,72.25374603271484
2022-02-04,188.5477752685547,122.2191162109375,362.18841552734375,36.542152404785156,73.82250213623047
2022-02-07,189.88771057128906,124.6207046508789,364.98858642578125,38.21223068237305,74.7111587524414
2022-02-08,191.4841766357422,122.72283172607422,368.4306945800781,37.027156829833984,72.7796859741211
2022-02-09,193.4798126220703,123.93708801269531,367.0352478027344,37.503089904785156,72.43126678466797
2022-02-10,192.97613525390625,122.36302185058594,358.56024169921875,37.28416061401367,71.73445892333984
2022-02-11,191.2371063232422,124.85456085205078,368.5701904296875,38.66435241699219,73.5406723022461
2022-02-14,189.9542236328125,122.92969512939453,359.9930114746094,37.40791320800781,72.4129409790039
2022-02-15,193.29925537109375,122.0298843383789,355.5740966796875,38.15987014770508,71.50524139404297
2022-02-16,193.51780700683594,122.06623840332031,359.9278259277344,39.682830810546875,71.8353271484375
2022-02-17,185.06019592285156,121.43907928466797,361.6674499511719,39.13076400756836,71.72529602050781
2022-02-18,182.4088897705078,121.26639556884766,359.5185241699219,38.27408981323242,70.92764282226562
2022-02-22,181.70567321777344,120.33930969238281,359.276611328125,37.64586639404297,70.10247039794922
2022-02-23,177.3913116455078,123.20237731933594,361.7884216308594,37.826725006103516,70.3866958618164
2022-02-24,175.50975036621094,122.56614685058594,368.1236267089844,36.4750862121582,69.49736022949219
2022-02-25,177.76194763183594,127.59239959716797,380.9429931640625,37.55067825317383,71.36773681640625
2022-02-28,178.25608825683594,130.88262939453125,406.33673095703125,37.35078811645508,71.89950561523438
2022-03-01,173.7421875,136.08157348632812,427.7026062011719,35.85638427734375,72.58714294433594
2022-03-02,183.0360870361328,140.0989532470703,421.5111083984375,37.35078811645508,73.83404541015625
2022-03-03,185.16473388671875,141.989501953125,419.4691467285156,36.66545867919922,74.30166625976562
2022-03-04,185.9344940185547,144.19813537597656,429.1451721191406,37.06523513793945,77.09805297851562
2022-03-07,186.92274475097656,147.27932739257812,436.6387023925781,40.073097229003906,79.87610626220703
2022-03-08,199.56166076660156,154.99595642089844,420.5650634765625,42.909629821777344,80.48123168945312
2022-03-09,199.3526153564453,151.12400817871094,420.3121643066406,40.51095199584961,75.9061508178711
2022-03-10,201.2626953125,155.25953674316406,416.2281799316406,41.31051254272461,78.262451171875
2022-03-11,204.151611328125,155.33221435546875,411.2449645996094,40.83458709716797,77.85902404785156
2022-03-14,204.73130798339844,151.53302001953125,416.31256103515625,39.549583435058594,75.07179260253906
2022-03-15,205.70059204101562,143.86180114746094,420.2653503417969,37.36982727050781,70.79927825927734
2022-03-16,205.33946228027344,143.34376525878906,394.66558837890625,36.056270599365234,70.53339385986328
2022-03-17,210.68011474609375,145.82505798339844,401.45654296875,37.607791900634766,72.4129409790039
2022-03-18,209.92938232421875,146.99755859375,399.1991271972656,37.817203521728516,72.12870788574219
2022-03-21,212.59022521972656,149.64247131347656,412.1441955566406,39.2069091796875,75.36519622802734
2022-03-22,211.63992309570312,149.14256286621094,412.6968688964844,39.216434478759766,75.0351333618164
2022-03-23,211.12677001953125,150.75135803222656,417.0618591308594,40.3681755065918,76.21786499023438
2022-03-24,211.16477966308594,151.15127563476562,421.25823974609375,40.58710479736328,76.44709014892578
2022-03-25,212.25759887695312,153.88706970214844,424.9394226074219,41.577030181884766,78.11575317382812
2022-03-28,210.82266235351562,151.1967315673828,416.8089294433594,39.72091293334961,75.9244613647461
