Date,AAPL,CAT,KO,LMT,PEP
2022-01-03,179.27362060546875,195.7609100341797,54.59066390991211,329.6562805175781,160.04058837890625
2022-01-04,176.99835205078125,206.23934936523438,55.50204086303711,336.75445556640625,160.2718963623047
2022-01-05,172.2902069091797,207.81866455078125,55.96233367919922,333.1728515625,160.8177490234375
2022-01-06,169.41409301757812,209.93704223632812,55.66774368286133,333.0426025390625,160.85476684570312
2022-01-07,169.58155822753906,212.017578125,55.53886413574219,335.03338623046875,161.05831909179688
2022-01-10,169.60122680664062,209.6060333251953,55.63092041015625,337.92657470703125,161.14157104492188
2022-01-11,172.44781494140625,208.0078125,55.64933776855469,338.7545471191406,161.0675811767578
2022-01-12,172.89100646972656,210.3247833251953,55.73218536376953,336.11248779296875,160.89178466796875
2022-01-13,169.60122680664062,214.6750030517578,56.0635986328125,339.72198486328125,161.1508331298828
2022-01-14,170.46803283691406,216.5096893310547,56.51468276977539,346.64337158203125,162.50161743164062
2022-01-18,167.2471923828125,217.38919067382812,56.0635986328125,350.2900695800781,160.94729614257812
2022-01-19,163.7308349609375,210.64208984375,56.15565490722656,351.0250244140625,162.10379028320312
2022-01-20,162.0366973876953,205.86215209960938,55.925506591796875,348.9784240722656,160.92880249023438
2022-01-21,159.9683074951172,203.44837951660156,55.64933776855469,345.3223571777344,161.18783569335938
2022-01-24,159.19015502929688,203.67645263671875,55.198246002197266,347.3038635253906,160.3644256591797
2022-01-25,157.37783813476562,203.65744018554688,55.069366455078125,360.17901611328125,158.5232696533203
2022-01-26,157.2891845703125,203.63844299316406,54.86683654785156,363.96527099609375,156.84864807128906
2022-01-27,156.82626342773438,201.6238250732422,54.91286849975586,361.9558410644531,156.7006072998047
2022-01-28,167.76919555664062,191.16110229492188,56.008365631103516,365.7420959472656,159.7537841796875
2022-01-31,172.15231323242188,191.5411834716797,56.164859771728516,362.0024108886719,160.5402069091797
2022-02-01,171.98489379882812,195.14283752441406,55.7505989074707,360.0301818847656,159.44847106933594
2022-02-02,173.1963653564453,194.75320434570312,56.32136535644531,360.3371887207031,162.3443603515625
2022-02-03,170.30055236816406,190.61944580078125,56.71721649169922,362.5325927734375,162.2518310546875
2022-02-04,170.01455688476562,188.5477752685547,56.11882400512695,362.18841552734375,159.58724975585938
2022-02-07,169.29464721679688,189.88771057128906,56.708003997802734,364.98858642578125,158.95809936523438
2022-02-08,172.4209747314453,191.4841766357422,57.07624053955078,368.4306945800781,159.1524200439453
2022-02-09,173.85096740722656,193.4798126220703,56.192481994628906,367.0352478027344,159.07838439941406
2022-02-10,169.74827575683594,192.97613525390625,56.50547790527344,358.56024169921875,155.7754364013672
2022-02-11,166.31626892089844,191.2371063232422,55.50204086303711,368.5701904296875,155.96974182128906
2022-02-14,166.55294799804688,189.9542236328125,55.8610725402832,359.9930114746094,154.2303466796875
2022-02-15,170.4090576171875,193.29925537109375,56.07279968261719,355.5740966796875,153.54571533203125
2022-02-16,170.17234802246094,193.51780700683594,56.0635986328125,359.9278259277344,153.86029052734375
2022-02-17,166.55294799804688,185.06019592285156,57.18670654296875,361.6674499511719,154.276611328125
2022-02-18,164.99472045898438,182.4088897705078,57.5733528137207,359.5185241699219,155.16481018066406
2022-02-22,162.05580139160156,181.70567321777344,57.3339958190918,359.276611328125,155.75694274902344
2022-02-23,157.86434936523438,177.3913116455078,56.69880294799805,361.7884216308594,154.22109985351562
2022-02-24,160.49755859375,175.50975036621094,55.70456314086914,368.1236267089844,151.5380096435547
2022-02-25,162.57847595214844,177.76194763183594,57.85873031616211,380.9429931640625,155.7847137451172
2022-02-28,162.84474182128906,178.25608825683594,57.297183990478516,406.33673095703125,151.49179077148438
2022-03-01,160.9512176513672,173.7421875,57.04862976074219,427.7026062011719,150.13172912597656
2022-03-02,164.26490783691406,183.0360870361328,57.47209548950195,421.5111083984375,152.21343994140625
2022-03-03,163.93946838378906,185.16473388671875,57.5089111328125,419.4691467285156,152.0504608154297
2022-03-04,160.92161560058594,185.9344940185547,57.600975036621094,429.1451721191406,154.36001586914062
2022-03-07,157.10496520996094,186.92274475097656,56.22930908203125,436.6387023925781,151.2867889404297
2022-03-08,155.27056884765625,199.56166076660156,54.00148391723633,420.5650634765625,147.0215301513672
2022-03-09,160.70465087890625,199.3526153564453,54.27766036987305,420.3121643066406,146.58383178710938
2022-03-10,156.33570861816406,201.2626953125,53.28342819213867,416.2281799316406,143.8924102783203
2022-03-11,152.59791564941406,204.151611328125,53.32025146484375,411.2449645996094,143.166015625
2022-03-14,148.54452514648438,204.73130798339844,54.30354690551758,416.31256103515625,145.17759704589844
2022-03-15,152.9529266357422,205.70059204101562,55.30538558959961,420.2653503417969,148.07388305664062
2022-03-16,157.39096069335938,205.33946228027344,55.15695571899414,394.66558837890625,148.72576904296875
2022-03-17,158.40676879882812,210.68011474609375,55.741371154785156,401.45654296875,149.8805694580078
2022-03-18,161.72044372558594,209.92938232421875,55.75064468383789,399.1991271972656,151.6034393310547
2022-03-21,163.10118103027344,212.59022521972656,56.1959114074707,412.1441955566406,151.38925170898438
2022-03-22,166.4937744140625,211.63992309570312,56.399993896484375,412.6968688964844,153.0469207763672
2022-03-23,167.86460876464844,211.12677001953125,56.02894592285156,417.0618591308594,152.2460174560547
2022-03-24,171.6714324951172,211.16477966308594,56.56696319580078,421.25823974609375,153.16799926757812
2022-03-25,172.31243896484375,212.25759887695312,57.0771598815918,424.9394226074219,153.88510131835938
2022-03-28,173.18035888671875,210.82266235351562,57.43893051147461,416.8089294433594,154.3413848876953
