Date,GOOGL,KO,PEP,PG,WMT
2020-01-02,68.26496124267578,47.45193099975586,118.6358642578125,109.72233581542969,36.86406707763672
2020-01-03,67.90784454345703,47.193050384521484,118.46987915039062,108.9843978881836,36.53863525390625
2020-01-06,69.71786499023438,47.17580032348633,118.92408752441406,109.13553619384766,36.46426010131836
2020-01-07,69.58320617675781,46.8133659362793,117.05484008789062,108.45980834960938,36.126426696777344
2020-01-08,70.07847595214844,46.8996696472168,117.65755462646484,108.92214965820312,36.00244140625
2020-01-09,70.81415557861328,47.75395202636719,117.73615264892578,110.11354064941406,36.37436294555664
2020-01-10,71.27151489257812,47.91790771484375,117.50908660888672,110.22021484375,36.07062911987305
2020-01-13,71.82365417480469,48.43566131591797,119.2560043334961,111.029296875,35.91565704345703
2020-01-14,71.35282135009766,48.323486328125,119.5355224609375,110.86036682128906,36.008636474609375
2020-01-15,71.7822494506836,48.92752456665039,121.58821105957031,111.989501953125,35.729705810546875
2020-01-16,72.32890319824219,49.03107833862305,121.9462890625,112.08729553222656,35.9218635559082
2020-01-17,73.79327392578125,49.13462448120117,123.38755798339844,112.38959503173828,35.630516052246094
2020-01-21,73.929443359375,49.333099365234375,123.91165161132812,112.10509490966797,35.82577896118164
2020-01-22,74.01023864746094,49.712791442871094,125.2393569946289,112.30068969726562,35.983856201171875
2020-01-23,74.05113983154297,49.902626037597656,125.47517395019531,111.78731536865234,35.89397048950195
2020-01-24,73.12742614746094,49.7731819152832,124.83750915527344,111.92147827148438,35.447662353515625
2020-01-27,71.40968322753906,49.60059356689453,124.15624237060547,112.41337585449219,35.909461975097656
2020-01-28,72.34586334228516,49.19502639770508,124.41827392578125,112.71745300292969,36.13882064819336
2020-01-29,72.65509033203125,49.19502639770508,123.79811096191406,111.84992218017578,35.91876220703125
2020-01-30,72.53289794921875,50.79143524169922,125.63243865966797,112.64590454101562,36.13261032104492
2020-01-31,71.46205139160156,50.39447784423828,124.05139923095703,111.45641326904297,35.48484802246094
2020-02-03,73.94689178466797,50.54981231689453,124.47941589355469,111.89466094970703,35.41665267944336
2020-02-04,72.09198760986328,50.774173736572266,125.09959411621094,112.38655090332031,35.72659683227539
2020-02-05,72.12390899658203,50.782798767089844,126.04293823242188,113.41506958007812,36.20390701293945
2020-02-06,73.6162109375,50.90361022949219,126.06915283203125,113.71022033691406,36.0489387512207
2020-02-07,73.7728271484375,51.076194763183594,126.97755432128906,112.76219177246094,36.092323303222656
2020-02-10,75.2466812133789,51.55942916870117,127.23088073730469,112.8426742553711,35.72040939331055
2020-02-11,75.3165054321289,51.421363830566406,127.59774017333984,111.04499053955078,35.76688766479492
2020-02-12,75.74394989013672,51.26603317260742,127.59774017333984,110.40998840332031,35.906368255615234
2020-02-13,75.48259735107422,51.43861389160156,127.9383773803711,111.76048278808594,36.399169921875
2020-02-14,75.74893188476562,51.73200988769531,128.3926239013672,112.81583404541016,36.53863525390625
2020-02-18,75.78434753417969,51.36958312988281,127.17847442626953,111.68000793457031,37.07793045043945
2020-02-19,76.05517578125,51.576690673828125,127.11729431152344,112.18978881835938,36.473541259765625
2020-02-20,75.66214752197266,51.533531188964844,126.79415130615234,113.20936584472656,36.476646423339844
2020-02-21,73.98978424072266,51.88734436035156,127.39685821533203,113.31669616699219,36.75249099731445
2020-02-24,70.81764221191406,50.61022186279297,124.59300994873047,110.27583312988281,36.05203628540039
2020-02-25,69.14479064941406,49.89400100708008,123.2478256225586,108.60335540771484,35.4538459777832
2020-02-26,69.35177612304688,49.70415496826172,124.01646423339844,107.46752166748047,35.264793395996094
2020-02-27,65.58509826660156,47.4001579284668,119.11625671386719,101.51099395751953,34.21720504760742
2020-02-28,66.7970962524414,46.157562255859375,115.32534790039062,101.26952362060547,33.3741569519043
2020-03-02,69.14479064941406,48.25444793701172,120.17316436767578,106.9308853149414,35.91565704345703
2020-03-03,66.72079467773438,48.37525939941406,118.42620086669922,105.68773651123047,34.995140075683594
2020-03-04,68.90937042236328,50.84320068359375,124.37459564208984,111.3490982055664,36.19151306152344
2020-03-05,65.57562255859375,48.962032318115234,121.44190979003906,108.7822494506836,35.928062438964844
2020-03-06,64.6269760131836,47.68492126464844,120.7032241821289,108.80906677246094,36.33407211303711
2020-03-09,60.63935089111328,44.75099563598633,114.45963287353516,103.80058288574219,36.31238555908203
2020-03-10,63.60101318359375,46.304256439208984,117.95954132080078,107.8163070678711,37.12751770019531
2020-03-11,60.39544677734375,45.053016662597656,114.09909057617188,99.80274963378906,35.466251373291016
2020-03-12,55.44021987915039,40.69526672363281,101.4272689819336,91.0826416015625,32.249088287353516
2020-03-13,60.56353759765625,42.1925048828125,112.07652282714844,102.02079010009766,35.36397171020508
2020-03-16,53.51748275756836,39.39824295043945,99.44866943359375,97.03915405273438,33.089019775390625
2020-03-17,55.764915466308594,41.069583892822266,112.31397247314453,105.75032806396484,36.9632568359375
2020-03-18,54.42473602294922,39.04134750366211,106.33419036865234,105.04376983642578,37.992244720458984
2020-03-19,55.446205139160156,36.412479400634766,103.18602752685547,99.12303161621094,37.18595504760742
2020-03-20,53.27857208251953,33.339656829833984,91.39358520507812,91.6103286743164,35.479976654052734
2020-03-23,52.57631301879883,32.69549560546875,92.49280548095703,87.37994384765625,35.576480865478516
2020-03-24,56.36094284057617,34.34071731567383,100.10820770263672,92.36161041259766,35.809974670410156
2020-03-25,54.9449462890625,36.220970153808594,98.92984771728516,90.25981140136719,34.057289123535156
2020-03-26,58.002376556396484,38.55387878417969,105.75382232666016,96.03744506835938,34.18803787231445
