Date,AAPL,KO,PG,TSLA,V
2023-01-03,123.90463256835938,59.66529083251953,145.07484436035156,108.0999984741211,204.58348083496094
2023-01-04,125.18260955810547,59.6368522644043,145.70655822753906,113.63999938964844,209.73281860351562
2023-01-05,123.85508728027344,58.954429626464844,143.89755249023438,110.33999633789062,208.25314331054688
2023-01-06,128.41221618652344,60.0918083190918,147.32412719726562,113.05999755859375,214.8032989501953
2023-01-09,128.93728637695312,59.3430290222168,145.5247039794922,119.7699966430664,215.6417999267578
2023-01-10,129.51187133789062,58.88807678222656,145.38111877441406,118.8499984741211,218.09808349609375
2023-01-11,132.2461700439453,58.77433776855469,144.20384216308594,123.22000122070312,219.0944061279297
2023-01-12,132.1669158935547,58.016082763671875,143.3902587890625,123.55999755859375,220.59384155273438
2023-01-13,133.5043487548828,58.224605560302734,144.41441345214844,122.4000015258789,220.0414276123047
2023-01-17,134.67335510253906,58.4615592956543,143.99327087402344,131.49000549316406,219.98223876953125
2023-01-18,133.9501495361328,56.68913650512695,140.13597106933594,128.77999877929688,216.4901580810547
2023-01-19,134.0095977783203,56.603824615478516,137.17234802246094,127.16999816894531,217.4272918701172
2023-01-20,136.58535766601562,56.945045471191406,137.7020721435547,133.4199981689453,221.27450561523438
2023-01-23,139.79518127441406,57.08721923828125,135.85281372070312,143.75,221.14625549316406
2023-01-24,141.20193481445312,57.39051818847656,136.59445190429688,143.88999938964844,220.86019897460938
2023-01-25,140.5381622314453,57.75069046020508,136.4981231689453,144.42999267578125,221.85655212402344
2023-01-26,142.61863708496094,57.636959075927734,135.94912719726562,160.27000427246094,221.6691131591797
2023-01-27,144.5702362060547,57.33365249633789,135.39051818847656,177.89999389648438,228.30804443359375
2023-01-30,141.6675567626953,57.47582244873047,135.81427001953125,166.66000366210938,225.9997100830078
2023-01-31,142.94552612304688,58.12034225463867,137.13380432128906,173.22000122070312,227.0946807861328
2023-02-01,144.0749053955078,58.129825592041016,137.91395568847656,181.41000366210938,227.77532958984375
2023-02-02,149.4147186279297,57.13460922241211,136.9315643310547,188.27000427246094,226.45347595214844
2023-02-03,153.06040954589844,56.708091735839844,137.35533142089844,189.97999572753906,227.0157470703125
2023-02-06,150.3162384033203,57.03034591674805,136.18991088867188,194.75999450683594,226.3350830078125
2023-02-07,153.20901489257812,56.935569763183594,134.8607635498047,196.80999755859375,228.1896514892578
2023-02-08,150.50445556640625,56.603824615478516,133.4641876220703,201.2899932861328,227.0847930908203
2023-02-09,149.46421813964844,56.5090446472168,132.0001983642578,207.32000732421875,226.68943786621094
2023-02-10,149.83135986328125,56.5090446472168,133.16561889648438,196.88999938964844,224.5643768310547
2023-02-13,152.64920043945312,57.43790817260742,134.90892028808594,194.63999938964844,226.22488403320312
2023-02-14,152.00424194335938,56.48061752319336,134.14805603027344,209.25,226.7289581298828
2023-02-15,154.11764526367188,56.48061752319336,133.83981323242188,214.24000549316406,226.26441955566406
2023-02-16,152.51028442382812,56.129920959472656,132.0868682861328,202.0399932861328,223.2102508544922
2023-02-17,151.35931396484375,56.98295974731445,134.85113525390625,208.30999755859375,220.9665985107422
2023-02-21,147.32110595703125,56.679656982421875,134.7548370361328,197.3699951171875,218.0607147216797
2023-02-22,147.7477264404297,56.85026168823242,135.32308959960938,200.86000061035156,217.4676971435547
2023-02-23,148.23391723632812,56.95452117919922,134.88966369628906,202.07000732421875,218.56478881835938
2023-02-24,145.56492614746094,56.71757125854492,134.1287841796875,196.8800048828125,217.0031280517578
2023-02-27,146.76547241210938,56.6986083984375,134.01318359375,207.6300048828125,217.7938690185547
2023-02-28,146.25946044921875,56.40478515625,132.4914093017578,205.7100067138672,217.3885955810547
2023-03-01,144.1758270263672,55.78870391845703,132.58773803710938,202.77000427246094,215.82691955566406
2023-03-02,144.7711639404297,56.603824615478516,134.77407836914062,190.89999389648438,216.51882934570312
2023-03-03,149.8511962890625,56.33843994140625,135.7565155029297,197.7899932861328,221.17417907714844
2023-03-06,152.6293487548828,57.2104377746582,135.17861938476562,193.80999755859375,224.11959838867188
2023-03-07,150.41676330566406,56.878692626953125,132.4914093017578,187.7100067138672,220.5811309814453
2023-03-08,151.67681884765625,56.90713119506836,132.51068115234375,182.0,219.61248779296875
2023-03-09,149.41461181640625,56.35739517211914,131.53790283203125,172.9199981689453,217.45779418945312
2023-03-10,147.3409423828125,56.12044143676758,132.1350555419922,173.44000244140625,213.63267517089844
2023-03-13,149.29554748535156,56.68913650512695,133.050048828125,174.47999572753906,211.98207092285156
2023-03-14,151.39901733398438,56.89765167236328,134.69705200195312,183.25999450683594,216.1234588623047
2023-03-15,151.7958984375,57.27678298950195,136.6040802001953,180.4499969482422,213.86001586914062
2023-03-16,154.6335906982422,57.591957092285156,137.62501525878906,184.1300048828125,214.92747497558594
2023-03-17,153.7902069091797,57.32454299926758,137.6635284423828,180.1300048828125,214.86819458007812
2023-03-20,156.1714630126953,57.87848663330078,139.78250122070312,183.25,215.6193389892578
2023-03-21,158.03680419921875,57.61106872558594,138.7711639404297,197.5800018310547,219.37527465820312
2023-03-22,156.5980987548828,57.353187561035156,138.6844940185547,191.14999389648438,217.4874267578125
2023-03-23,157.6895294189453,57.22902297973633,138.49185180664062,192.22000122070312,220.0078582763672
2023-03-24,158.99923706054688,58.16501998901367,141.31390380859375,190.41000366210938,218.475830078125
2023-03-27,157.04461669921875,58.59480285644531,140.57228088378906,191.80999755859375,219.2368927001953
2023-03-28,156.4195098876953,58.66166305541992,140.9671630859375,189.19000244140625,217.77407836914062
