Date,AAPL,CAT,KO,PEP,V
2022-01-03,179.2736053466797,195.7609100341797,54.590660095214844,160.0406036376953,216.79354858398438
2022-01-04,176.9983367919922,206.23934936523438,55.502044677734375,160.27191162109375,217.80203247070312
2022-01-05,172.2902069091797,207.8186492919922,55.96233367919922,160.81777954101562,215.39352416992188
2022-01-06,169.41409301757812,209.93704223632812,55.667747497558594,160.8547821044922,215.14874267578125
2022-01-07,169.58154296875,212.01760864257812,55.53886413574219,161.05833435058594,212.4171905517578
2022-01-10,169.6012420654297,209.60604858398438,55.63091278076172,161.14157104492188,207.53164672851562
2022-01-11,172.44781494140625,208.00779724121094,55.64933776855469,161.06756591796875,209.89120483398438
2022-01-12,172.8910369873047,210.3247833251953,55.7321891784668,160.89178466796875,211.19334411621094
2022-01-13,169.6012420654297,214.675048828125,56.063602447509766,161.15081787109375,210.49818420410156
2022-01-14,170.468017578125,216.50967407226562,56.51468276977539,162.50161743164062,210.17510986328125
2022-01-18,167.2471923828125,217.3892059326172,56.063602447509766,160.9473114013672,211.19334411621094
2022-01-19,163.73086547851562,210.64208984375,56.1556510925293,162.1038055419922,210.1848907470703
2022-01-20,162.03672790527344,205.86215209960938,55.92550277709961,160.9287872314453,209.86183166503906
2022-01-21,159.96827697753906,203.44837951660156,55.64933776855469,161.18785095214844,201.6180877685547
2022-01-24,159.19017028808594,203.6764678955078,55.19824981689453,160.36441040039062,197.62355041503906
2022-01-25,157.37782287597656,203.657470703125,55.069366455078125,158.52325439453125,197.77040100097656
2022-01-26,157.2891845703125,203.638427734375,54.86684036254883,156.8486328125,201.5593719482422
2022-01-27,156.82623291015625,201.6238250732422,54.91286849975586,156.70062255859375,201.83349609375
2022-01-28,167.76922607421875,191.16110229492188,56.008365631103516,159.7537841796875,223.22601318359375
2022-01-31,172.15231323242188,191.5411834716797,56.16485595703125,160.54022216796875,221.43431091308594
2022-02-01,171.98487854003906,195.142822265625,55.7505989074707,159.44847106933594,227.4947052001953
2022-02-02,173.19639587402344,194.7532196044922,56.32135772705078,162.3443145751953,230.49061584472656
2022-02-03,170.30055236816406,190.61940002441406,56.71721649169922,162.25180053710938,226.69189453125
2022-02-04,170.0145721435547,188.5477752685547,56.11882400512695,159.58726501464844,223.6078338623047
2022-02-07,169.2946319580078,189.88771057128906,56.7080078125,158.95809936523438,222.40357971191406
2022-02-08,172.42098999023438,191.4841766357422,57.07624053955078,159.1524200439453,223.16726684570312
2022-02-09,173.85098266601562,193.47979736328125,56.192481994628906,159.07838439941406,226.03590393066406
2022-02-10,169.74830627441406,192.97618103027344,56.50547790527344,155.77545166015625,221.2257843017578
2022-02-11,166.3162384033203,191.23712158203125,55.502044677734375,155.9697265625,220.34317016601562
2022-02-14,166.55291748046875,189.95420837402344,55.8610725402832,154.2303466796875,220.98062133789062
2022-02-15,170.40907287597656,193.29928588867188,56.07280349731445,153.5457305908203,223.4126434326172
2022-02-16,170.17237854003906,193.51779174804688,56.063602447509766,153.86026000976562,224.393310546875
2022-02-17,166.55291748046875,185.06021118164062,57.186702728271484,154.27664184570312,220.26473999023438
2022-02-18,164.9947052001953,182.40887451171875,57.573360443115234,155.16481018066406,218.3818817138672
2022-02-22,162.05577087402344,181.7056427001953,57.33400344848633,155.75692749023438,217.03839111328125
2022-02-23,157.86434936523438,177.39134216308594,56.69879913330078,154.22113037109375,211.7722930908203
2022-02-24,160.49752807617188,175.50973510742188,55.70457077026367,151.53805541992188,213.09619140625
2022-02-25,162.57847595214844,177.76194763183594,57.85873794555664,155.7847137451172,215.02806091308594
2022-02-28,162.84474182128906,178.25608825683594,57.29718017578125,151.4917755126953,211.93898010253906
2022-03-01,160.9512176513672,173.74220275878906,57.04862594604492,150.13174438476562,204.92733764648438
2022-03-02,164.2649383544922,183.0360870361328,57.47209548950195,152.21343994140625,204.44677734375
2022-03-03,163.93946838378906,185.1647491455078,57.5089111328125,152.0504608154297,203.22097778320312
2022-03-04,160.92161560058594,185.93446350097656,57.60097122192383,154.36004638671875,196.41525268554688
2022-03-07,157.10494995117188,186.9227752685547,56.229312896728516,151.28680419921875,187.01077270507812
2022-03-08,155.27056884765625,199.5616912841797,54.001487731933594,147.02149963378906,188.0012664794922
2022-03-09,160.70468139648438,199.3526153564453,54.27766418457031,146.58384704589844,195.8955078125
2022-03-10,156.33570861816406,201.2626953125,53.28342819213867,143.89242553710938,194.14012145996094
2022-03-11,152.59788513183594,204.151611328125,53.320255279541016,143.166015625,192.90451049804688
2022-03-14,148.54454040527344,204.7312774658203,54.30354309082031,145.17758178710938,196.4544677734375
2022-03-15,152.9529571533203,205.7006072998047,55.305381774902344,148.07386779785156,202.15206909179688
2022-03-16,157.39093017578125,205.3394775390625,55.156959533691406,148.72579956054688,207.77117919921875
2022-03-17,158.40675354003906,210.68011474609375,55.74136734008789,149.8805694580078,209.32064819335938
2022-03-18,161.72044372558594,209.92938232421875,55.750640869140625,151.60340881347656,214.87115478515625
2022-03-21,163.1011962890625,212.59019470214844,56.1959114074707,151.38925170898438,212.8411865234375
2022-03-22,166.4937744140625,211.63990783691406,56.39999008178711,153.04693603515625,214.2435302734375
2022-03-23,167.86459350585938,211.1267547607422,56.02893829345703,152.2460174560547,210.52682495117188
2022-03-24,171.67144775390625,211.16477966308594,56.56696319580078,153.16799926757812,213.10595703125
2022-03-25,172.3124542236328,212.25762939453125,57.0771598815918,153.8850860595703,214.20431518554688
2022-03-28,173.1803741455078,210.82266235351562,57.438941955566406,154.34141540527344,216.4990234375
