Date,CAT,CVX,KO,SLB,XOM
2022-01-03,195.7609100341797,107.2700424194336,54.590660095214844,30.09912109375,57.61800003051758
2022-01-04,206.23934936523438,109.22187805175781,55.502044677734375,31.560426712036133,59.785247802734375
2022-01-05,207.8186492919922,109.93244171142578,55.96233367919922,31.560426712036133,60.52882385253906
2022-01-06,209.93704223632812,110.86788177490234,55.667747497558594,32.31005859375,61.95249557495117
2022-01-07,212.01760864257812,112.4599380493164,55.53886413574219,33.2399787902832,62.46030044555664
2022-01-10,209.60604858398438,112.53190612792969,55.63091278076172,33.32538604736328,62.08851623535156
2022-01-11,208.00779724121094,115.10438537597656,55.64933776855469,34.61589050292969,64.70008850097656
2022-01-12,210.3247833251953,114.52871704101562,55.7321891784668,34.587425231933594,64.50967407226562
2022-01-13,214.675048828125,114.052001953125,56.063602447509766,34.32172775268555,64.04720306396484
2022-01-14,216.50967407226562,115.99483489990234,56.51468276977539,35.877925872802734,65.17163848876953
2022-01-18,217.3892059326172,116.37261962890625,56.063602447509766,35.62172317504883,66.26886749267578
2022-01-19,210.64208984375,115.94986724853516,56.1556510925293,35.2042121887207,66.29605865478516
2022-01-20,205.86215209960938,115.53609466552734,55.92550277709961,35.15676498413086,66.44114685058594
2022-01-21,203.44837951660156,114.15094757080078,55.64933776855469,34.50202178955078,65.44367980957031
2022-01-24,203.6764678955078,114.39379119873047,55.19824981689453,34.72975540161133,66.00588989257812
2022-01-25,203.657470703125,119.2598876953125,55.069366455078125,36.8078498840332,67.94642639160156
2022-01-26,203.638427734375,119.34983825683594,54.86684036254883,37.7662467956543,67.25725555419922
2022-01-27,201.6238250732422,121.76040649414062,54.91286849975586,36.874271392822266,68.11874389648438
2022-01-28,191.16110229492188,117.47895050048828,56.008365631103516,37.652374267578125,68.2638168334961
2022-01-31,191.5411834716797,118.12657928466797,56.16485595703125,37.07353591918945,68.88043975830078
2022-02-01,195.142822265625,121.23870086669922,55.7505989074707,37.500545501708984,73.29654693603516
2022-02-02,194.7532196044922,121.79637145996094,56.32135772705078,37.24435043334961,73.10611724853516
2022-02-03,190.61940002441406,120.70802307128906,56.71721649169922,36.608577728271484,72.25373077392578
2022-02-04,188.5477752685547,122.2191162109375,56.11882400512695,36.54216003417969,73.82250213623047
2022-02-07,189.88771057128906,124.62069702148438,56.7080078125,38.21222686767578,74.7111587524414
2022-02-08,191.4841766357422,122.72281646728516,57.07624053955078,37.02716064453125,72.77967071533203
2022-02-09,193.47979736328125,123.93707275390625,56.192481994628906,37.503089904785156,72.4312744140625
2022-02-10,192.97618103027344,122.363037109375,56.50547790527344,37.28416061401367,71.7344741821289
2022-02-11,191.23712158203125,124.85455322265625,55.502044677734375,38.664344787597656,73.54067993164062
2022-02-14,189.95420837402344,122.92971801757812,55.8610725402832,37.40789794921875,72.41294860839844
2022-02-15,193.29928588867188,122.02986145019531,56.07280349731445,38.159873962402344,71.50525665283203
2022-02-16,193.51779174804688,122.06622314453125,56.063602447509766,39.682838439941406,71.8353271484375
2022-02-17,185.06021118164062,121.43909454345703,57.186702728271484,39.130767822265625,71.72531127929688
2022-02-18,182.40887451171875,121.26638793945312,57.573360443115234,38.27408981323242,70.9276351928711
2022-02-22,181.7056427001953,120.33929443359375,57.33400344848633,37.645870208740234,70.10247039794922
2022-02-23,177.39134216308594,123.20237731933594,56.69879913330078,37.82671356201172,70.3866958618164
2022-02-24,175.50973510742188,122.5661392211914,55.70457077026367,36.47509002685547,69.49735260009766
2022-02-25,177.76194763183594,127.59239196777344,57.85873794555664,37.550689697265625,71.36773681640625
2022-02-28,178.25608825683594,130.88262939453125,57.29718017578125,37.350799560546875,71.89950561523438
2022-03-01,173.74220275878906,136.0815887451172,57.04862594604492,35.85638427734375,72.58714294433594
2022-03-02,183.0360870361328,140.0989532470703,57.47209548950195,37.350799560546875,73.83406829833984
2022-03-03,185.1647491455078,141.98947143554688,57.5089111328125,36.66545867919922,74.30165100097656
2022-03-04,185.93446350097656,144.1981201171875,57.60097122192383,37.06523895263672,77.0980453491211
2022-03-07,186.9227752685547,147.2793426513672,56.229312896728516,40.07310104370117,79.8761215209961
2022-03-08,199.5616912841797,154.99591064453125,54.001487731933594,42.90962600708008,80.4812240600586
2022-03-09,199.3526153564453,151.12400817871094,54.27766418457031,40.510955810546875,75.90614318847656
2022-03-10,201.2626953125,155.259521484375,53.28342819213867,41.31051254272461,78.262451171875
2022-03-11,204.151611328125,155.3322296142578,53.320255279541016,40.8345832824707,77.85904693603516
2022-03-14,204.7312774658203,151.5330047607422,54.30354309082031,39.54957962036133,75.07182312011719
2022-03-15,205.7006072998047,143.86183166503906,55.305381774902344,37.369834899902344,70.79927825927734
2022-03-16,205.3394775390625,143.34376525878906,55.156959533691406,36.056270599365234,70.53338623046875
2022-03-17,210.68011474609375,145.8250732421875,55.74136734008789,37.607791900634766,72.41294860839844
2022-03-18,209.92938232421875,146.99758911132812,55.750640869140625,37.817195892333984,72.12870788574219
2022-03-21,212.59019470214844,149.64248657226562,56.1959114074707,39.2069091796875,75.36519622802734
2022-03-22,211.63990783691406,149.142578125,56.39999008178711,39.216426849365234,75.0351333618164
2022-03-23,211.1267547607422,150.75132751464844,56.02893829345703,40.36817169189453,76.2178726196289
2022-03-24,211.16477966308594,151.15126037597656,56.56696319580078,40.587100982666016,76.44707489013672
2022-03-25,212.25762939453125,153.88705444335938,57.0771598815918,41.577030181884766,78.1157455444336
2022-03-28,210.82266235351562,151.19671630859375,57.438941955566406,39.720909118652344,75.92448425292969
