Date,BTC-USD,ETH-USD,NVDA,TSLA,XRP-USD
2023-01-03,16679.857421875,1214.77880859375,14.305580139160156,108.0999984741211,0.34382399916648865
2023-01-04,16863.23828125,1256.526611328125,14.73929500579834,113.63999938964844,0.3477939963340759
2023-01-05,16836.736328125,1250.4385986328125,14.255613327026367,110.33999633789062,0.33803901076316833
2023-01-06,16951.96875,1269.3790283203125,14.849223136901855,113.05999755859375,0.3446449935436249
2023-01-09,17196.5546875,1321.5389404296875,15.617717742919922,119.7699966430664,0.3493399918079376
2023-01-10,17446.29296875,1336.5860595703125,15.898531913757324,118.8499984741211,0.35124099254608154
2023-01-11,17934.896484375,1387.9327392578125,15.990468978881836,123.22000122070312,0.37415799498558044
2023-01-12,18869.587890625,1417.9384765625,16.500137329101562,123.55999755859375,0.37519699335098267
2023-01-13,19909.57421875,1451.6148681640625,16.88787841796875,122.4000015258789,0.3858039975166321
2023-01-17,21161.51953125,1567.8460693359375,17.690353393554688,131.49000549316406,0.3877109885215759
2023-01-18,20688.78125,1515.5069580078125,17.365570068359375,128.77999877929688,0.3794519901275635
2023-01-19,21086.79296875,1552.5565185546875,16.753969192504883,127.16999816894531,0.3937849998474121
2023-01-20,22676.552734375,1659.754150390625,17.8272647857666,133.4199981689453,0.41334399580955505
2023-01-23,22934.431640625,1628.2510986328125,19.18037223815918,143.75,0.4249430000782013
2023-01-24,22636.46875,1556.604248046875,19.252321243286133,143.88999938964844,0.40770700573921204
2023-01-25,23117.859375,1611.7110595703125,19.310287475585938,144.42999267578125,0.41769298911094666
2023-01-26,23032.77734375,1603.10595703125,19.788970947265625,160.27000427246094,0.4101029932498932
2023-01-27,23078.728515625,1598.156494140625,20.35160255432129,177.89999389648438,0.41279101371765137
2023-01-30,22840.138671875,1567.3265380859375,19.149394989013672,166.66000366210938,0.39459100365638733
2023-01-31,23139.283203125,1586.535400390625,19.524145126342773,173.22000122070312,0.4063889980316162
2023-02-01,23723.76953125,1641.792724609375,20.92922019958496,181.41000366210938,0.41389200091362
2023-02-02,23471.87109375,1643.2415771484375,21.694717407226562,188.27000427246094,0.40974700450897217
2023-02-03,23449.322265625,1664.74560546875,21.086116790771484,189.97999572753906,0.4122050106525421
2023-02-06,22760.109375,1616.2470703125,21.07512092590332,194.75999450683594,0.3928239941596985
2023-02-07,23264.291015625,1672.0035400390625,22.158411026000977,196.80999755859375,0.403903990983963
2023-02-08,22939.3984375,1650.716796875,22.19038963317871,201.2899932861328,0.39805200695991516
2023-02-09,21819.0390625,1546.438232421875,22.322303771972656,207.32000732421875,0.38246598839759827
2023-02-10,21651.18359375,1514.869140625,21.251008987426758,196.88999938964844,0.38264501094818115
2023-02-13,21808.1015625,1507.1658935546875,21.773662567138672,194.63999938964844,0.3716750144958496
2023-02-14,22220.8046875,1556.8751220703125,22.955886840820312,209.25,0.382407009601593
2023-02-15,24307.841796875,1673.7459716796875,22.749019622802734,214.24000549316406,0.4013519883155823
2023-02-16,23623.474609375,1640.067626953125,21.987524032592773,202.0399932861328,0.3851569890975952
2023-02-17,24565.6015625,1694.7833251953125,21.373929977416992,208.30999755859375,0.3953019976615906
2023-02-21,24436.353515625,1658.036376953125,20.64141082763672,197.3699951171875,0.3919050097465515
2023-02-22,24188.84375,1643.231689453125,20.74034309387207,200.86000061035156,0.3955860137939453
2023-02-23,23947.4921875,1651.0738525390625,23.64842987060547,202.07000732421875,0.38912999629974365
2023-02-24,23198.126953125,1608.3731689453125,23.27067756652832,196.8800048828125,0.37847700715065
2023-02-27,23522.87109375,1634.326416015625,23.48553466796875,207.6300048828125,0.3791149854660034
2023-02-28,23147.353515625,1605.8951416015625,23.20072364807129,205.7100067138672,0.3771499991416931
2023-03-01,23646.55078125,1663.4337158203125,22.68306541442871,202.77000427246094,0.38387900590896606
