Date,AAPL,ETH-USD,GOOGL,LTC-USD,MRNA,MSFT,NVDA
2020-01-02,72.87610626220703,127.4101791381836,68.26496124267578,39.82301330566406,19.229999542236328,153.93820190429688,5.9731221199035645
2020-01-03,72.16759490966797,134.1717071533203,67.90784454345703,42.41557312011719,18.889999389648438,152.02139282226562,5.877516746520996
2020-01-06,72.7426528930664,144.3041534423828,69.71786499023438,45.81635284423828,18.1299991607666,152.41433715820312,5.902164936065674
2020-01-07,72.40055084228516,143.5439910888672,69.58320617675781,46.424583435058594,17.780000686645508,151.02467346191406,5.973620414733887
2020-01-08,73.5652084350586,141.2581329345703,70.07847595214844,45.65376663208008,17.979999542236328,153.4302520751953,5.9848246574401855
2020-01-09,75.12779235839844,138.9792022705078,70.81415557861328,45.2159309387207,18.399999618530273,155.3470458984375,6.0505523681640625
2020-01-10,75.297607421875,143.96377563476562,71.27151489257812,48.72732925415039,19.139999389648438,154.62831115722656,6.082920074462891
2020-01-13,76.90631866455078,144.22659301757812,71.82365417480469,49.733768463134766,20.260000228881836,156.48751831054688,6.273634433746338
2020-01-14,75.86781311035156,165.95535278320312,71.35282135009766,58.478233337402344,20.0,155.3853759765625,6.1566162109375
2020-01-15,75.54270935058594,166.23068237304688,71.7822494506836,58.05284881591797,20.239999771118164,156.39170837402344,6.114041328430176
2020-01-16,76.48896789550781,164.39100646972656,72.32890319824219,57.618255615234375,21.010000228881836,159.25732421875,6.197696208953857
2020-01-17,77.33580017089844,170.7799530029297,73.79327392578125,61.487125396728516,20.6200008392334,160.14862060546875,6.206410884857178
2020-01-21,76.81168365478516,169.69715881347656,73.929443359375,57.64788055419922,20.940000534057617,159.57357788085938,6.17304801940918
2020-01-22,77.08587646484375,168.29415893554688,74.01023864746094,58.3547248840332,21.969999313354492,158.806884765625,6.227075576782227
2020-01-23,77.45710754394531,162.92855834960938,74.05113983154297,54.6302604675293,21.469999313354492,159.78443908691406,6.295542240142822
2020-01-24,77.23387145996094,163.05117797851562,73.12742614746094,54.53178787231445,21.1200008392334,158.17433166503906,6.236287593841553
2020-01-27,74.96280670166016,170.93089294433594,71.40968322753906,58.763267517089844,22.739999771118164,155.52914428710938,5.980341911315918
2020-01-28,77.08344268798828,176.3703155517578,72.34586334228516,60.671817779541016,22.360000610351562,158.57687377929688,6.173795700073242
2020-01-29,78.69697570800781,175.0503387451172,72.65509033203125,60.07793426513672,20.549999237060547,161.049560546875,6.11329460144043
2020-01-30,78.58295440673828,184.6904754638672,72.53289794921875,68.15906524658203,20.989999771118164,165.5923614501953,6.120015621185303
2020-01-31,75.0986557006836,180.16017150878906,71.46205139160156,67.8794937133789,20.510000228881836,163.1484375,5.886479377746582
2020-02-03,74.8924331665039,189.8650665283203,73.94689178466797,69.78022003173828,20.3799991607666,167.12579345703125,5.983579635620117
2020-02-04,77.3648910522461,189.25059509277344,72.09198760986328,68.1957778930664,20.8700008392334,172.62701416015625,6.152880668640137
2020-02-05,77.9957504272461,204.23023986816406,72.12390899658203,72.49310302734375,20.049999237060547,172.41610717773438,6.243259429931641
2020-02-06,78.90806579589844,212.33908081054688,73.6162109375,73.38868713378906,19.8799991607666,175.99095153808594,6.330150604248047
2020-02-07,77.83551025390625,222.72605895996094,73.7728271484375,74.35611724853516,23.239999771118164,176.2401885986328,6.263923168182373
2020-02-10,78.2051773071289,223.522705078125,75.2466812133789,74.33509826660156,23.649999618530273,180.85006713867188,6.547255516052246
2020-02-11,77.73334503173828,235.8511962890625,75.3165054321289,76.59739685058594,21.350000381469727,176.76727294921875,6.669750213623047
2020-02-12,79.57933807373047,265.4061279296875,75.74394989013672,81.29744720458984,19.010000228881836,177.0260467529297,6.785521984100342
2020-02-13,79.01265716552734,268.0992431640625,75.48259735107422,80.40342712402344,19.045000076293945,176.06768798828125,6.741703033447266
2020-02-14,79.03211212158203,284.2174987792969,75.74893188476562,82.99034881591797,19.0,177.63943481445312,7.215001583099365
2020-02-18,77.58497619628906,281.944580078125,75.78434753417969,77.0351791381836,18.90999984741211,179.44125366210938,7.383805751800537
2020-02-19,78.7086410522461,259.76397705078125,76.05517578125,71.13594055175781,18.920000076293945,179.9794158935547,7.835194110870361
2020-02-20,77.90115356445312,257.949462890625,75.66214752197266,69.62484741210938,18.540000915527344,177.2309112548828,7.685811519622803
2020-02-21,76.13787078857422,265.6006164550781,73.98978424072266,73.45092010498047,18.229999542236328,171.62815856933594,7.321561813354492
2020-02-24,72.52127838134766,265.2164306640625,70.81764221191406,75.5356216430664,18.59000015258789,164.22830200195312,6.8039469718933105
2020-02-25,70.0648422241211,247.81759643554688,69.14479064941406,71.18024444580078,23.760000228881836,161.51824951171875,6.524349689483643
2020-02-26,71.17630767822266,225.68026733398438,69.35177612304688,61.01430892944336,29.15999984741211,163.53634643554688,6.663774490356445
2020-02-27,66.52365112304688,226.75338745117188,65.58509826660156,61.50788497924805,26.15999984741211,152.01377868652344,6.2928314208984375
2020-02-28,66.4847412109375,226.760498046875,66.7970962524414,59.76395797729492,25.93000030517578,155.6944580078125,6.728048801422119
2020-03-02,72.67452239990234,230.5697784423828,69.14479064941406,60.995548248291016,29.8799991607666,166.05426025390625,6.886490345001221
2020-03-03,70.36641693115234,224.47962951660156,66.72079467773438,61.14447784423828,27.90999984741211,158.09701538085938,6.623915672302246
2020-03-04,73.63032531738281,224.51797485351562,68.90937042236328,60.38241958618164,27.489999771118164,163.90158081054688,7.0877814292907715
