Date,AAPL,BAC,CVX,NVDA,PEP,SLB,XRP-USD
2021-01-04,126.68341827392578,27.38151741027832,72.39884185791016,13.08120346069336,129.6891326904297,20.470462799072266,0.23667700588703156
2021-01-05,128.24974060058594,27.59123420715332,74.3560562133789,13.371735572814941,130.07566833496094,21.570924758911133,0.22675000131130219
2021-01-06,123.93264770507812,29.314544677734375,76.74910736083984,12.5834321975708,128.48455810546875,22.764644622802734,0.2508949935436249
2021-01-07,128.16163635253906,29.961929321289062,77.10807800292969,13.311135292053223,128.07102966308594,23.202966690063477,0.32600200176239014
2021-01-08,129.26779174804688,29.661026000976562,77.84309387207031,13.244050979614258,129.60821533203125,23.16566276550293,0.32322999835014343
2021-01-11,126.2624740600586,30.15340232849121,78.28751373291016,13.587952613830566,127.72942352294922,23.305553436279297,0.28890499472618103
2021-01-12,126.08629608154297,30.691362380981445,79.77462768554688,13.4515380859375,127.13613891601562,24.378036499023438,0.2921229898929596
2021-01-13,128.1322784423828,30.509000778198242,79.69772338867188,13.49842357635498,128.1789093017578,23.743867874145508,0.3055799901485443
2021-01-14,126.1939926147461,30.992265701293945,81.61216735839844,13.167739868164062,127.43278503417969,24.210166931152344,0.2954379916191101
2021-01-15,124.46125793457031,30.09869384765625,78.706298828125,12.82783031463623,127.10017395019531,23.230941772460938,0.28040599822998047
2021-01-19,125.13673400878906,29.879865646362305,80.77459716796875,12.993172645568848,127.70248413085938,23.706571578979492,0.2943139970302582
2021-01-20,129.2482147216797,29.487789154052734,81.5181655883789,13.332831382751465,127.04624938964844,23.641286849975586,0.2965179979801178
2021-01-21,133.9862518310547,28.96805763244629,78.63793182373047,13.833349227905273,125.50006103515625,22.559473037719727,0.26894599199295044
2021-01-22,136.13992309570312,28.7674617767334,78.39862823486328,13.678726196289062,124.58316040039062,22.764644622802734,0.27279898524284363
2021-01-25,139.90878295898438,28.41185760498047,77.68924713134766,13.619624137878418,126.01246643066406,22.139806747436523,0.269089013338089
2021-01-26,140.14373779296875,28.211259841918945,76.37305450439453,13.402161598205566,127.46875,21.207212448120117,0.26882699131965637
2021-01-27,139.0669403076172,27.19915771484375,75.38164520263672,12.885936737060547,124.0887222290039,20.33989906311035,0.2519429922103882
2021-01-28,134.2016143798828,27.64594078063965,76.08246612548828,13.018855094909668,125.1225357055664,21.11395263671875,0.26412200927734375
2021-01-29,129.1797332763672,27.03502655029297,72.8176498413086,12.95776081085205,122.76734161376953,20.712932586669922,0.2821879982948303
2021-02-01,131.3137664794922,27.317689895629883,73.8517837524414,13.204401016235352,123.1358871459961,20.66630744934082,0.37150898575782776
2021-02-02,132.14588928222656,28.29332160949707,74.40731811523438,13.52336311340332,124.3944091796875,20.99271583557129,0.369269996881485
2021-02-03,131.1179962158203,28.794811248779297,76.03118896484375,13.497177124023438,124.07079315185547,22.550148010253906,0.3934899866580963
2021-02-04,134.49530029296875,29.633676528930664,76.06537628173828,13.630599021911621,125.56301879882812,23.137685775756836,0.44644901156425476
2021-02-05,134.07862854003906,29.51514434814453,76.28759765625,13.557527542114258,126.71365356445312,23.32420539855957,0.45004698634147644
2021-02-08,134.2257080078125,30.171640396118164,78.1849365234375,14.403190612792969,126.21026611328125,24.23814582824707,0.44770199060440063
2021-02-09,133.34332275390625,30.043987274169922,77.74053192138672,14.22812271118164,125.49108123779297,24.247472763061523,0.47199100255966187
2021-02-10,132.73553466796875,30.071346282958984,79.07379913330078,14.727887153625488,123.78311920166016,24.825681686401367,0.503445029258728
2021-02-11,132.48060607910156,29.980161666870117,78.64647674560547,15.213191986083984,121.32901763916016,24.592533111572266,0.5247870087623596
2021-02-12,132.7158966064453,30.42694854736328,79.09944152832031,14.92440414428711,120.34017944335938,24.9655704498291,0.6085919737815857
2021-02-16,130.57864379882812,31.24756622314453,80.72024536132812,15.292492866516113,120.79866790771484,25.12017059326172,0.5208460092544556
2021-02-17,128.27468872070312,31.375226974487305,83.13847351074219,14.86928939819336,120.87057495117188,25.176387786865234,0.5355370044708252
2021-02-18,127.1668701171875,31.174625396728516,82.3410873413086,14.79247760772705,121.6885757446289,23.967697143554688,0.5324329733848572
2021-02-19,127.32373046875,31.493759155273438,83.03447723388672,14.889737129211426,119.11764526367188,24.473665237426758,0.567018985748291
2021-02-22,123.52961730957031,32.049964904785156,85.27936553955078,14.320393562316895,118.65019989013672,25.80416488647461,0.571740984916687
2021-02-23,123.39234161376953,32.387325286865234,86.3541259765625,14.107171058654785,119.3603515625,25.99155616760254,0.47356298565864563
2021-02-24,122.89234924316406,33.171485900878906,89.54375457763672,14.463292121887207,118.74008178710938,27.55629539489746,0.4718320071697235
2021-02-25,118.6178207397461,32.761165618896484,88.71170806884766,13.274724960327148,116.86132049560547,26.713022232055664,0.4345239996910095
2021-02-26,118.88253784179688,31.648761749267578,86.67481994628906,13.680724143981934,116.13319396972656,26.15083885192871,0.4278999865055084
2021-03-01,125.28450012207031,32.63351821899414,88.45166015625,13.807658195495605,117.41865539550781,26.9097843170166,0.44724398851394653
2021-03-02,122.66683959960938,32.39644241333008,88.78968811035156,13.373233795166016,117.82319641113281,26.36634063720703,0.43683698773384094
2021-03-03,119.66686248779297,33.20795440673828,89.78645324707031,12.773216247558594,116.08824157714844,26.581844329833984,0.45027899742126465
2021-03-04,117.77468872070312,33.44620132446289,90.57520294189453,12.339783668518066,116.73430633544922,26.778610229492188,0.4866049885749817
2021-03-05,119.03938293457031,33.84022903442383,94.47557067871094,12.43080997467041,120.53997802734375,27.23772621154785,0.4581190049648285
