Date,AMZN,GOOGL,KO,PEP,PG,UPS,WMT
2020-01-02,94.90049743652344,68.26496124267578,47.451934814453125,118.63585662841797,109.72235107421875,99.47799682617188,36.86407470703125
2020-01-03,93.74849700927734,67.90784454345703,47.19304656982422,118.46990203857422,108.98439025878906,99.41838836669922,36.53864288330078
2020-01-06,95.14399719238281,69.71786499023438,47.1757926940918,118.9240951538086,109.13552856445312,98.97545623779297,36.46424865722656
2020-01-07,95.34300231933594,69.58320617675781,46.81337356567383,117.05485534667969,108.45980834960938,98.80512237548828,36.12642288208008
2020-01-08,94.59850311279297,70.07847595214844,46.899654388427734,117.65754699707031,108.92214965820312,99.3672866821289,36.0024528503418
2020-01-09,95.05249786376953,70.81415557861328,47.75395202636719,117.73613739013672,110.11354064941406,99.59725189208984,36.37437057495117
2020-01-10,94.15799713134766,71.27151489257812,47.91790771484375,117.50904846191406,110.22022247314453,98.69438934326172,36.07062530517578
2020-01-13,94.56500244140625,71.82365417480469,48.435665130615234,119.25603485107422,111.029296875,99.44393920898438,35.91565704345703
2020-01-14,93.47200012207031,71.35282135009766,48.3234748840332,119.53556060791016,110.86036682128906,99.88684844970703,36.0086555480957
2020-01-15,93.10099792480469,71.7822494506836,48.927520751953125,121.58819580078125,111.98950958251953,100.44900512695312,35.729698181152344
2020-01-16,93.89700317382812,72.32890319824219,49.031063079833984,121.94634246826172,112.08731842041016,101.02823638916016,35.92185592651367
2020-01-17,93.23600006103516,73.79327392578125,49.13462448120117,123.38758850097656,112.38959503173828,101.01970672607422,35.63052749633789
2020-01-21,94.5999984741211,73.929443359375,49.33308410644531,123.91165924072266,112.10508728027344,99.98906707763672,35.825775146484375
2020-01-22,94.37300109863281,74.01023864746094,49.71278381347656,125.23934936523438,112.30067443847656,99.87834167480469,35.983848571777344
2020-01-23,94.22899627685547,74.05113983154297,49.90262222290039,125.47517395019531,111.7873306274414,99.59725189208984,35.89396286010742
2020-01-24,93.08200073242188,73.12742614746094,49.77318572998047,124.83753204345703,111.9214859008789,99.3672866821289,35.44765853881836
2020-01-27,91.41699981689453,71.40968322753906,49.60060501098633,124.15621185302734,112.41337585449219,97.88519287109375,35.90946578979492
2020-01-28,92.6624984741211,72.34586334228516,49.19502639770508,124.41830444335938,112.71747589111328,98.26848602294922,36.138816833496094
2020-01-29,92.9000015258789,72.65509033203125,49.19502639770508,123.798095703125,111.84992218017578,98.60069274902344,35.918766021728516
2020-01-30,93.53399658203125,72.53289794921875,50.79143142700195,125.63240051269531,112.64591979980469,91.990966796875,36.132606506347656
2020-01-31,100.43599700927734,71.46205139160156,50.39447784423828,124.0514144897461,111.4563980102539,88.17504119873047,35.48484802246094
2020-02-03,100.20999908447266,73.94689178466797,50.5498161315918,124.47943115234375,111.8946533203125,86.9059066772461,35.416656494140625
2020-02-04,102.4834976196289,72.09198760986328,50.774173736572266,125.09957885742188,112.38656616210938,88.05579376220703,35.726593017578125
2020-02-05,101.99349975585938,72.12390899658203,50.78279495239258,126.0429458618164,113.41505432128906,90.32148742675781,36.20390319824219
2020-02-06,102.5114974975586,73.6162109375,50.90361404418945,126.06916046142578,113.7102279663086,90.7218246459961,36.048927307128906
2020-02-07,103.96399688720703,73.7728271484375,51.07619857788086,126.9775619506836,112.76219177246094,87.8343505859375,36.09232711791992
2020-02-10,106.69550323486328,75.2466812133789,51.55943298339844,127.2308578491211,112.8426742553711,87.79175567626953,35.720401763916016
2020-02-11,107.54000091552734,75.3165054321289,51.42136764526367,127.59774017333984,111.04499053955078,89.32493591308594,35.76689529418945
2020-02-12,108.0,75.74394989013672,51.26604080200195,127.59774017333984,110.40997314453125,89.8956069946289,35.90636444091797
2020-02-13,107.49349975585938,75.48259735107422,51.43861770629883,127.93840789794922,111.76048278808594,89.64008331298828,36.3991584777832
2020-02-14,106.74349975585938,75.74893188476562,51.73200607299805,128.39259338378906,112.81584930419922,90.24484252929688,36.53864288330078
2020-02-18,107.78350067138672,75.78434753417969,51.36957931518555,127.17848205566406,111.68000030517578,90.64517211914062,37.07792663574219
2020-02-19,108.51100158691406,76.05517578125,51.57668685913086,127.11727905273438,112.18978118896484,90.93478393554688,36.47355270385742
2020-02-20,107.65499877929688,75.66214752197266,51.533538818359375,126.79413604736328,113.20938110351562,90.6962661743164,36.476646423339844
2020-02-21,104.79850006103516,73.98978424072266,51.8873405456543,127.39686584472656,113.31668853759766,87.68102264404297,36.752498626708984
2020-02-24,100.4645004272461,70.81764221191406,50.6102180480957,124.59295654296875,110.27583312988281,84.72189331054688,36.05203628540039
2020-02-25,98.63700103759766,69.14479064941406,49.89399337768555,123.24781036376953,108.6033706665039,80.77355194091797,35.453853607177734
2020-02-26,98.97949981689453,69.35177612304688,49.70415115356445,124.01648712158203,107.46749877929688,80.6273193359375,35.26479721069336
2020-02-27,94.21499633789062,65.58509826660156,47.40015411376953,119.11625671386719,101.5110092163086,77.62517547607422,34.21718215942383
2020-02-28,94.1875,66.7970962524414,46.15755844116211,115.32535552978516,101.26953125,77.84022521972656,33.374168395996094
2020-03-02,97.69750213623047,69.14479064941406,48.25444412231445,120.1731948852539,106.93089294433594,79.78431701660156,35.91565704345703
2020-03-03,95.44950103759766,66.72079467773438,48.37525177001953,118.42620849609375,105.68770599365234,78.53701782226562,34.995147705078125
2020-03-04,98.79149627685547,68.90937042236328,50.843204498291016,124.3746337890625,111.34908294677734,82.4251480102539,36.191505432128906
2020-03-05,96.20149993896484,65.57562255859375,48.96204376220703,121.44190216064453,108.7822494506836,79.99076080322266,35.92805480957031
