Date,AAPL,GOOGL,KO,MSFT,PEP,PG,V
2020-01-02,72.87611389160156,68.26496124267578,47.451934814453125,153.9381866455078,118.63585662841797,109.72235107421875,184.8380584716797
2020-01-03,72.1676254272461,67.90784454345703,47.19304656982422,152.0214080810547,118.46990203857422,108.98439025878906,183.36802673339844
2020-01-06,72.74263763427734,69.71786499023438,47.1757926940918,152.41433715820312,118.9240951538086,109.13552856445312,182.9715576171875
2020-01-07,72.40054321289062,69.58320617675781,46.81337356567383,151.02467346191406,117.05485534667969,108.45980834960938,182.4879150390625
2020-01-08,73.56517791748047,70.07847595214844,46.899654388427734,153.4302520751953,117.65754699707031,108.92214965820312,185.6117401123047
2020-01-09,75.12777709960938,70.81415557861328,47.75395202636719,155.3470916748047,117.73613739013672,110.11354064941406,186.8980712890625
2020-01-10,75.2976303100586,71.27151489257812,47.91790771484375,154.62826538085938,117.50904846191406,110.22022247314453,187.40093994140625
2020-01-13,76.90631103515625,71.82365417480469,48.435665130615234,156.48757934570312,119.25603485107422,111.029296875,188.9097137451172
2020-01-14,75.86782836914062,71.35282135009766,48.3234748840332,155.38540649414062,119.53556060791016,110.86036682128906,189.6060333251953
2020-01-15,75.54269409179688,71.7822494506836,48.927520751953125,156.3917236328125,121.58819580078125,111.98950958251953,193.23277282714844
2020-01-16,76.4889907836914,72.32890319824219,49.031063079833984,159.25735473632812,121.94634246826172,112.08731842041016,194.34498596191406
2020-01-17,77.33577728271484,73.79327392578125,49.13462448120117,160.14866638183594,123.38758850097656,112.38959503173828,197.97174072265625
2020-01-21,76.81169891357422,73.929443359375,49.33308410644531,159.5736083984375,123.91165924072266,112.10508728027344,200.4766082763672
2020-01-22,77.08586883544922,74.01023864746094,49.71278381347656,158.806884765625,125.23934936523438,112.30067443847656,201.0665283203125
2020-01-23,77.45710754394531,74.05113983154297,49.90262222290039,159.78445434570312,125.47517395019531,111.7873306274414,199.73191833496094
2020-01-24,77.23387145996094,73.12742614746094,49.77318572998047,158.17433166503906,124.83753204345703,111.9214859008789,198.26182556152344
2020-01-27,74.9627914428711,71.40968322753906,49.60060501098633,155.5291290283203,124.15621185302734,112.41337585449219,195.06065368652344
2020-01-28,77.08344268798828,72.34586334228516,49.19502639770508,158.5768585205078,124.41830444335938,112.71747589111328,196.18252563476562
2020-01-29,78.69696807861328,72.65509033203125,49.19502639770508,161.04953002929688,123.798095703125,111.84992218017578,198.1264190673828
2020-01-30,78.58291625976562,72.53289794921875,50.79143142700195,165.5923614501953,125.63240051269531,112.64591979980469,201.36639404296875
2020-01-31,75.09866333007812,71.46205139160156,50.39447784423828,163.14845275878906,124.0514144897461,111.4563980102539,192.43006896972656
2020-02-03,74.8924331665039,73.94689178466797,50.5498161315918,167.1257781982422,124.47943115234375,111.8946533203125,194.2095947265625
2020-02-04,77.36489868164062,72.09198760986328,50.774173736572266,172.6269989013672,125.09957885742188,112.38656616210938,196.86920166015625
2020-02-05,77.99576568603516,72.12390899658203,50.78279495239258,172.41612243652344,126.0429458618164,113.41505432128906,196.1438446044922
2020-02-06,78.90807342529297,73.6162109375,50.90361404418945,175.990966796875,126.06916046142578,113.7102279663086,196.3662567138672
2020-02-07,77.83548736572266,73.7728271484375,51.07619857788086,176.2401580810547,126.9775619506836,112.76219177246094,196.076171875
2020-02-10,78.20518493652344,75.2466812133789,51.55943298339844,180.85009765625,127.2308578491211,112.8426742553711,199.2193145751953
2020-02-11,77.73334503173828,75.3165054321289,51.42136764526367,176.76731872558594,127.59774017333984,111.04499053955078,197.23667907714844
2020-02-12,79.57935333251953,75.74394989013672,51.26604080200195,177.0260467529297,127.59774017333984,110.40997314453125,200.6216278076172
2020-02-13,79.01265716552734,75.48259735107422,51.43861770629883,176.06768798828125,127.93840789794922,111.76048278808594,200.8734588623047
2020-02-14,79.0321044921875,75.74893188476562,51.73200607299805,177.6394500732422,128.39259338378906,112.81584930419922,203.67251586914062
2020-02-18,77.58499145507812,75.78434753417969,51.36957931518555,179.44125366210938,127.17848205566406,111.68000030517578,204.55386352539062
2020-02-19,78.7086181640625,76.05517578125,51.57668685913086,179.97938537597656,127.11727905273438,112.18978118896484,206.59751892089844
2020-02-20,77.90116882324219,75.66214752197266,51.533538818359375,177.2309112548828,126.79413604736328,113.20938110351562,204.79600524902344
2020-02-21,76.13787078857422,73.98978424072266,51.8873405456543,171.62815856933594,127.39686584472656,113.31668853759766,202.23912048339844
2020-02-24,72.52129364013672,70.81764221191406,50.6102180480957,164.22830200195312,124.59295654296875,110.27583312988281,192.53440856933594
2020-02-25,70.06483459472656,69.14479064941406,49.89399337768555,161.518310546875,123.24781036376953,108.6033706665039,182.47132873535156
2020-02-26,71.17632293701172,69.35177612304688,49.70415115356445,163.53643798828125,124.01648712158203,107.46749877929688,181.31878662109375
2020-02-27,66.52364349365234,65.58509826660156,47.40015411376953,152.01377868652344,119.11625671386719,101.5110092163086,174.34539794921875
2020-02-28,66.48474884033203,66.7970962524414,46.15755844116211,155.69447326660156,115.32535552978516,101.26953125,176.0403289794922
2020-03-02,72.67451477050781,69.14479064941406,48.25444412231445,166.0542755126953,120.1731948852539,106.93089294433594,186.27769470214844
2020-03-03,70.36641693115234,66.72079467773438,48.37525177001953,158.0970458984375,118.42620849609375,105.68770599365234,179.8853759765625
2020-03-04,73.63032531738281,68.90937042236328,50.843204498291016,163.90155029296875,124.3746337890625,111.34908294677734,188.17601013183594
2020-03-05,71.24199676513672,65.57562255859375,48.96204376220703,159.78842163085938,121.44190216064453,108.7822494506836,181.07669067382812
