Date,BAC,BTC-USD,CVX,MRNA,NVDA,PFE,XRP-USD
2021-01-04,27.38151741027832,31971.9140625,72.39884185791016,111.7300033569336,13.08120346069336,31.410322189331055,0.23667700588703156
2021-01-05,27.59123420715332,33992.4296875,74.3560562133789,109.18000030517578,13.371735572814941,31.734567642211914,0.22675000131130219
2021-01-06,29.314544677734375,36824.36328125,76.74910736083984,116.26000213623047,12.5834321975708,31.461511611938477,0.2508949935436249
2021-01-07,29.961929321289062,39371.04296875,77.10807800292969,115.08999633789062,13.311135292053223,31.623645782470703,0.32600200176239014
2021-01-08,29.661026000976562,40797.609375,77.84309387207031,112.75,13.244050979614258,31.683374404907227,0.32322999835014343
2021-01-11,30.15340232849121,35566.65625,78.28751373291016,117.26000213623047,13.587952613830566,32.229496002197266,0.28890499472618103
2021-01-12,30.691362380981445,33922.9609375,79.77462768554688,124.55000305175781,13.4515380859375,31.72603988647461,0.2921229898929596
2021-01-13,30.509000778198242,37316.359375,79.69772338867188,124.05999755859375,13.49842357635498,31.452987670898438,0.3055799901485443
2021-01-14,30.992265701293945,39187.328125,81.61216735839844,129.72000122070312,13.167739868164062,31.359115600585938,0.2954379916191101
2021-01-15,30.09869384765625,36825.3671875,78.706298828125,129.64999389648438,12.82783031463623,31.316450119018555,0.28040599822998047
2021-01-19,29.879865646362305,36069.8046875,80.77459716796875,125.01000213623047,12.993172645568848,31.342050552368164,0.2943139970302582
2021-01-20,29.487789154052734,35547.75,81.5181655883789,125.13999938964844,13.332831382751465,31.145790100097656,0.2965179979801178
2021-01-21,28.96805763244629,30825.69921875,78.63793182373047,132.97999572753906,13.833349227905273,31.128721237182617,0.26894599199295044
2021-01-22,28.7674617767334,33005.76171875,78.39862823486328,131.02000427246094,13.678726196289062,31.188451766967773,0.27279898524284363
2021-01-25,28.41185760498047,32366.392578125,77.68924713134766,147.0,13.619624137878418,31.811372756958008,0.269089013338089
2021-01-26,28.211259841918945,32569.849609375,76.37305450439453,151.92999267578125,13.402161598205566,31.83696937561035,0.26882699131965637
2021-01-27,27.19915771484375,30432.546875,75.38164520263672,155.72999572753906,12.885936737060547,30.923931121826172,0.2519429922103882
2021-01-28,27.64594078063965,33466.09765625,76.08246612548828,159.5500030517578,13.018855094909668,30.932554244995117,0.26412200927734375
2021-01-29,27.03502655029297,34316.38671875,72.8176498413086,173.16000366210938,12.95776081085205,30.967058181762695,0.2821879982948303
2021-02-01,27.317689895629883,33537.17578125,73.8517837524414,157.47999572753906,13.204401016235352,30.880807876586914,0.37150898575782776
2021-02-02,28.29332160949707,35510.2890625,74.40731811523438,158.5800018310547,13.52336311340332,30.182104110717773,0.369269996881485
2021-02-03,28.794811248779297,37472.08984375,76.03118896484375,165.86000061035156,13.497177124023438,30.052709579467773,0.3934899866580963
2021-02-04,29.633676528930664,36926.06640625,76.06537628173828,173.30999755859375,13.630599021911621,30.095840454101562,0.44644901156425476
2021-02-05,29.51514434814453,38144.30859375,76.28759765625,176.24000549316406,13.557527542114258,30.121719360351562,0.45004698634147644
2021-02-08,30.171640396118164,46196.46484375,78.1849365234375,185.97999572753906,14.403190612792969,30.035463333129883,0.44770199060440063
2021-02-09,30.043987274169922,46481.10546875,77.74053192138672,179.52000427246094,14.22812271118164,30.16485595703125,0.47199100255966187
2021-02-10,30.071346282958984,44918.18359375,79.07379913330078,179.33999633789062,14.727887153625488,29.96645736694336,0.503445029258728
2021-02-11,29.980161666870117,47909.33203125,78.64647674560547,183.44000244140625,15.213191986083984,29.699050903320312,0.5247870087623596
2021-02-12,30.42694854736328,47504.8515625,79.09944152832031,183.74000549316406,14.92440414428711,29.94920539855957,0.6085919737815857
2021-02-16,31.24756622314453,49199.87109375,80.72024536132812,178.52999877929688,15.292492866516113,29.923322677612305,0.5208460092544556
2021-02-17,31.375226974487305,52149.0078125,83.13847351074219,176.75999450683594,14.86928939819336,30.095840454101562,0.5355370044708252
2021-02-18,31.174625396728516,51679.796875,82.3410873413086,169.57000732421875,14.79247760772705,29.811189651489258,0.5324329733848572
2021-02-19,31.493759155273438,55888.1328125,83.03447723388672,174.74000549316406,14.889737129211426,29.707674026489258,0.567018985748291
2021-02-22,32.049964904785156,54207.3203125,85.27936553955078,159.3699951171875,14.320393562316895,29.552410125732422,0.571740984916687
2021-02-23,32.387325286865234,48824.42578125,86.3541259765625,150.1699981689453,14.107171058654785,29.250497817993164,0.47356298565864563
2021-02-24,33.171485900878906,49705.33203125,89.54375457763672,144.7899932861328,14.463292121887207,29.112489700317383,0.4718320071697235
2021-02-25,32.761165618896484,47093.8515625,88.71170806884766,148.3800048828125,13.274724960327148,29.172868728637695,0.4345239996910095
2021-02-26,31.648761749267578,46339.76171875,86.67481994628906,154.80999755859375,13.680724143981934,28.888214111328125,0.4278999865055084
2021-03-01,32.63351821899414,49631.2421875,88.45166015625,157.39999389648438,13.807658195495605,29.060728073120117,0.44724398851394653
2021-03-02,32.39644241333008,48378.98828125,88.78968811035156,146.80999755859375,13.373233795166016,28.90546226501465,0.43683698773384094
2021-03-03,33.20795440673828,50538.2421875,89.78645324707031,131.22000122070312,12.773216247558594,29.664554595947266,0.45027899742126465
2021-03-04,33.44620132446289,48561.16796875,90.57520294189453,132.3000030517578,12.339783668518066,29.50065040588379,0.4866049885749817
2021-03-05,33.84022903442383,48927.3046875,94.47557067871094,132.19000244140625,12.43080997467041,29.664554595947266,0.4581190049648285
2021-03-08,34.02349090576172,52246.5234375,95.12562561035156,123.47000122070312,11.564696311950684,29.630043029785156,0.47359699010849
