Date,CAT,CVX,KO,LMT,PEP,SLB,XOM
2022-01-03,195.7609405517578,107.27003479003906,54.59066390991211,329.6562805175781,160.04058837890625,30.099124908447266,57.61800003051758
2022-01-04,206.2393341064453,109.22186279296875,55.50204086303711,336.75439453125,160.2718505859375,31.560428619384766,59.785247802734375
2022-01-05,207.81866455078125,109.93245697021484,55.96232986450195,333.1728820800781,160.81776428222656,31.560428619384766,60.52881622314453
2022-01-06,209.9370574951172,110.86788177490234,55.66774368286133,333.0425720214844,160.8547821044922,32.31005859375,61.95249557495117
2022-01-07,212.017578125,112.4599380493164,55.53886795043945,335.03338623046875,161.0583038330078,33.239986419677734,62.460304260253906
2022-01-10,209.6060333251953,112.53189086914062,55.630924224853516,337.9265441894531,161.14161682128906,33.32538986206055,62.08851623535156
2022-01-11,208.0078125,115.10435485839844,55.64933776855469,338.7545471191406,161.0675811767578,34.61589431762695,64.70010375976562
2022-01-12,210.3247833251953,114.52871704101562,55.732181549072266,336.11248779296875,160.8917694091797,34.58742141723633,64.5096664428711
2022-01-13,214.6750030517578,114.052001953125,56.063594818115234,339.72198486328125,161.15081787109375,34.32172775268555,64.0472183227539
2022-01-14,216.5096893310547,115.9948501586914,56.51468276977539,346.64337158203125,162.50161743164062,35.8779296875,65.17163848876953
2022-01-18,217.38919067382812,116.37261199951172,56.063594818115234,350.29010009765625,160.9473114013672,35.62172317504883,66.26886749267578
2022-01-19,210.64212036132812,115.94986724853516,56.15564727783203,351.02496337890625,162.10377502441406,35.20420837402344,66.29606628417969
2022-01-20,205.86215209960938,115.53610229492188,55.92551040649414,348.97833251953125,160.9287872314453,35.156761169433594,66.44114685058594
2022-01-21,203.44837951660156,114.15091705322266,55.64933776855469,345.3223876953125,161.1878662109375,34.50202941894531,65.44367218017578
2022-01-24,203.6764678955078,114.3937759399414,55.198246002197266,347.3038635253906,160.3644256591797,34.72975540161133,66.00589752197266
2022-01-25,203.65745544433594,119.25989532470703,55.069366455078125,360.1790771484375,158.5232696533203,36.8078498840332,67.94642639160156
2022-01-26,203.63844299316406,119.3498306274414,54.86683654785156,363.9652404785156,156.84869384765625,37.7662353515625,67.25727081298828
2022-01-27,201.6238250732422,121.76039123535156,54.912864685058594,361.9558410644531,156.70062255859375,36.87427520751953,68.11872100830078
2022-01-28,191.1610870361328,117.47894287109375,56.008358001708984,365.7420959472656,159.7537841796875,37.652374267578125,68.26380920410156
2022-01-31,191.54119873046875,118.1265640258789,56.164859771728516,362.0024108886719,160.5402069091797,37.073543548583984,68.88043975830078
2022-02-01,195.14280700683594,121.23871612548828,55.75060272216797,360.0301818847656,159.448486328125,37.50054931640625,73.29655456542969
2022-02-02,194.75318908691406,121.79638671875,56.32136154174805,360.337158203125,162.34434509277344,37.24435043334961,73.10612487792969
2022-02-03,190.61941528320312,120.7080307006836,56.71721267700195,362.5326843261719,162.2518310546875,36.608577728271484,72.25373077392578
2022-02-04,188.5477752685547,122.21913146972656,56.118831634521484,362.1884460449219,159.58726501464844,36.54215621948242,73.82249450683594
2022-02-07,189.8876953125,124.62069702148438,56.7080078125,364.9886169433594,158.95811462402344,38.212223052978516,74.71115112304688
2022-02-08,191.48419189453125,122.72283172607422,57.07624053955078,368.4306335449219,159.1524200439453,37.027164459228516,72.77967834472656
2022-02-09,193.47984313964844,123.93709564208984,56.192481994628906,367.0351867675781,159.07838439941406,37.50309371948242,72.4312744140625
2022-02-10,192.97613525390625,122.36304473876953,56.5054817199707,358.5603332519531,155.77545166015625,37.28416061401367,71.73445892333984
2022-02-11,191.2371063232422,124.85453796386719,55.50204086303711,368.5701904296875,155.9697265625,38.66435241699219,73.54065704345703
2022-02-14,189.95423889160156,122.9296875,55.86106872558594,359.9929504394531,154.23036193847656,37.40790557861328,72.4129409790039
2022-02-15,193.2992706298828,122.0298843383789,56.07280349731445,355.5740966796875,153.54571533203125,38.15987014770508,71.5052490234375
2022-02-16,193.51783752441406,122.06624603271484,56.063594818115234,359.9278564453125,153.8602752685547,39.682838439941406,71.83531951904297
2022-02-17,185.06019592285156,121.43909454345703,57.186710357666016,361.66748046875,154.27662658691406,39.13076400756836,71.72531127929688
2022-02-18,182.40887451171875,121.26638793945312,57.57335662841797,359.51849365234375,155.16481018066406,38.27409744262695,70.9276351928711
2022-02-22,181.70567321777344,120.33930206298828,57.33399963378906,359.27667236328125,155.75694274902344,37.645870208740234,70.10245513916016
2022-02-23,177.39132690429688,123.202392578125,56.698795318603516,361.7884216308594,154.22108459472656,37.826717376708984,70.38668823242188
2022-02-24,175.50973510742188,122.56613159179688,55.70456314086914,368.1236572265625,151.53802490234375,36.4750862121582,69.49736022949219
2022-02-25,177.761962890625,127.59239959716797,57.858726501464844,380.9429931640625,155.78469848632812,37.550682067871094,71.36772918701172
2022-02-28,178.25611877441406,130.8826446533203,57.29718017578125,406.3367004394531,151.4917755126953,37.350791931152344,71.89949798583984
2022-03-01,173.74221801757812,136.0815887451172,57.04862594604492,427.7026062011719,150.13174438476562,35.856380462646484,72.5871353149414
2022-03-02,183.03607177734375,140.0989532470703,57.47209548950195,421.5111083984375,152.21343994140625,37.350791931152344,73.83405303955078
2022-03-03,185.16473388671875,141.98951721191406,57.508914947509766,419.4691162109375,152.0504608154297,36.66545867919922,74.30165100097656
2022-03-04,185.9344940185547,144.1981201171875,57.60097122192383,429.1451110839844,154.36004638671875,37.06523895263672,77.09805297851562
2022-03-07,186.92274475097656,147.27932739257812,56.229305267333984,436.6387023925781,151.28680419921875,40.07309341430664,79.8761215209961
