Date,BTC-USD,COST,GOOGL,GS,MRNA,MSFT,TSLA
2021-01-04,31971.9140625,362.04583740234375,86.09332275390625,241.3120574951172,111.7300033569336,210.84426879882812,243.2566680908203
2021-01-05,33992.4296875,357.84588623046875,86.78759765625,246.71194458007812,109.18000030517578,211.04771423339844,245.0366668701172
2021-01-06,36824.36328125,352.3982238769531,85.93121337890625,260.0251770019531,116.26000213623047,205.57533264160156,251.9933319091797
2021-01-07,39371.04296875,350.3982849121094,88.49787139892578,265.5798645019531,115.08999633789062,211.42544555664062,272.0133361816406
2021-01-08,40797.609375,352.32208251953125,89.66946411132812,264.15020751953125,112.75,212.7135772705078,293.3399963378906
2021-01-11,35566.65625,346.67449951171875,87.59759521484375,267.5650329589844,117.26000213623047,210.65057373046875,270.39666748046875
2021-01-12,33922.9609375,346.8554382324219,86.65692138671875,275.1959228515625,124.55000305175781,208.1710662841797,283.14666748046875
2021-01-13,37316.359375,349.4745178222656,87.14671325683594,275.8606262207031,124.05999755859375,209.53675842285156,284.8033447265625
2021-01-14,39187.328125,345.09356689453125,86.33222961425781,280.3500061035156,129.72000122070312,206.32115173339844,281.6666564941406
2021-01-15,36825.3671875,344.9126281738281,86.16763305664062,274.1031494140625,129.64999389648438,205.96278381347656,275.38665771484375
2021-01-19,36069.8046875,337.5887756347656,89.00311279296875,267.90191650390625,125.01000213623047,209.6335906982422,281.51666259765625
2021-01-20,35547.75,344.0935363769531,93.77130889892578,264.50537109375,125.13999938964844,217.28517150878906,283.48333740234375
2021-01-21,30825.69921875,345.5221252441406,93.97480010986328,263.503662109375,132.97999572753906,217.8953399658203,281.663330078125
2021-01-22,33005.76171875,345.0458984375,94.39425659179688,263.5218811035156,131.02000427246094,218.84449768066406,282.21331787109375
2021-01-25,32366.392578125,344.64593505859375,94.48004150390625,257.7394714355469,147.0,222.31195068359375,293.6000061035156
2021-01-26,32569.849609375,347.59832763671875,95.161865234375,256.5738830566406,151.92999267578125,225.02389526367188,294.36334228515625
2021-01-27,30432.546875,339.4174499511719,90.72235870361328,248.8974151611328,155.72999572753906,225.5759735107422,288.0533447265625
2021-01-28,33466.09765625,340.05548095703125,92.4311294555664,250.43630981445312,159.5500030517578,231.41632080078125,278.4766540527344
2021-01-29,34316.38671875,335.64599609375,91.1423110961914,246.93052673339844,173.16000366210938,224.66554260253906,264.510009765625
2021-02-01,33537.17578125,333.826904296875,94.41970825195312,250.1722869873047,157.47999572753906,232.1136932373047,279.9366760253906
2021-02-02,35510.2890625,338.64599609375,95.71898651123047,261.3182067871094,158.5800018310547,231.9781036376953,290.92999267578125
2021-02-03,37472.08984375,338.2935485839844,102.68972778320312,262.7569580078125,165.86000061035156,235.3583526611328,284.89666748046875
2021-02-04,36926.06640625,339.5722961425781,102.42787170410156,267.49212646484375,173.30999755859375,234.39947509765625,283.3299865722656
2021-02-05,38144.30859375,338.9234313964844,104.18352508544922,267.26446533203125,176.24000549316406,234.58351135253906,284.07666015625
2021-02-08,46196.46484375,343.3702392578125,103.96855163574219,273.32000732421875,185.97999572753906,234.8450469970703,287.8066711425781
2021-02-09,46481.10546875,343.112548828125,103.51318359375,273.602294921875,179.52000427246094,236.10415649414062,283.1533203125
2021-02-10,44918.18359375,339.8299560546875,104.06631469726562,277.0808410644531,179.33999633789062,235.18402099609375,268.2733459472656
2021-02-11,47909.33203125,336.0892333984375,104.17952728271484,275.29608154296875,183.44000244140625,236.801513671875,270.5533447265625
2021-02-12,47504.8515625,336.61407470703125,104.49275970458984,278.9385681152344,183.74000549316406,237.2857666015625,272.0400085449219
2021-02-16,49199.87109375,337.8068542480469,105.27433013916016,284.07440185546875,178.52999877929688,236.03631591796875,265.40667724609375
2021-02-17,52149.0078125,341.662109375,105.66934204101562,284.78460693359375,176.75999450683594,237.06536865234375,266.04998779296875
2021-02-18,51679.796875,340.5933532714844,105.03042602539062,282.1984558105469,169.57000732421875,236.66734313964844,262.4599914550781
2021-02-19,55888.1328125,338.5416564941406,104.18252563476562,287.4072265625,174.74000549316406,233.9297332763672,260.4333190917969
2021-02-22,54207.3203125,334.1902770996094,102.45929718017578,288.5455017089844,159.3699951171875,227.65843200683594,238.1666717529297
2021-02-23,48824.42578125,326.4989013671875,102.75157165527344,290.6763000488281,150.1699981689453,226.4547119140625,232.94667053222656
2021-02-24,49705.33203125,325.11529541015625,103.93314361572266,301.0845947265625,144.7899932861328,227.69732666015625,247.33999633789062
2021-02-25,47093.8515625,318.6263122558594,100.54852294921875,298.4620056152344,148.3800048828125,222.29974365234375,227.4066619873047
2021-02-26,46339.76171875,315.8589782714844,100.84578704833984,290.9221496582031,154.80999755859375,225.59072875976562,225.1666717529297
2021-03-01,49631.2421875,316.5937805175781,103.2273941040039,301.6090393066406,157.39999389648438,230.01748657226562,239.47666931152344
2021-03-02,48378.98828125,313.4351806640625,102.96903228759766,302.54156494140625,146.80999755859375,227.03717041015625,228.81333923339844
2021-03-03,50538.2421875,309.1028747558594,100.32208251953125,305.73199462890625,131.22000122070312,220.9115447998047,217.73333740234375
2021-03-04,48561.16796875,304.4460754394531,101.44530487060547,301.0331115722656,132.3000030517578,220.10577392578125,207.14666748046875
2021-03-05,48927.3046875,302.8048400878906,104.5945053100586,299.2778625488281,132.19000244140625,224.83349609375,199.31666564941406
2021-03-08,52246.5234375,297.1746826171875,100.12706756591797,305.51263427734375,123.47000122070312,220.74652099609375,187.6666717529297
2021-03-09,54824.1171875,304.197998046875,101.76600646972656,302.2215881347656,130.8699951171875,226.94981384277344,224.52667236328125
