Date,COST,JNJ,KO,PG,WMT
2020-01-02,268.24407958984375,128.083740234375,47.451934814453125,109.72235107421875,36.86408233642578
2020-01-03,268.4649658203125,126.60081481933594,47.193050384521484,108.98439025878906,36.538631439208984
2020-01-06,268.5385437011719,126.44287872314453,47.1757926940918,109.13554382324219,36.46425247192383
2020-01-07,268.11529541015625,127.21500396728516,46.81337356567383,108.4598388671875,36.12642288208008
2020-01-08,271.1888427734375,127.19747924804688,46.899658203125,108.92214965820312,36.002445220947266
2020-01-09,275.5417175292969,127.57476806640625,47.75394821166992,110.11353302001953,36.37436294555664
2020-01-10,273.5355224609375,127.28522491455078,47.91789627075195,110.22021484375,36.07062530517578
2020-01-13,275.955810546875,127.84683990478516,48.4356575012207,111.02930450439453,35.91565704345703
2020-01-14,275.84539794921875,128.5663299560547,48.3234748840332,110.8603744506836,36.008644104003906
2020-01-15,276.8300476074219,128.99630737304688,48.92752456665039,111.989501953125,35.729698181152344
2020-01-16,278.8638000488281,130.0404815673828,49.03106689453125,112.0873031616211,35.921852111816406
2020-01-17,280.3821716308594,130.8916015625,49.13462448120117,112.38960266113281,35.63051986694336
2020-01-21,288.27801513671875,130.9793701171875,49.333091735839844,112.10508728027344,35.825775146484375
2020-01-22,287.01727294921875,130.08432006835938,49.7127799987793,112.30069732666016,35.98384475708008
2020-01-23,287.9282531738281,130.33004760742188,49.90263366699219,111.78732299804688,35.89397048950195
2020-01-24,285.7472839355469,130.14578247070312,49.773189544677734,111.92145538330078,35.447654724121094
2020-01-27,284.7718505859375,130.52308654785156,49.60060119628906,112.41339111328125,35.90945816040039
2020-01-28,286.06024169921875,131.1811981201172,49.195030212402344,112.71747589111328,36.13882064819336
2020-01-29,284.89154052734375,132.09373474121094,49.195030212402344,111.84992218017578,35.91876220703125
2020-01-30,284.7902526855469,131.93582153320312,50.79143142700195,112.64591217041016,36.132625579833984
2020-01-31,281.1552429199219,130.6283721923828,50.394493103027344,111.45640563964844,35.48484420776367
2020-02-03,277.916015625,131.76910400390625,50.5498161315918,111.89464569091797,35.41666030883789
2020-02-04,280.5846862792969,133.02389526367188,50.774173736572266,112.38655853271484,35.72660446166992
2020-02-05,284.3117370605469,135.1210174560547,50.782798767089844,113.41506958007812,36.20389938354492
2020-02-06,286.44189453125,134.71737670898438,50.90361022949219,113.71021270751953,36.04894256591797
2020-02-07,289.2270202636719,133.27833557128906,51.07619094848633,112.76219177246094,36.09231948852539
2020-02-10,289.3745422363281,133.25196838378906,51.559425354003906,112.84268951416016,35.72040939331055
2020-02-11,286.50653076171875,133.36610412597656,51.42136001586914,111.04499053955078,35.766883850097656
2020-02-12,290.60101318359375,132.57638549804688,51.26603317260742,110.40998077392578,35.90636444091797
2020-02-13,293.44146728515625,131.69888305664062,51.43861770629883,111.760498046875,36.399166107177734
2020-02-14,293.5428466796875,131.7340087890625,51.732017517089844,112.81584167480469,36.538631439208984
2020-02-18,296.9919128417969,130.86532592773438,51.36958312988281,111.67999267578125,37.07792282104492
2020-02-19,297.88641357421875,130.6897735595703,51.576690673828125,112.18978118896484,36.47355270385742
2020-02-20,298.8638916015625,130.18963623046875,51.53353500366211,113.2093734741211,36.476654052734375
2020-02-21,296.8996276855469,131.55850219726562,51.88733673095703,113.31668090820312,36.75250244140625
2020-02-24,289.2177429199219,128.8474884033203,50.610225677490234,110.27583312988281,36.05202865600586
2020-02-25,281.1485595703125,127.7348403930664,49.89399719238281,108.60337829589844,35.4538459777832
2020-02-26,281.90478515625,126.87823486328125,49.70414733886719,107.4675064086914,35.26478576660156
2020-02-27,270.3220520019531,122.85149383544922,47.400150299072266,101.5110092163086,34.21719741821289
2020-02-28,259.26495361328125,118.75411224365234,46.15755081176758,101.26953887939453,33.374168395996094
2020-03-02,285.0863342285156,123.64628601074219,48.25444793701172,106.93090057373047,35.91565704345703
2020-03-03,279.1751403808594,119.7342758178711,48.37525939941406,105.68771362304688,34.99514389038086
2020-03-04,295.78375244140625,126.70164489746094,50.84320068359375,111.34908294677734,36.19150924682617
2020-03-05,291.1912536621094,125.4035415649414,48.9620475769043,108.78223419189453,35.92805099487305
2020-03-06,287.1152038574219,125.42122650146484,47.68492126464844,108.80907440185547,36.334083557128906
2020-03-09,278.4835510253906,120.4848861694336,44.75099182128906,103.80058288574219,36.312381744384766
2020-03-10,285.3260498046875,125.07679748535156,46.30424499511719,107.81632995605469,37.12752151489258
2020-03-11,274.2874450683594,116.38748931884766,45.05301284790039,99.8027572631836,35.466251373291016
2020-03-12,258.07537841796875,110.74473571777344,40.695274353027344,91.0826416015625,32.24909973144531
2020-03-13,278.7508544921875,118.58631134033203,42.19251251220703,102.02079772949219,35.36396789550781
2020-03-16,261.1462097167969,112.26360321044922,39.39824676513672,97.03915405273438,33.08901596069336
2020-03-17,283.10357666015625,120.6173324584961,41.069583892822266,105.75032043457031,36.963253021240234
2020-03-18,283.5739440917969,119.17797088623047,39.04133987426758,105.04377746582031,37.99224853515625
2020-03-19,281.4713134765625,112.19294738769531,36.41249084472656,99.1230239868164,37.18595886230469
2020-03-20,267.8229064941406,105.87022399902344,33.33966827392578,91.6103286743164,35.479976654052734
2020-03-23,263.3134460449219,98.14344787597656,32.695491790771484,87.37995147705078,35.57648468017578
2020-03-24,262.769287109375,105.24327087402344,34.340721130371094,92.36158752441406,35.80997085571289
2020-03-25,259.0067443847656,105.43753814697266,36.22096633911133,90.25981903076172,34.057289123535156
2020-03-26,269.556640625,111.76908874511719,38.55388259887695,96.0374526977539,34.18804168701172
