Date,BAC,BTC-USD,GOOGL,MRNA,NVDA,PFE,XRP-USD
2021-01-04,27.381515502929688,31971.9140625,86.09332275390625,111.7300033569336,13.081204414367676,31.410316467285156,0.23667700588703156
2021-01-05,27.591230392456055,33992.4296875,86.78759765625,109.18000030517578,13.371737480163574,31.73457908630371,0.22675000131130219
2021-01-06,29.314542770385742,36824.36328125,85.93121337890625,116.26000213623047,12.583430290222168,31.461509704589844,0.2508949935436249
2021-01-07,29.96192741394043,39371.04296875,88.49787139892578,115.08999633789062,13.311136245727539,31.62364959716797,0.32600200176239014
2021-01-08,29.661026000976562,40797.609375,89.66946411132812,112.75,13.244050025939941,31.683378219604492,0.32322999835014343
2021-01-11,30.153409957885742,35566.65625,87.59759521484375,117.26000213623047,13.58795166015625,32.229496002197266,0.28890499472618103
2021-01-12,30.691373825073242,33922.9609375,86.65692138671875,124.55000305175781,13.451539993286133,31.72603988647461,0.2921229898929596
2021-01-13,30.509004592895508,37316.359375,87.14671325683594,124.05999755859375,13.498422622680664,31.45297622680664,0.3055799901485443
2021-01-14,30.992265701293945,39187.328125,86.33222961425781,129.72000122070312,13.167741775512695,31.35912322998047,0.2954379916191101
2021-01-15,30.098690032958984,36825.3671875,86.16763305664062,129.64999389648438,12.827831268310547,31.316457748413086,0.28040599822998047
2021-01-19,29.879865646362305,36069.8046875,89.00311279296875,125.01000213623047,12.993172645568848,31.342050552368164,0.2943139970302582
2021-01-20,29.487789154052734,35547.75,93.77130889892578,125.13999938964844,13.332832336425781,31.14578628540039,0.2965179979801178
2021-01-21,28.96805763244629,30825.69921875,93.97480010986328,132.97999572753906,13.833346366882324,31.128719329833984,0.26894599199295044
2021-01-22,28.76746368408203,33005.76171875,94.39425659179688,131.02000427246094,13.678727149963379,31.18844985961914,0.27279898524284363
2021-01-25,28.41185760498047,32366.392578125,94.48004150390625,147.0,13.619625091552734,31.81136703491211,0.269089013338089
2021-01-26,28.211261749267578,32569.849609375,95.161865234375,151.92999267578125,13.40216064453125,31.83696937561035,0.26882699131965637
2021-01-27,27.199153900146484,30432.546875,90.72235870361328,155.72999572753906,12.885934829711914,30.923933029174805,0.2519429922103882
2021-01-28,27.64594268798828,33466.09765625,92.4311294555664,159.5500030517578,13.018858909606934,30.93256187438965,0.26412200927734375
2021-01-29,27.035030364990234,34316.38671875,91.1423110961914,173.16000366210938,12.957759857177734,30.967060089111328,0.2821879982948303
2021-02-01,27.317691802978516,33537.17578125,94.41970825195312,157.47999572753906,13.204401969909668,30.88079261779785,0.37150898575782776
2021-02-02,28.29332160949707,35510.2890625,95.71898651123047,158.5800018310547,13.523362159729004,30.18210792541504,0.369269996881485
2021-02-03,28.794815063476562,37472.08984375,102.68972778320312,165.86000061035156,13.497177124023438,30.052711486816406,0.3934899866580963
2021-02-04,29.633678436279297,36926.06640625,102.42787170410156,173.30999755859375,13.630599021911621,30.09584617614746,0.44644901156425476
2021-02-05,29.515140533447266,38144.30859375,104.18352508544922,176.24000549316406,13.557526588439941,30.121721267700195,0.45004698634147644
2021-02-08,30.171642303466797,46196.46484375,103.96855163574219,185.97999572753906,14.403188705444336,30.035465240478516,0.44770199060440063
2021-02-09,30.043991088867188,46481.10546875,103.51318359375,179.52000427246094,14.228120803833008,30.16485023498535,0.47199100255966187
2021-02-10,30.071348190307617,44918.18359375,104.06631469726562,179.33999633789062,14.727887153625488,29.96645736694336,0.503445029258728
2021-02-11,29.980167388916016,47909.33203125,104.17952728271484,183.44000244140625,15.213189125061035,29.699050903320312,0.5247870087623596
2021-02-12,30.42694664001465,47504.8515625,104.49275970458984,183.74000549316406,14.92440414428711,29.949199676513672,0.6085919737815857
2021-02-16,31.247570037841797,49199.87109375,105.27433013916016,178.52999877929688,15.292494773864746,29.923324584960938,0.5208460092544556
2021-02-17,31.37522315979004,52149.0078125,105.66934204101562,176.75999450683594,14.869288444519043,30.09584617614746,0.5355370044708252
2021-02-18,31.174623489379883,51679.796875,105.03042602539062,169.57000732421875,14.79248046875,29.81118392944336,0.5324329733848572
2021-02-19,31.49376678466797,55888.1328125,104.18252563476562,174.74000549316406,14.889738082885742,29.707674026489258,0.567018985748291
2021-02-22,32.049964904785156,54207.3203125,102.45929718017578,159.3699951171875,14.320394515991211,29.55240821838379,0.571740984916687
2021-02-23,32.3873291015625,48824.42578125,102.75157165527344,150.1699981689453,14.107170104980469,29.250499725341797,0.47356298565864563
2021-02-24,33.17148208618164,49705.33203125,103.93314361572266,144.7899932861328,14.463292121887207,29.112485885620117,0.4718320071697235
2021-02-25,32.761165618896484,47093.8515625,100.54852294921875,148.3800048828125,13.274724960327148,29.172870635986328,0.4345239996910095
2021-02-26,31.64876365661621,46339.76171875,100.84578704833984,154.80999755859375,13.68072509765625,28.88821029663086,0.4278999865055084
2021-03-01,32.633514404296875,49631.2421875,103.2273941040039,157.39999389648438,13.807660102844238,29.060728073120117,0.44724398851394653
2021-03-02,32.39643859863281,48378.98828125,102.96903228759766,146.80999755859375,13.3732328414917,28.905466079711914,0.43683698773384094
2021-03-03,33.207950592041016,50538.2421875,100.32208251953125,131.22000122070312,12.773218154907227,29.66454315185547,0.45027899742126465
2021-03-04,33.446205139160156,48561.16796875,101.44530487060547,132.3000030517578,12.339784622192383,29.500656127929688,0.4866049885749817
2021-03-05,33.84022521972656,48927.3046875,104.5945053100586,132.19000244140625,12.430809020996094,29.66454315185547,0.4581190049648285
2021-03-08,34.02349090576172,52246.5234375,100.12706756591797,123.47000122070312,11.564699172973633,29.630041122436523,0.47359699010849
