Date,BTC-USD,GOOGL,MRNA,MSFT,PFE,TSLA,XRP-USD
2021-01-04,31971.9140625,86.09332275390625,111.7300033569336,210.84426879882812,31.410324096679688,243.2566680908203,0.23667700588703156
2021-01-05,33992.4296875,86.78759765625,109.18000030517578,211.04771423339844,31.734575271606445,245.0366668701172,0.22675000131130219
2021-01-06,36824.36328125,85.93121337890625,116.26000213623047,205.57533264160156,31.461515426635742,251.9933319091797,0.2508949935436249
2021-01-07,39371.04296875,88.49787139892578,115.08999633789062,211.42544555664062,31.623645782470703,272.0133361816406,0.32600200176239014
2021-01-08,40797.609375,89.66946411132812,112.75,212.7135772705078,31.68337631225586,293.3399963378906,0.32322999835014343
2021-01-11,35566.65625,87.59759521484375,117.26000213623047,210.65057373046875,32.229496002197266,270.39666748046875,0.28890499472618103
2021-01-12,33922.9609375,86.65692138671875,124.55000305175781,208.1710662841797,31.726036071777344,283.14666748046875,0.2921229898929596
2021-01-13,37316.359375,87.14671325683594,124.05999755859375,209.53675842285156,31.452980041503906,284.8033447265625,0.3055799901485443
2021-01-14,39187.328125,86.33222961425781,129.72000122070312,206.32115173339844,31.35911750793457,281.6666564941406,0.2954379916191101
2021-01-15,36825.3671875,86.16763305664062,129.64999389648438,205.96278381347656,31.316455841064453,275.38665771484375,0.28040599822998047
2021-01-19,36069.8046875,89.00311279296875,125.01000213623047,209.6335906982422,31.3420467376709,281.51666259765625,0.2943139970302582
2021-01-20,35547.75,93.77130889892578,125.13999938964844,217.28517150878906,31.14579200744629,283.48333740234375,0.2965179979801178
2021-01-21,30825.69921875,93.97480010986328,132.97999572753906,217.8953399658203,31.128721237182617,281.663330078125,0.26894599199295044
2021-01-22,33005.76171875,94.39425659179688,131.02000427246094,218.84449768066406,31.188457489013672,282.21331787109375,0.27279898524284363
2021-01-25,32366.392578125,94.48004150390625,147.0,222.31195068359375,31.81136703491211,293.6000061035156,0.269089013338089
2021-01-26,32569.849609375,95.161865234375,151.92999267578125,225.02389526367188,31.836973190307617,294.36334228515625,0.26882699131965637
2021-01-27,30432.546875,90.72235870361328,155.72999572753906,225.5759735107422,30.923933029174805,288.0533447265625,0.2519429922103882
2021-01-28,33466.09765625,92.4311294555664,159.5500030517578,231.41632080078125,30.93256187438965,278.4766540527344,0.26412200927734375
2021-01-29,34316.38671875,91.1423110961914,173.16000366210938,224.66554260253906,30.96706199645996,264.510009765625,0.2821879982948303
2021-02-01,33537.17578125,94.41970825195312,157.47999572753906,232.1136932373047,30.880802154541016,279.9366760253906,0.37150898575782776
2021-02-02,35510.2890625,95.71898651123047,158.5800018310547,231.9781036376953,30.182106018066406,290.92999267578125,0.369269996881485
2021-02-03,37472.08984375,102.68972778320312,165.86000061035156,235.3583526611328,30.052709579467773,284.89666748046875,0.3934899866580963
2021-02-04,36926.06640625,102.42787170410156,173.30999755859375,234.39947509765625,30.095840454101562,283.3299865722656,0.44644901156425476
2021-02-05,38144.30859375,104.18352508544922,176.24000549316406,234.58351135253906,30.121715545654297,284.07666015625,0.45004698634147644
2021-02-08,46196.46484375,103.96855163574219,185.97999572753906,234.8450469970703,30.035463333129883,287.8066711425781,0.44770199060440063
2021-02-09,46481.10546875,103.51318359375,179.52000427246094,236.10415649414062,30.164844512939453,283.1533203125,0.47199100255966187
2021-02-10,44918.18359375,104.06631469726562,179.33999633789062,235.18402099609375,29.966453552246094,268.2733459472656,0.503445029258728
2021-02-11,47909.33203125,104.17952728271484,183.44000244140625,236.801513671875,29.699052810668945,270.5533447265625,0.5247870087623596
2021-02-12,47504.8515625,104.49275970458984,183.74000549316406,237.2857666015625,29.94919776916504,272.0400085449219,0.6085919737815857
2021-02-16,49199.87109375,105.27433013916016,178.52999877929688,236.03631591796875,29.923324584960938,265.40667724609375,0.5208460092544556
2021-02-17,52149.0078125,105.66934204101562,176.75999450683594,237.06536865234375,30.095840454101562,266.04998779296875,0.5355370044708252
2021-02-18,51679.796875,105.03042602539062,169.57000732421875,236.66734313964844,29.81118392944336,262.4599914550781,0.5324329733848572
2021-02-19,55888.1328125,104.18252563476562,174.74000549316406,233.9297332763672,29.707674026489258,260.4333190917969,0.567018985748291
2021-02-22,54207.3203125,102.45929718017578,159.3699951171875,227.65843200683594,29.552404403686523,238.1666717529297,0.571740984916687
2021-02-23,48824.42578125,102.75157165527344,150.1699981689453,226.4547119140625,29.25050163269043,232.94667053222656,0.47356298565864563
2021-02-24,49705.33203125,103.93314361572266,144.7899932861328,227.69732666015625,29.112483978271484,247.33999633789062,0.4718320071697235
2021-02-25,47093.8515625,100.54852294921875,148.3800048828125,222.29974365234375,29.172866821289062,227.4066619873047,0.4345239996910095
2021-02-26,46339.76171875,100.84578704833984,154.80999755859375,225.59072875976562,28.888212203979492,225.1666717529297,0.4278999865055084
2021-03-01,49631.2421875,103.2273941040039,157.39999389648438,230.01748657226562,29.060731887817383,239.47666931152344,0.44724398851394653
2021-03-02,48378.98828125,102.96903228759766,146.80999755859375,227.03717041015625,28.90546226501465,228.81333923339844,0.43683698773384094
2021-03-03,50538.2421875,100.32208251953125,131.22000122070312,220.9115447998047,29.664546966552734,217.73333740234375,0.45027899742126465
2021-03-04,48561.16796875,101.44530487060547,132.3000030517578,220.10577392578125,29.500648498535156,207.14666748046875,0.4866049885749817
2021-03-05,48927.3046875,104.5945053100586,132.19000244140625,224.83349609375,29.664546966552734,199.31666564941406,0.4581190049648285
2021-03-08,52246.5234375,100.12706756591797,123.47000122070312,220.74652099609375,29.630037307739258,187.6666717529297,0.47359699010849
