Date,CAT,CVX,LMT,SLB,XOM
2022-01-03,195.7609405517578,107.2700424194336,329.6562805175781,30.099123001098633,57.61799240112305
2022-01-04,206.23931884765625,109.22187805175781,336.7544250488281,31.5604305267334,59.785255432128906
2022-01-05,207.81866455078125,109.93244934082031,333.1728515625,31.5604305267334,60.528831481933594
2022-01-06,209.93702697753906,110.86788177490234,333.0425720214844,32.310062408447266,61.95248794555664
2022-01-07,212.017578125,112.4599380493164,335.0334167480469,33.2399787902832,62.46029281616211
2022-01-10,209.6060333251953,112.53190612792969,337.9265441894531,33.32537841796875,62.08852005004883
2022-01-11,208.0078125,115.1043701171875,338.7545166015625,34.61588668823242,64.7000961303711
2022-01-12,210.32479858398438,114.5287094116211,336.11248779296875,34.587425231933594,64.50967407226562
2022-01-13,214.6750030517578,114.052001953125,339.7220764160156,34.32173156738281,64.04719543457031
2022-01-14,216.5096893310547,115.99484252929688,346.6433410644531,35.877925872802734,65.171630859375
2022-01-18,217.38919067382812,116.37260437011719,350.2900695800781,35.6217155456543,66.26885986328125
2022-01-19,210.64210510253906,115.94985961914062,351.0250244140625,35.2042121887207,66.29605865478516
2022-01-20,205.86216735839844,115.53611755371094,348.9783935546875,35.156768798828125,66.44115447998047
2022-01-21,203.4483642578125,114.15094757080078,345.32232666015625,34.50202941894531,65.44367218017578
2022-01-24,203.67645263671875,114.39378356933594,347.30377197265625,34.72975540161133,66.00588989257812
2022-01-25,203.65745544433594,119.2598876953125,360.1789855957031,36.8078498840332,67.94644165039062
2022-01-26,203.63844299316406,119.34982299804688,363.9653625488281,37.766239166259766,67.25727844238281
2022-01-27,201.6238250732422,121.76039123535156,361.9559326171875,36.8742790222168,68.11873626708984
2022-01-28,191.1610870361328,117.47894287109375,365.74212646484375,37.652374267578125,68.26382446289062
2022-01-31,191.54119873046875,118.12655639648438,362.0023498535156,37.073543548583984,68.88043212890625
2022-02-01,195.142822265625,121.23871612548828,360.0301513671875,37.500553131103516,73.29655456542969
2022-02-02,194.75318908691406,121.79638671875,360.337158203125,37.244346618652344,73.10611724853516
2022-02-03,190.61941528320312,120.70803833007812,362.5326232910156,36.60858917236328,72.25372314453125
2022-02-04,188.54779052734375,122.21913146972656,362.1884460449219,36.54216003417969,73.8224868774414
2022-02-07,189.8876953125,124.62065124511719,364.9885559082031,38.21223068237305,74.71115112304688
2022-02-08,191.4841766357422,122.72282409667969,368.43072509765625,37.02716827392578,72.7796859741211
2022-02-09,193.4798126220703,123.93708801269531,367.03521728515625,37.50308609008789,72.43126678466797
2022-02-10,192.97613525390625,122.36305236816406,358.56024169921875,37.28416442871094,71.73448181152344
2022-02-11,191.23709106445312,124.85454559326172,368.5702209472656,38.66435241699219,73.54066467285156
2022-02-14,189.9542236328125,122.92970275878906,359.9929504394531,37.40790557861328,72.4129409790039
2022-02-15,193.2992706298828,122.0298843383789,355.5740966796875,38.159873962402344,71.50524139404297
2022-02-16,193.51783752441406,122.06625366210938,359.9278564453125,39.682838439941406,71.83531951904297
2022-02-17,185.06019592285156,121.43909454345703,361.66748046875,39.130760192871094,71.72528839111328
2022-02-18,182.40887451171875,121.26638793945312,359.5185241699219,38.27408981323242,70.92764282226562
2022-02-22,181.70565795898438,120.33930206298828,359.27667236328125,37.645870208740234,70.10247802734375
2022-02-23,177.39134216308594,123.20236206054688,361.7884216308594,37.826725006103516,70.3866958618164
2022-02-24,175.509765625,122.5661392211914,368.1236572265625,36.47508239746094,69.49736022949219
2022-02-25,177.76193237304688,127.59239196777344,380.9429931640625,37.55068588256836,71.36772918701172
2022-02-28,178.25608825683594,130.88262939453125,406.33673095703125,37.350799560546875,71.89949798583984
2022-03-01,173.7421875,136.08157348632812,427.70263671875,35.85638427734375,72.58714294433594
2022-03-02,183.03610229492188,140.09893798828125,421.5110778808594,37.350799560546875,73.83405303955078
2022-03-03,185.16473388671875,141.98947143554688,419.4692077636719,36.665462493896484,74.3016586303711
2022-03-04,185.93447875976562,144.1981201171875,429.1451416015625,37.06523132324219,77.0980453491211
2022-03-07,186.9227752685547,147.27932739257812,436.6386413574219,40.073097229003906,79.87611389160156
2022-03-08,199.56167602539062,154.9959259033203,420.5650939941406,42.909629821777344,80.4812240600586
2022-03-09,199.35263061523438,151.12399291992188,420.3121032714844,40.51095199584961,75.90613555908203
2022-03-10,201.26268005371094,155.259521484375,416.2281799316406,41.310508728027344,78.26246643066406
2022-03-11,204.15159606933594,155.33224487304688,411.24505615234375,40.8345832824707,77.85902404785156
2022-03-14,204.73130798339844,151.5330047607422,416.3125,39.54957580566406,75.0718002319336
2022-03-15,205.70057678222656,143.86181640625,420.2653503417969,37.36982727050781,70.79927062988281
2022-03-16,205.3394775390625,143.34376525878906,394.66558837890625,36.056270599365234,70.53338623046875
2022-03-17,210.6800994873047,145.8250732421875,401.4565124511719,37.607791900634766,72.4129409790039
2022-03-18,209.9293670654297,146.99754333496094,399.1990966796875,37.81719970703125,72.12871551513672
2022-03-21,212.5902099609375,149.64247131347656,412.1441650390625,39.2069091796875,75.36519622802734
2022-03-22,211.63992309570312,149.142578125,412.6968688964844,39.216434478759766,75.03512573242188
2022-03-23,211.12673950195312,150.75137329101562,417.0618591308594,40.36817169189453,76.21788024902344
2022-03-24,211.16477966308594,151.15127563476562,421.25823974609375,40.58709716796875,76.44708251953125
2022-03-25,212.25762939453125,153.88706970214844,424.9394226074219,41.5770378112793,78.11573791503906
2022-03-28,210.8226776123047,151.1967315673828,416.8089294433594,39.72091293334961,75.92447662353516
