Date,AAPL,CAT,KO,LMT,MSFT,PEP,V
2022-01-03,179.2736053466797,195.7609100341797,54.59065628051758,329.6562805175781,326.9407958984375,160.0406036376953,216.79354858398438
2022-01-04,176.99830627441406,206.23931884765625,55.50204086303711,336.75439453125,321.3347473144531,160.2718963623047,217.80201721191406
2022-01-05,172.29022216796875,207.81866455078125,55.96233367919922,333.1728515625,308.9993591308594,160.8177947998047,215.3935089111328
2022-01-06,169.4141082763672,209.93704223632812,55.66774368286133,333.04254150390625,306.55767822265625,160.85476684570312,215.14871215820312
2022-01-07,169.58155822753906,212.017578125,55.53887176513672,335.0334167480469,306.7139892578125,161.05833435058594,212.4171600341797
2022-01-10,169.6012725830078,209.60601806640625,55.63092041015625,337.92657470703125,306.93853759765625,161.14158630371094,207.53163146972656
2022-01-11,172.44784545898438,208.0078125,55.64933776855469,338.7544860839844,307.63201904296875,161.0675506591797,209.8911590576172
2022-01-12,172.89102172851562,210.32476806640625,55.7321891784668,336.1125183105469,310.84527587890625,160.8917999267578,211.19334411621094
2022-01-13,169.6012725830078,214.67503356933594,56.063602447509766,339.7220153808594,297.6895446777344,161.15081787109375,210.49818420410156
2022-01-14,170.468017578125,216.50967407226562,56.51467514038086,346.6433410644531,302.9635314941406,162.5016326904297,210.1751251220703
2022-01-18,167.24717712402344,217.3892059326172,56.063602447509766,350.2900695800781,295.58966064453125,160.94728088378906,211.19334411621094
2022-01-19,163.73086547851562,210.64210510253906,56.1556510925293,351.0249938964844,296.2538146972656,162.10382080078125,210.18490600585938
2022-01-20,162.03672790527344,205.8621368408203,55.925506591796875,348.9783630371094,294.56414794921875,160.92880249023438,209.86178588867188
2022-01-21,159.96826171875,203.4483642578125,55.64933776855469,345.32232666015625,289.12408447265625,161.18783569335938,201.6181182861328
2022-01-24,159.19015502929688,203.6764678955078,55.19824981689453,347.3038635253906,289.4562072753906,160.3644256591797,197.62356567382812
2022-01-25,157.37782287597656,203.6574249267578,55.06936264038086,360.1789855957031,281.760009765625,158.52328491210938,197.7703857421875
2022-01-26,157.2891845703125,203.638427734375,54.86683654785156,363.96527099609375,289.78826904296875,156.84866333007812,201.55935668945312
2022-01-27,156.8262176513672,201.6238250732422,54.912864685058594,361.95587158203125,292.8452453613281,156.70062255859375,201.83349609375
2022-01-28,167.7692108154297,191.1610870361328,56.008365631103516,365.7420959472656,301.0688171386719,159.7537841796875,223.2259979248047
2022-01-31,172.15231323242188,191.5412139892578,56.164859771728516,362.0024108886719,303.725341796875,160.54019165039062,221.43429565429688
2022-02-01,171.98487854003906,195.14283752441406,55.75060272216797,360.0301818847656,301.55718994140625,159.448486328125,227.49472045898438
2022-02-02,173.1963653564453,194.75320434570312,56.32136154174805,360.337158203125,306.1474914550781,162.34434509277344,230.4906005859375
2022-02-03,170.30056762695312,190.61941528320312,56.71720886230469,362.5326843261719,294.22235107421875,162.2518310546875,226.69187927246094
2022-02-04,170.0145721435547,188.54776000976562,56.11883544921875,362.18841552734375,298.8028869628906,159.58724975585938,223.6078338623047
2022-02-07,169.29466247558594,189.8876953125,56.70800018310547,364.98858642578125,293.9292907714844,158.9581298828125,222.40359497070312
2022-02-08,172.42095947265625,191.4841766357422,57.07624053955078,368.43072509765625,297.455078125,159.15240478515625,223.16722106933594
2022-02-09,173.8509979248047,193.4798126220703,56.19248580932617,367.03521728515625,303.9499816894531,159.07838439941406,226.035888671875
2022-02-10,169.748291015625,192.97613525390625,56.50547409057617,358.560302734375,295.325927734375,155.7754364013672,221.22581481933594
2022-02-11,166.3162384033203,191.23712158203125,55.50204086303711,368.5702209472656,288.1571960449219,155.96971130371094,220.3432159423828
2022-02-14,166.55296325683594,189.95420837402344,55.86106872558594,359.992919921875,288.1181335449219,154.23036193847656,220.98062133789062
2022-02-15,170.4090576171875,193.2992401123047,56.07279968261719,355.5740661621094,293.4606018066406,153.54571533203125,223.4126434326172
2022-02-16,170.17234802246094,193.5177764892578,56.063602447509766,359.9278564453125,293.1179504394531,153.8603057861328,224.39334106445312
2022-02-17,166.55296325683594,185.06021118164062,57.18670654296875,361.6674499511719,284.53485107421875,154.276611328125,220.26475524902344
2022-02-18,164.99472045898438,182.40887451171875,57.573360443115234,359.5185241699219,281.79449462890625,155.16481018066406,218.38189697265625
2022-02-22,162.05577087402344,181.70567321777344,57.33399963378906,359.2766418457031,281.5889892578125,155.75694274902344,217.0384063720703
2022-02-23,157.86431884765625,177.39129638671875,56.69879150390625,361.78839111328125,274.2977600097656,154.22113037109375,211.7722930908203
2022-02-24,160.49754333496094,175.50975036621094,55.704566955566406,368.1236572265625,288.3125915527344,151.5380401611328,213.09617614746094
2022-02-25,162.57846069335938,177.76193237304688,57.858741760253906,380.9429626464844,290.974609375,155.78468322753906,215.02806091308594
2022-02-28,162.84475708007812,178.256103515625,57.29718017578125,406.33673095703125,292.4231262207031,151.4917755126953,211.93899536132812
2022-03-01,160.95120239257812,173.74221801757812,57.04861831665039,427.70263671875,288.66497802734375,150.13172912597656,204.92730712890625
2022-03-02,164.26492309570312,183.03610229492188,57.47209167480469,421.5111389160156,293.79327392578125,152.2134552001953,204.44680786132812
2022-03-03,163.93946838378906,185.1647186279297,57.50891876220703,419.4691162109375,289.6142578125,152.0504608154297,203.22096252441406
2022-03-04,160.92160034179688,185.93446350097656,57.60097122192383,429.1451416015625,283.6833190917969,154.36000061035156,196.41525268554688
2022-03-07,157.1049346923828,186.92279052734375,56.229305267333984,436.6387023925781,272.9667663574219,151.28680419921875,187.01077270507812
