Date,AAPL,BA,COST,GS,SLB,V,WMT
2023-01-03,123.90462493896484,195.38999938964844,437.8974914550781,329.270263671875,49.59524917602539,204.58349609375,46.69233703613281
2023-01-04,125.18260955810547,203.63999938964844,441.0662536621094,330.6778564453125,49.7878532409668,209.73284912109375,46.744354248046875
2023-01-05,123.85509490966797,204.99000549316406,434.9123840332031,326.93072509765625,50.72196960449219,208.25315856933594,46.58502960205078
2023-01-06,128.41221618652344,213.0,466.4833984375,331.0391845703125,52.484291076660156,214.80328369140625,47.72632598876953
2023-01-09,128.93728637695312,208.57000732421875,462.503173828125,335.7183837890625,53.58212661743164,215.6417999267578,47.131290435791016
2023-01-10,129.51187133789062,206.69000244140625,465.063232421875,339.8649597167969,53.89029312133789,218.09808349609375,47.10203170776367
2023-01-11,132.24615478515625,208.02999877929688,467.87451171875,346.6363830566406,54.23698043823242,219.0944366455078,47.51498031616211
2023-01-12,132.1669158935547,214.32000732421875,466.0583190917969,351.8290710449219,55.8548469543457,220.59384155273438,47.08576965332031
2023-01-13,133.50433349609375,214.1300048828125,468.7825927734375,355.6903076171875,56.124488830566406,220.04141235351562,47.241844177246094
2023-01-17,134.67335510253906,211.41000366210938,470.25103759765625,332.7891540527344,56.29783248901367,219.98223876953125,46.95570373535156
2023-01-18,133.95013427734375,209.41000366210938,463.19879150390625,331.9997863769531,55.01702117919922,216.4901580810547,45.79490280151367
2023-01-19,134.00958251953125,207.08999633789062,453.5574035644531,333.5785827636719,55.25777053833008,217.42730712890625,45.1413459777832
2023-01-20,136.5853271484375,206.75999450683594,463.8170166015625,325.1047668457031,55.2288818359375,221.2744903564453,45.697357177734375
2023-01-23,139.79518127441406,209.97000122070312,475.892822265625,332.04736328125,53.79399108886719,221.14627075195312,46.380184173583984
2023-01-24,141.20193481445312,211.97999572753906,475.4097595214844,331.2769775390625,53.418418884277344,220.8601837158203,46.50373458862305
2023-01-25,140.53819274902344,212.67999267578125,474.2215270996094,332.5133972167969,54.1695671081543,221.85653686523438,46.28263854980469
2023-01-26,142.61863708496094,212.72999572753906,481.3896789550781,337.5919189453125,55.34444046020508,221.6691131591797,46.24036407470703
2023-01-27,144.57025146484375,211.1699981689453,486.2103576660156,336.3841552734375,54.862937927246094,228.30804443359375,46.594791412353516
2023-01-30,141.66757202148438,209.6699981689453,486.2007751464844,339.96002197265625,54.2562370300293,225.9997100830078,46.22085189819336
2023-01-31,142.94554138183594,213.0,493.79400634765625,347.9012451171875,54.8725700378418,227.09466552734375,46.78012466430664
2023-02-01,144.07492065429688,214.75,500.3342590332031,347.8061218261719,53.63991165161133,227.7753143310547,47.04024887084961
2023-02-02,149.4147186279297,209.33999633789062,506.5470886230469,351.382080078125,50.35602951049805,226.45346069335938,46.69883346557617
2023-02-03,153.06040954589844,206.00999450683594,498.1955871582031,351.8385925292969,50.693084716796875,227.01577758789062,46.07779312133789
2023-02-06,150.3162078857422,206.80999755859375,498.9600830078125,352.64697265625,51.126441955566406,226.3350830078125,45.742881774902344
2023-02-07,153.20899963378906,214.75999450683594,499.86981201171875,356.07073974609375,52.142391204833984,228.18963623046875,45.84041976928711
2023-02-08,150.50445556640625,213.5,487.55999755859375,356.7364196777344,52.93579864501953,227.08480834960938,45.59330749511719
2023-02-09,149.46421813964844,211.99000549316406,484.48260498046875,349.97454833984375,52.094017028808594,226.68943786621094,46.01601028442383
2023-02-10,149.83132934570312,212.88999938964844,483.8631896972656,353.1034851074219,54.53228759765625,224.5643768310547,46.731353759765625
2023-02-13,152.64920043945312,215.64999389648438,490.1148681640625,355.7093200683594,55.45148468017578,226.2248992919922,47.443443298339844
2023-02-14,152.00424194335938,218.4499969482422,486.9890441894531,353.5789794921875,54.97737121582031,226.7289581298828,47.3068733215332
