Date,BTC-USD,ETH-USD,GOOGL,LTC-USD,MRNA,NVDA,XRP-USD
2021-01-04,31971.9140625,1040.2330322265625,86.09332275390625,154.8073272705078,111.7300033569336,13.08120346069336,0.23667700588703156
2021-01-05,33992.4296875,1100.006103515625,86.78760528564453,158.5947723388672,109.18000030517578,13.371737480163574,0.22675000131130219
2021-01-06,36824.36328125,1207.1121826171875,85.93121337890625,169.0169219970703,116.26000213623047,12.5834321975708,0.2508949935436249
2021-01-07,39371.04296875,1225.6781005859375,88.49786376953125,169.61595153808594,115.08999633789062,13.311136245727539,0.32600200176239014
2021-01-08,40797.609375,1224.1971435546875,89.66946411132812,173.27987670898438,112.75,13.24405288696289,0.32322999835014343
2021-01-11,35566.65625,1090.1453857421875,87.59759521484375,139.25222778320312,117.26000213623047,13.58795166015625,0.28890499472618103
2021-01-12,33922.9609375,1043.4345703125,86.65692138671875,132.6359100341797,124.55000305175781,13.451539993286133,0.2921229898929596
2021-01-13,37316.359375,1130.7393798828125,87.14671325683594,147.4213409423828,124.05999755859375,13.498424530029297,0.3055799901485443
2021-01-14,39187.328125,1218.4530029296875,86.33222198486328,152.08457946777344,129.72000122070312,13.167739868164062,0.2954379916191101
2021-01-15,36825.3671875,1171.8345947265625,86.16763305664062,144.237548828125,129.64999389648438,12.827829360961914,0.28040599822998047
2021-01-19,36069.8046875,1377.2958984375,89.00311279296875,153.4874267578125,125.01000213623047,12.993171691894531,0.2943139970302582
2021-01-20,35547.75,1382.2740478515625,93.77130889892578,149.93142700195312,125.13999938964844,13.332832336425781,0.2965179979801178
2021-01-21,30825.69921875,1121.5709228515625,93.97480010986328,130.1334991455078,132.97999572753906,13.833348274230957,0.26894599199295044
2021-01-22,33005.76171875,1236.51220703125,94.3942642211914,137.27145385742188,131.02000427246094,13.678727149963379,0.27279898524284363
2021-01-25,32366.392578125,1324.414794921875,94.48004913330078,137.44419860839844,147.0,13.619623184204102,0.269089013338089
2021-01-26,32569.849609375,1357.05810546875,95.161865234375,134.75526428222656,151.92999267578125,13.40216064453125,0.26882699131965637
2021-01-27,30432.546875,1253.1871337890625,90.72235870361328,122.94947052001953,155.72999572753906,12.885933876037598,0.2519429922103882
