Date,BTC-USD,ETH-USD,GOOGL,GS,LTC-USD,MSFT,XRP-USD
2021-01-04,31971.9140625,1040.2330322265625,86.09332275390625,241.31207275390625,154.8073272705078,210.84426879882812,0.23667700588703156
2021-01-05,33992.4296875,1100.006103515625,86.78760528564453,246.7119598388672,158.5947723388672,211.04766845703125,0.22675000131130219
2021-01-06,36824.36328125,1207.1121826171875,85.93121337890625,260.02508544921875,169.0169219970703,205.57533264160156,0.2508949935436249
2021-01-07,39371.04296875,1225.6781005859375,88.49786376953125,265.5798034667969,169.61595153808594,211.42539978027344,0.32600200176239014
2021-01-08,40797.609375,1224.1971435546875,89.66946411132812,264.150146484375,173.27987670898438,212.71360778808594,0.32322999835014343
2021-01-11,35566.65625,1090.1453857421875,87.59759521484375,267.56500244140625,139.25222778320312,210.6505584716797,0.28890499472618103
2021-01-12,33922.9609375,1043.4345703125,86.65692138671875,275.19598388671875,132.6359100341797,208.1710662841797,0.2921229898929596
2021-01-13,37316.359375,1130.7393798828125,87.14671325683594,275.8606872558594,147.4213409423828,209.5366973876953,0.3055799901485443
2021-01-14,39187.328125,1218.4530029296875,86.33222198486328,280.3499755859375,152.08457946777344,206.3211669921875,0.2954379916191101
2021-01-15,36825.3671875,1171.8345947265625,86.16763305664062,274.10321044921875,144.237548828125,205.96279907226562,0.28040599822998047
2021-01-19,36069.8046875,1377.2958984375,89.00311279296875,267.9019470214844,153.4874267578125,209.6335906982422,0.2943139970302582
2021-01-20,35547.75,1382.2740478515625,93.77130889892578,264.50537109375,149.93142700195312,217.28512573242188,0.2965179979801178
2021-01-21,30825.69921875,1121.5709228515625,93.97480010986328,263.5036315917969,130.1334991455078,217.89535522460938,0.26894599199295044
2021-01-22,33005.76171875,1236.51220703125,94.3942642211914,263.5219421386719,137.27145385742188,218.8445281982422,0.27279898524284363
2021-01-25,32366.392578125,1324.414794921875,94.48004913330078,257.739501953125,137.44419860839844,222.31195068359375,0.269089013338089
2021-01-26,32569.849609375,1357.05810546875,95.161865234375,256.57391357421875,134.75526428222656,225.02389526367188,0.26882699131965637
2021-01-27,30432.546875,1253.1871337890625,90.72235870361328,248.8974151611328,122.94947052001953,225.5759735107422,0.2519429922103882
2021-01-28,33466.09765625,1332.4921875,92.4311294555664,250.4363555908203,133.4869384765625,231.4163055419922,0.26412200927734375
2021-01-29,34316.38671875,1382.5228271484375,91.1423110961914,246.93051147460938,135.0125732421875,224.66554260253906,0.2821879982948303
2021-02-01,33537.17578125,1369.04052734375,94.4197006225586,250.17237854003906,131.95193481445312,232.11367797851562,0.37150898575782776
2021-02-02,35510.2890625,1515.1937255859375,95.71898651123047,261.3182067871094,142.50697326660156,231.97811889648438,0.369269996881485
2021-02-03,37472.08984375,1660.9095458984375,102.6897201538086,262.7569885253906,155.61203002929688,235.3583526611328,0.3934899866580963
2021-02-04,36926.06640625,1594.7626953125,102.4278793334961,267.4920959472656,145.148193359375,234.39952087402344,0.44644901156425476
2021-02-05,38144.30859375,1718.65087890625,104.18352508544922,267.2645263671875,154.8522186279297,234.58352661132812,0.45004698634147644
2021-02-08,46196.46484375,1746.6168212890625,103.96855163574219,273.320068359375,167.21905517578125,234.8450469970703,0.44770199060440063
2021-02-09,46481.10546875,1768.0350341796875,103.51318359375,273.6023254394531,182.11447143554688,236.10415649414062,0.47199100255966187
2021-02-10,44918.18359375,1744.243408203125,104.0663070678711,277.0809020996094,182.1743927001953,235.1840362548828,0.503445029258728
2021-02-11,47909.33203125,1783.7979736328125,104.17953491210938,275.29608154296875,184.49600219726562,236.801513671875,0.5247870087623596
2021-02-12,47504.8515625,1843.5325927734375,104.49275970458984,278.9385070800781,197.23170471191406,237.28579711914062,0.6085919737815857
2021-02-16,49199.87109375,1781.0675048828125,105.27433013916016,284.0743713378906,210.54656982421875,236.03634643554688,0.5208460092544556
2021-02-17,52149.0078125,1848.458251953125,105.66934204101562,284.78466796875,236.97352600097656,237.0653839111328,0.5355370044708252
2021-02-18,51679.796875,1937.44921875,105.03042602539062,282.198486328125,226.8695526123047,236.66734313964844,0.5324329733848572
2021-02-19,55888.1328125,1960.164794921875,104.18252563476562,287.40716552734375,236.67601013183594,233.9297637939453,0.567018985748291
2021-02-22,54207.3203125,1781.992919921875,102.45928955078125,288.5455017089844,208.10679626464844,227.6584930419922,0.571740984916687
2021-02-23,48824.42578125,1570.2039794921875,102.7515640258789,290.67626953125,176.93492126464844,226.45474243164062,0.47356298565864563
2021-02-24,49705.33203125,1626.57568359375,103.93314361572266,301.0846252441406,181.3784942626953,227.69729614257812,0.4718320071697235
2021-02-25,47093.8515625,1475.7037353515625,100.54852294921875,298.4620361328125,178.90184020996094,222.29978942871094,0.4345239996910095
2021-02-26,46339.76171875,1446.03369140625,100.84578704833984,290.9221496582031,170.3981475830078,225.59071350097656,0.4278999865055084
2021-03-01,49631.2421875,1564.7076416015625,103.22738647460938,301.6090393066406,175.23789978027344,230.01747131347656,0.44724398851394653
2021-03-02,48378.98828125,1492.6087646484375,102.96902465820312,302.5415344238281,177.8724365234375,227.03720092773438,0.43683698773384094
2021-03-03,50538.2421875,1575.8531494140625,100.32209014892578,305.73199462890625,188.52566528320312,220.91151428222656,0.45027899742126465
2021-03-04,48561.16796875,1541.914306640625,101.4453125,301.0330810546875,181.07864379882812,220.1057586669922,0.4866049885749817
2021-03-05,48927.3046875,1533.2750244140625,104.5945053100586,299.2778625488281,180.76560974121094,224.83352661132812,0.4581190049648285
