Date,JPM,KO,PEP,PG,WMT
2022-01-03,149.57614135742188,54.590660095214844,160.0406036376953,152.142333984375,46.305843353271484
2022-01-04,155.24652099609375,55.502044677734375,160.27191162109375,152.6746826171875,45.457515716552734
2022-01-05,152.4082794189453,55.96233367919922,160.81777954101562,153.36582946777344,46.07215881347656
2022-01-06,154.0274658203125,55.667747497558594,160.8547821044922,152.07696533203125,45.944114685058594
2022-01-07,155.55360412597656,55.53886413574219,161.05833435058594,151.992919921875,46.3826789855957
2022-01-10,155.70249938964844,55.63091278076172,161.14157104492188,149.9195098876953,46.29304122924805
2022-01-11,155.86070251464844,55.64933776855469,161.06756591796875,148.18234252929688,46.16178512573242
2022-01-12,156.7447509765625,55.7321891784668,160.89178466796875,148.50921630859375,45.91849899291992
2022-01-13,156.54930114746094,56.063602447509766,161.15081787109375,147.83677673339844,46.5683479309082
2022-01-14,146.92723083496094,56.51468276977539,162.50161743164062,149.2563934326172,46.43709945678711
2022-01-18,140.76687622070312,56.063602447509766,160.9473114013672,146.3797607421875,45.62398147583008
2022-01-19,138.58932495117188,56.1556510925293,162.1038055419922,151.30178833007812,46.078556060791016
2022-01-20,137.4075164794922,55.92550277709961,160.9287872314453,152.11871337890625,45.20782470703125
2022-01-21,135.00665283203125,55.64933776855469,161.18785095214844,152.7008819580078,44.87809753417969
2022-01-24,134.8856964111328,55.19824981689453,160.36441040039062,151.46141052246094,44.88130187988281
2022-01-25,136.3560028076172,55.069366455078125,158.52325439453125,149.8087615966797,43.90492248535156
2022-01-26,137.64947509765625,54.86684036254883,156.8486328125,148.50352478027344,43.456748962402344
2022-01-27,135.22068786621094,54.91286849975586,156.70062255859375,149.42376708984375,43.485565185546875
2022-01-28,136.43045043945312,56.008365631103516,159.7537841796875,150.71018981933594,44.02336502075195
2022-01-31,138.28228759765625,56.16485595703125,160.54022216796875,150.6632537841797,44.75645065307617
2022-02-01,140.65524291992188,55.7505989074707,159.44847106933594,149.99656677246094,45.10858917236328
2022-02-02,139.5292205810547,56.32135772705078,162.3443145751953,152.68211364746094,45.08938217163086
2022-02-03,138.37533569335938,56.71721649169922,162.25180053710938,154.128173828125,45.134193420410156
2022-02-04,141.96730041503906,56.11882400512695,159.58726501464844,151.67735290527344,44.60279083251953
2022-02-07,142.44190979003906,56.7080078125,158.95809936523438,150.5411834716797,44.16423034667969
2022-02-08,145.12196350097656,57.07624053955078,159.1524200439453,150.20314025878906,44.173828125
2022-02-09,145.726806640625,56.192481994628906,159.07838439941406,149.86509704589844,44.07779312133789
2022-02-10,145.12196350097656,56.50547790527344,155.77545166015625,147.58331298828125,43.5623893737793
2022-02-11,143.23287963867188,55.502044677734375,155.9697265625,146.75698852539062,43.322296142578125
2022-02-14,141.90220642089844,55.8610725402832,154.2303466796875,147.17953491210938,42.88052749633789
2022-02-15,143.97732543945312,56.07280349731445,153.5457305908203,147.25466918945312,43.014984130859375
2022-02-16,144.23789978027344,56.063602447509766,153.86026000976562,148.3720703125,42.74607467651367
2022-02-17,140.91578674316406,57.186702728271484,154.27664184570312,150.07168579101562,44.458736419677734
2022-02-18,141.5764923095703,57.573360443115234,155.16481018066406,150.1467742919922,44.173828125
2022-02-22,141.32522583007812,57.33400344848633,155.75692749023438,148.2969512939453,43.68083953857422
2022-02-23,138.3660125732422,56.69879913330078,154.22113037109375,146.44708251953125,43.232662200927734
2022-02-24,134.5134735107422,55.70457077026367,151.53805541992188,142.5032958984375,43.066200256347656
2022-02-25,137.69602966308594,57.85873794555664,155.7847137451172,148.58804321289062,43.65842056274414
2022-02-28,131.95443725585938,57.29718017578125,151.4917755126953,146.3814239501953,43.26787567138672
2022-03-01,126.97587585449219,57.04862594604492,150.13174438476562,143.95875549316406,43.5335807800293
2022-03-02,129.60939025878906,57.47209548950195,152.21343994140625,144.4094696044922,43.587989807128906
2022-03-03,128.68809509277344,57.5089111328125,152.0504608154297,144.94471740722656,44.589988708496094
2022-03-04,125.06819915771484,57.60097122192383,154.36004638671875,145.67713928222656,45.72002410888672
2022-03-07,120.23859405517578,56.229312896728516,151.28680419921875,143.5174102783203,45.35187530517578
2022-03-08,119.39177703857422,54.001487731933594,147.02149963378906,137.83642578125,44.41392135620117
2022-03-09,124.17488098144531,54.27766418457031,146.58384704589844,139.69569396972656,44.6444091796875
2022-03-10,122.70457458496094,53.28342819213867,143.89242553710938,136.09927368164062,45.65919494628906
2022-03-11,119.94080352783203,53.320255279541016,143.166015625,134.4842071533203,45.47992706298828
2022-03-14,121.13191986083984,54.30354309082031,145.17758178710938,136.20260620117188,46.11377716064453
2022-03-15,123.28152465820312,55.305381774902344,148.07386779785156,141.10418701171875,46.66758728027344
2022-03-16,128.79046630859375,55.156959533691406,148.72579956054688,140.6252899169922,46.529937744140625
2022-03-17,130.41896057128906,55.74136734008789,149.8805694580078,141.06661987304688,46.60062789916992
2022-03-18,130.37246704101562,55.750640869140625,151.60340881347656,140.9915008544922,46.73881530761719
2022-03-21,129.9536895751953,56.1959114074707,151.38925170898438,141.5267333984375,46.349971771240234
2022-03-22,132.71746826171875,56.39999008178711,153.04693603515625,142.61598205566406,46.21178436279297
2022-03-23,130.07467651367188,56.02893829345703,152.2460174560547,141.62062072753906,45.61726379394531
2022-03-24,130.9214630126953,56.56696319580078,153.16799926757812,141.86477661132812,45.90006637573242
2022-03-25,132.06610107421875,57.0771598815918,153.8850860595703,143.50804138183594,46.09931182861328
2022-03-28,131.08897399902344,57.438941955566406,154.34141540527344,144.4940185546875,46.91877746582031
