Date,ETH-USD,JNJ,MMM,T,V
2023-01-03,1214.77880859375,168.97999572753906,93.82341003417969,16.748668670654297,204.58349609375
2023-01-04,1256.526611328125,170.81971740722656,95.87654876708984,17.10616111755371,209.73284912109375
2023-01-05,1250.4385986328125,169.55845642089844,94.19879913330078,17.168724060058594,208.25315856933594
2023-01-06,1269.3790283203125,170.93350219726562,97.07930755615234,17.454721450805664,214.80328369140625
2023-01-09,1321.5389404296875,166.50486755371094,97.1329345703125,17.26251220703125,215.64178466796875
2023-01-10,1336.5860595703125,166.1065673828125,98.15949249267578,17.65237045288086,218.0980987548828
2023-01-11,1387.9327392578125,165.84104919433594,98.91793060302734,17.597970962524414,219.09442138671875
2023-01-12,1417.9384765625,165.0065460205078,99.0941390991211,17.597970962524414,220.59385681152344
2023-01-13,1451.6148681640625,164.46600341796875,99.21670532226562,17.724899291992188,220.0414276123047
2023-01-17,1567.8460693359375,163.45127868652344,96.98738098144531,17.525440216064453,219.98223876953125
2023-01-18,1515.5069580078125,160.9856719970703,94.03791809082031,17.2443790435791,216.4901580810547
2023-01-19,1552.5565185546875,160.767578125,90.7283935546875,17.17184829711914,217.42727661132812
2023-01-20,1659.754150390625,160.0184326171875,92.42913055419922,17.43477439880371,221.27452087402344
2023-01-23,1628.2510986328125,159.6106414794922,93.9383316040039,17.316911697387695,221.1462860107422
2023-01-24,1556.604248046875,159.6106414794922,88.10069274902344,17.37131118774414,220.86019897460938
2023-01-25,1611.7110595703125,160.7486114501953,86.51487731933594,18.513683319091797,221.8565216064453
2023-01-26,1603.10595703125,160.16065979003906,86.9898681640625,18.132890701293945,221.66909790039062
2023-01-27,1598.156494140625,159.53477478027344,88.29222869873047,18.08755874633789,228.3080291748047
2023-01-30,1567.3265380859375,153.62677001953125,86.24674987792969,18.2779541015625,225.9997100830078
2023-01-31,1586.535400390625,154.973388671875,88.16197967529297,18.46834945678711,227.09466552734375
2023-02-01,1641.792724609375,156.39585876464844,88.75952911376953,18.29608726501465,227.77532958984375
2023-02-02,1643.2415771484375,156.98379516601562,92.1533203125,18.38675308227539,226.4534912109375
2023-02-03,1664.74560546875,156.10186767578125,90.0082778930664,17.978759765625,227.01576232910156
2023-02-06,1616.2470703125,154.91648864746094,89.24983215332031,17.752099990844727,226.33509826660156
2023-02-07,1672.0035400390625,154.95440673828125,89.55628204345703,17.452909469604492,228.1896514892578
2023-02-08,1650.716796875,155.15354919433594,88.29222869873047,17.37131118774414,227.0847930908203
2023-02-09,1546.438232421875,153.05780029296875,86.51487731933594,17.199045181274414,226.68943786621094
2023-02-10,1514.869140625,153.76901245117188,87.24266815185547,17.289710998535156,224.5643768310547
2023-02-13,1507.1658935546875,154.33799743652344,88.3152084350586,17.461973190307617,226.22488403320312
2023-02-14,1556.8751220703125,153.6647186279297,87.49547576904297,17.362239837646484,226.7289581298828
2023-02-15,1673.7459716796875,151.13272094726562,87.9398193359375,17.452909469604492,226.26441955566406
2023-02-16,1640.067626953125,150.06112670898438,86.93846893310547,17.461973190307617,223.21026611328125
2023-02-17,1694.7833251953125,153.19393920898438,87.70694732666016,17.625171661376953,220.9665985107422
2023-02-21,1658.036376953125,150.91119384765625,84.80382537841797,17.41663932800293,218.06072998046875
2023-02-22,1643.231689453125,150.70103454589844,84.56320190429688,17.570770263671875,217.46766662597656
2023-02-23,1651.0738525390625,150.65328979492188,84.53990936279297,17.54357147216797,218.56480407714844
2023-02-24,1608.3731689453125,148.9722442626953,83.67828369140625,17.44384002685547,217.0031280517578
2023-02-27,1634.326416015625,148.64752197265625,84.04312133789062,17.253446578979492,217.79385375976562
2023-02-28,1605.8951416015625,146.3838653564453,83.63170623779297,17.1446475982666,217.3885955810547
2023-03-01,1663.4337158203125,145.72482299804688,85.54901123046875,16.917985916137695,215.82691955566406
2023-03-02,1647.3193359375,145.61021423339844,85.3083724975586,16.917985916137695,216.51882934570312
2023-03-03,1569.1676025390625,147.10975646972656,86.36405944824219,17.053983688354492,221.17417907714844
2023-03-06,1567.398681640625,148.58067321777344,85.33167266845703,17.017719268798828,224.11959838867188
2023-03-07,1561.93310546875,147.17660522460938,83.12714385986328,16.96331787109375,220.58111572265625
2023-03-08,1534.0882568359375,146.09732055664062,83.1814956665039,16.872655868530273,219.61248779296875
2023-03-09,1438.6607666015625,144.45448303222656,81.90846252441406,16.60972785949707,217.45777893066406
2023-03-10,1429.1580810546875,144.80787658691406,80.77516174316406,16.709457397460938,213.63267517089844
2023-03-13,1680.3089599609375,146.1928253173828,80.34046936035156,16.59159278869629,211.9820556640625
2023-03-14,1703.507080078125,147.0142364501953,79.78157043457031,16.718524932861328,216.12347412109375
2023-03-15,1656.1805419921875,147.42495727539062,79.78157043457031,16.60066032409668,213.86001586914062
2023-03-16,1677.2154541015625,147.1193084716797,80.89159393310547,16.673192977905273,214.927490234375
2023-03-17,1792.485107421875,145.5433349609375,79.96788024902344,16.437461853027344,214.86817932128906
2023-03-20,1735.3212890625,146.98558044433594,80.96922302246094,16.763856887817383,215.61936950683594
2023-03-21,1806.7607421875,146.98558044433594,80.95369720458984,16.80919075012207,219.37525939941406
2023-03-22,1737.717041015625,144.27301025390625,78.81903839111328,16.673192977905273,217.48745727539062
2023-03-23,1816.4051513671875,144.34942626953125,78.39988708496094,16.736658096313477,220.00784301757812
2023-03-24,1752.0447998046875,145.8012237548828,78.50855255126953,16.872655868530273,218.47584533691406
2023-03-27,1715.4608154296875,146.42205810546875,78.78023529052734,17.10838508605957,219.2368927001953
