"","AAPL","MSFT","GOOGL","AMZN","TSLA","JPM","BAC","V","PG","KO","WMT","PEP","CVX","XOM","SLB","BA","UPS","CAT","MMM","JNJ","PFE","MRNA","DIS","NFLX","T","NVDA","ORCL","INTC","LMT","GS","COST","BTC.USD","ETH.USD","LTC.USD","XRP.USD"
"AAPL",1,0.547908785008849,0.526526242457401,0.44846982084696,0.454902152447452,0.294741121687018,0.231809935835361,0.475660842626293,0.189788137536797,0.199368760479677,0.170182245758495,0.168293387744973,0.129995737413118,0.0999696202246168,0.0716187248882539,0.289986865366409,0.385479091089478,0.27146002362132,0.304041575420821,0.141095621955872,0.0866998559929037,0.192413460769259,0.341228995614618,0.427573942858713,0.117407489034606,0.437894690193306,0.363685931711388,0.336831210550164,0.141803980889813,0.256026248899224,0.393329692399045,0.164377937260555,0.171002732721935,0.180903197800668,0.147686333868022
"MSFT",0.547908785008849,1,0.492641322129562,0.564043375373048,0.333328412563389,0.0945579871021408,0.0958772238228597,0.320106044963348,0.157070538305016,0.146251753837992,0.110831716363667,0.180532375239449,-0.0563787228034723,-0.0959451724712042,-0.089899365870579,0.133716457224002,0.313631147151969,0.0739933458375145,0.180754725224231,0.0454666821667968,0.140761764419044,0.121570113799105,0.253952909004043,0.389282597076625,-0.0460415212699767,0.5318892024277,0.377337284773231,0.344880108034031,0.00845227203565169,0.1597516974992,0.302939466361185,0.145869027282241,0.120543082860844,0.133711822240854,0.107823833410624
"GOOGL",0.526526242457401,0.492641322129562,1,0.61301120574422,0.331822071681832,0.15629918621435,0.160829179387948,0.311226409492604,0.0984273075730068,0.0873026263249666,0.117365437255182,0.0843019752953557,0.028213284367137,-0.0439615275000379,-0.0558842560972418,0.178183188938948,0.326875144800473,0.0979073605116293,0.274992220555872,0.0723884722784149,0.128868673873048,0.188267769897667,0.259108261736349,0.325688230072638,0.0427524713194614,0.416000051799363,0.294219150568899,0.316972130333764,-0.0324554429516368,0.201495591560283,0.330615355536789,0.14753814661798,0.180045267818858,0.166026453269457,0.185530416386769
"AMZN",0.44846982084696,0.564043375373048,0.61301120574422,1,0.378717286748118,0.132326445999317,0.192544158180368,0.332684428848648,0.122852936295728,0.0943225271954452,0.193738056452102,0.1236817908222,-0.086623664979408,-0.0511635313353471,-0.0461699058512028,0.185045726001226,0.317280702090669,0.103403716440118,0.229746597134131,0.0248775190459983,0.110071858740523,0.133672566786433,0.339586472436892,0.390045279180258,0.153656565364816,0.395919072346131,0.304484729304614,0.388289388024852,-0.00557823637402724,0.236443435938278,0.412368438789104,0.142887819984818,0.121809460066291,0.136601210381095,0.150648310615913
"TSLA",0.454902152447452,0.333328412563389,0.331822071681832,0.378717286748118,1,0.282529322009501,0.329583346919001,0.33259664938359,0.0245408392731755,0.0561257619677223,0.175417674300838,0.0793151411907169,0.0433852672856767,-0.00405360672643502,0.0674288564015273,0.24332214965287,0.347697276263816,0.248672399866073,0.27731933559819,0.0432202324267694,0.0889592498211118,0.190386945746343,0.338585422899373,0.291745938592737,0.127908715612187,0.393549931952954,0.256459574471893,0.223044525859985,0.028441721932698,0.220500931651978,0.303630422991142,0.16579837488044,0.156002844278629,0.153791841164881,0.1956515784963
"JPM",0.294741121687018,0.0945579871021408,0.15629918621435,0.132326445999317,0.282529322009501,1,0.70192256623831,0.402900668889189,0.151577260292265,0.214842911095727,0.139506092377789,0.116323603397034,0.453294782429628,0.389266975489859,0.442389868291198,0.296356698244662,0.447681404356768,0.44162438794214,0.40325756971808,0.23920163495095,0.190203808615415,0.168688236380714,0.279294688791172,0.133149069328493,0.15144957563112,0.238333159986744,0.160817965163593,0.114913612910143,0.220834287194513,0.568496229858033,0.189545396058442,0.0617561149438613,0.123253640788344,0.166283739057775,0.149844063896526
"BAC",0.231809935835361,0.0958772238228597,0.160829179387948,0.192544158180368,0.329583346919001,0.70192256623831,1,0.378253081626951,0.126423133475684,0.217202891595791,0.128771020652625,0.0963635163304485,0.47655407582923,0.420024939786987,0.427490877649387,0.349424014653434,0.493082053496829,0.500605627697637,0.501137630387526,0.193927962642482,0.17914295323625,0.209914644855346,0.408390985521458,0.179885582389792,0.265372670788552,0.188616213965357,0.119051922268772,0.177641270056632,0.173242879130794,0.692797167882352,0.219934707250723,0.00293921057989766,0.0206035121322758,0.0974879357382819,0.148031589919509
"V",0.475660842626293,0.320106044963348,0.311226409492604,0.332684428848648,0.33259664938359,0.402900668889189,0.378253081626951,1,0.252898986668979,0.291036151780076,0.233958484134831,0.240866813921686,0.222258431394046,0.263136619942342,0.257854260797473,0.284004388098784,0.389141089814198,0.355786735733477,0.315605683611599,0.202200360771183,0.14936124142529,0.0783695401170207,0.376342337686396,0.295496704634934,0.131846181872602,0.30846381721847,0.253579981505671,0.225318541977751,0.231918728221764,0.325291677472538,0.393759296632192,0.0988105410668572,0.0995472371808513,0.181478763177962,0.0898559934006647
"PG",0.189788137536797,0.157070538305016,0.0984273075730068,0.122852936295728,0.0245408392731755,0.151577260292265,0.126423133475684,0.252898986668979,1,0.6121907214482,0.361225577693019,0.647268112891283,0.11911946321548,0.104518348175672,-0.0234125033942847,0.161992335460829,0.194410712069144,0.0760436305748433,0.23745986506051,0.331352956609018,0.124895973922402,0.0422467308995312,0.0822638133670701,0.0933238236332447,0.153300374151653,-0.0246165308929772,0.205474249014302,0.0991240443533754,0.245776648719172,0.0980440459396943,0.329979988537803,0.0199812410296932,0.0171274604033464,0.0567058142782898,-0.0378932347588827
"KO",0.199368760479677,0.146251753837992,0.0873026263249666,0.0943225271954452,0.0561257619677223,0.214842911095727,0.217202891595791,0.291036151780076,0.6121907214482,1,0.384473379071194,0.777118992739346,0.109069398029216,0.13207448527352,0.0394199304336881,0.208550843314452,0.245496843952139,0.175399203522554,0.310805231700427,0.370919173432094,0.169149628401434,0.0604134531501737,0.0626200265757873,0.0929851873564123,0.237245834691542,0.0109834334087559,0.122661377861394,0.0418447120182576,0.274831396888592,0.133561981528707,0.346775629800803,0.0683113134632463,0.0593704260630041,0.0297451994215289,0.0674151594789024
