"","AAPL","MSFT","GOOGL","AMZN","TSLA","JPM","BAC","V","PG","KO","WMT","PEP","CVX","XOM","SLB","BA","UPS","CAT","MMM","JNJ","PFE","MRNA","DIS","NFLX","T","NVDA","ORCL","INTC","LMT","GS","COST","BTC.USD","ETH.USD","LTC.USD","XRP.USD"
"WMT",0.434726193991784,0.496858898200783,0.404899804622428,0.420843198320991,0.166821907158096,0.153226117272635,0.20887797691179,0.318367350192098,0.66986944115525,0.390653557208851,1,0.603191438450041,0.0619399380643226,0.189644286204795,0.140141483084424,0.164453501076822,0.375279525226335,0.262805457328247,0.382878330422006,0.547159949509423,0.383793071855872,0.161951972379409,0.250161855205499,0.406792500660241,0.38828315516129,0.442281759488418,0.487160099548983,0.407768942784556,0.462835034285067,0.215223929619156,0.714581844968128,0.281456768085359,0.329033066572583,0.27412785848174,0.208616334744788
"PEP",0.597699417803715,0.619549224658027,0.558633004726421,0.424320433338497,0.298339551660306,0.489345985418047,0.54337295606752,0.576511389200003,0.77562463318352,0.7134903479822,0.603191438450041,1,0.375364943542818,0.446520146377102,0.316571002646246,0.39678166638118,0.454518360680565,0.50254897390104,0.577592057469645,0.677476420714901,0.587995493268853,0.172648590068849,0.479124442504104,0.319284924466457,0.648141866663471,0.55819634437508,0.663652566605614,0.551417413771181,0.703138720834649,0.522541691022313,0.627416182096246,0.329081450985403,0.306380901071177,0.283371814460657,0.212940831978361
"CVX",0.35378251554862,0.409259313094712,0.461305702329778,0.107836840322296,0.363090195217208,0.758765835774345,0.712253732441272,0.6817397244146,0.269612476164691,0.617472276357501,0.0619399380643226,0.375364943542818,1,0.835647250359554,0.791886398120058,0.674890155183217,0.257846395114463,0.61436039506474,0.53752805660811,0.424395753271,0.369224072497648,-0.0136234984856548,0.628067415043781,0.0688701183849854,0.551974360925653,0.336820108410244,0.336232666780495,0.419735382023564,0.476026890584181,0.711512818087787,0.153171535720667,0.245416767632138,0.244810097712025,0.209493390095541,0.234870419354067
"XOM",0.383745089019177,0.418987622617516,0.486680624025695,0.182152880754675,0.292634438350269,0.728527029950981,0.757148951295642,0.668222925618876,0.364573415619523,0.630201810095757,0.189644286204795,0.446520146377102,0.835647250359554,1,0.807431766080166,0.641023930329879,0.35735905120907,0.700522699990632,0.648188841328946,0.454159272934054,0.411615594163624,0.0395990648486992,0.661613154102013,0.0668625291786296,0.642759282104468,0.348992963158195,0.42596927824618,0.45137172333192,0.55672218486325,0.707050973713583,0.248057507683477,0.318977442598084,0.29908944144271,0.240133956095686,0.273523746124642
"SLB",0.335720566136083,0.424636670793307,0.51818517176372,0.19639184631836,0.345722764041851,0.723606359219851,0.719938912133264,0.66834665520343,0.29896360543011,0.568453896535107,0.140141483084424,0.316571002646246,0.791886398120058,0.807431766080166,1,0.636606430130086,0.324561688377447,0.672746452778238,0.596203201464671,0.405232403983241,0.35836340621488,0.0260481211494516,0.672451337016314,0.111453158520941,0.570519362002281,0.316741949066481,0.372710529572365,0.436021562303205,0.456445218150022,0.725381457150089,0.236668866065699,0.354557137287769,0.350955700015425,0.306460716519133,0.270457688923102
"BA",0.431498054203972,0.448980908123247,0.483510916390005,0.204425993215702,0.338691270038706,0.695237389769185,0.648971724144789,0.622312433998774,0.303855701104809,0.595559150303951,0.164453501076822,0.39678166638118,0.674890155183217,0.641023930329879,0.636606430130086,1,0.347073300892238,0.560750482150799,0.487982712948457,0.398815183789776,0.425296565806817,-0.027989475403347,0.627292211853441,0.168447204628977,0.529522010344954,0.370469608550326,0.422931506351016,0.465864392887628,0.549624347411506,0.658725678946498,0.221206451318392,0.28058571770467,0.310361840817437,0.254485677501888,0.246978155254828
"UPS",0.490941166088779,0.449203507101578,0.451557984646023,0.382984948026376,0.179601555264699,0.400822467776329,0.440000266739409,0.441304223177648,0.560843806654748,0.421391790492389,0.375279525226335,0.454518360680565,0.257846395114463,0.35735905120907,0.324561688377447,0.347073300892238,1,0.430948213319677,0.494348978018399,0.465294129412665,0.41781021938486,0.0255740045037827,0.414635966678193,0.29243946890077,0.44749041809381,0.429810288412788,0.500555117565712,0.394836935034709,0.494757846988701,0.418167316464844,0.46561686247347,0.21889811244749,0.22804891826455,0.180306428968719,0.193719996753151
"CAT",0.38955420349002,0.413988391495427,0.481797447364513,0.187271405767152,0.201382589839892,0.721180893858494,0.751685631535232,0.620510815552374,0.465513943474047,0.671123126422771,0.262805457328247,0.50254897390104,0.61436039506474,0.700522699990632,0.672746452778238,0.560750482150799,0.430948213319677,1,0.731859671885343,0.546497650550165,0.47998531403996,0.0616634634868207,0.611746530378469,0.104658536966099,0.655884072372735,0.32825505191654,0.492726862013009,0.42647781181615,0.593078617323414,0.683092417973987,0.359777606108346,0.321594057209301,0.312785277927273,0.270781487713627,0.21090172044468
"MMM",0.420339295730796,0.462614234640476,0.509262880978912,0.221683605100408,0.218384572647349,0.607455512230281,0.685405159409836,0.675917696969052,0.549615306665418,0.643986237655856,0.382878330422006,0.577592057469645,0.53752805660811,0.648188841328946,0.596203201464671,0.487982712948457,0.494348978018399,0.731859671885343,1,0.601423670120817,0.507831398688583,-0.000623002982758152,0.62494012335345,0.177877496128267,0.697479773861533,0.390802234176124,0.510610259365448,0.439045156659569,0.644554474249872,0.659543929944529,0.456078155987158,0.312420964510976,0.320191007736971,0.257495980381629,0.257325806284099
"JNJ",0.500038961803844,0.591403662879259,0.559638902754935,0.339272684887652,0.220703734137559,0.449491711847089,0.481663472831842,0.62002547297673,0.761345112825983,0.682624567473353,0.547159949509423,0.677476420714901,0.424395753271,0.454159272934054,0.405232403983241,0.398815183789776,0.465294129412665,0.546497650550165,0.601423670120817,1,0.698786621256506,0.154576635987703,0.477459931306552,0.2105439285212,0.620807474637718,0.404409547183353,0.562127607035778,0.477694945049359,0.621644010007506,0.48802393315962,0.568735606584712,0.2416959177074,0.224530245327123,0.219479423591333,0.143154039839308
