Date,BTC-USD,COST,LTC-USD,MRNA,PEP,PG,WMT
2020-01-02,6985.47021484375,268.2441101074219,39.82301330566406,19.229999542236328,118.6358642578125,109.72232818603516,36.86407470703125
2020-01-03,7344.88427734375,268.46502685546875,42.41557312011719,18.889999389648438,118.46988677978516,108.98438262939453,36.53863525390625
2020-01-06,7769.21923828125,268.53857421875,45.81635284423828,18.1299991607666,118.92410278320312,109.13553619384766,36.464256286621094
2020-01-07,8163.6923828125,268.11529541015625,46.424583435058594,17.780000686645508,117.05482482910156,108.45982360839844,36.12641525268555
2020-01-08,8079.86279296875,271.18890380859375,45.65376663208008,17.979999542236328,117.65753173828125,108.92215728759766,36.00244903564453
2020-01-09,7879.0712890625,275.5417785644531,45.2159309387207,18.399999618530273,117.73616790771484,110.11353302001953,36.374366760253906
2020-01-10,8166.55419921875,273.53558349609375,48.72732925415039,19.139999389648438,117.50906372070312,110.22022247314453,36.07062530517578
2020-01-13,8144.1943359375,275.95587158203125,49.733768463134766,20.260000228881836,119.25601196289062,111.029296875,35.915672302246094
2020-01-14,8827.7646484375,275.8454284667969,58.478233337402344,20.0,119.5355224609375,110.8603744506836,36.00864028930664
2020-01-15,8807.0107421875,276.83001708984375,58.05284881591797,20.239999771118164,121.58821868896484,111.98950958251953,35.72969436645508
2020-01-16,8723.7861328125,278.8638610839844,57.618255615234375,21.010000228881836,121.94633483886719,112.08731079101562,35.92184829711914
2020-01-17,8929.0380859375,280.3822021484375,61.487125396728516,20.6200008392334,123.38755798339844,112.38961029052734,35.630516052246094
2020-01-21,8745.89453125,288.27801513671875,57.64788055419922,20.940000534057617,123.91167449951172,112.1050796508789,35.825782775878906
2020-01-22,8680.8759765625,287.0172424316406,58.3547248840332,21.969999313354492,125.23934936523438,112.30068969726562,35.98384475708008
2020-01-23,8406.515625,287.92828369140625,54.6302604675293,21.469999313354492,125.4751968383789,111.78732299804688,35.89396286010742
2020-01-24,8445.4345703125,285.747314453125,54.53178787231445,21.1200008392334,124.83755493164062,111.92149353027344,35.447654724121094
2020-01-27,8909.8193359375,284.7718505859375,58.763267517089844,22.739999771118164,124.15625762939453,112.41338348388672,35.909461975097656
2020-01-28,9358.58984375,286.0601806640625,60.671817779541016,22.360000610351562,124.41830444335938,112.71746826171875,36.13880920410156
2020-01-29,9316.6298828125,284.8915100097656,60.07793426513672,20.549999237060547,123.79808807373047,111.84992218017578,35.91875457763672
2020-01-30,9508.9931640625,284.79022216796875,68.15906524658203,20.989999771118164,125.63240814208984,112.64590454101562,36.13261795043945
2020-01-31,9350.529296875,281.15521240234375,67.8794937133789,20.510000228881836,124.05142974853516,111.45641326904297,35.4848518371582
2020-02-03,9293.521484375,277.91595458984375,69.78022003173828,20.3799991607666,124.47937774658203,111.89463806152344,35.41666030883789
2020-02-04,9180.962890625,280.58465576171875,68.1957778930664,20.8700008392334,125.09960174560547,112.38655090332031,35.72660446166992
2020-02-05,9613.423828125,284.31170654296875,72.49310302734375,20.049999237060547,126.04297637939453,113.4150619506836,36.20390319824219
2020-02-06,9729.8017578125,286.44189453125,73.38868713378906,19.8799991607666,126.06916046142578,113.7102279663086,36.04893112182617
2020-02-07,9795.943359375,289.22698974609375,74.35611724853516,23.239999771118164,126.97757720947266,112.76216888427734,36.09231948852539
2020-02-10,9856.611328125,289.37451171875,74.33509826660156,23.649999618530273,127.2308578491211,112.84268188476562,35.720401763916016
2020-02-11,10208.236328125,286.506591796875,76.59739685058594,21.350000381469727,127.59774017333984,111.04499816894531,35.76689910888672
2020-02-12,10326.0546875,290.6009826660156,81.29744720458984,19.010000228881836,127.59774017333984,110.41000366210938,35.90635681152344
2020-02-13,10214.3798828125,293.4414367675781,80.40342712402344,19.045000076293945,127.93844604492188,111.7604751586914,36.399166107177734
2020-02-14,10312.1162109375,293.5428771972656,82.99034881591797,19.0,128.39263916015625,112.81583404541016,36.53863525390625
2020-02-18,10141.99609375,296.9918518066406,77.0351791381836,18.90999984741211,127.17851257324219,111.68000030517578,37.07792663574219
2020-02-19,9633.38671875,297.8863220214844,71.13594055175781,18.920000076293945,127.1173095703125,112.18978881835938,36.473548889160156
2020-02-20,9608.4755859375,298.8638610839844,69.62484741210938,18.540000915527344,126.79413604736328,113.20935821533203,36.476654052734375
2020-02-21,9686.44140625,296.8995666503906,73.45092010498047,18.229999542236328,127.39681243896484,113.3166732788086,36.752498626708984
2020-02-24,9650.1748046875,289.2177734375,75.5356216430664,18.59000015258789,124.59294891357422,110.27584838867188,36.052032470703125
2020-02-25,9341.705078125,281.1485900878906,71.18024444580078,23.760000228881836,123.24784088134766,108.60336303710938,35.4538459777832
2020-02-26,8820.5224609375,281.90478515625,61.01430892944336,29.15999984741211,124.01646423339844,107.46751403808594,35.264793395996094
2020-02-27,8784.494140625,270.32208251953125,61.50788497924805,26.15999984741211,119.11626434326172,101.51100158691406,34.21719741821289
2020-02-28,8672.455078125,259.2650146484375,59.76395797729492,25.93000030517578,115.32538604736328,101.26952362060547,33.374168395996094
2020-03-02,8869.669921875,285.0863037109375,60.995548248291016,29.8799991607666,120.17317199707031,106.9308853149414,35.915672302246094
2020-03-03,8787.7861328125,279.1751708984375,61.14447784423828,27.90999984741211,118.42621612548828,105.6877212524414,34.99515151977539
2020-03-04,8755.24609375,295.7837829589844,60.38241958618164,27.489999771118164,124.37458038330078,111.34909057617188,36.19151306152344
2020-03-05,9078.7626953125,291.1912536621094,62.04545974731445,28.010000228881836,121.44188690185547,108.78225708007812,35.92805862426758
