Date,CVX,JNJ,KO,LMT,PEP,T,XOM
2022-01-03,107.27003479003906,158.50904846191406,54.590667724609375,329.65631103515625,160.04058837890625,15.975510597229004,57.61799240112305
2022-01-04,109.22187042236328,158.0840301513672,55.502037048339844,336.75439453125,160.2718963623047,16.107433319091797,59.785255432128906
2022-01-05,109.93244934082031,159.13743591308594,55.96233367919922,333.1727600097656,160.81776428222656,16.46551513671875,60.528812408447266
2022-01-06,110.8678970336914,158.59225463867188,55.667747497558594,333.04254150390625,160.8547821044922,16.402694702148438,61.95248794555664
2022-01-07,112.45994567871094,160.73597717285156,55.53887176513672,335.03338623046875,161.05831909179688,16.963062286376953,62.460304260253906
2022-01-10,112.53189849853516,159.94134521484375,55.63092041015625,337.9265441894531,161.14157104492188,17.0727481842041,62.08852005004883
2022-01-11,115.10435485839844,158.24110412597656,55.649322509765625,338.7545166015625,161.0675506591797,16.995323181152344,64.7000961303711
2022-01-12,114.52871704101562,156.89199829101562,55.73219299316406,336.11248779296875,160.89178466796875,17.06629753112793,64.50967407226562
2022-01-13,114.05199432373047,155.9402313232422,56.063594818115234,339.7220458984375,161.15081787109375,17.292129516601562,64.04720306396484
2022-01-14,115.99483489990234,155.09014892578125,56.51468276977539,346.6434326171875,162.50164794921875,17.537315368652344,65.17163848876953
2022-01-18,116.37261199951172,154.4063720703125,56.063594818115234,350.29010009765625,160.94729614257812,17.62119483947754,66.26885986328125
2022-01-19,115.94985961914062,153.9258575439453,56.15565490722656,351.02496337890625,162.10379028320312,17.601839065551758,66.29606628417969
2022-01-20,115.53609466552734,152.69691467285156,55.92551040649414,348.9784240722656,160.9287872314453,17.4340763092041,66.441162109375
2022-01-21,114.15092468261719,152.3457489013672,55.649322509765625,345.3222961425781,161.18783569335938,17.169532775878906,65.44366455078125
2022-01-24,114.39379119873047,150.59010314941406,55.198246002197266,347.3038635253906,160.3644256591797,16.995323181152344,66.00588989257812
2022-01-25,119.25987243652344,154.89613342285156,55.06936264038086,360.17901611328125,158.52330017089844,17.085655212402344,67.94644165039062
2022-01-26,119.34982299804688,155.58914184570312,54.8668327331543,363.96527099609375,156.84866333007812,15.646795272827148,67.25726318359375
2022-01-27,121.7603988647461,157.63125610351562,54.91286849975586,361.95587158203125,156.7006072998047,15.562918663024902,68.11873626708984
2022-01-28,117.47896575927734,158.74009704589844,56.00836181640625,365.74212646484375,159.75381469726562,16.26621437072754,68.26383972167969
2022-01-31,118.1265640258789,159.2021026611328,56.164859771728516,362.0023498535156,160.54019165039062,16.453330993652344,68.88044738769531
2022-02-01,121.23872375488281,157.8992156982422,55.75060272216797,360.0301818847656,159.44847106933594,15.756484031677246,73.29656219482422
2022-02-02,121.79637908935547,159.6456298828125,56.32136154174805,360.33709716796875,162.34434509277344,15.833910942077637,73.10613250732422
2022-02-03,120.70802307128906,159.6363983154297,56.71720504760742,362.5326232910156,162.2517852783203,15.84681510925293,72.25373840332031
2022-02-04,122.2191390991211,158.59225463867188,56.11883544921875,362.18841552734375,159.5872802734375,15.537108421325684,73.82250213623047
2022-02-07,124.62071228027344,158.06553649902344,56.708003997802734,364.98858642578125,158.95809936523438,15.440323829650879,74.71115112304688
2022-02-08,122.72280883789062,158.4813690185547,57.07624053955078,368.4306945800781,159.1523895263672,15.446776390075684,72.7796859741211
2022-02-09,123.93708038330078,158.462890625,56.19247817993164,367.03521728515625,159.07839965820312,15.808101654052734,72.4312744140625
2022-02-10,122.36302947998047,156.55014038085938,56.50547409057617,358.56024169921875,155.77545166015625,15.646795272827148,71.73445892333984
2022-02-11,124.85454559326172,154.97003173828125,55.502037048339844,368.5701599121094,155.96971130371094,15.56937026977539,73.5406723022461
2022-02-14,122.92969512939453,153.02032470703125,55.8610725402832,359.9930114746094,154.23036193847656,15.517748832702637,72.4129409790039
2022-02-15,122.02986907958984,154.6003875732422,56.07280349731445,355.5740966796875,153.54571533203125,15.70486831665039,71.5052490234375
2022-02-16,122.06624603271484,154.5079803466797,56.063594818115234,359.92779541015625,153.8603057861328,15.446776390075684,71.8353271484375
2022-02-17,121.4390869140625,153.56546020507812,57.18670654296875,361.6675109863281,154.27659606933594,15.330636024475098,71.72530364990234
2022-02-18,121.26640319824219,151.91944885253906,57.57334899902344,359.51849365234375,155.164794921875,15.40160846710205,70.9276351928711
2022-02-22,120.33930969238281,149.8549041748047,57.33399963378906,359.2766418457031,155.7569580078125,15.324180603027344,70.10247039794922
2022-02-23,123.20236206054688,149.9293212890625,56.698795318603516,361.78839111328125,154.22113037109375,15.169326782226562,70.38668823242188
2022-02-24,122.56615447998047,147.06500244140625,55.70457077026367,368.12371826171875,151.5380096435547,14.988661766052246,69.49735260009766
2022-02-25,127.59239196777344,154.37454223632812,57.858734130859375,380.9429931640625,155.78469848632812,15.42741584777832,71.36771392822266
2022-02-28,130.8826446533203,153.0447235107422,57.29718017578125,406.3367004394531,151.49179077148438,15.285465240478516,71.89949798583984
2022-03-01,136.08157348632812,152.51463317871094,57.04862594604492,427.7026672363281,150.1317596435547,15.182230949401855,72.5871353149414
2022-03-02,140.0989532470703,154.41175842285156,57.47209167480469,421.5111083984375,152.21340942382812,15.369346618652344,73.83406829833984
2022-03-03,141.98948669433594,156.6808624267578,57.508914947509766,419.4691467285156,152.0504608154297,15.42741584777832,74.30165100097656
2022-03-04,144.19813537597656,157.61083984375,57.60096740722656,429.1451416015625,154.3600311279297,15.40160846710205,77.0980453491211
2022-03-07,147.27932739257812,160.149658203125,56.229305267333984,436.638671875,151.2867889404297,15.208041191101074,79.87611389160156
