Date,BTC-USD,GOOGL,LTC-USD,MRNA,PFE,TSLA,XRP-USD
2021-01-04,31971.9140625,86.09332275390625,154.8073272705078,111.7300033569336,31.410320281982422,243.2566680908203,0.23667700588703156
2021-01-05,33992.4296875,86.78759765625,158.5947723388672,109.18000030517578,31.73457145690918,245.0366668701172,0.22675000131130219
2021-01-06,36824.36328125,85.93121337890625,169.0169219970703,116.26000213623047,31.46151351928711,251.9933319091797,0.2508949935436249
2021-01-07,39371.04296875,88.49787139892578,169.61595153808594,115.08999633789062,31.62364387512207,272.0133361816406,0.32600200176239014
2021-01-08,40797.609375,89.66946411132812,173.27987670898438,112.75,31.683374404907227,293.3399963378906,0.32322999835014343
2021-01-11,35566.65625,87.59759521484375,139.25222778320312,117.26000213623047,32.22948455810547,270.39666748046875,0.28890499472618103
2021-01-12,33922.9609375,86.65692138671875,132.6359100341797,124.55000305175781,31.726037979125977,283.14666748046875,0.2921229898929596
2021-01-13,37316.359375,87.14671325683594,147.4213409423828,124.05999755859375,31.452985763549805,284.8033447265625,0.3055799901485443
2021-01-14,39187.328125,86.33222961425781,152.08457946777344,129.72000122070312,31.35912322998047,281.6666564941406,0.2954379916191101
2021-01-15,36825.3671875,86.16763305664062,144.237548828125,129.64999389648438,31.316452026367188,275.38665771484375,0.28040599822998047
2021-01-19,36069.8046875,89.00311279296875,153.4874267578125,125.01000213623047,31.342052459716797,281.51666259765625,0.2943139970302582
2021-01-20,35547.75,93.77130889892578,149.93142700195312,125.13999938964844,31.14578628540039,283.48333740234375,0.2965179979801178
2021-01-21,30825.69921875,93.97480010986328,130.1334991455078,132.97999572753906,31.12873077392578,281.663330078125,0.26894599199295044
2021-01-22,33005.76171875,94.39425659179688,137.27145385742188,131.02000427246094,31.188459396362305,282.21331787109375,0.27279898524284363
2021-01-25,32366.392578125,94.48004150390625,137.44419860839844,147.0,31.811370849609375,293.6000061035156,0.269089013338089
2021-01-26,32569.849609375,95.161865234375,134.75526428222656,151.92999267578125,31.836977005004883,294.36334228515625,0.26882699131965637
2021-01-27,30432.546875,90.72235870361328,122.94947052001953,155.72999572753906,30.923933029174805,288.0533447265625,0.2519429922103882
2021-01-28,33466.09765625,92.4311294555664,133.4869384765625,159.5500030517578,30.932558059692383,278.4766540527344,0.26412200927734375
2021-01-29,34316.38671875,91.1423110961914,135.0125732421875,173.16000366210938,30.967060089111328,264.510009765625,0.2821879982948303
2021-02-01,33537.17578125,94.41970825195312,131.95193481445312,157.47999572753906,30.88079833984375,279.9366760253906,0.37150898575782776
2021-02-02,35510.2890625,95.71898651123047,142.50697326660156,158.5800018310547,30.18210792541504,290.92999267578125,0.369269996881485
2021-02-03,37472.08984375,102.68972778320312,155.61203002929688,165.86000061035156,30.052709579467773,284.89666748046875,0.3934899866580963
2021-02-04,36926.06640625,102.42787170410156,145.148193359375,173.30999755859375,30.095836639404297,283.3299865722656,0.44644901156425476
2021-02-05,38144.30859375,104.18352508544922,154.8522186279297,176.24000549316406,30.121726989746094,284.07666015625,0.45004698634147644
2021-02-08,46196.46484375,103.96855163574219,167.21905517578125,185.97999572753906,30.035465240478516,287.8066711425781,0.44770199060440063
2021-02-09,46481.10546875,103.51318359375,182.11447143554688,179.52000427246094,30.16485023498535,283.1533203125,0.47199100255966187
2021-02-10,44918.18359375,104.06631469726562,182.1743927001953,179.33999633789062,29.966459274291992,268.2733459472656,0.503445029258728
2021-02-11,47909.33203125,104.17952728271484,184.49600219726562,183.44000244140625,29.69904899597168,270.5533447265625,0.5247870087623596
2021-02-12,47504.8515625,104.49275970458984,197.23170471191406,183.74000549316406,29.949199676513672,272.0400085449219,0.6085919737815857
2021-02-16,49199.87109375,105.27433013916016,210.54656982421875,178.52999877929688,29.923320770263672,265.40667724609375,0.5208460092544556
2021-02-17,52149.0078125,105.66934204101562,236.97352600097656,176.75999450683594,30.095836639404297,266.04998779296875,0.5355370044708252
2021-02-18,51679.796875,105.03042602539062,226.8695526123047,169.57000732421875,29.811187744140625,262.4599914550781,0.5324329733848572
2021-02-19,55888.1328125,104.18252563476562,236.67601013183594,174.74000549316406,29.707677841186523,260.4333190917969,0.567018985748291
2021-02-22,54207.3203125,102.45929718017578,208.10679626464844,159.3699951171875,29.55240821838379,238.1666717529297,0.571740984916687
2021-02-23,48824.42578125,102.75157165527344,176.93492126464844,150.1699981689453,29.25050163269043,232.94667053222656,0.47356298565864563
2021-02-24,49705.33203125,103.93314361572266,181.3784942626953,144.7899932861328,29.112483978271484,247.33999633789062,0.4718320071697235
2021-02-25,47093.8515625,100.54852294921875,178.90184020996094,148.3800048828125,29.172866821289062,227.4066619873047,0.4345239996910095
2021-02-26,46339.76171875,100.84578704833984,170.3981475830078,154.80999755859375,28.888216018676758,225.1666717529297,0.4278999865055084
2021-03-01,49631.2421875,103.2273941040039,175.23789978027344,157.39999389648438,29.06073760986328,239.47666931152344,0.44724398851394653
2021-03-02,48378.98828125,102.96903228759766,177.8724365234375,146.80999755859375,28.905460357666016,228.81333923339844,0.43683698773384094
2021-03-03,50538.2421875,100.32208251953125,188.52566528320312,131.22000122070312,29.66454315185547,217.73333740234375,0.45027899742126465
2021-03-04,48561.16796875,101.44530487060547,181.07864379882812,132.3000030517578,29.500654220581055,207.14666748046875,0.4866049885749817
2021-03-05,48927.3046875,104.5945053100586,180.76560974121094,132.19000244140625,29.66454315185547,199.31666564941406,0.4581190049648285
2021-03-08,52246.5234375,100.12706756591797,191.9276885986328,123.47000122070312,29.63003921508789,187.6666717529297,0.47359699010849
2021-03-09,54824.1171875,101.76600646972656,203.6378631591797,130.8699951171875,29.716297149658203,224.52667236328125,0.48598799109458923
2021-03-10,56008.55078125,101.55802154541016,200.51686096191406,129.75,30.130346298217773,222.68666076660156,0.4631659984588623
2021-03-11,57805.12109375,104.767578125,201.25033569335938,140.47000122070312,29.94057273864746,233.1999969482422,0.4529600143432617
2021-03-12,57332.08984375,102.246826171875,220.82940673828125,136.99000549316406,30.13897132873535,231.2433319091797,0.44113099575042725
2021-03-15,55907.19921875,102.46826934814453,201.26461791992188,143.66000366210938,30.544389724731445,235.97999572753906,0.4375549852848053
2021-03-16,56804.90234375,103.93714141845703,201.04063415527344,156.02000427246094,30.906679153442383,225.6266632080078,0.4625999927520752
