Date,JNJ,KO,LMT,PEP,PG
2022-01-03,158.5090789794922,54.59066390991211,329.6562805175781,160.04058837890625,152.14231872558594
2022-01-04,158.08399963378906,55.50204086303711,336.75445556640625,160.2718963623047,152.6746826171875
2022-01-05,159.13742065429688,55.96233367919922,333.1728515625,160.8177490234375,153.3658447265625
2022-01-06,158.59225463867188,55.66774368286133,333.0426025390625,160.85476684570312,152.0769500732422
2022-01-07,160.73597717285156,55.53886413574219,335.03338623046875,161.05831909179688,151.99290466308594
2022-01-10,159.94134521484375,55.63092041015625,337.92657470703125,161.14157104492188,149.91949462890625
2022-01-11,158.24111938476562,55.64933776855469,338.7545471191406,161.0675811767578,148.18235778808594
2022-01-12,156.8920135498047,55.73218536376953,336.11248779296875,160.89178466796875,148.5092315673828
2022-01-13,155.94027709960938,56.0635986328125,339.72198486328125,161.1508331298828,147.83676147460938
2022-01-14,155.09014892578125,56.51468276977539,346.64337158203125,162.50161743164062,149.2563934326172
2022-01-18,154.40635681152344,56.0635986328125,350.2900695800781,160.94729614257812,146.37977600097656
2022-01-19,153.92587280273438,56.15565490722656,351.0250244140625,162.10379028320312,151.30178833007812
2022-01-20,152.69688415527344,55.925506591796875,348.9784240722656,160.92880249023438,152.11868286132812
2022-01-21,152.3457794189453,55.64933776855469,345.3223571777344,161.18783569335938,152.70089721679688
2022-01-24,150.590087890625,55.198246002197266,347.3038635253906,160.3644256591797,151.46142578125
2022-01-25,154.8961181640625,55.069366455078125,360.17901611328125,158.5232696533203,149.80873107910156
2022-01-26,155.58914184570312,54.86683654785156,363.96527099609375,156.84864807128906,148.50352478027344
2022-01-27,157.63124084472656,54.91286849975586,361.9558410644531,156.7006072998047,149.4237518310547
2022-01-28,158.74008178710938,56.008365631103516,365.7420959472656,159.7537841796875,150.71018981933594
2022-01-31,159.2021026611328,56.164859771728516,362.0024108886719,160.5402069091797,150.66323852539062
2022-02-01,157.8992462158203,55.7505989074707,360.0301818847656,159.44847106933594,149.99656677246094
2022-02-02,159.6456756591797,56.32136535644531,360.3371887207031,162.3443603515625,152.68209838867188
2022-02-03,159.63641357421875,56.71721649169922,362.5325927734375,162.2518310546875,154.128173828125
2022-02-04,158.59225463867188,56.11882400512695,362.18841552734375,159.58724975585938,151.67735290527344
2022-02-07,158.0655517578125,56.708003997802734,364.98858642578125,158.95809936523438,150.54116821289062
2022-02-08,158.4813690185547,57.07624053955078,368.4306945800781,159.1524200439453,150.20315551757812
2022-02-09,158.462890625,56.192481994628906,367.0352478027344,159.07838439941406,149.8651123046875
2022-02-10,156.5501251220703,56.50547790527344,358.56024169921875,155.7754364013672,147.58331298828125
2022-02-11,154.9700164794922,55.50204086303711,368.5701904296875,155.96974182128906,146.7569580078125
2022-02-14,153.0203094482422,55.8610725402832,359.9930114746094,154.2303466796875,147.17955017089844
2022-02-15,154.60040283203125,56.07279968261719,355.5740966796875,153.54571533203125,147.2546844482422
2022-02-16,154.5079803466797,56.0635986328125,359.9278259277344,153.86029052734375,148.37208557128906
2022-02-17,153.5654754638672,57.18670654296875,361.6674499511719,154.276611328125,150.07167053222656
2022-02-18,151.91941833496094,57.5733528137207,359.5185241699219,155.16481018066406,150.1468048095703
2022-02-22,149.8549041748047,57.3339958190918,359.276611328125,155.75694274902344,148.2969512939453
2022-02-23,149.92930603027344,56.69880294799805,361.7884216308594,154.22109985351562,146.44711303710938
2022-02-24,147.06503295898438,55.70456314086914,368.1236267089844,151.5380096435547,142.50331115722656
2022-02-25,154.3745574951172,57.85873031616211,380.9429931640625,155.7847137451172,148.5880584716797
2022-02-28,153.0447235107422,57.297183990478516,406.33673095703125,151.49179077148438,146.3813934326172
2022-03-01,152.51461791992188,57.04862976074219,427.7026062011719,150.13172912597656,143.95877075195312
2022-03-02,154.41177368164062,57.47209548950195,421.5111083984375,152.21343994140625,144.4094696044922
2022-03-03,156.68087768554688,57.5089111328125,419.4691467285156,152.0504608154297,144.9447021484375
2022-03-04,157.61087036132812,57.600975036621094,429.1451721191406,154.36001586914062,145.67710876464844
2022-03-07,160.14967346191406,56.22930908203125,436.6387023925781,151.2867889404297,143.5174102783203
2022-03-08,156.90408325195312,54.00148391723633,420.5650634765625,147.0215301513672,137.83642578125
2022-03-09,157.49923706054688,54.27766036987305,420.3121643066406,146.58383178710938,139.69569396972656
2022-03-10,157.77822875976562,53.28342819213867,416.2281799316406,143.8924102783203,136.09930419921875
2022-03-11,157.4899444580078,53.32025146484375,411.2449645996094,143.166015625,134.48422241210938
2022-03-14,159.66607666015625,54.30354690551758,416.31256103515625,145.17759704589844,136.2025909423828
2022-03-15,163.80442810058594,55.30538558959961,420.2653503417969,148.07388305664062,141.1041717529297
2022-03-16,162.29788208007812,55.15695571899414,394.66558837890625,148.72576904296875,140.62527465820312
2022-03-17,164.41822814941406,55.741371154785156,401.45654296875,149.8805694580078,141.06663513183594
2022-03-18,162.595458984375,55.75064468383789,399.1991271972656,151.6034393310547,140.99148559570312
2022-03-21,163.51612854003906,56.1959114074707,412.1441955566406,151.38925170898438,141.52674865722656
2022-03-22,162.74427795410156,56.399993896484375,412.6968688964844,153.0469207763672,142.61598205566406
2022-03-23,162.1304931640625,56.02894592285156,417.0618591308594,152.2460174560547,141.62063598632812
