Date,KO,PEP,PG,V,WMT
2023-01-03,59.66529083251953,170.43067932128906,145.07485961914062,204.58349609375,46.69233322143555
2023-01-04,59.63684844970703,170.01268005371094,145.70655822753906,209.73284912109375,46.744354248046875
2023-01-05,58.954429626464844,168.2362823486328,143.8975372314453,208.25315856933594,46.58503341674805
2023-01-06,60.09180450439453,172.03607177734375,147.3241424560547,214.80328369140625,47.726322174072266
2023-01-09,59.3430290222168,170.3546600341797,145.5247039794922,215.64178466796875,47.131290435791016
2023-01-10,58.88807678222656,168.94874572753906,145.38113403320312,218.0980987548828,47.10203170776367
2023-01-11,58.77433395385742,169.1387176513672,144.20384216308594,219.09442138671875,47.51498031616211
2023-01-12,58.01608657836914,166.98233032226562,143.39027404785156,220.59385681152344,47.08576965332031
2023-01-13,58.22460174560547,166.46934509277344,144.41439819335938,220.0414276123047,47.24184036254883
2023-01-17,58.461551666259766,167.24832153320312,143.99325561523438,219.98223876953125,46.955711364746094
2023-01-18,56.68913269042969,163.03053283691406,140.135986328125,216.4901580810547,45.79490280151367
2023-01-19,56.60382843017578,161.14015197753906,137.17233276367188,217.42727661132812,45.1413459777832
2023-01-20,56.94505310058594,161.37762451171875,137.7020721435547,221.27452087402344,45.697357177734375
2023-01-23,57.087215423583984,160.65567016601562,135.85281372070312,221.1462860107422,46.38018035888672
2023-01-24,57.3905143737793,162.14707946777344,136.59445190429688,220.86019897460938,46.503746032714844
2023-01-25,57.750694274902344,163.3250274658203,136.49815368652344,221.8565216064453,46.28263854980469
2023-01-26,57.636959075927734,161.70062255859375,135.94912719726562,221.66909790039062,46.24037170410156
2023-01-27,57.333656311035156,161.1306610107422,135.3905029296875,228.3080291748047,46.59477996826172
2023-01-30,57.4758186340332,160.9976348876953,135.81430053710938,225.9997100830078,46.22085952758789
2023-01-31,58.12034225463867,162.46055603027344,137.13380432128906,227.09466552734375,46.780128479003906
2023-02-01,58.12982177734375,162.97354125976562,137.91397094726562,227.77532958984375,47.04024887084961
2023-02-02,57.134605407714844,161.46311950683594,136.9315643310547,226.4534912109375,46.698829650878906
2023-02-03,56.70808792114258,160.65567016601562,137.3553466796875,227.01576232910156,46.07778549194336
2023-02-06,57.03035354614258,163.2205352783203,136.18991088867188,226.33509826660156,45.742881774902344
2023-02-07,56.93556594848633,162.97354125976562,134.86077880859375,228.1896514892578,45.840423583984375
2023-02-08,56.60382843017578,162.5935516357422,133.46421813964844,227.0847930908203,45.59331130981445
2023-02-09,56.50905227661133,164.13247680664062,132.0001983642578,226.68943786621094,46.01601028442383
2023-02-10,56.50905227661133,167.3813018798828,133.16561889648438,224.5643768310547,46.73134994506836
2023-02-13,57.43790817260742,168.8727264404297,134.908935546875,226.22488403320312,47.443443298339844
2023-02-14,56.480613708496094,166.9728546142578,134.14804077148438,226.7289581298828,47.30687713623047
2023-02-15,56.480613708496094,167.20082092285156,133.83981323242188,226.26441955566406,47.658042907714844
2023-02-16,56.129920959472656,166.72584533691406,132.0868682861328,223.21026611328125,46.91018295288086
2023-02-17,56.98295974731445,167.4573211669922,134.85113525390625,220.9665985107422,47.61577224731445
2023-02-21,56.67965316772461,167.36228942871094,134.7548370361328,218.06072998046875,47.9051628112793
2023-02-22,56.85026550292969,167.3052978515625,135.32308959960938,217.46766662597656,46.90043258666992
2023-02-23,56.95452117919922,167.48580932617188,134.88966369628906,218.56480407714844,46.201351165771484
2023-02-24,56.717567443847656,167.15333557128906,134.12876892089844,217.0031280517578,46.32490921020508
2023-02-27,56.698612213134766,167.10581970214844,134.01321411132812,217.79385375976562,45.989994049072266
2023-02-28,56.404781341552734,164.84494018554688,132.4914093017578,217.3885955810547,46.21435546875
2023-03-01,55.7887077331543,162.7550811767578,132.5877227783203,215.82691955566406,45.57054901123047
2023-03-02,56.60382843017578,165.75807189941406,134.77407836914062,216.51882934570312,45.68434524536133
2023-03-03,56.33843994140625,165.59548950195312,135.7565155029297,221.17417907714844,45.7396240234375
2023-03-06,57.2104377746582,165.93020629882812,135.17861938476562,224.11959838867188,45.73311996459961
2023-03-07,56.87869644165039,165.1077423095703,132.4914093017578,220.58111572265625,45.27790451049805
2023-03-08,56.90713119506836,165.55722045898438,132.5106658935547,219.61248779296875,44.90398025512695
2023-03-09,56.35739517211914,164.3043670654297,131.5378875732422,217.45777893066406,44.6015739440918
2023-03-10,56.12044143676758,164.5243377685547,132.13502502441406,213.63267517089844,44.53654861450195
2023-03-13,56.68913269042969,166.13104248046875,133.050048828125,211.9820556640625,44.6666145324707
2023-03-14,56.89765548706055,165.95887756347656,134.6970672607422,216.12347412109375,44.90398025512695
2023-03-15,57.27677917480469,168.9236602783203,136.6040802001953,213.86001586914062,45.40471649169922
2023-03-16,57.59196090698242,168.80889892578125,137.62503051757812,214.927490234375,45.14678955078125
2023-03-17,57.32453918457031,167.4890899658203,137.66355895996094,214.86817932128906,45.51245880126953
2023-03-20,57.87849044799805,169.84173583984375,139.78248596191406,215.61936950683594,46.0021858215332
2023-03-21,57.61106491088867,170.24342346191406,138.77117919921875,219.37525939941406,45.84547805786133
2023-03-22,57.35319137573242,168.80889892578125,138.68447875976562,217.48745727539062,45.551631927490234
2023-03-23,57.22902297973633,167.9863739013672,138.49185180664062,220.00784301757812,45.92056655883789
2023-03-24,58.16501998901367,171.27630615234375,141.31390380859375,218.47584533691406,46.29602813720703
2023-03-27,58.59480285644531,171.6588592529297,140.57228088378906,219.2368927001953,47.06980514526367
2023-03-28,58.66166687011719,171.60147094726562,140.9671630859375,217.77407836914062,46.886966705322266
