Date,BAC,GOOGL,MSFT,TSLA,XOM
2021-01-04,27.38151741027832,86.09332275390625,210.84429931640625,243.2566680908203,35.45216369628906
2021-01-05,27.591232299804688,86.78759765625,211.0476837158203,245.0366668701172,37.160701751708984
2021-01-06,29.314544677734375,85.93121337890625,205.57534790039062,251.9933319091797,38.10893630981445
2021-01-07,29.961923599243164,88.49787139892578,211.42538452148438,272.0133361816406,38.40793228149414
2021-01-08,29.66103172302246,89.66946411132812,212.7135467529297,293.3399963378906,38.835060119628906
2021-01-11,30.153406143188477,87.59759521484375,210.6505584716797,270.39666748046875,40.01396179199219
2021-01-12,30.691368103027344,86.65692138671875,208.17108154296875,283.14666748046875,40.90240478515625
2021-01-13,30.509008407592773,87.14671325683594,209.5367431640625,284.8033447265625,41.36370086669922
2021-01-14,30.992265701293945,86.33222961425781,206.32113647460938,281.6666564941406,42.978275299072266
2021-01-15,30.09869384765625,86.16763305664062,205.9627685546875,275.38665771484375,40.91094207763672
2021-01-19,29.879863739013672,89.00311279296875,209.63360595703125,281.51666259765625,41.722496032714844
2021-01-20,29.487791061401367,93.77130889892578,217.28515625,283.48333740234375,42.31193542480469
2021-01-21,28.96805763244629,93.97480010986328,217.8953399658203,281.663330078125,41.098873138427734
2021-01-22,28.767457962036133,94.39425659179688,218.84457397460938,282.21331787109375,40.51797103881836
2021-01-25,28.411855697631836,94.48004150390625,222.31195068359375,293.6000061035156,40.06521987915039
2021-01-26,28.211261749267578,95.161865234375,225.02386474609375,294.36334228515625,39.18531036376953
2021-01-27,27.199153900146484,90.72235870361328,225.57595825195312,288.0533447265625,38.74109649658203
2021-01-28,27.64594268798828,92.4311294555664,231.41635131835938,278.4766540527344,39.347625732421875
2021-01-29,27.0350284576416,91.1423110961914,224.66555786132812,264.510009765625,38.305419921875
2021-02-01,27.317686080932617,94.41970825195312,232.11367797851562,279.9366760253906,38.373756408691406
2021-02-02,28.29332160949707,95.71898651123047,231.97813415527344,290.92999267578125,38.980289459228516
2021-02-03,28.794811248779297,102.68972778320312,235.3583526611328,284.89666748046875,40.50942611694336
2021-02-04,29.6336727142334,102.42787170410156,234.3994598388672,283.3299865722656,41.28681945800781
2021-02-05,29.51513671875,104.18352508544922,234.58352661132812,284.07666015625,42.670738220214844
2021-02-08,30.171642303466797,103.96855163574219,234.8450469970703,287.8066711425781,44.50741195678711
2021-02-09,30.043989181518555,103.51318359375,236.10414123535156,283.1533203125,43.986148834228516
2021-02-10,30.071346282958984,104.06631469726562,235.18402099609375,268.2733459472656,44.41184997558594
2021-02-11,29.980161666870117,104.17952728271484,236.80149841308594,270.5533447265625,43.2998161315918
2021-02-12,30.426944732666016,104.49275970458984,237.28579711914062,272.0400085449219,43.89059066772461
2021-02-16,31.247573852539062,105.27433013916016,236.03634643554688,265.40667724609375,45.21111297607422
2021-02-17,31.37523078918457,105.66934204101562,237.06536865234375,266.04998779296875,45.914833068847656
2021-02-18,31.17462730407715,105.03042602539062,236.66737365722656,262.4599914550781,45.19374465942383
2021-02-19,31.493757247924805,104.18252563476562,233.9297332763672,260.4333190917969,45.49781036376953
2021-02-22,32.049964904785156,102.45929718017578,227.65846252441406,238.1666717529297,47.17455291748047
2021-02-23,32.387332916259766,102.75157165527344,226.45472717285156,232.94667053222656,47.826133728027344
2021-02-24,33.17148208618164,103.93314361572266,227.69729614257812,247.33999633789062,49.25961685180664
2021-02-25,32.76116943359375,100.54852294921875,222.2997589111328,227.4066619873047,48.44296646118164
2021-02-26,31.648759841918945,100.84578704833984,225.5906982421875,225.1666717529297,47.23537063598633
2021-03-01,32.633522033691406,103.2273941040039,230.01747131347656,239.47666931152344,48.99898910522461
2021-03-02,32.396446228027344,102.96903228759766,227.03713989257812,228.81333923339844,48.71228790283203
2021-03-03,33.207950592041016,100.32208251953125,220.9115447998047,217.73333740234375,49.10323715209961
2021-03-04,33.446205139160156,101.44530487060547,220.10580444335938,207.14666748046875,51.005855560302734
2021-03-05,33.8402214050293,104.5945053100586,224.83348083496094,199.31666564941406,52.93454360961914
2021-03-08,34.02348327636719,100.12706756591797,220.7464599609375,187.6666717529297,52.882415771484375
2021-03-09,33.28126525878906,101.76600646972656,226.94979858398438,224.52667236328125,52.065765380859375
2021-03-10,34.243408203125,101.55802154541016,225.62953186035156,222.68666076660156,53.664310455322266
2021-03-11,34.12428665161133,104.767578125,230.20193481445312,233.1999969482422,53.26468276977539
2021-03-12,34.765716552734375,102.246826171875,228.86224365234375,231.2433319091797,53.838069915771484
2021-03-15,34.59162139892578,102.46826934814453,227.94969177246094,235.97999572753906,52.46540069580078
2021-03-16,34.49081802368164,103.93714141845703,230.76499938964844,225.6266632080078,51.35336685180664
2021-03-17,34.77488327026367,103.85384368896484,230.11456298828125,233.93666076660156,51.579246520996094
2021-03-18,35.68206024169922,100.8173599243164,223.97921752929688,217.72000122070312,49.35519027709961
2021-03-19,35.306358337402344,101.09767150878906,223.6200408935547,218.2899932861328,49.07717514038086
2021-03-22,34.50914764404297,101.28370666503906,229.09524536132812,223.3333282470703,48.573280334472656
2021-03-23,33.81273651123047,101.81439208984375,230.63876342773438,220.72000122070312,47.97383499145508
2021-03-24,33.81273651123047,101.37548065185547,228.58071899414062,210.08999633789062,48.94685745239258
2021-03-25,34.50914764404297,101.37198638916016,225.55186462402344,213.4633331298828,48.8078498840332
2021-03-26,35.44381332397461,100.98644256591797,229.5709228515625,206.23666381835938,50.137088775634766
2021-03-29,35.104766845703125,102.03683471679688,228.36715698242188,203.76333618164062,49.867767333984375
